row_type,name,metric,value,unit,source_file,header_columns,data_rows,current_satisfied,required_for_reviewed_import,blocks_current_import,status,next_required_action,note
propeller_archive_source_fingerprint_boundary,entry_sha256_manifest,current_satisfied,true,boolean,user_supplied_archive_zip,not_applicable,0,true,true,false,READY,compare-entry-hashes-before-row-normalization,all six csv entries have stable sha256 fingerprints
propeller_archive_source_fingerprint_boundary,schema_headers_match_contract,current_satisfied,true,boolean,user_supplied_archive_zip,not_applicable,0,true,true,false,READY,validate-performance-and-geometry-headers,headers match the import contract table families
propeller_archive_source_fingerprint_boundary,dataset_triage_row_counts_match,current_satisfied,true,boolean,user_supplied_archive_zip,not_applicable,0,true,true,false,READY,reuse-triage-row-counts-for-coverage-gates,row counts match PropellerArchiveDatasetTriage
propeller_archive_source_fingerprint_boundary,source_license_review,current_satisfied,false,boolean,user_supplied_archive_zip,not_applicable,0,false,true,true,BLOCKED,review-source-license-before-importing-raw-rows,license and provenance review still blocks raw import
propeller_archive_source_fingerprint_boundary,runtime_leak_guard,current_satisfied,true,boolean,user_supplied_archive_zip,not_applicable,0,true,true,false,READY,keep-runtime-coupling-and-gameplay-auto-apply-closed,identity packet cannot drive runtime or gameplay auto apply
propeller_archive_source_fingerprint_summary,all,archive_bytes,384834,bytes,user_supplied_archive_zip,not_applicable,0,true,true,false,READY,review-source-license-before-importing-raw-rows,total zip size observed on disk
propeller_archive_source_fingerprint_summary,all,archive_entry_count,6,count,user_supplied_archive_zip,not_applicable,0,true,true,false,READY,review-source-license-before-importing-raw-rows,three performance csv files plus three geometry csv files
propeller_archive_source_fingerprint_summary,all,performance_entry_count,3,count,user_supplied_archive_zip,not_applicable,0,true,true,false,READY,review-source-license-before-importing-raw-rows,performance entries carry CT CP eta rows
propeller_archive_source_fingerprint_summary,all,geometry_entry_count,3,count,user_supplied_archive_zip,not_applicable,0,true,true,false,READY,review-source-license-before-importing-raw-rows,geometry entries carry station chord and beta rows
propeller_archive_source_fingerprint_summary,all,performance_data_rows,27495,count,user_supplied_archive_zip,not_applicable,27495,true,true,false,READY,review-source-license-before-importing-raw-rows,performance row count matches dataset triage
propeller_archive_source_fingerprint_summary,all,geometry_data_rows,2316,count,user_supplied_archive_zip,not_applicable,2316,true,true,false,READY,review-source-license-before-importing-raw-rows,geometry row count matches dataset triage
propeller_archive_source_fingerprint_summary,all,entry_hash_count,6,count,user_supplied_archive_zip,not_applicable,0,true,true,false,READY,review-source-license-before-importing-raw-rows,all archive entries have recorded hashes
propeller_archive_source_fingerprint_summary,all,schema_match_count,2,count,user_supplied_archive_zip,not_applicable,0,true,true,false,READY,review-source-license-before-importing-raw-rows,performance and geometry schemas match the import contract
propeller_archive_source_fingerprint_summary,all,raw_rows_vendored_count,0,count,user_supplied_archive_zip,not_applicable,0,true,true,false,READY,review-source-license-before-importing-raw-rows,raw rows remain outside the repository
propeller_archive_source_fingerprint_summary,all,current_import_allowed,false,boolean,user_supplied_archive_zip,not_applicable,0,false,true,true,BLOCKED,review-source-license-before-importing-raw-rows,current import remains closed until source review
propeller_archive_source_fingerprint_method,external_archive_hashing,method,sha256-entry-hash-header-line-count,audit,user_supplied_archive_zip,not_applicable,0,true,true,false,READY,compare-local-archive-hash-before-reviewed-import,hash the zip and each entry then compare row counts before reviewed import
