row_type,name,metric,value,unit,source_file,evidence_role,current_satisfied,post_review_seed_allowed,post_review_full_simulation_allowed,runtime_coupling_allowed,gameplay_auto_apply_allowed,next_required_action,status,note
propeller_archive_ct_cp_j_lookup_field,rpm_bin,unit,rpm,text,drone-sim-core/src/main/java/com/tenicana/dronecraft/sim/PropellerArchiveCtCpJLookupSeed.java,lookup_payload_schema,false,true,true,false,false,preserve-speed-dependent-coefficient-variation,PLANNED,bracketed RPM bins keep static anchors visible
propeller_archive_ct_cp_j_lookup_field,ct_lookup_curve,unit,coefficient,text,drone-sim-core/src/main/java/com/tenicana/dronecraft/sim/PropellerArchiveCtCpJLookupSeed.java,lookup_payload_schema,false,true,true,false,false,accept-fit-quality-before-lookup-reference-export,PLANNED,accepted CT(J rpm) fit will be the thrust coefficient lookup
propeller_archive_ct_cp_j_lookup_field,cp_lookup_curve,unit,coefficient,text,drone-sim-core/src/main/java/com/tenicana/dronecraft/sim/PropellerArchiveCtCpJLookupSeed.java,lookup_payload_schema,false,true,true,false,false,accept-fit-quality-before-lookup-reference-export,PLANNED,accepted CP(J rpm) fit will be the shaft-power lookup
propeller_archive_ct_cp_j_lookup_field,eta_consistency,unit,ratio,text,drone-sim-core/src/main/java/com/tenicana/dronecraft/sim/PropellerArchiveCtCpJLookupSeed.java,lookup_payload_schema,false,true,true,false,false,reject-thrust-and-power-mismatch,PLANNED,eta consistency checks J times CT over CP
propeller_archive_ct_cp_j_lookup_field,static_ct_anchor,unit,coefficient,text,drone-sim-core/src/main/java/com/tenicana/dronecraft/sim/PropellerArchiveCtCpJLookupSeed.java,lookup_payload_schema,false,true,true,false,false,preserve-j-zero-static-thrust-anchor,PLANNED,hover and static thrust anchor
propeller_archive_ct_cp_j_lookup_field,static_cp_anchor,unit,coefficient,text,drone-sim-core/src/main/java/com/tenicana/dronecraft/sim/PropellerArchiveCtCpJLookupSeed.java,lookup_payload_schema,false,true,true,false,false,preserve-j-zero-static-power-anchor,PLANNED,hover and static power anchor
propeller_archive_ct_cp_j_lookup_field,equivalent_project_mu,unit,ratio,text,drone-sim-core/src/main/java/com/tenicana/dronecraft/sim/PropellerArchiveCtCpJLookupSeed.java,lookup_payload_schema,true,true,true,false,false,compare-axial-j-with-current-advance-scale-audit,READY,J over pi mapping is audit-only
propeller_archive_ct_cp_j_lookup_field,lookup_weight,unit,ratio,text,drone-sim-core/src/main/java/com/tenicana/dronecraft/sim/PropellerArchiveCtCpJLookupSeed.java,lookup_payload_schema,false,false,true,false,false,keep-reference-weight-zero-until-handoff-opens,BLOCKED,current playable reference weight is zero
propeller_archive_ct_cp_j_lookup_preset,racingQuad,da4052 5.0x3.75 - 3,da4052 5.0x3.75,J=0.0..0.8128;rpm=1477.8..7946.7;ct=0.148290142857143;cp=0.103175285714286;eta=0.576493,drone-sim-core/src/main/java/com/tenicana/dronecraft/sim/PropellerArchiveCtCpJLookupSeed.java,lookup_seed,false,true,true,false,false,review-source-license-then-import-reviewed-ct-cp-j-rows-into-offline-lookup,BLOCKED,current raw import blocked; post-review CT CP J and full simulation coverage are present
propeller_archive_ct_cp_j_lookup_preset,apDrone,da4052 5.0x3.75 - 3,da4052 5.0x3.75,J=0.0..0.8128;rpm=1477.8..7946.7;ct=0.148290142857143;cp=0.103175285714286;eta=0.576493,drone-sim-core/src/main/java/com/tenicana/dronecraft/sim/PropellerArchiveCtCpJLookupSeed.java,lookup_seed,false,true,true,false,false,review-source-license-then-import-reviewed-ct-cp-j-rows-into-offline-lookup,BLOCKED,current raw import blocked; post-review CT CP J and full simulation coverage are present
propeller_archive_ct_cp_j_lookup_preset,cinewhoop,gwsdd 3.0x3.0 - 2,gwsdd 3.0x3.0,J=0.0..1.0674;rpm=2963.3..15063.0;ct=0.192041923076923;cp=0.143023846153846;eta=0.680984,drone-sim-core/src/main/java/com/tenicana/dronecraft/sim/PropellerArchiveCtCpJLookupSeed.java,lookup_seed,false,false,false,false,false,resolve-cinewhoop-three-blade-coverage-or-correction,BLOCKED,nearest performance curve is two-blade while preset target is three-blade
propeller_archive_ct_cp_j_lookup_preset,heavyLift,ancf 10.0x5.0 - 2,missing-reviewed-geometry-match,J=0.0..0.667;rpm=1060.0..7440.0;ct=0.0900960714285714;cp=0.0308062142857143;eta=0.679833,drone-sim-core/src/main/java/com/tenicana/dronecraft/sim/PropellerArchiveCtCpJLookupSeed.java,lookup_seed,false,true,false,false,false,add-heavy-lift-geometry-match-or-reviewed-surrogate,BLOCKED,CT CP J lookup seed can proceed after review but full simulation lookup lacks geometry
propeller_archive_ct_cp_j_lookup_stage,source_license_review,current_satisfied,false,boolean,drone-sim-core/src/main/java/com/tenicana/dronecraft/sim/PropellerArchiveCtCpJLookupSeed.java,lookup_gate,false,true,true,false,false,review-source-license-before-importing-raw-rows,BLOCKED,first gate before raw rows enter offline lookup
propeller_archive_ct_cp_j_lookup_stage,reviewed_raw_row_import,current_satisfied,false,boolean,drone-sim-core/src/main/java/com/tenicana/dronecraft/sim/PropellerArchiveCtCpJLookupSeed.java,lookup_gate,false,true,true,false,false,import-reviewed-raw-rows-into-offline-fitting-pipeline,BLOCKED,reviewed rows must satisfy the import contract
propeller_archive_ct_cp_j_lookup_stage,lookup_seed_generation,current_satisfied,false,boolean,drone-sim-core/src/main/java/com/tenicana/dronecraft/sim/PropellerArchiveCtCpJLookupSeed.java,lookup_gate,false,true,true,false,false,materialize-reviewed-ct-cp-j-domain-and-static-anchors,BLOCKED,seed generation waits for reviewed rows
propeller_archive_ct_cp_j_lookup_stage,curve_fit_quality_acceptance,current_satisfied,false,boolean,drone-sim-core/src/main/java/com/tenicana/dronecraft/sim/PropellerArchiveCtCpJLookupSeed.java,lookup_gate,false,false,true,false,false,accept-fit-quality-before-lookup-reference-export,BLOCKED,no accepted CT CP lookup coefficients exist yet
propeller_archive_ct_cp_j_lookup_stage,full_simulation_coverage,current_satisfied,false,boolean,drone-sim-core/src/main/java/com/tenicana/dronecraft/sim/PropellerArchiveCtCpJLookupSeed.java,lookup_gate,false,false,true,false,false,resolve-cinewhoop-blade-count-and-heavy-lift-geometry-coverage,BLOCKED,two coverage blockers prevent all-preset full simulation lookup
propeller_archive_ct_cp_j_lookup_stage,compact_reference_handoff,current_satisfied,false,boolean,drone-sim-core/src/main/java/com/tenicana/dronecraft/sim/PropellerArchiveCtCpJLookupSeed.java,lookup_gate,false,false,true,false,false,review-compact-reference-before-playable-handoff,BLOCKED,playable reference material remains closed
propeller_archive_ct_cp_j_lookup_stage,runtime_leak_guard,current_satisfied,true,boolean,drone-sim-core/src/main/java/com/tenicana/dronecraft/sim/PropellerArchiveCtCpJLookupSeed.java,lookup_gate,true,true,true,false,false,keep-runtime-coupling-and-gameplay-auto-apply-closed,READY,lookup seed cannot drive runtime or auto-apply gameplay
propeller_archive_ct_cp_j_lookup_summary,all,lookup_field_count,13,count,drone-sim-core/src/main/java/com/tenicana/dronecraft/sim/PropellerArchiveCtCpJLookupSeed.java,summary,true,true,true,false,false,verify-payload-schema,TRIAGED,thirteen lookup payload fields are declared
propeller_archive_ct_cp_j_lookup_summary,all,preset_seed_count,4,count,drone-sim-core/src/main/java/com/tenicana/dronecraft/sim/PropellerArchiveCtCpJLookupSeed.java,summary,true,true,true,false,false,verify-preset-coverage,TRIAGED,four current presets are tracked
propeller_archive_ct_cp_j_lookup_summary,all,current_lookup_seed_allowed_count,0,count,drone-sim-core/src/main/java/com/tenicana/dronecraft/sim/PropellerArchiveCtCpJLookupSeed.java,summary,false,false,false,false,false,review-source-license-then-import-reviewed-ct-cp-j-rows-into-offline-lookup,BLOCKED,no current lookup seed is allowed before source review
propeller_archive_ct_cp_j_lookup_summary,all,post_review_ct_cp_j_lookup_seed_allowed_count,3,count,drone-sim-core/src/main/java/com/tenicana/dronecraft/sim/PropellerArchiveCtCpJLookupSeed.java,summary,false,true,false,false,false,fit-ct-cp-j-re-and-blade-geometry-curves,TRIAGED,racingQuad APDrone and heavyLift can seed CT CP J after review
propeller_archive_ct_cp_j_lookup_summary,all,post_review_full_simulation_lookup_seed_allowed_count,2,count,drone-sim-core/src/main/java/com/tenicana/dronecraft/sim/PropellerArchiveCtCpJLookupSeed.java,summary,false,true,true,false,false,resolve-cinewhoop-blade-count-and-heavy-lift-geometry-coverage,TRIAGED,racingQuad and APDrone have performance plus geometry coverage
propeller_archive_ct_cp_j_lookup_summary,all,compact_reference_export_allowed_count,0,count,drone-sim-core/src/main/java/com/tenicana/dronecraft/sim/PropellerArchiveCtCpJLookupSeed.java,summary,false,false,false,false,false,review-compact-reference-before-playable-handoff,BLOCKED,current compact reference export is closed
propeller_archive_ct_cp_j_lookup_summary,all,runtime_coupling_allowed_count,0,count,drone-sim-core/src/main/java/com/tenicana/dronecraft/sim/PropellerArchiveCtCpJLookupSeed.java,summary,true,true,true,false,false,keep-runtime-coupling-and-gameplay-auto-apply-closed,READY,no preset can couple lookup to runtime physics
propeller_archive_ct_cp_j_lookup_summary,all,gameplay_auto_apply_allowed_count,0,count,drone-sim-core/src/main/java/com/tenicana/dronecraft/sim/PropellerArchiveCtCpJLookupSeed.java,summary,true,true,true,false,false,keep-runtime-coupling-and-gameplay-auto-apply-closed,READY,no preset can auto-apply gameplay tuning
propeller_archive_ct_cp_j_lookup_summary,all,current_raw_import_allowed,false,boolean,drone-sim-core/src/main/java/com/tenicana/dronecraft/sim/PropellerArchiveCtCpJLookupSeed.java,summary,false,false,false,false,false,review-source-license-before-importing-raw-rows,BLOCKED,raw rows remain outside the repository
propeller_archive_ct_cp_j_lookup_summary,all,reviewed_raw_import_contract_ready,true,boolean,drone-sim-core/src/main/java/com/tenicana/dronecraft/sim/PropellerArchiveCtCpJLookupSeed.java,summary,true,true,true,false,false,import-reviewed-raw-rows-into-offline-fitting-pipeline,READY,normalized schema is already specified
propeller_archive_ct_cp_j_lookup_summary,all,full_lookup_runtime_ready,false,boolean,drone-sim-core/src/main/java/com/tenicana/dronecraft/sim/PropellerArchiveCtCpJLookupSeed.java,summary,false,false,false,false,false,accept-fit-quality-before-lookup-reference-export,BLOCKED,no fitted lookup is runtime-ready
propeller_archive_ct_cp_j_lookup_summary,all,playable_reference_allowed,false,boolean,drone-sim-core/src/main/java/com/tenicana/dronecraft/sim/PropellerArchiveCtCpJLookupSeed.java,summary,false,false,false,false,false,review-compact-reference-before-playable-handoff,BLOCKED,playable handoff remains blocked
propeller_archive_ct_cp_j_lookup_summary,all,archive_sha256_known,true,boolean,drone-sim-core/src/main/java/com/tenicana/dronecraft/sim/PropellerArchiveCtCpJLookupSeed.java,summary,true,true,true,false,false,compare-local-archive-hash-before-reviewed-import,READY,f234863d7a0c29f44733bc818790c75616a61a2980fc30577a43122cc2cd1b2b
propeller_archive_ct_cp_j_lookup_summary,all,next_required_action,review-source-license-then-import-reviewed-ct-cp-j-rows-into-offline-lookup,text,drone-sim-core/src/main/java/com/tenicana/dronecraft/sim/PropellerArchiveCtCpJLookupSeed.java,summary,false,true,true,false,false,review-source-license-then-import-reviewed-ct-cp-j-rows-into-offline-lookup,BLOCKED,next action before any complete lookup connection
propeller_archive_ct_cp_j_lookup_method,all,method_note,derive-lookup-readiness-from-fingerprint-triage-import-contract-and-curve-fit-plan,text,docs/data/propeller_archive_ct_cp_j_lookup_seed_packet.csv,method,true,true,true,false,false,keep-raw-data-out-of-repository,READY,no raw wind-tunnel rows or fitted coefficients are vendored
