row_type,scenario,preset,ambient_case,forward_speed_mps,metric,value,unit,peak_sample_index,peak_time_seconds,target_max_rpm_scale,contract_thrust_ratio,free_flight_observed_thrust_ratio,free_flight_compressibility_proxy_ratio,free_flight_residual_thrust_deficit_ratio,free_flight_state_velocity_delta_mps,held_observed_thrust_ratio,held_compressibility_proxy_ratio,held_residual_thrust_deficit_ratio,held_residual_reduction_ratio,held_observed_minus_free_flight_ratio,held_neutral_thrust_newtons,held_derated_thrust_newtons,held_neutral_average_propeller_thrust_scale,held_derated_average_propeller_thrust_scale,held_derated_propeller_thrust_scale_range,held_derated_advance_ratio_range,held_state_velocity_delta_mps,held_attitude_euler_delta_rad,held_angular_velocity_delta_radps,free_flight_state_divergence,state_normalization_reduced_residual,held_residual_above_threshold,runtime_coupling_allowed,playable_reference_allowed,gameplay_auto_apply_allowed,dominant_bucket,status,message,source_file,evidence_role,note
propeller_archive_rotor_spec_retune_ambient_compressibility_derate_control_hook_state_normalized_punchout_diagnostic,synthetic_derate_validation_all_pass,apDrone,cold_sea_level_minus10c,28.0,held_residual_thrust_deficit_ratio,0.007713856602243,ratio,277,1.39,0.991030235197808,0.982140927076222,0.750674954534282,0.79996319930007,0.049288244765788,2.47627123469454,0.985463358507154,0.993177215109397,0.007713856602243,0.843495002938369,0.234788403972872,22.705430484504824,22.37536978161085,0.524453920378545,0.523101054056192,0.035081954747968,0.016271182725127,0.0,0.0,0.0,true,true,false,false,false,false,free-flight-state-drift-dominates-residual,STATE_NORMALIZED,held-state-punchout-removes-free-flight-residual-deficit,drone-sim-core/src/main/java/com/tenicana/dronecraft/sim/PropellerArchiveRotorSpecRetuneAmbientCompressibilityDerateControlHookStateNormalizedPunchoutDiagnostic.java,diagnostic_row,fast row residual falls from 0.049288244765788 to 0.007713856602243
propeller_archive_rotor_spec_retune_ambient_compressibility_derate_control_hook_state_normalized_punchout_diagnostic_summary,all,all,all,all,row_count,5,count,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,false,false,false,false,false,false,NA,READY,state-normalized-punchout-rows-recorded,drone-sim-core/src/main/java/com/tenicana/dronecraft/sim/PropellerArchiveRotorSpecRetuneAmbientCompressibilityDerateControlHookStateNormalizedPunchoutDiagnostic.java,summary,five APDrone settled peak samples
propeller_archive_rotor_spec_retune_ambient_compressibility_derate_control_hook_state_normalized_punchout_diagnostic_summary,all,all,all,all,blocked_row_count,0,count,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,false,false,false,false,false,false,NA,READY,no held-state row remains above residual threshold,drone-sim-core/src/main/java/com/tenicana/dronecraft/sim/PropellerArchiveRotorSpecRetuneAmbientCompressibilityDerateControlHookStateNormalizedPunchoutDiagnostic.java,summary,free-flight failures are preserved as upstream evidence
propeller_archive_rotor_spec_retune_ambient_compressibility_derate_control_hook_state_normalized_punchout_diagnostic_summary,all,all,all,all,free_flight_state_divergence_row_count,3,count,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,true,false,false,false,false,false,free-flight-state-drift-dominates-residual,READY,three free-flight rows exceed velocity delta threshold,drone-sim-core/src/main/java/com/tenicana/dronecraft/sim/PropellerArchiveRotorSpecRetuneAmbientCompressibilityDerateControlHookStateNormalizedPunchoutDiagnostic.java,summary,16 22 and 28 mps are free-flight divergent
propeller_archive_rotor_spec_retune_ambient_compressibility_derate_control_hook_state_normalized_punchout_diagnostic_summary,all,all,all,all,state_normalization_reduced_residual_row_count,5,count,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,false,true,false,false,false,false,free-flight-state-drift-dominates-residual,READY,all rows reduce residual by at least fifty percent,drone-sim-core/src/main/java/com/tenicana/dronecraft/sim/PropellerArchiveRotorSpecRetuneAmbientCompressibilityDerateControlHookStateNormalizedPunchoutDiagnostic.java,summary,minimum residual reduction is 0.843495002938369
propeller_archive_rotor_spec_retune_ambient_compressibility_derate_control_hook_state_normalized_punchout_diagnostic_summary,all,all,all,all,held_residual_above_threshold_row_count,0,count,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,false,false,false,false,false,false,free-flight-state-drift-dominates-residual,READY,no held row exceeds residual threshold,drone-sim-core/src/main/java/com/tenicana/dronecraft/sim/PropellerArchiveRotorSpecRetuneAmbientCompressibilityDerateControlHookStateNormalizedPunchoutDiagnostic.java,summary,residual threshold is 0.04
propeller_archive_rotor_spec_retune_ambient_compressibility_derate_control_hook_state_normalized_punchout_diagnostic_summary,all,all,all,all,min_free_flight_observed_thrust_ratio,0.616998153770964,ratio,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,false,false,false,false,false,false,NA,BLOCKED,lowest free-flight observed thrust ratio remains severe,drone-sim-core/src/main/java/com/tenicana/dronecraft/sim/PropellerArchiveRotorSpecRetuneAmbientCompressibilityDerateControlHookStateNormalizedPunchoutDiagnostic.java,summary,static free-flight row is the lowest
propeller_archive_rotor_spec_retune_ambient_compressibility_derate_control_hook_state_normalized_punchout_diagnostic_summary,all,all,all,all,min_held_observed_thrust_ratio,0.985255794300612,ratio,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,false,true,false,false,false,false,free-flight-state-drift-dominates-residual,READY,held-state observed ratio stays close to unity,drone-sim-core/src/main/java/com/tenicana/dronecraft/sim/PropellerArchiveRotorSpecRetuneAmbientCompressibilityDerateControlHookStateNormalizedPunchoutDiagnostic.java,summary,blackbox speed is the lowest held observed row
propeller_archive_rotor_spec_retune_ambient_compressibility_derate_control_hook_state_normalized_punchout_diagnostic_summary,all,all,all,all,max_free_flight_residual_thrust_deficit_ratio,0.099814561774144,ratio,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,false,false,false,false,false,false,NA,BLOCKED,largest upstream free-flight residual deficit,drone-sim-core/src/main/java/com/tenicana/dronecraft/sim/PropellerArchiveRotorSpecRetuneAmbientCompressibilityDerateControlHookStateNormalizedPunchoutDiagnostic.java,summary,static free-flight row dominates residual deficit
propeller_archive_rotor_spec_retune_ambient_compressibility_derate_control_hook_state_normalized_punchout_diagnostic_summary,all,all,all,all,max_held_residual_thrust_deficit_ratio,0.007713856602243,ratio,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,false,true,false,false,false,false,free-flight-state-drift-dominates-residual,READY,largest held residual remains below threshold,drone-sim-core/src/main/java/com/tenicana/dronecraft/sim/PropellerArchiveRotorSpecRetuneAmbientCompressibilityDerateControlHookStateNormalizedPunchoutDiagnostic.java,summary,28 mps is the highest held residual row
propeller_archive_rotor_spec_retune_ambient_compressibility_derate_control_hook_state_normalized_punchout_diagnostic_summary,all,all,all,all,max_residual_reduction_ratio,1.0,ratio,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,false,true,false,false,false,false,free-flight-state-drift-dominates-residual,READY,some rows remove the residual completely,drone-sim-core/src/main/java/com/tenicana/dronecraft/sim/PropellerArchiveRotorSpecRetuneAmbientCompressibilityDerateControlHookStateNormalizedPunchoutDiagnostic.java,summary,0 8 and 16 mps have zero held residual
propeller_archive_rotor_spec_retune_ambient_compressibility_derate_control_hook_state_normalized_punchout_diagnostic_summary,all,all,all,all,min_residual_reduction_ratio,0.843495002938369,ratio,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,false,true,false,false,false,false,free-flight-state-drift-dominates-residual,READY,all rows clear the residual-reduction threshold,drone-sim-core/src/main/java/com/tenicana/dronecraft/sim/PropellerArchiveRotorSpecRetuneAmbientCompressibilityDerateControlHookStateNormalizedPunchoutDiagnostic.java,summary,28 mps is the minimum reduction row
propeller_archive_rotor_spec_retune_ambient_compressibility_derate_control_hook_state_normalized_punchout_diagnostic_summary,all,all,all,all,max_held_observed_minus_free_flight_ratio,0.38808983526769,ratio,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,false,true,false,false,false,false,free-flight-state-drift-dominates-residual,READY,largest held minus free-flight observed thrust ratio,drone-sim-core/src/main/java/com/tenicana/dronecraft/sim/PropellerArchiveRotorSpecRetuneAmbientCompressibilityDerateControlHookStateNormalizedPunchoutDiagnostic.java,summary,static row changes most after normalization
propeller_archive_rotor_spec_retune_ambient_compressibility_derate_control_hook_state_normalized_punchout_diagnostic_summary,all,all,all,all,max_held_derated_propeller_thrust_scale_range,0.062930416087623,ratio,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,false,true,false,false,false,false,free-flight-state-drift-dominates-residual,READY,held per-rotor propeller-scale spread is bounded,drone-sim-core/src/main/java/com/tenicana/dronecraft/sim/PropellerArchiveRotorSpecRetuneAmbientCompressibilityDerateControlHookStateNormalizedPunchoutDiagnostic.java,summary,blackbox speed has the largest held propeller-scale range
propeller_archive_rotor_spec_retune_ambient_compressibility_derate_control_hook_state_normalized_punchout_diagnostic_summary,all,all,all,all,max_held_derated_advance_ratio_range,0.016271182725127,ratio,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,false,true,false,false,false,false,free-flight-state-drift-dominates-residual,READY,held per-rotor advance spread is bounded,drone-sim-core/src/main/java/com/tenicana/dronecraft/sim/PropellerArchiveRotorSpecRetuneAmbientCompressibilityDerateControlHookStateNormalizedPunchoutDiagnostic.java,summary,28 mps has the largest held advance range
propeller_archive_rotor_spec_retune_ambient_compressibility_derate_control_hook_state_normalized_punchout_diagnostic_summary,all,all,all,all,max_held_state_velocity_delta_mps,0.0,mps,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,false,true,false,false,false,false,free-flight-state-drift-dominates-residual,READY,held-state velocity split is zero by construction,drone-sim-core/src/main/java/com/tenicana/dronecraft/sim/PropellerArchiveRotorSpecRetuneAmbientCompressibilityDerateControlHookStateNormalizedPunchoutDiagnostic.java,summary,kinematic normalization is working
propeller_archive_rotor_spec_retune_ambient_compressibility_derate_control_hook_state_normalized_punchout_diagnostic_summary,all,all,all,all,blackbox_speed_held_observed_thrust_ratio,0.985255794300612,ratio,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,false,true,false,false,false,false,free-flight-state-drift-dominates-residual,READY,22 mps held observed thrust ratio,drone-sim-core/src/main/java/com/tenicana/dronecraft/sim/PropellerArchiveRotorSpecRetuneAmbientCompressibilityDerateControlHookStateNormalizedPunchoutDiagnostic.java,summary,blackbox-speed ratio rises well above contract ratio
propeller_archive_rotor_spec_retune_ambient_compressibility_derate_control_hook_state_normalized_punchout_diagnostic_summary,all,all,all,all,blackbox_speed_held_residual_thrust_deficit_ratio,0.005472892263486,ratio,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,false,true,false,false,false,false,free-flight-state-drift-dominates-residual,READY,22 mps held residual is below threshold,drone-sim-core/src/main/java/com/tenicana/dronecraft/sim/PropellerArchiveRotorSpecRetuneAmbientCompressibilityDerateControlHookStateNormalizedPunchoutDiagnostic.java,summary,free-flight residual was 0.042638060481762
propeller_archive_rotor_spec_retune_ambient_compressibility_derate_control_hook_state_normalized_punchout_diagnostic_summary,all,all,all,all,blackbox_speed_residual_reduction_ratio,0.87164302968642,ratio,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,false,true,false,false,false,false,free-flight-state-drift-dominates-residual,READY,22 mps residual reduction after held replay,drone-sim-core/src/main/java/com/tenicana/dronecraft/sim/PropellerArchiveRotorSpecRetuneAmbientCompressibilityDerateControlHookStateNormalizedPunchoutDiagnostic.java,summary,state normalization removes most of blackbox-speed residual
propeller_archive_rotor_spec_retune_ambient_compressibility_derate_control_hook_state_normalized_punchout_diagnostic_summary,all,all,all,all,fast_speed_held_observed_thrust_ratio,0.985463358507154,ratio,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,false,true,false,false,false,false,free-flight-state-drift-dominates-residual,READY,28 mps held observed thrust ratio,drone-sim-core/src/main/java/com/tenicana/dronecraft/sim/PropellerArchiveRotorSpecRetuneAmbientCompressibilityDerateControlHookStateNormalizedPunchoutDiagnostic.java,summary,fast speed still clears contract under held replay
propeller_archive_rotor_spec_retune_ambient_compressibility_derate_control_hook_state_normalized_punchout_diagnostic_summary,all,all,all,all,fast_speed_held_residual_thrust_deficit_ratio,0.007713856602243,ratio,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,false,true,false,false,false,false,free-flight-state-drift-dominates-residual,READY,28 mps held residual is below threshold,drone-sim-core/src/main/java/com/tenicana/dronecraft/sim/PropellerArchiveRotorSpecRetuneAmbientCompressibilityDerateControlHookStateNormalizedPunchoutDiagnostic.java,summary,free-flight residual was 0.049288244765788
propeller_archive_rotor_spec_retune_ambient_compressibility_derate_control_hook_state_normalized_punchout_diagnostic_summary,all,all,all,all,fast_speed_residual_reduction_ratio,0.843495002938369,ratio,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,false,true,false,false,false,false,free-flight-state-drift-dominates-residual,READY,28 mps residual reduction after held replay,drone-sim-core/src/main/java/com/tenicana/dronecraft/sim/PropellerArchiveRotorSpecRetuneAmbientCompressibilityDerateControlHookStateNormalizedPunchoutDiagnostic.java,summary,fast row still removes more than eighty percent of residual
propeller_archive_rotor_spec_retune_ambient_compressibility_derate_control_hook_state_normalized_punchout_diagnostic_summary,all,all,all,all,dominant_bucket,free-flight-state-drift-dominates-residual,text,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,true,true,false,false,false,false,free-flight-state-drift-dominates-residual,READY,dominant finding from held-state replay,drone-sim-core/src/main/java/com/tenicana/dronecraft/sim/PropellerArchiveRotorSpecRetuneAmbientCompressibilityDerateControlHookStateNormalizedPunchoutDiagnostic.java,summary,do not tune residual constants before using normalized harness
propeller_archive_rotor_spec_retune_ambient_compressibility_derate_control_hook_state_normalized_punchout_diagnostic_summary,all,all,all,all,next_required_action,use-state-normalized-punchout-harness-before-residual-thrust-tuning,text,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,true,true,false,false,false,false,free-flight-state-drift-dominates-residual,READY,state-normalized punchout harness should feed blackbox acceptance before residual tuning,drone-sim-core/src/main/java/com/tenicana/dronecraft/sim/PropellerArchiveRotorSpecRetuneAmbientCompressibilityDerateControlHookStateNormalizedPunchoutDiagnostic.java,summary,next sim lab task identified
propeller_archive_rotor_spec_retune_ambient_compressibility_derate_control_hook_state_normalized_punchout_diagnostic_summary,all,all,all,all,state_normalized_punchout_diagnostic_passed,true,bool,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,false,true,false,false,false,false,free-flight-state-drift-dominates-residual,READY,held-state residual gate passes without opening runtime coupling,drone-sim-core/src/main/java/com/tenicana/dronecraft/sim/PropellerArchiveRotorSpecRetuneAmbientCompressibilityDerateControlHookStateNormalizedPunchoutDiagnostic.java,summary,lab evidence only
propeller_archive_rotor_spec_retune_ambient_compressibility_derate_control_hook_state_normalized_punchout_diagnostic_summary,all,all,all,all,runtime_coupling_allowed,false,bool,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,false,true,false,false,false,false,free-flight-state-drift-dominates-residual,READY,runtime coupling remains closed after held-state diagnostic,drone-sim-core/src/main/java/com/tenicana/dronecraft/sim/PropellerArchiveRotorSpecRetuneAmbientCompressibilityDerateControlHookStateNormalizedPunchoutDiagnostic.java,summary,playable handoff still requires reviewed compact reference path
propeller_archive_rotor_spec_retune_ambient_compressibility_derate_control_hook_state_normalized_punchout_diagnostic_method,all,all,all,all,method,neutral-vs-derated-held-kinematics-peak-punchout,text,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,false,false,false,false,false,false,NA,READY,each step holds position velocity orientation and angular velocity while preserving motor ESC and rotor dynamic states,drone-sim-core/src/main/java/com/tenicana/dronecraft/sim/PropellerArchiveRotorSpecRetuneAmbientCompressibilityDerateControlHookStateNormalizedPunchoutDiagnostic.java,method,isolates free-flight kinematic drift from residual thrust model tuning
