preset,sensor,source,gyro_noise_dps_sqrt_hz,accel_noise_ug_sqrt_hz,gyro_lpf_hz,accel_lpf_hz,gyro_enbw_hz,accel_enbw_hz,sensor_gyro_rms_rad_s,sensor_accel_rms_m_s2,configured_gyro_noise_rad_s,configured_accel_noise_m_s2,configured_over_sensor_gyro,configured_over_sensor_accel,gyro_equivalent_white_noise_bandwidth_hz,accel_equivalent_white_noise_bandwidth_hz,gyro_equivalent_one_pole_cutoff_hz,accel_equivalent_one_pole_cutoff_hz
heavyLift,BMI270,https://www.bosch-sensortec.com/media/boschsensortec/downloads/datasheets/bst-bmi270-ds000.pdf,0.008,160.0,70.0,45.0,109.95574287564276,70.68583470577035,0.0014641187861210512,0.013191884906949296,0.012,0.16,8.196056299360848,12.12866858137265,7386.314287526424,10398.211550100477,4702.273720360486,6619.707070054921
heavyLift,ICM-42688-P,https://invensense.tdk.com/en-us/products/6-axis/icm-42688-p,0.0028,70.0,70.0,45.0,109.95574287564276,70.68583470577035,0.000512441575142368,0.005771449646790317,0.012,0.16,23.417303712459564,27.72267104313749,60296.44316348101,54325.35013930046,38385.907921310085,34584.59203947061
hexLift,MPU-6000/MPU-6050,https://www.cdiweb.com/datasheets/invensense/mpu-6050_datasheet_v3%204.pdf,0.005,400.0,75.0,42.0,117.80972450961724,65.97344572538566,0.0009471918272702548,0.03186142902982875,0.014,0.14,14.780532936339927,4.394027646058552,25737.201784092074,1273.7809148873087,16384.811541167204,810.914116081728
hexLift,ICM-20602,https://bluerobotics.com/wp-content/uploads/2022/05/ICM20602-DATASHEET.pdf,0.004,100.0,75.0,42.0,117.80972450961724,65.97344572538566,0.0007577534618162038,0.007965357257457187,0.014,0.14,18.475666170424912,17.576110584234208,40214.37778764386,20380.49463819694,25601.268033073757,12974.625857307648
hexLift,BMI270,https://www.bosch-sensortec.com/media/boschsensortec/downloads/datasheets/bst-bmi270-ds000.pdf,0.008,160.0,75.0,42.0,117.80972450961724,65.97344572538566,0.0015155069236324076,0.012744571611931498,0.014,0.14,9.237833085212456,10.985069115146379,10053.594446910965,7961.130718045679,6400.317008268439,5068.2132255108
hexLift,ICM-42688-P,https://invensense.tdk.com/en-us/products/6-axis/icm-42688-p,0.0028,70.0,75.0,42.0,117.80972450961724,65.97344572538566,0.0005304274232713427,0.00557575008022003,0.014,0.14,26.39380881489273,25.10872940604887,82070.1587502936,41592.846200401924,52247.48578178318,26478.828280219695
octoLift,MPU-6000/MPU-6050,https://www.cdiweb.com/datasheets/invensense/mpu-6050_datasheet_v3%204.pdf,0.005,400.0,70.0,38.0,109.95574287564276,59.690260418206066,0.000915074241325657,0.030306264114892047,0.014,0.14,15.29930509214025,4.619507025651707,25737.201784092074,1273.7809148873087,16384.811541167204,810.914116081728
octoLift,ICM-20602,https://bluerobotics.com/wp-content/uploads/2022/05/ICM20602-DATASHEET.pdf,0.004,100.0,70.0,38.0,109.95574287564276,59.690260418206066,0.0007320593930605256,0.007576566028723012,0.014,0.14,19.124131365175312,18.478028102606828,40214.37778764386,20380.49463819694,25601.268033073757,12974.625857307648
octoLift,BMI270,https://www.bosch-sensortec.com/media/boschsensortec/downloads/datasheets/bst-bmi270-ds000.pdf,0.008,160.0,70.0,38.0,109.95574287564276,59.690260418206066,0.0014641187861210512,0.012122505645956818,0.014,0.14,9.562065682587656,11.548767564129268,10053.594446910965,7961.130718045679,6400.317008268439,5068.2132255108
octoLift,ICM-42688-P,https://invensense.tdk.com/en-us/products/6-axis/icm-42688-p,0.0028,70.0,70.0,38.0,109.95574287564276,59.690260418206066,0.000512441575142368,0.005303596220106108,0.014,0.14,27.32018766453616,26.39718300372404,82070.1587502936,41592.846200401924,52247.48578178318,26478.828280219695
coaxialX8,MPU-6000/MPU-6050,https://www.cdiweb.com/datasheets/invensense/mpu-6050_datasheet_v3%204.pdf,0.005,400.0,70.0,38.0,109.95574287564276,59.690260418206066,0.000915074241325657,0.030306264114892047,0.014,0.14,15.29930509214025,4.619507025651707,25737.201784092074,1273.7809148873087,16384.811541167204,810.914116081728
coaxialX8,ICM-20602,https://bluerobotics.com/wp-content/uploads/2022/05/ICM20602-DATASHEET.pdf,0.004,100.0,70.0,38.0,109.95574287564276,59.690260418206066,0.0007320593930605256,0.007576566028723012,0.014,0.14,19.124131365175312,18.478028102606828,40214.37778764386,20380.49463819694,25601.268033073757,12974.625857307648
coaxialX8,BMI270,https://www.bosch-sensortec.com/media/boschsensortec/downloads/datasheets/bst-bmi270-ds000.pdf,0.008,160.0,70.0,38.0,109.95574287564276,59.690260418206066,0.0014641187861210512,0.012122505645956818,0.014,0.14,9.562065682587656,11.548767564129268,10053.594446910965,7961.130718045679,6400.317008268439,5068.2132255108
coaxialX8,ICM-42688-P,https://invensense.tdk.com/en-us/products/6-axis/icm-42688-p,0.0028,70.0,70.0,38.0,109.95574287564276,59.690260418206066,0.000512441575142368,0.005303596220106108,0.014,0.14,27.32018766453616,26.39718300372404,82070.1587502936,41592.846200401924,52247.48578178318,26478.828280219695
