row_type,propeller,filename,source_url,apc_title,software_version,simulation_date,diameter_in,pitch_in,pitch_to_diameter,blade_count,role,rpm,speed_mph,speed_m_s,j,code_mu_equivalent_j_over_pi,efficiency_pe,ct,cp,power_hp,torque_in_lbf,thrust_lbf,power_w,torque_n_m,thrust_n,thrust_g_per_w,mach_tip,reynolds_75,figure_of_merit,same_rpm_static_ct,same_rpm_static_cp,ct_over_same_rpm_static_ct,cp_over_same_rpm_static_cp,q_over_t_over_same_rpm_static_q_over_t
apc_performance_point,APC_5x4.5E,PER3_5x45E.dat,https://www.apcprop.com/files/PER3_5x45E.dat,5x4.5E                   (5x45E.dat),v2022-0915,09/22/2022,5.0,4.5,0.9,2,5-inch moderate-pitch axial reference,1000,1.66,0.7420863999999999,0.3502,0.1114721221415635,0.3695,0.1615,0.1531,0.0,0.002,0.003,0.029,0.0,0.014,50.827,0.02,4805.0,0.3383,0.1888,0.1456,0.8554025423728814,1.051510989010989,1.2292586670295649
apc_performance_point,APC_5x4.5E,PER3_5x45E.dat,https://www.apcprop.com/files/PER3_5x45E.dat,5x4.5E                   (5x45E.dat),v2022-0915,09/22/2022,5.0,4.5,0.9,2,5-inch moderate-pitch axial reference,1000,1.82,0.8136128,0.3852,0.12261296815799616,0.3968,0.1571,0.1526,0.0,0.002,0.003,0.029,0.0,0.014,49.619,0.02,4818.0,0.3258,0.1888,0.1456,0.8320974576271186,1.0480769230769231,1.2595602996621458
apc_performance_point,APC_5x4.5E,PER3_5x45E.dat,https://www.apcprop.com/files/PER3_5x45E.dat,5x4.5E                   (5x45E.dat),v2022-0915,09/22/2022,5.0,4.5,0.9,2,5-inch moderate-pitch axial reference,1000,1.99,0.8896096,0.4203,0.13378564516304722,0.4222,0.1523,0.1516,0.0,0.002,0.003,0.028,0.0,0.013,48.402,0.02,4833.0,0.3129,0.1888,0.1456,0.8066737288135593,1.0412087912087913,1.2907433997388036
apc_performance_point,APC_5x4.5E,PER3_5x45E.dat,https://www.apcprop.com/files/PER3_5x45E.dat,5x4.5E                   (5x45E.dat),v2022-0915,09/22/2022,5.0,4.5,0.9,2,5-inch moderate-pitch axial reference,1000,2.16,0.9656064000000001,0.4553,0.1449264911794799,0.4458,0.1471,0.1502,0.0,0.002,0.003,0.028,0.0,0.013,47.171,0.02,4848.0,0.2996,0.1888,0.1456,0.7791313559322035,1.0315934065934065,1.324030150678689
apc_performance_point,APC_5x4.5E,PER3_5x45E.dat,https://www.apcprop.com/files/PER3_5x45E.dat,5x4.5E                   (5x45E.dat),v2022-0915,09/22/2022,5.0,4.5,0.9,2,5-inch moderate-pitch axial reference,1000,2.32,1.0371328,0.4903,0.15606733719591256,0.4673,0.1414,0.1484,0.0,0.002,0.003,0.028,0.0,0.013,45.918,0.02,4864.0,0.286,0.1888,0.1456,0.7489406779661018,1.0192307692307692,1.3608965292133608
apc_performance_point,APC_5x4.5E,PER3_5x45E.dat,https://www.apcprop.com/files/PER3_5x45E.dat,5x4.5E                   (5x45E.dat),v2022-0915,09/22/2022,5.0,4.5,0.9,2,5-inch moderate-pitch axial reference,1000,2.49,1.1131296000000002,0.5253,0.16720818321234523,0.4867,0.1352,0.146,0.0,0.002,0.003,0.027,0.0,0.012,44.63,0.02,4881.0,0.2718,0.1888,0.1456,0.7161016949152542,1.0027472527472527,1.4002861044281163
apc_performance_point,APC_5x4.5E,PER3_5x45E.dat,https://www.apcprop.com/files/PER3_5x45E.dat,5x4.5E                   (5x45E.dat),v2022-0915,09/22/2022,5.0,4.5,0.9,2,5-inch moderate-pitch axial reference,1000,2.65,1.184656,0.5604,0.1783808602173963,0.5036,0.1286,0.1431,0.0,0.002,0.003,0.027,0.0,0.011,43.294,0.02,4899.0,0.2571,0.1888,0.1456,0.6811440677966102,0.9828296703296703,1.4429101225368721
apc_performance_point,APC_5x4.5E,PER3_5x45E.dat,https://www.apcprop.com/files/PER3_5x45E.dat,5x4.5E                   (5x45E.dat),v2022-0915,09/22/2022,5.0,4.5,0.9,2,5-inch moderate-pitch axial reference,1000,2.82,1.2606528,0.5954,0.189521706233829,0.5177,0.1214,0.1396,0.0,0.002,0.002,0.026,0.0,0.011,41.89,0.02,4917.0,0.2417,0.1888,0.1456,0.6430084745762712,0.9587912087912087,1.4911019787461304
apc_performance_point,APC_5x4.5E,PER3_5x45E.dat,https://www.apcprop.com/files/PER3_5x45E.dat,5x4.5E                   (5x45E.dat),v2022-0915,09/22/2022,5.0,4.5,0.9,2,5-inch moderate-pitch axial reference,1000,2.98,1.3321792,0.6304,0.20066255225026164,0.5286,0.1137,0.1357,0.0,0.002,0.002,0.025,0.0,0.01,40.396,0.02,4936.0,0.2256,0.1888,0.1456,0.6022245762711864,0.9320054945054944,1.5476045502430724
apc_performance_point,APC_5x4.5E,PER3_5x45E.dat,https://www.apcprop.com/files/PER3_5x45E.dat,5x4.5E                   (5x45E.dat),v2022-0915,09/22/2022,5.0,4.5,0.9,2,5-inch moderate-pitch axial reference,1000,3.15,1.4081759999999999,0.6654,0.2118033982666943,0.5357,0.1057,0.1313,0.0,0.002,0.002,0.025,0.0,0.009,38.785,0.02,4956.0,0.2088,0.1888,0.1456,0.5598516949152542,0.9017857142857142,1.6107582105689957
apc_performance_point,APC_5x4.5E,PER3_5x45E.dat,https://www.apcprop.com/files/PER3_5x45E.dat,5x4.5E                   (5x45E.dat),v2022-0915,09/22/2022,5.0,4.5,0.9,2,5-inch moderate-pitch axial reference,1000,3.32,1.4841727999999998,0.7004,0.222944244283127,0.5383,0.0972,0.1265,0.0,0.002,0.002,0.024,0.0,0.009,37.027,0.02,4977.0,0.1912,0.1888,0.1456,0.5148305084745762,0.8688186813186812,1.6875819653597433
apc_performance_point,APC_5x4.5E,PER3_5x45E.dat,https://www.apcprop.com/files/PER3_5x45E.dat,5x4.5E                   (5x45E.dat),v2022-0915,09/22/2022,5.0,4.5,0.9,2,5-inch moderate-pitch axial reference,1000,3.48,1.5556992,0.7355,0.23411692128817807,0.5357,0.0884,0.1214,0.0,0.002,0.002,0.023,0.0,0.008,35.088,0.02,4998.0,0.1728,0.1888,0.1456,0.4682203389830509,0.8337912087912087,1.7807667445676492
apc_performance_point,APC_5x4.5E,PER3_5x45E.dat,https://www.apcprop.com/files/PER3_5x45E.dat,5x4.5E                   (5x45E.dat),v2022-0915,09/22/2022,5.0,4.5,0.9,2,5-inch moderate-pitch axial reference,1000,3.65,1.631696,0.7705,0.2452577673046107,0.5267,0.0794,0.1161,0.0,0.002,0.002,0.022,0.0,0.007,32.934,0.02,5021.0,0.1537,0.1888,0.1456,0.4205508474576271,0.7973901098901098,1.896061117723586
apc_performance_point,APC_5x4.5E,PER3_5x45E.dat,https://www.apcprop.com/files/PER3_5x45E.dat,5x4.5E                   (5x45E.dat),v2022-0915,09/22/2022,5.0,4.5,0.9,2,5-inch moderate-pitch axial reference,1000,3.81,1.7032224,0.8055,0.2563986133210434,0.5103,0.0701,0.1106,0.0,0.002,0.001,0.021,0.0,0.006,30.52,0.02,5043.0,0.1338,0.1888,0.1456,0.3712923728813559,0.7596153846153846,2.0458685394491387
apc_performance_point,APC_5x4.5E,PER3_5x45E.dat,https://www.apcprop.com/files/PER3_5x45E.dat,5x4.5E                   (5x45E.dat),v2022-0915,09/22/2022,5.0,4.5,0.9,2,5-inch moderate-pitch axial reference,1000,3.98,1.7792192,0.8405,0.2675394593374761,0.485,0.0605,0.1049,0.0,0.002,0.001,0.02,0.0,0.005,27.798,0.02,5067.0,0.1132,0.1888,0.1456,0.3204449152542373,0.7204670329670328,2.248333484697121
apc_performance_point,APC_5x4.5E,PER3_5x45E.dat,https://www.apcprop.com/files/PER3_5x45E.dat,5x4.5E                   (5x45E.dat),v2022-0915,09/22/2022,5.0,4.5,0.9,2,5-inch moderate-pitch axial reference,1000,4.15,1.8552160000000002,0.8756,0.2787121363425271,0.449,0.0508,0.099,0.0,0.002,0.001,0.019,0.0,0.004,24.706,0.02,5091.0,0.0922,0.1888,0.1456,0.2690677966101695,0.679945054945055,2.5270398892446138
apc_performance_point,APC_5x4.5E,PER3_5x45E.dat,https://www.apcprop.com/files/PER3_5x45E.dat,5x4.5E                   (5x45E.dat),v2022-0915,09/22/2022,5.0,4.5,0.9,2,5-inch moderate-pitch axial reference,1000,4.31,1.9267423999999997,0.9106,0.2898529823589598,0.4001,0.0408,0.0929,0.0,0.001,0.001,0.017,0.0,0.004,21.17,0.02,5116.0,0.0709,0.1888,0.1456,0.21610169491525424,0.6380494505494505,2.9525425554837317
apc_performance_point,APC_5x4.5E,PER3_5x45E.dat,https://www.apcprop.com/files/PER3_5x45E.dat,5x4.5E                   (5x45E.dat),v2022-0915,09/22/2022,5.0,4.5,0.9,2,5-inch moderate-pitch axial reference,1000,4.48,2.0027392,0.9456,0.30099382837539246,0.3355,0.0308,0.0868,0.0,0.001,0.001,0.016,0.0,0.003,17.094,0.02,5142.0,0.0497,0.1888,0.1456,0.163135593220339,0.5961538461538461,3.6543456543456543
apc_performance_point,APC_5x4.5E,PER3_5x45E.dat,https://www.apcprop.com/files/PER3_5x45E.dat,5x4.5E                   (5x45E.dat),v2022-0915,09/22/2022,5.0,4.5,0.9,2,5-inch moderate-pitch axial reference,1000,4.64,2.0742656,0.9806,0.31213467439182513,0.2515,0.0206,0.0805,0.0,0.001,0.0,0.015,0.0,0.002,12.354,0.02,5168.0,0.0294,0.1888,0.1456,0.10911016949152542,0.5528846153846154,5.067214339058999
apc_performance_point,APC_5x4.5E,PER3_5x45E.dat,https://www.apcprop.com/files/PER3_5x45E.dat,5x4.5E                   (5x45E.dat),v2022-0915,09/22/2022,5.0,4.5,0.9,2,5-inch moderate-pitch axial reference,1000,4.81,2.1502624,1.0156,0.32327552040825785,0.1432,0.0104,0.0741,0.0,0.001,0.0,0.014,0.0,0.001,6.791,0.02,5195.0,0.0115,0.1888,0.1456,0.05508474576271186,0.5089285714285714,9.239010989010989
apc_performance_point,APC_5x4.5E,PER3_5x45E.dat,https://www.apcprop.com/files/PER3_5x45E.dat,5x4.5E                   (5x45E.dat),v2022-0915,09/22/2022,5.0,4.5,0.9,2,5-inch moderate-pitch axial reference,2000,0.0,0.0,0.0,0.0,0.0,0.19,0.1314,0.0,0.008,0.015,0.197,0.001,0.067,34.824,0.04,9423.0,0.5029,0.19,0.1314,1.0,1.0,1.0
apc_performance_point,APC_5x4.5E,PER3_5x45E.dat,https://www.apcprop.com/files/PER3_5x45E.dat,5x4.5E                   (5x45E.dat),v2022-0915,09/22/2022,5.0,4.5,0.9,2,5-inch moderate-pitch axial reference,2000,0.34,0.1519936,0.0364,0.01158647985708998,0.0515,0.1882,0.1329,0.0,0.008,0.015,0.199,0.001,0.067,34.129,0.04,9435.0,0.4905,0.19,0.1314,0.9905263157894737,1.0114155251141552,1.0210889998495722
apc_performance_point,APC_5x4.5E,PER3_5x45E.dat,https://www.apcprop.com/files/PER3_5x45E.dat,5x4.5E                   (5x45E.dat),v2022-0915,09/22/2022,5.0,4.5,0.9,2,5-inch moderate-pitch axial reference,2000,0.69,0.3084576,0.0727,0.023141128725561583,0.1009,0.1863,0.1343,0.0,0.009,0.015,0.201,0.001,0.066,33.42,0.04,9450.0,0.4778,0.19,0.1314,0.9805263157894737,1.0220700152207003,1.0423687755874025
apc_performance_point,APC_5x4.5E,PER3_5x45E.dat,https://www.apcprop.com/files/PER3_5x45E.dat,5x4.5E                   (5x45E.dat),v2022-0915,09/22/2022,5.0,4.5,0.9,2,5-inch moderate-pitch axial reference,2000,1.03,0.4604512,0.1091,0.034727608582651566,0.148,0.1842,0.1357,0.0,0.009,0.015,0.204,0.001,0.065,32.701,0.04,9465.0,0.4648,0.19,0.1314,0.9694736842105263,1.0327245053272451,1.0652424322050844
apc_performance_point,APC_5x4.5E,PER3_5x45E.dat,https://www.apcprop.com/files/PER3_5x45E.dat,5x4.5E                   (5x45E.dat),v2022-0915,09/22/2022,5.0,4.5,0.9,2,5-inch moderate-pitch axial reference,2000,1.38,0.6169152,0.1454,0.04628225745112317,0.193,0.1818,0.137,0.0,0.009,0.014,0.205,0.001,0.064,31.973,0.04,9483.0,0.4516,0.19,0.1314,0.9568421052631578,1.0426179604261798,1.0896447331186698
apc_performance_point,APC_5x4.5E,PER3_5x45E.dat,https://www.apcprop.com/files/PER3_5x45E.dat,5x4.5E                   (5x45E.dat),v2022-0915,09/22/2022,5.0,4.5,0.9,2,5-inch moderate-pitch axial reference,2000,1.72,0.7689088,0.1818,0.057868737308213146,0.2357,0.1792,0.1382,0.0,0.009,0.014,0.207,0.001,0.064,31.242,0.04,9501.0,0.4381,0.19,0.1314,0.9431578947368421,1.051750380517504,1.1151371222004784
apc_performance_point,APC_5x4.5E,PER3_5x45E.dat,https://www.apcprop.com/files/PER3_5x45E.dat,5x4.5E                   (5x45E.dat),v2022-0915,09/22/2022,5.0,4.5,0.9,2,5-inch moderate-pitch axial reference,2000,2.07,0.9253727999999999,0.2181,0.06942338617668474,0.2763,0.1764,0.1393,0.0,0.009,0.014,0.209,0.001,0.063,30.509,0.04,9522.0,0.4244,0.19,0.1314,0.9284210526315789,1.0601217656012178,1.1418545094344184
apc_performance_point,APC_5x4.5E,PER3_5x45E.dat,https://www.apcprop.com/files/PER3_5x45E.dat,5x4.5E                   (5x45E.dat),v2022-0915,09/22/2022,5.0,4.5,0.9,2,5-inch moderate-pitch axial reference,2000,2.41,1.0773664,0.2545,0.08100986603377473,0.3146,0.1732,0.1401,0.0,0.009,0.014,0.21,0.001,0.061,29.777,0.04,9543.0,0.4105,0.19,0.1314,0.911578947368421,1.0662100456621006,1.169629957712466
apc_performance_point,APC_5x4.5E,PER3_5x45E.dat,https://www.apcprop.com/files/PER3_5x45E.dat,5x4.5E                   (5x45E.dat),v2022-0915,09/22/2022,5.0,4.5,0.9,2,5-inch moderate-pitch axial reference,2000,2.75,1.22936,0.2908,0.09256451490224633,0.3507,0.1697,0.1407,0.0,0.009,0.014,0.211,0.001,0.06,29.048,0.04,9567.0,0.3964,0.19,0.1314,0.893157894736842,1.0707762557077627,1.1988655779874775
apc_performance_point,APC_5x4.5E,PER3_5x45E.dat,https://www.apcprop.com/files/PER3_5x45E.dat,5x4.5E                   (5x45E.dat),v2022-0915,09/22/2022,5.0,4.5,0.9,2,5-inch moderate-pitch axial reference,2000,3.1,1.385824,0.3272,0.10415099475933631,0.3847,0.1659,0.1411,0.0,0.009,0.013,0.212,0.001,0.059,28.323,0.04,9593.0,0.3821,0.19,0.1314,0.873157894736842,1.073820395738204,1.2298123881269367
apc_performance_point,APC_5x4.5E,PER3_5x45E.dat,https://www.apcprop.com/files/PER3_5x45E.dat,5x4.5E                   (5x45E.dat),v2022-0915,09/22/2022,5.0,4.5,0.9,2,5-inch moderate-pitch axial reference,2000,3.44,1.5378176,0.3635,0.11570564362780791,0.4166,0.1616,0.141,0.0,0.009,0.013,0.212,0.001,0.057,27.604,0.04,9620.0,0.3676,0.19,0.1314,0.8505263157894737,1.0730593607305936,1.2616415751164158
apc_performance_point,APC_5x4.5E,PER3_5x45E.dat,https://www.apcprop.com/files/PER3_5x45E.dat,5x4.5E                   (5x45E.dat),v2022-0915,09/22/2022,5.0,4.5,0.9,2,5-inch moderate-pitch axial reference,2000,3.79,1.6942816,0.3999,0.12729212348489788,0.4464,0.1569,0.1406,0.0,0.009,0.013,0.211,0.001,0.056,26.889,0.04,9649.0,0.3528,0.19,0.1314,0.8257894736842106,1.0700152207001523,1.2957481958765387
apc_performance_point,APC_5x4.5E,PER3_5x45E.dat,https://www.apcprop.com/files/PER3_5x45E.dat,5x4.5E                   (5x45E.dat),v2022-0915,09/22/2022,5.0,4.5,0.9,2,5-inch moderate-pitch axial reference,2000,4.13,1.8462752,0.4362,0.13884677235336948,0.4741,0.1517,0.1396,0.0,0.009,0.012,0.209,0.001,0.054,26.178,0.04,9679.0,0.3378,0.19,0.1314,0.7984210526315789,1.0624048706240488,1.3306323363122563
apc_performance_point,APC_5x4.5E,PER3_5x45E.dat,https://www.apcprop.com/files/PER3_5x45E.dat,5x4.5E                   (5x45E.dat),v2022-0915,09/22/2022,5.0,4.5,0.9,2,5-inch moderate-pitch axial reference,2000,4.48,2.0027392,0.4726,0.15043325221045947,0.4996,0.1461,0.1382,0.0,0.009,0.012,0.207,0.001,0.052,25.466,0.04,9712.0,0.3224,0.19,0.1314,0.7689473684210527,1.051750380517504,1.367779413404009
apc_performance_point,APC_5x4.5E,PER3_5x45E.dat,https://www.apcprop.com/files/PER3_5x45E.dat,5x4.5E                   (5x45E.dat),v2022-0915,09/22/2022,5.0,4.5,0.9,2,5-inch moderate-pitch axial reference,2000,4.82,2.1547328,0.5089,0.16198790107893107,0.5229,0.1399,0.1362,0.0,0.009,0.011,0.204,0.001,0.05,24.751,0.04,9746.0,0.3067,0.19,0.1314,0.7363157894736841,1.0365296803652968,1.4077243693309964
apc_performance_point,APC_5x4.5E,PER3_5x45E.dat,https://www.apcprop.com/files/PER3_5x45E.dat,5x4.5E                   (5x45E.dat),v2022-0915,09/22/2022,5.0,4.5,0.9,2,5-inch moderate-pitch axial reference,2000,5.16,2.3067264,0.5453,0.17357438093602107,0.5439,0.1333,0.1336,0.0,0.008,0.011,0.2,0.001,0.047,24.025,0.04,9782.0,0.2905,0.19,0.1314,0.7015789473684211,1.0167427701674279,1.4492207526767538
apc_performance_point,APC_5x4.5E,PER3_5x45E.dat,https://www.apcprop.com/files/PER3_5x45E.dat,5x4.5E                   (5x45E.dat),v2022-0915,09/22/2022,5.0,4.5,0.9,2,5-inch moderate-pitch axial reference,2000,5.51,2.4631904,0.5816,0.18512902980449267,0.5621,0.126,0.1304,0.0,0.008,0.01,0.196,0.001,0.045,23.279,0.04,9819.0,0.2738,0.19,0.1314,0.6631578947368421,0.9923896499238964,1.496460583218574
apc_performance_point,APC_5x4.5E,PER3_5x45E.dat,https://www.apcprop.com/files/PER3_5x45E.dat,5x4.5E                   (5x45E.dat),v2022-0915,09/22/2022,5.0,4.5,0.9,2,5-inch moderate-pitch axial reference,2000,5.85,2.6151839999999997,0.618,0.19671550966158263,0.5774,0.1183,0.1266,0.0,0.008,0.009,0.19,0.001,0.042,22.504,0.04,9859.0,0.2564,0.19,0.1314,0.6226315789473684,0.9634703196347032,1.5474164051613999
apc_performance_point,APC_5x4.5E,PER3_5x45E.dat,https://www.apcprop.com/files/PER3_5x45E.dat,5x4.5E                   (5x45E.dat),v2022-0915,09/22/2022,5.0,4.5,0.9,2,5-inch moderate-pitch axial reference,2000,6.2,2.771648,0.6543,0.20827015853005423,0.5891,0.1101,0.1223,0.0,0.008,0.009,0.183,0.001,0.039,21.687,0.04,9900.0,0.2383,0.19,0.1314,0.5794736842105264,0.9307458143074583,1.6061916868157773
apc_performance_point,APC_5x4.5E,PER3_5x45E.dat,https://www.apcprop.com/files/PER3_5x45E.dat,5x4.5E                   (5x45E.dat),v2022-0915,09/22/2022,5.0,4.5,0.9,2,5-inch moderate-pitch axial reference,2000,6.54,2.9236416,0.6907,0.21985663838714423,0.5967,0.1014,0.1174,0.0,0.007,0.008,0.176,0.001,0.036,20.811,0.04,9942.0,0.2196,0.19,0.1314,0.5336842105263158,0.8934550989345511,1.6741269112185868
apc_performance_point,APC_5x4.5E,PER3_5x45E.dat,https://www.apcprop.com/files/PER3_5x45E.dat,5x4.5E                   (5x45E.dat),v2022-0915,09/22/2022,5.0,4.5,0.9,2,5-inch moderate-pitch axial reference,2000,6.88,3.0756352,0.727,0.23141128725561583,0.5994,0.0925,0.1121,0.0,0.007,0.007,0.168,0.001,0.033,19.86,0.04,9986.0,0.2,0.19,0.1314,0.4868421052631579,0.8531202435312025,1.7523550948208486
apc_performance_point,APC_5x4.5E,PER3_5x45E.dat,https://www.apcprop.com/files/PER3_5x45E.dat,5x4.5E                   (5x45E.dat),v2022-0915,09/22/2022,5.0,4.5,0.9,2,5-inch moderate-pitch axial reference,2000,7.23,3.2320992,0.7634,0.2429977671127058,0.5962,0.0832,0.1065,0.0,0.007,0.007,0.16,0.001,0.029,18.811,0.04,10032.0,0.1797,0.19,0.1314,0.4378947368421052,0.8105022831050229,1.850906656129259
apc_performance_point,APC_5x4.5E,PER3_5x45E.dat,https://www.apcprop.com/files/PER3_5x45E.dat,5x4.5E                   (5x45E.dat),v2022-0915,09/22/2022,5.0,4.5,0.9,2,5-inch moderate-pitch axial reference,2000,7.57,3.3840928,0.7997,0.2545524159811774,0.5857,0.0737,0.1006,0.0,0.006,0.006,0.151,0.001,0.026,17.64,0.04,10079.0,0.1586,0.19,0.1314,0.3878947368421053,0.7656012176560122,1.9737344824239123
apc_performance_point,APC_5x4.5E,PER3_5x45E.dat,https://www.apcprop.com/files/PER3_5x45E.dat,5x4.5E                   (5x45E.dat),v2022-0915,09/22/2022,5.0,4.5,0.9,2,5-inch moderate-pitch axial reference,2000,7.92,3.5405568,0.8361,0.2661388958382674,0.5663,0.0639,0.0943,0.0,0.006,0.005,0.142,0.001,0.023,16.316,0.04,10128.0,0.1366,0.19,0.1314,0.3363157894736842,0.7176560121765602,2.133875466565672
apc_performance_point,APC_5x4.5E,PER3_5x45E.dat,https://www.apcprop.com/files/PER3_5x45E.dat,5x4.5E                   (5x45E.dat),v2022-0915,09/22/2022,5.0,4.5,0.9,2,5-inch moderate-pitch axial reference,2000,8.26,3.6925504,0.8724,0.27769354470673896,0.5359,0.054,0.0878,0.0,0.006,0.004,0.132,0.001,0.019,14.796,0.04,10178.0,0.1138,0.19,0.1314,0.28421052631578947,0.6681887366818875,2.351034443880715
apc_performance_point,APC_5x4.5E,PER3_5x45E.dat,https://www.apcprop.com/files/PER3_5x45E.dat,5x4.5E                   (5x45E.dat),v2022-0915,09/22/2022,5.0,4.5,0.9,2,5-inch moderate-pitch axial reference,2000,8.61,3.8490143999999997,0.9088,0.289280024563829,0.4915,0.0439,0.0811,0.0,0.005,0.003,0.122,0.001,0.016,13.026,0.04,10230.0,0.0904,0.19,0.1314,0.23105263157894737,0.617199391171994,2.6712502123617052
apc_performance_point,APC_5x4.5E,PER3_5x45E.dat,https://www.apcprop.com/files/PER3_5x45E.dat,5x4.5E                   (5x45E.dat),v2022-0915,09/22/2022,5.0,4.5,0.9,2,5-inch moderate-pitch axial reference,2000,8.95,4.001008,0.9452,0.30086650442091895,0.4289,0.0336,0.0741,0.0,0.005,0.003,0.111,0.001,0.012,10.93,0.04,10283.0,0.0664,0.19,0.1314,0.17684210526315788,0.5639269406392694,3.188872580995869
