row_type,scenario,preset,ambient_case,ambient_sensitivity_accepted,metric,value,unit,ambient_temperature_c,speed_of_sound_m_s,speed_scale_vs_reference,candidate_hover_tip_mach,candidate_max_tip_mach,candidate_max_mach_margin,serious_loss_mach_margin,candidate_max_thrust_loss_percent,candidate_max_load_factor,candidate_max_reaction_torque_scale,candidate_max_vibration_proxy,max_tip_mach_within_budget,below_serious_loss_mach,candidate_impact_within_budget,compressibility_review_required,playable_reference_allowed,config_patch_allowed,runtime_coupling_allowed,gameplay_auto_apply_allowed,status,message,next_required_action,source_file,evidence_role,note
propeller_archive_rotor_spec_retune_ambient_compressibility_source,physical_budget_acceptance_gate,,,,source_description,PropellerArchiveRotorSpecRetunePhysicalBudgetAcceptanceGate,text,,,,,,,,,,,,,,,,,,,READY,source-audited,carry-accepted-physical-budget-rows,drone-sim-core/src/main/java/com/tenicana/dronecraft/sim/PropellerArchiveRotorSpecRetunePhysicalBudgetAcceptanceGate.java,physical_budget_source,only accepted rows enter ambient sensitivity
propeller_archive_rotor_spec_retune_ambient_compressibility_scenario,current_retune_validation_blocked,,,,ambient_sensitivity_accepted_count,0,count,,,,,,,,,,,,,,,,,,,BLOCKED,validation-run-not-planned,complete-upstream-validation-before-ambient-sensitivity,drone-sim-core/src/main/java/com/tenicana/dronecraft/sim/PropellerArchiveRotorSpecRetuneAmbientCompressibilitySensitivity.java,current_ambient_sensitivity,no accepted ambient rows
propeller_archive_rotor_spec_retune_ambient_compressibility_scenario,current_retune_validation_blocked,,,,impact_within_budget_count,0,count,,,,,,,,,,,,,,,,,,,BLOCKED,validation-run-not-planned,complete-upstream-validation-before-ambient-sensitivity,drone-sim-core/src/main/java/com/tenicana/dronecraft/sim/PropellerArchiveRotorSpecRetuneAmbientCompressibilitySensitivity.java,current_ambient_sensitivity,no impact rows
propeller_archive_rotor_spec_retune_ambient_compressibility_scenario,current_retune_validation_blocked,,,,compressibility_review_required_count,0,count,,,,,,,,,,,,,,,,,,,BLOCKED,validation-run-not-planned,complete-upstream-validation-before-ambient-sensitivity,drone-sim-core/src/main/java/com/tenicana/dronecraft/sim/PropellerArchiveRotorSpecRetuneAmbientCompressibilitySensitivity.java,current_ambient_sensitivity,no review rows
propeller_archive_rotor_spec_retune_ambient_compressibility_scenario,current_retune_validation_blocked,,,,max_candidate_max_tip_mach,0.0,Mach,,,,,,,,,,,,,,,,,,,BLOCKED,validation-run-not-planned,complete-upstream-validation-before-ambient-sensitivity,drone-sim-core/src/main/java/com/tenicana/dronecraft/sim/PropellerArchiveRotorSpecRetuneAmbientCompressibilitySensitivity.java,current_ambient_sensitivity,no candidate rows
propeller_archive_rotor_spec_retune_ambient_compressibility_scenario,current_retune_validation_blocked,,,,min_candidate_max_mach_margin,0.0,Mach,,,,,,,,,,,,,,,,,,,BLOCKED,validation-run-not-planned,complete-upstream-validation-before-ambient-sensitivity,drone-sim-core/src/main/java/com/tenicana/dronecraft/sim/PropellerArchiveRotorSpecRetuneAmbientCompressibilitySensitivity.java,current_ambient_sensitivity,no candidate rows
propeller_archive_rotor_spec_retune_ambient_compressibility_scenario,current_retune_validation_blocked,,,,max_candidate_max_thrust_loss_percent,0.0,percent,,,,,,,,,,,,,,,,,,,BLOCKED,validation-run-not-planned,complete-upstream-validation-before-ambient-sensitivity,drone-sim-core/src/main/java/com/tenicana/dronecraft/sim/PropellerArchiveRotorSpecRetuneAmbientCompressibilitySensitivity.java,current_ambient_sensitivity,no candidate rows
propeller_archive_rotor_spec_retune_ambient_compressibility_scenario,current_retune_validation_blocked,,,,max_candidate_max_vibration_proxy,0.0,ratio,,,,,,,,,,,,,,,,,,,BLOCKED,validation-run-not-planned,complete-upstream-validation-before-ambient-sensitivity,drone-sim-core/src/main/java/com/tenicana/dronecraft/sim/PropellerArchiveRotorSpecRetuneAmbientCompressibilitySensitivity.java,current_ambient_sensitivity,no candidate rows
propeller_archive_rotor_spec_retune_ambient_compressibility_scenario,current_retune_validation_blocked,,,,playable_reference_allowed_count,0,count,,,,,,,,,,,,,,,,,,,BLOCKED,validation-run-not-planned,complete-upstream-validation-before-ambient-sensitivity,drone-sim-core/src/main/java/com/tenicana/dronecraft/sim/PropellerArchiveRotorSpecRetuneAmbientCompressibilitySensitivity.java,current_ambient_sensitivity,playable reference remains closed
propeller_archive_rotor_spec_retune_ambient_compressibility_scenario,current_retune_validation_blocked,,,,config_patch_allowed_count,0,count,,,,,,,,,,,,,,,,,,,BLOCKED,validation-run-not-planned,complete-upstream-validation-before-ambient-sensitivity,drone-sim-core/src/main/java/com/tenicana/dronecraft/sim/PropellerArchiveRotorSpecRetuneAmbientCompressibilitySensitivity.java,current_ambient_sensitivity,config patch remains closed
propeller_archive_rotor_spec_retune_ambient_compressibility_scenario,current_retune_validation_blocked,,,,runtime_coupling_allowed_count,0,count,,,,,,,,,,,,,,,,,,,BLOCKED,validation-run-not-planned,complete-upstream-validation-before-ambient-sensitivity,drone-sim-core/src/main/java/com/tenicana/dronecraft/sim/PropellerArchiveRotorSpecRetuneAmbientCompressibilitySensitivity.java,current_ambient_sensitivity,runtime coupling remains closed
propeller_archive_rotor_spec_retune_ambient_compressibility_scenario,current_retune_validation_blocked,,,,gameplay_auto_apply_allowed_count,0,count,,,,,,,,,,,,,,,,,,,BLOCKED,validation-run-not-planned,complete-upstream-validation-before-ambient-sensitivity,drone-sim-core/src/main/java/com/tenicana/dronecraft/sim/PropellerArchiveRotorSpecRetuneAmbientCompressibilitySensitivity.java,current_ambient_sensitivity,gameplay auto apply remains closed
propeller_archive_rotor_spec_retune_ambient_compressibility_scenario,current_retune_validation_blocked,,,,status,BLOCKED,text,,,,,,,,,,,,,,,,,,,BLOCKED,validation-run-not-planned,complete-upstream-validation-before-ambient-sensitivity,drone-sim-core/src/main/java/com/tenicana/dronecraft/sim/PropellerArchiveRotorSpecRetuneAmbientCompressibilitySensitivity.java,current_ambient_sensitivity,blocked by upstream validation
propeller_archive_rotor_spec_retune_ambient_compressibility_scenario,current_retune_validation_blocked,,,,message,validation-run-not-planned,text,,,,,,,,,,,,,,,,,,,BLOCKED,validation-run-not-planned,complete-upstream-validation-before-ambient-sensitivity,drone-sim-core/src/main/java/com/tenicana/dronecraft/sim/PropellerArchiveRotorSpecRetuneAmbientCompressibilitySensitivity.java,current_ambient_sensitivity,upstream message propagated
propeller_archive_rotor_spec_retune_ambient_compressibility_scenario,synthetic_ready_validation_results_missing,,,,validation_acceptance_ready,false,boolean,,,,,,,,,,,,,,,,,,,BLOCKED,validation-result-set-incomplete,complete-upstream-validation-before-ambient-sensitivity,drone-sim-core/src/main/java/com/tenicana/dronecraft/sim/PropellerArchiveRotorSpecRetuneAmbientCompressibilitySensitivity.java,missing_results_ambient_sensitivity,validation results are incomplete
propeller_archive_rotor_spec_retune_ambient_compressibility_scenario,synthetic_ready_validation_results_missing,,,,physical_budget_available,false,boolean,,,,,,,,,,,,,,,,,,,BLOCKED,validation-result-set-incomplete,complete-upstream-validation-before-ambient-sensitivity,drone-sim-core/src/main/java/com/tenicana/dronecraft/sim/PropellerArchiveRotorSpecRetuneAmbientCompressibilitySensitivity.java,missing_results_ambient_sensitivity,no physical budget rows
propeller_archive_rotor_spec_retune_ambient_compressibility_scenario,synthetic_ready_validation_results_missing,,,,ambient_sensitivity_available,false,boolean,,,,,,,,,,,,,,,,,,,BLOCKED,validation-result-set-incomplete,complete-upstream-validation-before-ambient-sensitivity,drone-sim-core/src/main/java/com/tenicana/dronecraft/sim/PropellerArchiveRotorSpecRetuneAmbientCompressibilitySensitivity.java,missing_results_ambient_sensitivity,no ambient rows
propeller_archive_rotor_spec_retune_ambient_compressibility_scenario,synthetic_ready_validation_results_missing,,,,sensitivity_row_count,0,count,,,,,,,,,,,,,,,,,,,BLOCKED,validation-result-set-incomplete,complete-upstream-validation-before-ambient-sensitivity,drone-sim-core/src/main/java/com/tenicana/dronecraft/sim/PropellerArchiveRotorSpecRetuneAmbientCompressibilitySensitivity.java,missing_results_ambient_sensitivity,no ambient rows
propeller_archive_rotor_spec_retune_ambient_compressibility_scenario,synthetic_ready_validation_results_missing,,,,ambient_case_count,0,count,,,,,,,,,,,,,,,,,,,BLOCKED,validation-result-set-incomplete,complete-upstream-validation-before-ambient-sensitivity,drone-sim-core/src/main/java/com/tenicana/dronecraft/sim/PropellerArchiveRotorSpecRetuneAmbientCompressibilitySensitivity.java,missing_results_ambient_sensitivity,no ambient cases
propeller_archive_rotor_spec_retune_ambient_compressibility_scenario,synthetic_ready_validation_results_missing,,,,ambient_sensitivity_accepted_count,0,count,,,,,,,,,,,,,,,,,,,BLOCKED,validation-result-set-incomplete,complete-upstream-validation-before-ambient-sensitivity,drone-sim-core/src/main/java/com/tenicana/dronecraft/sim/PropellerArchiveRotorSpecRetuneAmbientCompressibilitySensitivity.java,missing_results_ambient_sensitivity,no accepted ambient rows
propeller_archive_rotor_spec_retune_ambient_compressibility_scenario,synthetic_ready_validation_results_missing,,,,impact_within_budget_count,0,count,,,,,,,,,,,,,,,,,,,BLOCKED,validation-result-set-incomplete,complete-upstream-validation-before-ambient-sensitivity,drone-sim-core/src/main/java/com/tenicana/dronecraft/sim/PropellerArchiveRotorSpecRetuneAmbientCompressibilitySensitivity.java,missing_results_ambient_sensitivity,no impact rows
propeller_archive_rotor_spec_retune_ambient_compressibility_scenario,synthetic_ready_validation_results_missing,,,,compressibility_review_required_count,0,count,,,,,,,,,,,,,,,,,,,BLOCKED,validation-result-set-incomplete,complete-upstream-validation-before-ambient-sensitivity,drone-sim-core/src/main/java/com/tenicana/dronecraft/sim/PropellerArchiveRotorSpecRetuneAmbientCompressibilitySensitivity.java,missing_results_ambient_sensitivity,no review rows
propeller_archive_rotor_spec_retune_ambient_compressibility_scenario,synthetic_ready_validation_results_missing,,,,max_candidate_max_tip_mach,0.0,Mach,,,,,,,,,,,,,,,,,,,BLOCKED,validation-result-set-incomplete,complete-upstream-validation-before-ambient-sensitivity,drone-sim-core/src/main/java/com/tenicana/dronecraft/sim/PropellerArchiveRotorSpecRetuneAmbientCompressibilitySensitivity.java,missing_results_ambient_sensitivity,no candidate rows
propeller_archive_rotor_spec_retune_ambient_compressibility_scenario,synthetic_ready_validation_results_missing,,,,min_candidate_max_mach_margin,0.0,Mach,,,,,,,,,,,,,,,,,,,BLOCKED,validation-result-set-incomplete,complete-upstream-validation-before-ambient-sensitivity,drone-sim-core/src/main/java/com/tenicana/dronecraft/sim/PropellerArchiveRotorSpecRetuneAmbientCompressibilitySensitivity.java,missing_results_ambient_sensitivity,no candidate rows
propeller_archive_rotor_spec_retune_ambient_compressibility_scenario,synthetic_ready_validation_results_missing,,,,max_candidate_max_thrust_loss_percent,0.0,percent,,,,,,,,,,,,,,,,,,,BLOCKED,validation-result-set-incomplete,complete-upstream-validation-before-ambient-sensitivity,drone-sim-core/src/main/java/com/tenicana/dronecraft/sim/PropellerArchiveRotorSpecRetuneAmbientCompressibilitySensitivity.java,missing_results_ambient_sensitivity,no candidate rows
propeller_archive_rotor_spec_retune_ambient_compressibility_scenario,synthetic_ready_validation_results_missing,,,,max_candidate_max_vibration_proxy,0.0,ratio,,,,,,,,,,,,,,,,,,,BLOCKED,validation-result-set-incomplete,complete-upstream-validation-before-ambient-sensitivity,drone-sim-core/src/main/java/com/tenicana/dronecraft/sim/PropellerArchiveRotorSpecRetuneAmbientCompressibilitySensitivity.java,missing_results_ambient_sensitivity,no candidate rows
propeller_archive_rotor_spec_retune_ambient_compressibility_scenario,synthetic_ready_validation_results_missing,,,,playable_reference_allowed_count,0,count,,,,,,,,,,,,,,,,,,,BLOCKED,validation-result-set-incomplete,complete-upstream-validation-before-ambient-sensitivity,drone-sim-core/src/main/java/com/tenicana/dronecraft/sim/PropellerArchiveRotorSpecRetuneAmbientCompressibilitySensitivity.java,missing_results_ambient_sensitivity,playable reference remains closed
propeller_archive_rotor_spec_retune_ambient_compressibility_scenario,synthetic_ready_validation_results_missing,,,,config_patch_allowed_count,0,count,,,,,,,,,,,,,,,,,,,BLOCKED,validation-result-set-incomplete,complete-upstream-validation-before-ambient-sensitivity,drone-sim-core/src/main/java/com/tenicana/dronecraft/sim/PropellerArchiveRotorSpecRetuneAmbientCompressibilitySensitivity.java,missing_results_ambient_sensitivity,config patch remains closed
propeller_archive_rotor_spec_retune_ambient_compressibility_scenario,synthetic_ready_validation_results_missing,,,,runtime_coupling_allowed_count,0,count,,,,,,,,,,,,,,,,,,,BLOCKED,validation-result-set-incomplete,complete-upstream-validation-before-ambient-sensitivity,drone-sim-core/src/main/java/com/tenicana/dronecraft/sim/PropellerArchiveRotorSpecRetuneAmbientCompressibilitySensitivity.java,missing_results_ambient_sensitivity,runtime coupling remains closed
propeller_archive_rotor_spec_retune_ambient_compressibility_scenario,synthetic_ready_validation_results_missing,,,,gameplay_auto_apply_allowed_count,0,count,,,,,,,,,,,,,,,,,,,BLOCKED,validation-result-set-incomplete,complete-upstream-validation-before-ambient-sensitivity,drone-sim-core/src/main/java/com/tenicana/dronecraft/sim/PropellerArchiveRotorSpecRetuneAmbientCompressibilitySensitivity.java,missing_results_ambient_sensitivity,gameplay auto apply remains closed
propeller_archive_rotor_spec_retune_ambient_compressibility_scenario,synthetic_ready_validation_results_missing,,,,status,BLOCKED,text,,,,,,,,,,,,,,,,,,,BLOCKED,validation-result-set-incomplete,complete-upstream-validation-before-ambient-sensitivity,drone-sim-core/src/main/java/com/tenicana/dronecraft/sim/PropellerArchiveRotorSpecRetuneAmbientCompressibilitySensitivity.java,missing_results_ambient_sensitivity,blocked by missing validation results
propeller_archive_rotor_spec_retune_ambient_compressibility_scenario,synthetic_ready_validation_results_missing,,,,message,validation-result-set-incomplete,text,,,,,,,,,,,,,,,,,,,BLOCKED,validation-result-set-incomplete,complete-upstream-validation-before-ambient-sensitivity,drone-sim-core/src/main/java/com/tenicana/dronecraft/sim/PropellerArchiveRotorSpecRetuneAmbientCompressibilitySensitivity.java,missing_results_ambient_sensitivity,upstream message propagated
propeller_archive_rotor_spec_retune_ambient_compressibility_scenario,synthetic_ready_validation_all_pass,,,,validation_acceptance_ready,true,boolean,,,,,,,,,,,,,,,,,,,PENDING_REVIEW,cold-air-compressibility-impact-exceeds-budget,resolve-cold-air-compressibility-review-before-reference-export,drone-sim-core/src/main/java/com/tenicana/dronecraft/sim/PropellerArchiveRotorSpecRetuneAmbientCompressibilitySensitivity.java,all_pass_ambient_sensitivity,validation accepted
propeller_archive_rotor_spec_retune_ambient_compressibility_scenario,synthetic_ready_validation_all_pass,,,,physical_budget_available,true,boolean,,,,,,,,,,,,,,,,,,,PENDING_REVIEW,cold-air-compressibility-impact-exceeds-budget,resolve-cold-air-compressibility-review-before-reference-export,drone-sim-core/src/main/java/com/tenicana/dronecraft/sim/PropellerArchiveRotorSpecRetuneAmbientCompressibilitySensitivity.java,all_pass_ambient_sensitivity,physical budget rows are available
propeller_archive_rotor_spec_retune_ambient_compressibility_scenario,synthetic_ready_validation_all_pass,,,,ambient_sensitivity_available,true,boolean,,,,,,,,,,,,,,,,,,,PENDING_REVIEW,cold-air-compressibility-impact-exceeds-budget,resolve-cold-air-compressibility-review-before-reference-export,drone-sim-core/src/main/java/com/tenicana/dronecraft/sim/PropellerArchiveRotorSpecRetuneAmbientCompressibilitySensitivity.java,all_pass_ambient_sensitivity,cold reference and hot cases evaluated
propeller_archive_rotor_spec_retune_ambient_compressibility_scenario,synthetic_ready_validation_all_pass,,,,sensitivity_row_count,6,count,,,,,,,,,,,,,,,,,,,PENDING_REVIEW,cold-air-compressibility-impact-exceeds-budget,resolve-cold-air-compressibility-review-before-reference-export,drone-sim-core/src/main/java/com/tenicana/dronecraft/sim/PropellerArchiveRotorSpecRetuneAmbientCompressibilitySensitivity.java,all_pass_ambient_sensitivity,two presets times three ambient cases
propeller_archive_rotor_spec_retune_ambient_compressibility_scenario,synthetic_ready_validation_all_pass,,,,ambient_case_count,3,count,,,,,,,,,,,,,,,,,,,PENDING_REVIEW,cold-air-compressibility-impact-exceeds-budget,resolve-cold-air-compressibility-review-before-reference-export,drone-sim-core/src/main/java/com/tenicana/dronecraft/sim/PropellerArchiveRotorSpecRetuneAmbientCompressibilitySensitivity.java,all_pass_ambient_sensitivity,cold reference and hot cases
propeller_archive_rotor_spec_retune_ambient_compressibility_scenario,synthetic_ready_validation_all_pass,,,,ambient_sensitivity_accepted_count,4,count,,,,,,,,,,,,,,,,,,,PENDING_REVIEW,cold-air-compressibility-impact-exceeds-budget,resolve-cold-air-compressibility-review-before-reference-export,drone-sim-core/src/main/java/com/tenicana/dronecraft/sim/PropellerArchiveRotorSpecRetuneAmbientCompressibilitySensitivity.java,all_pass_ambient_sensitivity,reference and hot rows remain inside impact budget
propeller_archive_rotor_spec_retune_ambient_compressibility_scenario,synthetic_ready_validation_all_pass,,,,impact_within_budget_count,4,count,,,,,,,,,,,,,,,,,,,PENDING_REVIEW,cold-air-compressibility-impact-exceeds-budget,resolve-cold-air-compressibility-review-before-reference-export,drone-sim-core/src/main/java/com/tenicana/dronecraft/sim/PropellerArchiveRotorSpecRetuneAmbientCompressibilitySensitivity.java,all_pass_ambient_sensitivity,cold rows exceed impact budget
propeller_archive_rotor_spec_retune_ambient_compressibility_scenario,synthetic_ready_validation_all_pass,,,,compressibility_review_required_count,6,count,,,,,,,,,,,,,,,,,,,PENDING_REVIEW,cold-air-compressibility-impact-exceeds-budget,resolve-cold-air-compressibility-review-before-reference-export,drone-sim-core/src/main/java/com/tenicana/dronecraft/sim/PropellerArchiveRotorSpecRetuneAmbientCompressibilitySensitivity.java,all_pass_ambient_sensitivity,all ambient max Mach values exceed onset
propeller_archive_rotor_spec_retune_ambient_compressibility_scenario,synthetic_ready_validation_all_pass,,,,max_candidate_max_tip_mach,0.6557591652396883,Mach,,,,,,,,,,,,,,,,,,,PENDING_REVIEW,cold-air-compressibility-impact-exceeds-budget,resolve-cold-air-compressibility-review-before-reference-export,drone-sim-core/src/main/java/com/tenicana/dronecraft/sim/PropellerArchiveRotorSpecRetuneAmbientCompressibilitySensitivity.java,all_pass_ambient_sensitivity,racingQuad cold case is limiting
propeller_archive_rotor_spec_retune_ambient_compressibility_scenario,synthetic_ready_validation_all_pass,,,,min_candidate_max_mach_margin,0.04424083476031165,Mach,,,,,,,,,,,,,,,,,,,PENDING_REVIEW,cold-air-compressibility-impact-exceeds-budget,resolve-cold-air-compressibility-review-before-reference-export,drone-sim-core/src/main/java/com/tenicana/dronecraft/sim/PropellerArchiveRotorSpecRetuneAmbientCompressibilitySensitivity.java,all_pass_ambient_sensitivity,cold case tightens margin to Mach 0.70
propeller_archive_rotor_spec_retune_ambient_compressibility_scenario,synthetic_ready_validation_all_pass,,,,max_candidate_max_thrust_loss_percent,11.309908309581662,percent,,,,,,,,,,,,,,,,,,,PENDING_REVIEW,cold-air-compressibility-impact-exceeds-budget,resolve-cold-air-compressibility-review-before-reference-export,drone-sim-core/src/main/java/com/tenicana/dronecraft/sim/PropellerArchiveRotorSpecRetuneAmbientCompressibilitySensitivity.java,all_pass_ambient_sensitivity,cold racingQuad exceeds 10 percent review budget
propeller_archive_rotor_spec_retune_ambient_compressibility_scenario,synthetic_ready_validation_all_pass,,,,max_candidate_max_vibration_proxy,0.12440899140539828,ratio,,,,,,,,,,,,,,,,,,,PENDING_REVIEW,cold-air-compressibility-impact-exceeds-budget,resolve-cold-air-compressibility-review-before-reference-export,drone-sim-core/src/main/java/com/tenicana/dronecraft/sim/PropellerArchiveRotorSpecRetuneAmbientCompressibilitySensitivity.java,all_pass_ambient_sensitivity,cold racingQuad exceeds vibration review budget
propeller_archive_rotor_spec_retune_ambient_compressibility_scenario,synthetic_ready_validation_all_pass,,,,playable_reference_allowed_count,0,count,,,,,,,,,,,,,,,,,,,PENDING_REVIEW,cold-air-compressibility-impact-exceeds-budget,resolve-cold-air-compressibility-review-before-reference-export,drone-sim-core/src/main/java/com/tenicana/dronecraft/sim/PropellerArchiveRotorSpecRetuneAmbientCompressibilitySensitivity.java,all_pass_ambient_sensitivity,playable reference remains closed
propeller_archive_rotor_spec_retune_ambient_compressibility_scenario,synthetic_ready_validation_all_pass,,,,config_patch_allowed_count,0,count,,,,,,,,,,,,,,,,,,,PENDING_REVIEW,cold-air-compressibility-impact-exceeds-budget,resolve-cold-air-compressibility-review-before-reference-export,drone-sim-core/src/main/java/com/tenicana/dronecraft/sim/PropellerArchiveRotorSpecRetuneAmbientCompressibilitySensitivity.java,all_pass_ambient_sensitivity,config patch remains closed
propeller_archive_rotor_spec_retune_ambient_compressibility_scenario,synthetic_ready_validation_all_pass,,,,runtime_coupling_allowed_count,0,count,,,,,,,,,,,,,,,,,,,PENDING_REVIEW,cold-air-compressibility-impact-exceeds-budget,resolve-cold-air-compressibility-review-before-reference-export,drone-sim-core/src/main/java/com/tenicana/dronecraft/sim/PropellerArchiveRotorSpecRetuneAmbientCompressibilitySensitivity.java,all_pass_ambient_sensitivity,runtime coupling remains closed
propeller_archive_rotor_spec_retune_ambient_compressibility_scenario,synthetic_ready_validation_all_pass,,,,gameplay_auto_apply_allowed_count,0,count,,,,,,,,,,,,,,,,,,,PENDING_REVIEW,cold-air-compressibility-impact-exceeds-budget,resolve-cold-air-compressibility-review-before-reference-export,drone-sim-core/src/main/java/com/tenicana/dronecraft/sim/PropellerArchiveRotorSpecRetuneAmbientCompressibilitySensitivity.java,all_pass_ambient_sensitivity,gameplay auto apply remains closed
propeller_archive_rotor_spec_retune_ambient_compressibility_scenario,synthetic_ready_validation_all_pass,,,,status,PENDING_REVIEW,text,,,,,,,,,,,,,,,,,,,PENDING_REVIEW,cold-air-compressibility-impact-exceeds-budget,resolve-cold-air-compressibility-review-before-reference-export,drone-sim-core/src/main/java/com/tenicana/dronecraft/sim/PropellerArchiveRotorSpecRetuneAmbientCompressibilitySensitivity.java,all_pass_ambient_sensitivity,ambient sensitivity blocks reference export
propeller_archive_rotor_spec_retune_ambient_compressibility_scenario,synthetic_ready_validation_all_pass,,,,message,cold-air-compressibility-impact-exceeds-budget,text,,,,,,,,,,,,,,,,,,,PENDING_REVIEW,cold-air-compressibility-impact-exceeds-budget,resolve-cold-air-compressibility-review-before-reference-export,drone-sim-core/src/main/java/com/tenicana/dronecraft/sim/PropellerArchiveRotorSpecRetuneAmbientCompressibilitySensitivity.java,all_pass_ambient_sensitivity,review cold-air impact before proceeding
propeller_archive_rotor_spec_retune_ambient_compressibility_scenario,synthetic_ready_validation_one_failed,,,,validation_acceptance_ready,false,boolean,,,,,,,,,,,,,,,,,,,BLOCKED,validation-result-failed,complete-upstream-validation-before-ambient-sensitivity,drone-sim-core/src/main/java/com/tenicana/dronecraft/sim/PropellerArchiveRotorSpecRetuneAmbientCompressibilitySensitivity.java,failed_ambient_sensitivity,validation result failed
