row_type,scenario,metric,value,unit,source_file,evidence_role,status,note
propeller_archive_rotor_spec_retune_ambient_compressibility_derate_control_hook_blackbox_acceptance_scenario,current_control_hook_blackbox_blocked,failed_result_count,0,count,drone-sim-core/src/main/java/com/tenicana/dronecraft/sim/PropellerArchiveRotorSpecRetuneAmbientCompressibilityDerateControlHookBlackboxAcceptanceGate.java,current_acceptance,READY,no current result rows fail
propeller_archive_rotor_spec_retune_ambient_compressibility_derate_control_hook_blackbox_acceptance_scenario,current_control_hook_blackbox_blocked,passed_result_count,8,count,drone-sim-core/src/main/java/com/tenicana/dronecraft/sim/PropellerArchiveRotorSpecRetuneAmbientCompressibilityDerateControlHookBlackboxAcceptanceGate.java,current_acceptance,READY,eight current result rows pass
propeller_archive_rotor_spec_retune_ambient_compressibility_derate_control_hook_blackbox_acceptance_scenario,current_control_hook_blackbox_blocked,blackbox_regression_acceptance_ready,true,boolean,drone-sim-core/src/main/java/com/tenicana/dronecraft/sim/PropellerArchiveRotorSpecRetuneAmbientCompressibilityDerateControlHookBlackboxAcceptanceGate.java,current_acceptance,READY,accepted for manual hook review
propeller_archive_rotor_spec_retune_ambient_compressibility_derate_control_hook_blackbox_acceptance_scenario,current_control_hook_blackbox_blocked,manual_control_hook_review_allowed,true,boolean,drone-sim-core/src/main/java/com/tenicana/dronecraft/sim/PropellerArchiveRotorSpecRetuneAmbientCompressibilityDerateControlHookBlackboxAcceptanceGate.java,current_acceptance,READY,manual hook review allowed
propeller_archive_rotor_spec_retune_ambient_compressibility_derate_control_hook_blackbox_acceptance_scenario,current_control_hook_blackbox_blocked,message,target-omega-blackbox-regression-accepted-for-manual-control-hook-review,text,drone-sim-core/src/main/java/com/tenicana/dronecraft/sim/PropellerArchiveRotorSpecRetuneAmbientCompressibilityDerateControlHookBlackboxAcceptanceGate.java,current_acceptance,READY,current target-omega hook result passes for manual review
propeller_archive_rotor_spec_retune_ambient_compressibility_derate_control_hook_blackbox_acceptance_scenario,synthetic_control_hook_blackbox_results_missing,planned_regression_run_count,8,count,drone-sim-core/src/main/java/com/tenicana/dronecraft/sim/PropellerArchiveRotorSpecRetuneAmbientCompressibilityDerateControlHookBlackboxAcceptanceGate.java,synthetic_missing_acceptance,BLOCKED,two presets each plan four regression cases
propeller_archive_rotor_spec_retune_ambient_compressibility_derate_control_hook_blackbox_acceptance_scenario,synthetic_control_hook_blackbox_results_missing,observed_result_count,0,count,drone-sim-core/src/main/java/com/tenicana/dronecraft/sim/PropellerArchiveRotorSpecRetuneAmbientCompressibilityDerateControlHookBlackboxAcceptanceGate.java,synthetic_missing_acceptance,BLOCKED,no blackbox result rows supplied
propeller_archive_rotor_spec_retune_ambient_compressibility_derate_control_hook_blackbox_acceptance_scenario,synthetic_control_hook_blackbox_results_missing,missing_result_count,8,count,drone-sim-core/src/main/java/com/tenicana/dronecraft/sim/PropellerArchiveRotorSpecRetuneAmbientCompressibilityDerateControlHookBlackboxAcceptanceGate.java,synthetic_missing_acceptance,BLOCKED,every planned row still needs a result
propeller_archive_rotor_spec_retune_ambient_compressibility_derate_control_hook_blackbox_acceptance_scenario,synthetic_control_hook_blackbox_results_missing,failed_result_count,0,count,drone-sim-core/src/main/java/com/tenicana/dronecraft/sim/PropellerArchiveRotorSpecRetuneAmbientCompressibilityDerateControlHookBlackboxAcceptanceGate.java,synthetic_missing_acceptance,BLOCKED,no results exist to fail
propeller_archive_rotor_spec_retune_ambient_compressibility_derate_control_hook_blackbox_acceptance_scenario,synthetic_control_hook_blackbox_results_missing,passed_result_count,0,count,drone-sim-core/src/main/java/com/tenicana/dronecraft/sim/PropellerArchiveRotorSpecRetuneAmbientCompressibilityDerateControlHookBlackboxAcceptanceGate.java,synthetic_missing_acceptance,BLOCKED,no results exist to pass
propeller_archive_rotor_spec_retune_ambient_compressibility_derate_control_hook_blackbox_acceptance_scenario,synthetic_control_hook_blackbox_results_missing,blackbox_regression_acceptance_ready,false,boolean,drone-sim-core/src/main/java/com/tenicana/dronecraft/sim/PropellerArchiveRotorSpecRetuneAmbientCompressibilityDerateControlHookBlackboxAcceptanceGate.java,synthetic_missing_acceptance,BLOCKED,result set is incomplete
propeller_archive_rotor_spec_retune_ambient_compressibility_derate_control_hook_blackbox_acceptance_scenario,synthetic_control_hook_blackbox_results_missing,manual_control_hook_review_allowed,false,boolean,drone-sim-core/src/main/java/com/tenicana/dronecraft/sim/PropellerArchiveRotorSpecRetuneAmbientCompressibilityDerateControlHookBlackboxAcceptanceGate.java,synthetic_missing_acceptance,BLOCKED,manual hook review remains closed
propeller_archive_rotor_spec_retune_ambient_compressibility_derate_control_hook_blackbox_acceptance_scenario,synthetic_control_hook_blackbox_results_missing,message,blackbox-regression-result-set-incomplete,text,drone-sim-core/src/main/java/com/tenicana/dronecraft/sim/PropellerArchiveRotorSpecRetuneAmbientCompressibilityDerateControlHookBlackboxAcceptanceGate.java,synthetic_missing_acceptance,BLOCKED,planned blackbox rows require explicit results
propeller_archive_rotor_spec_retune_ambient_compressibility_derate_control_hook_blackbox_acceptance_scenario,synthetic_control_hook_blackbox_all_pass,planned_regression_run_count,8,count,drone-sim-core/src/main/java/com/tenicana/dronecraft/sim/PropellerArchiveRotorSpecRetuneAmbientCompressibilityDerateControlHookBlackboxAcceptanceGate.java,synthetic_all_pass_acceptance,READY,two presets each pass four regression cases
propeller_archive_rotor_spec_retune_ambient_compressibility_derate_control_hook_blackbox_acceptance_scenario,synthetic_control_hook_blackbox_all_pass,observed_result_count,8,count,drone-sim-core/src/main/java/com/tenicana/dronecraft/sim/PropellerArchiveRotorSpecRetuneAmbientCompressibilityDerateControlHookBlackboxAcceptanceGate.java,synthetic_all_pass_acceptance,READY,eight result rows supplied
propeller_archive_rotor_spec_retune_ambient_compressibility_derate_control_hook_blackbox_acceptance_scenario,synthetic_control_hook_blackbox_all_pass,missing_result_count,0,count,drone-sim-core/src/main/java/com/tenicana/dronecraft/sim/PropellerArchiveRotorSpecRetuneAmbientCompressibilityDerateControlHookBlackboxAcceptanceGate.java,synthetic_all_pass_acceptance,READY,no planned rows missing
propeller_archive_rotor_spec_retune_ambient_compressibility_derate_control_hook_blackbox_acceptance_scenario,synthetic_control_hook_blackbox_all_pass,failed_result_count,0,count,drone-sim-core/src/main/java/com/tenicana/dronecraft/sim/PropellerArchiveRotorSpecRetuneAmbientCompressibilityDerateControlHookBlackboxAcceptanceGate.java,synthetic_all_pass_acceptance,READY,no failed results
propeller_archive_rotor_spec_retune_ambient_compressibility_derate_control_hook_blackbox_acceptance_scenario,synthetic_control_hook_blackbox_all_pass,passed_result_count,8,count,drone-sim-core/src/main/java/com/tenicana/dronecraft/sim/PropellerArchiveRotorSpecRetuneAmbientCompressibilityDerateControlHookBlackboxAcceptanceGate.java,synthetic_all_pass_acceptance,READY,eight passing results
propeller_archive_rotor_spec_retune_ambient_compressibility_derate_control_hook_blackbox_acceptance_scenario,synthetic_control_hook_blackbox_all_pass,blackbox_regression_acceptance_ready,true,boolean,drone-sim-core/src/main/java/com/tenicana/dronecraft/sim/PropellerArchiveRotorSpecRetuneAmbientCompressibilityDerateControlHookBlackboxAcceptanceGate.java,synthetic_all_pass_acceptance,READY,accepted for manual control-hook review only
propeller_archive_rotor_spec_retune_ambient_compressibility_derate_control_hook_blackbox_acceptance_scenario,synthetic_control_hook_blackbox_all_pass,manual_control_hook_review_allowed,true,boolean,drone-sim-core/src/main/java/com/tenicana/dronecraft/sim/PropellerArchiveRotorSpecRetuneAmbientCompressibilityDerateControlHookBlackboxAcceptanceGate.java,synthetic_all_pass_acceptance,READY,manual review candidate only
propeller_archive_rotor_spec_retune_ambient_compressibility_derate_control_hook_blackbox_acceptance_scenario,synthetic_control_hook_blackbox_all_pass,message,target-omega-blackbox-regression-accepted-for-manual-control-hook-review,text,drone-sim-core/src/main/java/com/tenicana/dronecraft/sim/PropellerArchiveRotorSpecRetuneAmbientCompressibilityDerateControlHookBlackboxAcceptanceGate.java,synthetic_all_pass_acceptance,READY,runtime implementation remains closed
propeller_archive_rotor_spec_retune_ambient_compressibility_derate_control_hook_blackbox_acceptance_scenario,synthetic_control_hook_blackbox_one_failed,planned_regression_run_count,8,count,drone-sim-core/src/main/java/com/tenicana/dronecraft/sim/PropellerArchiveRotorSpecRetuneAmbientCompressibilityDerateControlHookBlackboxAcceptanceGate.java,synthetic_failed_acceptance,BLOCKED,two presets each plan four regression cases
propeller_archive_rotor_spec_retune_ambient_compressibility_derate_control_hook_blackbox_acceptance_scenario,synthetic_control_hook_blackbox_one_failed,observed_result_count,8,count,drone-sim-core/src/main/java/com/tenicana/dronecraft/sim/PropellerArchiveRotorSpecRetuneAmbientCompressibilityDerateControlHookBlackboxAcceptanceGate.java,synthetic_failed_acceptance,BLOCKED,eight result rows supplied
propeller_archive_rotor_spec_retune_ambient_compressibility_derate_control_hook_blackbox_acceptance_scenario,synthetic_control_hook_blackbox_one_failed,missing_result_count,0,count,drone-sim-core/src/main/java/com/tenicana/dronecraft/sim/PropellerArchiveRotorSpecRetuneAmbientCompressibilityDerateControlHookBlackboxAcceptanceGate.java,synthetic_failed_acceptance,BLOCKED,no planned rows missing
propeller_archive_rotor_spec_retune_ambient_compressibility_derate_control_hook_blackbox_acceptance_scenario,synthetic_control_hook_blackbox_one_failed,failed_result_count,1,count,drone-sim-core/src/main/java/com/tenicana/dronecraft/sim/PropellerArchiveRotorSpecRetuneAmbientCompressibilityDerateControlHookBlackboxAcceptanceGate.java,synthetic_failed_acceptance,BLOCKED,one regression result fails
propeller_archive_rotor_spec_retune_ambient_compressibility_derate_control_hook_blackbox_acceptance_scenario,synthetic_control_hook_blackbox_one_failed,passed_result_count,7,count,drone-sim-core/src/main/java/com/tenicana/dronecraft/sim/PropellerArchiveRotorSpecRetuneAmbientCompressibilityDerateControlHookBlackboxAcceptanceGate.java,synthetic_failed_acceptance,BLOCKED,seven results pass
propeller_archive_rotor_spec_retune_ambient_compressibility_derate_control_hook_blackbox_acceptance_scenario,synthetic_control_hook_blackbox_one_failed,blackbox_regression_acceptance_ready,false,boolean,drone-sim-core/src/main/java/com/tenicana/dronecraft/sim/PropellerArchiveRotorSpecRetuneAmbientCompressibilityDerateControlHookBlackboxAcceptanceGate.java,synthetic_failed_acceptance,BLOCKED,acceptance remains closed
propeller_archive_rotor_spec_retune_ambient_compressibility_derate_control_hook_blackbox_acceptance_scenario,synthetic_control_hook_blackbox_one_failed,manual_control_hook_review_allowed,false,boolean,drone-sim-core/src/main/java/com/tenicana/dronecraft/sim/PropellerArchiveRotorSpecRetuneAmbientCompressibilityDerateControlHookBlackboxAcceptanceGate.java,synthetic_failed_acceptance,BLOCKED,manual hook review remains closed
propeller_archive_rotor_spec_retune_ambient_compressibility_derate_control_hook_blackbox_acceptance_scenario,synthetic_control_hook_blackbox_one_failed,message,blackbox-regression-result-failed,text,drone-sim-core/src/main/java/com/tenicana/dronecraft/sim/PropellerArchiveRotorSpecRetuneAmbientCompressibilityDerateControlHookBlackboxAcceptanceGate.java,synthetic_failed_acceptance,BLOCKED,repair failed regression result
propeller_archive_rotor_spec_retune_ambient_compressibility_derate_control_hook_blackbox_acceptance_summary,all_scenarios,accepted_scenario_count,2,count,drone-sim-core/src/main/java/com/tenicana/dronecraft/sim/PropellerArchiveRotorSpecRetuneAmbientCompressibilityDerateControlHookBlackboxAcceptanceGate.java,summary,READY,current and synthetic all-pass scenarios accepted
propeller_archive_rotor_spec_retune_ambient_compressibility_derate_control_hook_blackbox_acceptance_summary,all_scenarios,manual_control_hook_review_allowed_scenario_count,2,count,drone-sim-core/src/main/java/com/tenicana/dronecraft/sim/PropellerArchiveRotorSpecRetuneAmbientCompressibilityDerateControlHookBlackboxAcceptanceGate.java,summary,READY,current and synthetic all-pass scenarios open manual hook review
propeller_archive_rotor_spec_retune_ambient_compressibility_derate_control_hook_blackbox_acceptance_summary,all_scenarios,max_planned_regression_run_count,8,count,drone-sim-core/src/main/java/com/tenicana/dronecraft/sim/PropellerArchiveRotorSpecRetuneAmbientCompressibilityDerateControlHookBlackboxAcceptanceGate.java,summary,READY,max planned runs
propeller_archive_rotor_spec_retune_ambient_compressibility_derate_control_hook_blackbox_acceptance_summary,all_scenarios,max_observed_result_count,8,count,drone-sim-core/src/main/java/com/tenicana/dronecraft/sim/PropellerArchiveRotorSpecRetuneAmbientCompressibilityDerateControlHookBlackboxAcceptanceGate.java,summary,READY,max observed results
propeller_archive_rotor_spec_retune_ambient_compressibility_derate_control_hook_blackbox_acceptance_summary,all_scenarios,max_missing_result_count,8,count,drone-sim-core/src/main/java/com/tenicana/dronecraft/sim/PropellerArchiveRotorSpecRetuneAmbientCompressibilityDerateControlHookBlackboxAcceptanceGate.java,summary,READY,max missing results
propeller_archive_rotor_spec_retune_ambient_compressibility_derate_control_hook_blackbox_acceptance_summary,all_scenarios,max_failed_result_count,1,count,drone-sim-core/src/main/java/com/tenicana/dronecraft/sim/PropellerArchiveRotorSpecRetuneAmbientCompressibilityDerateControlHookBlackboxAcceptanceGate.java,summary,READY,max failed results
propeller_archive_rotor_spec_retune_ambient_compressibility_derate_control_hook_blackbox_acceptance_summary,all_scenarios,runtime_coupling_allowed_scenario_count,0,count,drone-sim-core/src/main/java/com/tenicana/dronecraft/sim/PropellerArchiveRotorSpecRetuneAmbientCompressibilityDerateControlHookBlackboxAcceptanceGate.java,summary,READY,runtime coupling closed
propeller_archive_rotor_spec_retune_ambient_compressibility_derate_control_hook_blackbox_acceptance_summary,all_scenarios,gameplay_auto_apply_allowed_scenario_count,0,count,drone-sim-core/src/main/java/com/tenicana/dronecraft/sim/PropellerArchiveRotorSpecRetuneAmbientCompressibilityDerateControlHookBlackboxAcceptanceGate.java,summary,READY,gameplay auto apply closed
propeller_archive_rotor_spec_retune_ambient_compressibility_derate_control_hook_blackbox_acceptance_method,all_scenarios,method,cold-air-target-omega-blackbox-acceptance-gate,text,drone-sim-core/src/main/java/com/tenicana/dronecraft/sim/PropellerArchiveRotorSpecRetuneAmbientCompressibilityDerateControlHookBlackboxAcceptanceGate.java,method,READY,requires complete passing blackbox results before manual control-hook review and keeps runtime paths closed
