row_type,name,metric,value,unit,source_file,source_url,evidence_role,note,parameter_group,point,parameter,preset,johnson_parameter,ratio_over_vh,axis,hover_induced_velocity_m_s,descent_speed_m_s
vrs_johnson_packet_table4_parameter,vrs_N_Vplusv_N,Vplusv_N,0.85,vh,docs/data/raw/rotorcraft.arc.nasa.gov_Publications_files_Johnson_TP-2005-213477.pdf,https://rotorcraft.arc.nasa.gov/Publications/files/Johnson_TP-2005-213477.pdf,johnson_table4_parameter,Specified inflow value Vz+v at point N.,vrs,N,Vplusv_N,,,,,,
vrs_johnson_packet_table4_parameter,vrs_X_VzX,VzX,-1.5,vh,docs/data/raw/rotorcraft.arc.nasa.gov_Publications_files_Johnson_TP-2005-213477.pdf,https://rotorcraft.arc.nasa.gov/Publications/files/Johnson_TP-2005-213477.pdf,johnson_table4_parameter,Second zero-damping/stability-boundary point in vertical descent.,vrs,X,VzX,,,,,,
vrs_johnson_packet_table4_parameter,vrs_X_Vplusv_X,Vplusv_X,1.25,vh,docs/data/raw/rotorcraft.arc.nasa.gov_Publications_files_Johnson_TP-2005-213477.pdf,https://rotorcraft.arc.nasa.gov/Publications/files/Johnson_TP-2005-213477.pdf,johnson_table4_parameter,Specified inflow value Vz+v at point X.,vrs,X,Vplusv_X,,,,,,
vrs_johnson_packet_table4_parameter,vrs_E_VzE,VzE,-2,vh,docs/data/raw/rotorcraft.arc.nasa.gov_Publications_files_Johnson_TP-2005-213477.pdf,https://rotorcraft.arc.nasa.gov/Publications/files/Johnson_TP-2005-213477.pdf,johnson_table4_parameter,Lower VRS-model join to the baseline curve.,vrs,E,VzE,,,,,,
vrs_johnson_packet_table4_parameter,vrs_M_VxM,VxM,0.95,vh,docs/data/raw/rotorcraft.arc.nasa.gov_Publications_files_Johnson_TP-2005-213477.pdf,https://rotorcraft.arc.nasa.gov/Publications/files/Johnson_TP-2005-213477.pdf,johnson_table4_parameter,Forward-speed cutoff for applying the VRS increment.,vrs,M,VxM,,,,,,
vrs_johnson_packet_regime_boundary,johnson_table4_derived_boundaries,vrs_model_abs_descent_join_low,0.2,abs(Vz)/vh,docs/data/raw/rotorcraft.arc.nasa.gov_Publications_files_Johnson_TP-2005-213477.pdf,https://rotorcraft.arc.nasa.gov/Publications/files/Johnson_TP-2005-213477.pdf,johnson_regime_boundary,Point D upper join to VRS increment.,,,,,,,,,
vrs_johnson_packet_regime_boundary,johnson_table4_derived_boundaries,vrs_zero_damping_abs_descent_low,0.45,abs(Vz)/vh,docs/data/raw/rotorcraft.arc.nasa.gov_Publications_files_Johnson_TP-2005-213477.pdf,https://rotorcraft.arc.nasa.gov/Publications/files/Johnson_TP-2005-213477.pdf,johnson_regime_boundary,Point N lower zero-damping/stability-boundary value.,,,,,,,,,
vrs_johnson_packet_regime_boundary,johnson_table4_derived_boundaries,vrs_zero_damping_abs_descent_high,1.5,abs(Vz)/vh,docs/data/raw/rotorcraft.arc.nasa.gov_Publications_files_Johnson_TP-2005-213477.pdf,https://rotorcraft.arc.nasa.gov/Publications/files/Johnson_TP-2005-213477.pdf,johnson_regime_boundary,Point X upper zero-damping/stability-boundary value.,,,,,,,,,
vrs_johnson_packet_regime_boundary,johnson_table4_derived_boundaries,vrs_model_abs_descent_join_high,2,abs(Vz)/vh,docs/data/raw/rotorcraft.arc.nasa.gov_Publications_files_Johnson_TP-2005-213477.pdf,https://rotorcraft.arc.nasa.gov/Publications/files/Johnson_TP-2005-213477.pdf,johnson_regime_boundary,Point E lower join to VRS increment.,,,,,,,,,
vrs_johnson_packet_regime_boundary,johnson_table4_derived_boundaries,baseline_forward_cutoff,0.75,Vx/vh,docs/data/raw/rotorcraft.arc.nasa.gov_Publications_files_Johnson_TP-2005-213477.pdf,https://rotorcraft.arc.nasa.gov/Publications/files/Johnson_TP-2005-213477.pdf,johnson_regime_boundary,Point C baseline forward-speed cutoff.,,,,,,,,,
vrs_johnson_packet_regime_boundary,johnson_table4_derived_boundaries,vrs_forward_cutoff,0.95,Vx/vh,docs/data/raw/rotorcraft.arc.nasa.gov_Publications_files_Johnson_TP-2005-213477.pdf,https://rotorcraft.arc.nasa.gov/Publications/files/Johnson_TP-2005-213477.pdf,johnson_regime_boundary,Point M VRS increment forward-speed cutoff.,,,,,,,,,
vrs_johnson_packet_preset_boundary_speed,cinewhoop_D_join_upper,boundary_speed_m_s,2.89521330083,m/s,docs/data/vrs_propwash_reference.csv,https://rotorcraft.arc.nasa.gov/Publications/files/Johnson_TP-2005-213477.pdf,preset_boundary_conversion,"VRS-model upper join D, abs(Vz)/vh.",,,,cinewhoop,VzD,0.2,descent,14.4760665042,
vrs_johnson_packet_current_at_boundary,cinewhoop_D_join_upper,current_vrs_intensity_hover_spin_no_crossflow,0,fraction,docs/data/vrs_propwash_reference.csv,drone-sim-core/src/main/java/com/tenicana/dronecraft/sim/DronePhysics.java,current_model_at_johnson_boundary,Current VRS/propwash scan linearly interpolated at a NASA Johnson Table 4 descent boundary.,,,,cinewhoop,VzD,0.2,,,2.89521330083
vrs_johnson_packet_current_at_boundary,cinewhoop_D_join_upper,current_vrs_entry_component,0,fraction,docs/data/vrs_propwash_reference.csv,drone-sim-core/src/main/java/com/tenicana/dronecraft/sim/DronePhysics.java,current_model_at_johnson_boundary,Current VRS/propwash scan linearly interpolated at a NASA Johnson Table 4 descent boundary.,,,,cinewhoop,VzD,0.2,,,2.89521330083
vrs_johnson_packet_current_at_boundary,cinewhoop_D_join_upper,current_vrs_exit_component,1,fraction,docs/data/vrs_propwash_reference.csv,drone-sim-core/src/main/java/com/tenicana/dronecraft/sim/DronePhysics.java,current_model_at_johnson_boundary,Current VRS/propwash scan linearly interpolated at a NASA Johnson Table 4 descent boundary.,,,,cinewhoop,VzD,0.2,,,2.89521330083
vrs_johnson_packet_current_at_boundary,cinewhoop_D_join_upper,current_vrs_base_thrust_loss_percent_hover_spin,0,percent,docs/data/vrs_propwash_reference.csv,drone-sim-core/src/main/java/com/tenicana/dronecraft/sim/DronePhysics.java,current_model_at_johnson_boundary,Current VRS/propwash scan linearly interpolated at a NASA Johnson Table 4 descent boundary.,,,,cinewhoop,VzD,0.2,,,2.89521330083
vrs_johnson_packet_current_at_boundary,cinewhoop_D_join_upper,current_vrs_buffet_thrust_amplitude_percent_max_spin,0,percent,docs/data/vrs_propwash_reference.csv,drone-sim-core/src/main/java/com/tenicana/dronecraft/sim/DronePhysics.java,current_model_at_johnson_boundary,Current VRS/propwash scan linearly interpolated at a NASA Johnson Table 4 descent boundary.,,,,cinewhoop,VzD,0.2,,,2.89521330083
vrs_johnson_packet_current_at_boundary,cinewhoop_D_join_upper,current_propwash_descent_factor,0.475062735539,fraction,docs/data/vrs_propwash_reference.csv,drone-sim-core/src/main/java/com/tenicana/dronecraft/sim/DronePhysics.java,current_model_at_johnson_boundary,Current VRS/propwash scan linearly interpolated at a NASA Johnson Table 4 descent boundary.,,,,cinewhoop,VzD,0.2,,,2.89521330083
vrs_johnson_packet_preset_boundary_speed,cinewhoop_N_zero_damping_low,boundary_speed_m_s,6.51422992687,m/s,docs/data/vrs_propwash_reference.csv,https://rotorcraft.arc.nasa.gov/Publications/files/Johnson_TP-2005-213477.pdf,preset_boundary_conversion,"Lower zero-damping/stability-boundary point N, abs(Vz)/vh.",,,,cinewhoop,VzN,0.45,descent,14.4760665042,
vrs_johnson_packet_current_at_boundary,cinewhoop_N_zero_damping_low,current_vrs_intensity_hover_spin_no_crossflow,0,fraction,docs/data/vrs_propwash_reference.csv,drone-sim-core/src/main/java/com/tenicana/dronecraft/sim/DronePhysics.java,current_model_at_johnson_boundary,Current VRS/propwash scan linearly interpolated at a NASA Johnson Table 4 descent boundary.,,,,cinewhoop,VzN,0.45,,,6.51422992687
vrs_johnson_packet_current_at_boundary,cinewhoop_N_zero_damping_low,current_vrs_entry_component,0,fraction,docs/data/vrs_propwash_reference.csv,drone-sim-core/src/main/java/com/tenicana/dronecraft/sim/DronePhysics.java,current_model_at_johnson_boundary,Current VRS/propwash scan linearly interpolated at a NASA Johnson Table 4 descent boundary.,,,,cinewhoop,VzN,0.45,,,6.51422992687
vrs_johnson_packet_current_at_boundary,cinewhoop_N_zero_damping_low,current_vrs_exit_component,1,fraction,docs/data/vrs_propwash_reference.csv,drone-sim-core/src/main/java/com/tenicana/dronecraft/sim/DronePhysics.java,current_model_at_johnson_boundary,Current VRS/propwash scan linearly interpolated at a NASA Johnson Table 4 descent boundary.,,,,cinewhoop,VzN,0.45,,,6.51422992687
vrs_johnson_packet_current_at_boundary,cinewhoop_N_zero_damping_low,current_vrs_base_thrust_loss_percent_hover_spin,0,percent,docs/data/vrs_propwash_reference.csv,drone-sim-core/src/main/java/com/tenicana/dronecraft/sim/DronePhysics.java,current_model_at_johnson_boundary,Current VRS/propwash scan linearly interpolated at a NASA Johnson Table 4 descent boundary.,,,,cinewhoop,VzN,0.45,,,6.51422992687
vrs_johnson_packet_current_at_boundary,cinewhoop_N_zero_damping_low,current_vrs_buffet_thrust_amplitude_percent_max_spin,0,percent,docs/data/vrs_propwash_reference.csv,drone-sim-core/src/main/java/com/tenicana/dronecraft/sim/DronePhysics.java,current_model_at_johnson_boundary,Current VRS/propwash scan linearly interpolated at a NASA Johnson Table 4 descent boundary.,,,,cinewhoop,VzN,0.45,,,6.51422992687
vrs_johnson_packet_current_at_boundary,cinewhoop_N_zero_damping_low,current_propwash_descent_factor,1,fraction,docs/data/vrs_propwash_reference.csv,drone-sim-core/src/main/java/com/tenicana/dronecraft/sim/DronePhysics.java,current_model_at_johnson_boundary,Current VRS/propwash scan linearly interpolated at a NASA Johnson Table 4 descent boundary.,,,,cinewhoop,VzN,0.45,,,6.51422992687
vrs_johnson_packet_preset_boundary_speed,cinewhoop_X_zero_damping_high,boundary_speed_m_s,21.7140997562,m/s,docs/data/vrs_propwash_reference.csv,https://rotorcraft.arc.nasa.gov/Publications/files/Johnson_TP-2005-213477.pdf,preset_boundary_conversion,"Upper zero-damping/stability-boundary point X, abs(Vz)/vh.",,,,cinewhoop,VzX,1.5,descent,14.4760665042,
vrs_johnson_packet_current_at_boundary,cinewhoop_X_zero_damping_high,current_vrs_intensity_hover_spin_no_crossflow,0.66513527772,fraction,docs/data/vrs_propwash_reference.csv,drone-sim-core/src/main/java/com/tenicana/dronecraft/sim/DronePhysics.java,current_model_at_johnson_boundary,Current VRS/propwash scan linearly interpolated at a NASA Johnson Table 4 descent boundary.,,,,cinewhoop,VzX,1.5,,,21.7140997562
vrs_johnson_packet_current_at_boundary,cinewhoop_X_zero_damping_high,current_vrs_entry_component,1,fraction,docs/data/vrs_propwash_reference.csv,drone-sim-core/src/main/java/com/tenicana/dronecraft/sim/DronePhysics.java,current_model_at_johnson_boundary,Current VRS/propwash scan linearly interpolated at a NASA Johnson Table 4 descent boundary.,,,,cinewhoop,VzX,1.5,,,21.7140997562
vrs_johnson_packet_current_at_boundary,cinewhoop_X_zero_damping_high,current_vrs_exit_component,0.899039780521,fraction,docs/data/vrs_propwash_reference.csv,drone-sim-core/src/main/java/com/tenicana/dronecraft/sim/DronePhysics.java,current_model_at_johnson_boundary,Current VRS/propwash scan linearly interpolated at a NASA Johnson Table 4 descent boundary.,,,,cinewhoop,VzX,1.5,,,21.7140997562
vrs_johnson_packet_current_at_boundary,cinewhoop_X_zero_damping_high,current_vrs_base_thrust_loss_percent_hover_spin,21.9494641648,percent,docs/data/vrs_propwash_reference.csv,drone-sim-core/src/main/java/com/tenicana/dronecraft/sim/DronePhysics.java,current_model_at_johnson_boundary,Current VRS/propwash scan linearly interpolated at a NASA Johnson Table 4 descent boundary.,,,,cinewhoop,VzX,1.5,,,21.7140997562
vrs_johnson_packet_current_at_boundary,cinewhoop_X_zero_damping_high,current_vrs_buffet_thrust_amplitude_percent_max_spin,23.1962052081,percent,docs/data/vrs_propwash_reference.csv,drone-sim-core/src/main/java/com/tenicana/dronecraft/sim/DronePhysics.java,current_model_at_johnson_boundary,Current VRS/propwash scan linearly interpolated at a NASA Johnson Table 4 descent boundary.,,,,cinewhoop,VzX,1.5,,,21.7140997562
vrs_johnson_packet_current_at_boundary,cinewhoop_X_zero_damping_high,current_propwash_descent_factor,1,fraction,docs/data/vrs_propwash_reference.csv,drone-sim-core/src/main/java/com/tenicana/dronecraft/sim/DronePhysics.java,current_model_at_johnson_boundary,Current VRS/propwash scan linearly interpolated at a NASA Johnson Table 4 descent boundary.,,,,cinewhoop,VzX,1.5,,,21.7140997562
vrs_johnson_packet_preset_boundary_speed,cinewhoop_E_join_lower,boundary_speed_m_s,28.9521330083,m/s,docs/data/vrs_propwash_reference.csv,https://rotorcraft.arc.nasa.gov/Publications/files/Johnson_TP-2005-213477.pdf,preset_boundary_conversion,"VRS-model lower join E, abs(Vz)/vh.",,,,cinewhoop,VzE,2,descent,14.4760665042,
vrs_johnson_packet_current_at_boundary,cinewhoop_E_join_lower,current_vrs_intensity_hover_spin_no_crossflow,0.177599440954,fraction,docs/data/vrs_propwash_reference.csv,drone-sim-core/src/main/java/com/tenicana/dronecraft/sim/DronePhysics.java,current_model_at_johnson_boundary,Current VRS/propwash scan linearly interpolated at a NASA Johnson Table 4 descent boundary.,,,,cinewhoop,VzE,2,,,28.9521330083
vrs_johnson_packet_current_at_boundary,cinewhoop_E_join_lower,current_vrs_entry_component,1,fraction,docs/data/vrs_propwash_reference.csv,drone-sim-core/src/main/java/com/tenicana/dronecraft/sim/DronePhysics.java,current_model_at_johnson_boundary,Current VRS/propwash scan linearly interpolated at a NASA Johnson Table 4 descent boundary.,,,,cinewhoop,VzE,2,,,28.9521330083
vrs_johnson_packet_current_at_boundary,cinewhoop_E_join_lower,current_vrs_exit_component,0.240054869684,fraction,docs/data/vrs_propwash_reference.csv,drone-sim-core/src/main/java/com/tenicana/dronecraft/sim/DronePhysics.java,current_model_at_johnson_boundary,Current VRS/propwash scan linearly interpolated at a NASA Johnson Table 4 descent boundary.,,,,cinewhoop,VzE,2,,,28.9521330083
vrs_johnson_packet_current_at_boundary,cinewhoop_E_join_lower,current_vrs_base_thrust_loss_percent_hover_spin,5.86078155147,percent,docs/data/vrs_propwash_reference.csv,drone-sim-core/src/main/java/com/tenicana/dronecraft/sim/DronePhysics.java,current_model_at_johnson_boundary,Current VRS/propwash scan linearly interpolated at a NASA Johnson Table 4 descent boundary.,,,,cinewhoop,VzE,2,,,28.9521330083
vrs_johnson_packet_current_at_boundary,cinewhoop_E_join_lower,current_vrs_buffet_thrust_amplitude_percent_max_spin,3.28843559304,percent,docs/data/vrs_propwash_reference.csv,drone-sim-core/src/main/java/com/tenicana/dronecraft/sim/DronePhysics.java,current_model_at_johnson_boundary,Current VRS/propwash scan linearly interpolated at a NASA Johnson Table 4 descent boundary.,,,,cinewhoop,VzE,2,,,28.9521330083
vrs_johnson_packet_current_at_boundary,cinewhoop_E_join_lower,current_propwash_descent_factor,1,fraction,docs/data/vrs_propwash_reference.csv,drone-sim-core/src/main/java/com/tenicana/dronecraft/sim/DronePhysics.java,current_model_at_johnson_boundary,Current VRS/propwash scan linearly interpolated at a NASA Johnson Table 4 descent boundary.,,,,cinewhoop,VzE,2,,,28.9521330083
vrs_johnson_packet_preset_boundary_speed,cinewhoop_C_baseline_forward_cutoff,boundary_speed_m_s,10.8570498781,m/s,docs/data/vrs_propwash_reference.csv,https://rotorcraft.arc.nasa.gov/Publications/files/Johnson_TP-2005-213477.pdf,preset_boundary_conversion,"Baseline momentum-theory forward-speed cutoff C, Vx/vh.",,,,cinewhoop,VxC,0.75,forward,14.4760665042,
vrs_johnson_packet_preset_boundary_speed,cinewhoop_M_vrs_forward_cutoff,boundary_speed_m_s,13.752263179,m/s,docs/data/vrs_propwash_reference.csv,https://rotorcraft.arc.nasa.gov/Publications/files/Johnson_TP-2005-213477.pdf,preset_boundary_conversion,"VRS increment forward-speed cutoff M, Vx/vh.",,,,cinewhoop,VxM,0.95,forward,14.4760665042,
vrs_johnson_packet_preset_summary,cinewhoop,hover_induced_velocity_m_s,14.4760665042,m/s,docs/data/vrs_propwash_reference.csv,drone-sim-core/src/main/java/com/tenicana/dronecraft/sim/DronePhysics.java,preset_vrs_regime_summary,Current preset hover induced velocity used for Johnson speed conversion.,,,,cinewhoop,,,,,
vrs_johnson_packet_preset_summary,cinewhoop,current_sampled_vrs_active_low_vi,0.75,vi ratio,docs/data/vrs_propwash_reference.csv,drone-sim-core/src/main/java/com/tenicana/dronecraft/sim/DronePhysics.java,preset_vrs_regime_summary,Lowest sampled descent ratio with nonzero current VRS intensity.,,,,cinewhoop,,,,,
vrs_johnson_packet_preset_summary,cinewhoop,current_sampled_vrs_active_high_vi,1.9,vi ratio,docs/data/vrs_propwash_reference.csv,drone-sim-core/src/main/java/com/tenicana/dronecraft/sim/DronePhysics.java,preset_vrs_regime_summary,Highest sampled descent ratio with nonzero current VRS intensity.,,,,cinewhoop,,,,,
vrs_johnson_packet_preset_summary,cinewhoop,current_sampled_active_low_over_johnson_N,1.66666666667,ratio,docs/data/vrs_propwash_reference.csv,drone-sim-core/src/main/java/com/tenicana/dronecraft/sim/DronePhysics.java,preset_vrs_regime_summary,Sampled current VRS-active lower bound divided by Johnson point N.,,,,cinewhoop,,,,,
vrs_johnson_packet_preset_summary,cinewhoop,current_sampled_active_high_over_johnson_E,0.95,ratio,docs/data/vrs_propwash_reference.csv,drone-sim-core/src/main/java/com/tenicana/dronecraft/sim/DronePhysics.java,preset_vrs_regime_summary,Sampled current VRS-active upper bound divided by Johnson point E.,,,,cinewhoop,,,,,
vrs_johnson_packet_preset_summary,cinewhoop,current_peak_vrs_ratio_vi,1.2,vi ratio,docs/data/vrs_propwash_reference.csv,drone-sim-core/src/main/java/com/tenicana/dronecraft/sim/DronePhysics.java,preset_vrs_regime_summary,Sampled descent ratio of peak current VRS intensity.,,,,cinewhoop,,,,,
vrs_johnson_packet_preset_summary,cinewhoop,current_peak_vrs_intensity,0.739828528315,fraction,docs/data/vrs_propwash_reference.csv,drone-sim-core/src/main/java/com/tenicana/dronecraft/sim/DronePhysics.java,preset_vrs_regime_summary,Peak current VRS intensity in the scan.,,,,cinewhoop,,,,,
vrs_johnson_packet_preset_summary,cinewhoop,current_peak_inside_johnson_zero_damping_band,1,boolean,docs/data/vrs_propwash_reference.csv,drone-sim-core/src/main/java/com/tenicana/dronecraft/sim/DronePhysics.java,preset_vrs_regime_summary,Whether current peak intensity lies between Johnson N and X.,,,,cinewhoop,,,,,
vrs_johnson_packet_preset_summary,cinewhoop,current_intensity_at_johnson_N,0,fraction,docs/data/vrs_propwash_reference.csv,drone-sim-core/src/main/java/com/tenicana/dronecraft/sim/DronePhysics.java,preset_vrs_regime_summary,Current VRS intensity at Johnson point N.,,,,cinewhoop,,,,,
vrs_johnson_packet_preset_summary,cinewhoop,current_intensity_at_johnson_X,0.66513527772,fraction,docs/data/vrs_propwash_reference.csv,drone-sim-core/src/main/java/com/tenicana/dronecraft/sim/DronePhysics.java,preset_vrs_regime_summary,Current VRS intensity at Johnson point X.,,,,cinewhoop,,,,,
vrs_johnson_packet_preset_boundary_speed,coaxialX8_D_join_upper,boundary_speed_m_s,1.86232626921,m/s,docs/data/vrs_propwash_reference.csv,https://rotorcraft.arc.nasa.gov/Publications/files/Johnson_TP-2005-213477.pdf,preset_boundary_conversion,"VRS-model upper join D, abs(Vz)/vh.",,,,coaxialX8,VzD,0.2,descent,9.31163134603,
vrs_johnson_packet_current_at_boundary,coaxialX8_D_join_upper,current_vrs_intensity_hover_spin_no_crossflow,0,fraction,docs/data/vrs_propwash_reference.csv,drone-sim-core/src/main/java/com/tenicana/dronecraft/sim/DronePhysics.java,current_model_at_johnson_boundary,Current VRS/propwash scan linearly interpolated at a NASA Johnson Table 4 descent boundary.,,,,coaxialX8,VzD,0.2,,,1.86232626921
vrs_johnson_packet_current_at_boundary,coaxialX8_D_join_upper,current_vrs_entry_component,0,fraction,docs/data/vrs_propwash_reference.csv,drone-sim-core/src/main/java/com/tenicana/dronecraft/sim/DronePhysics.java,current_model_at_johnson_boundary,Current VRS/propwash scan linearly interpolated at a NASA Johnson Table 4 descent boundary.,,,,coaxialX8,VzD,0.2,,,1.86232626921
vrs_johnson_packet_current_at_boundary,coaxialX8_D_join_upper,current_vrs_exit_component,1,fraction,docs/data/vrs_propwash_reference.csv,drone-sim-core/src/main/java/com/tenicana/dronecraft/sim/DronePhysics.java,current_model_at_johnson_boundary,Current VRS/propwash scan linearly interpolated at a NASA Johnson Table 4 descent boundary.,,,,coaxialX8,VzD,0.2,,,1.86232626921
vrs_johnson_packet_current_at_boundary,coaxialX8_D_join_upper,current_vrs_base_thrust_loss_percent_hover_spin,0,percent,docs/data/vrs_propwash_reference.csv,drone-sim-core/src/main/java/com/tenicana/dronecraft/sim/DronePhysics.java,current_model_at_johnson_boundary,Current VRS/propwash scan linearly interpolated at a NASA Johnson Table 4 descent boundary.,,,,coaxialX8,VzD,0.2,,,1.86232626921
vrs_johnson_packet_current_at_boundary,coaxialX8_D_join_upper,current_vrs_buffet_thrust_amplitude_percent_max_spin,0,percent,docs/data/vrs_propwash_reference.csv,drone-sim-core/src/main/java/com/tenicana/dronecraft/sim/DronePhysics.java,current_model_at_johnson_boundary,Current VRS/propwash scan linearly interpolated at a NASA Johnson Table 4 descent boundary.,,,,coaxialX8,VzD,0.2,,,1.86232626921
vrs_johnson_packet_current_at_boundary,coaxialX8_D_join_upper,current_propwash_descent_factor,0.250646185891,fraction,docs/data/vrs_propwash_reference.csv,drone-sim-core/src/main/java/com/tenicana/dronecraft/sim/DronePhysics.java,current_model_at_johnson_boundary,Current VRS/propwash scan linearly interpolated at a NASA Johnson Table 4 descent boundary.,,,,coaxialX8,VzD,0.2,,,1.86232626921
vrs_johnson_packet_preset_boundary_speed,coaxialX8_N_zero_damping_low,boundary_speed_m_s,4.19023410572,m/s,docs/data/vrs_propwash_reference.csv,https://rotorcraft.arc.nasa.gov/Publications/files/Johnson_TP-2005-213477.pdf,preset_boundary_conversion,"Lower zero-damping/stability-boundary point N, abs(Vz)/vh.",,,,coaxialX8,VzN,0.45,descent,9.31163134603,
vrs_johnson_packet_current_at_boundary,coaxialX8_N_zero_damping_low,current_vrs_intensity_hover_spin_no_crossflow,0,fraction,docs/data/vrs_propwash_reference.csv,drone-sim-core/src/main/java/com/tenicana/dronecraft/sim/DronePhysics.java,current_model_at_johnson_boundary,Current VRS/propwash scan linearly interpolated at a NASA Johnson Table 4 descent boundary.,,,,coaxialX8,VzN,0.45,,,4.19023410572
vrs_johnson_packet_current_at_boundary,coaxialX8_N_zero_damping_low,current_vrs_entry_component,0,fraction,docs/data/vrs_propwash_reference.csv,drone-sim-core/src/main/java/com/tenicana/dronecraft/sim/DronePhysics.java,current_model_at_johnson_boundary,Current VRS/propwash scan linearly interpolated at a NASA Johnson Table 4 descent boundary.,,,,coaxialX8,VzN,0.45,,,4.19023410572
vrs_johnson_packet_current_at_boundary,coaxialX8_N_zero_damping_low,current_vrs_exit_component,1,fraction,docs/data/vrs_propwash_reference.csv,drone-sim-core/src/main/java/com/tenicana/dronecraft/sim/DronePhysics.java,current_model_at_johnson_boundary,Current VRS/propwash scan linearly interpolated at a NASA Johnson Table 4 descent boundary.,,,,coaxialX8,VzN,0.45,,,4.19023410572
vrs_johnson_packet_current_at_boundary,coaxialX8_N_zero_damping_low,current_vrs_base_thrust_loss_percent_hover_spin,0,percent,docs/data/vrs_propwash_reference.csv,drone-sim-core/src/main/java/com/tenicana/dronecraft/sim/DronePhysics.java,current_model_at_johnson_boundary,Current VRS/propwash scan linearly interpolated at a NASA Johnson Table 4 descent boundary.,,,,coaxialX8,VzN,0.45,,,4.19023410572
