row_type,name,source,preset,current_max_rpm,current_motor_tau_s,current_active_braking_strength,current_braking_tau_proxy_s,current_nominal_spinup_slew_rpm_s,current_braking_slew_proxy_rpm_s,note,decoded_log,motor_index,field_family,valid_sample_fraction,rpm_p95,rpm_max,max_50ms_positive_slew_rpm_s,max_50ms_negative_slew_rpm_s,max_50ms_abs_slew_rpm_s,observed_tau_equiv_current_max_positive_s,observed_tau_equiv_current_max_negative_s,observed_tau_equiv_log_max_abs_s,positive_slew_over_current_nominal_spinup,negative_slew_over_current_braking_proxy,current_max_rpm_over_decoded_rpm_max,motor_count,rpm_max_across_motors,max_positive_slew_rpm_s,max_negative_slew_rpm_s
decoded_motor_vs_current_model,PR12562 telemetry debug 011 motor1,https://github.com/betaflight/betaflight/files/11116146/blackbox_rpm_new_format_011_almost_stalled_rpm_telemetry_debug.zip,racingQuad,29137.63274949454,0.045,,0.014062499999999999,647502.9499887676,2072009.4399640565,"Uses decoded PR #12562 mechanical RPM. These are log-observed slews, not controlled bench step tests.",PR12562 telemetry debug 011,1,eInterval,1.0,24857.211809186534,29239.766081871345,130885.33260351601,96302.83264943492,130885.33260351601,0.22261954162396197,0.3025625721266415,0.22339986842105383,0.2021385888755974,0.04647798933343928,0.9965070400327133,,,,
decoded_motor_vs_current_model,PR12562 telemetry debug 011 motor2,https://github.com/betaflight/betaflight/files/11116146/blackbox_rpm_new_format_011_almost_stalled_rpm_telemetry_debug.zip,racingQuad,29137.63274949454,0.045,,0.014062499999999999,647502.9499887676,2072009.4399640565,"Uses decoded PR #12562 mechanical RPM. These are log-observed slews, not controlled bench step tests.",PR12562 telemetry debug 011,2,eInterval,1.0,25510.20408163265,29325.513196480937,122179.34836074912,125905.12624884707,125905.12624884707,0.23848246974981566,0.23142530902121516,0.23291754728493014,0.18869311462267252,0.06076474547868429,0.9935932767577639,,,,
decoded_motor_vs_current_model,PR12562 telemetry debug 011 motor3,https://github.com/betaflight/betaflight/files/11116146/blackbox_rpm_new_format_011_almost_stalled_rpm_telemetry_debug.zip,racingQuad,29137.63274949454,0.045,,0.014062499999999999,647502.9499887676,2072009.4399640565,"Uses decoded PR #12562 mechanical RPM. These are log-observed slews, not controlled bench step tests.",PR12562 telemetry debug 011,3,eInterval,1.0,27100.271002710026,38910.505836575874,459389.2384861207,93817.04212511053,459389.2384861207,0.06342689446865409,0.3105793157562759,0.08470051663552727,0.7094782170399221,0.04527828894772699,0.7488371616620098,,,,
decoded_motor_vs_current_model,PR12562 rpm filter debug 013 motor0,https://github.com/betaflight/betaflight/files/11116149/blackbox_rpm_new_format_013_rpm_filter_debug.zip,racingQuad,29137.63274949454,0.045,,0.014062499999999999,647502.9499887676,2072009.4399640565,"Uses decoded PR #12562 mechanical RPM. These are log-observed slews, not controlled bench step tests.",PR12562 rpm filter debug 013,0,eInterval,0.9996934396076027,25974.025974025975,27548.209366391184,60882.01826893579,32296.489504135647,60882.01826893579,0.4785917677824688,0.9021919470772015,0.4524851532467556,0.09402585466211687,0.01558703782000911,1.057696068806652,,,,
decoded_motor_vs_current_model,PR12562 rpm filter debug 013 motor1,https://github.com/betaflight/betaflight/files/11116149/blackbox_rpm_new_format_013_rpm_filter_debug.zip,racingQuad,29137.63274949454,0.045,,0.014062499999999999,647502.9499887676,2072009.4399640565,"Uses decoded PR #12562 mechanical RPM. These are log-observed slews, not controlled bench step tests.",PR12562 rpm filter debug 013,1,eInterval,1.0,25000.0,26737.9679144385,68849.35482095792,39959.38752593184,68849.35482095792,0.42320850827530154,0.7291811650162439,0.38835466191325,0.10633056547796772,0.019285330826786688,1.0897474648310959,,,,
decoded_motor_vs_current_model,PR12562 rpm filter debug 013 motor2,https://github.com/betaflight/betaflight/files/11116149/blackbox_rpm_new_format_013_rpm_filter_debug.zip,racingQuad,29137.63274949454,0.045,,0.014062499999999999,647502.9499887676,2072009.4399640565,"Uses decoded PR #12562 mechanical RPM. These are log-observed slews, not controlled bench step tests.",PR12562 rpm filter debug 013,2,eInterval,1.0,25974.025974025975,27624.309392265193,66155.45682421463,29020.795059096923,66155.45682421463,0.4404418644847057,1.0040259989486744,0.41756660324585604,0.10217012420617118,0.014006111410187568,1.0547823055317023,,,,
decoded_motor_vs_current_model,PR12562 rpm filter debug 013 motor3,https://github.com/betaflight/betaflight/files/11116149/blackbox_rpm_new_format_013_rpm_filter_debug.zip,racingQuad,29137.63274949454,0.045,,0.014062499999999999,647502.9499887676,2072009.4399640565,"Uses decoded PR #12562 mechanical RPM. These are log-observed slews, not controlled bench step tests.",PR12562 rpm filter debug 013,3,eInterval,1.0,25125.628140703517,26666.666666666668,70502.43195861283,34014.85038227268,70502.43195861283,0.41328549867044667,0.8566150496631327,0.37823754338461474,0.10888356873097775,0.0164163587897856,1.0926612281060453,,,,
decoded_log_vs_current_model,PR12562 almost stalled 010,https://github.com/betaflight/betaflight/files/11116145/blackbox_rpm_new_format_010_almost_stalled.zip,racingQuad,,0.045,,0.014062499999999999,,,Log-level maxima across decoded motors.,PR12562 almost stalled 010,,,,,,,,,0.7031102131685945,9.460758593316108,,0.06400134595855989,0.0014864030047162344,6.014007399495673,4,4844.961240310077,41441.06031141921,3079.841057362976
decoded_log_vs_current_model,PR12562 rpm filter debug 013,https://github.com/betaflight/betaflight/files/11116149/blackbox_rpm_new_format_013_rpm_filter_debug.zip,racingQuad,,0.045,,0.014062499999999999,,,Log-level maxima across decoded motors.,PR12562 rpm filter debug 013,,,,,,,,,0.41328549867044667,0.7291811650162439,,0.10888356873097775,0.019285330826786688,1.0547823055317023,4,27624.309392265193,70502.43195861283,39959.38752593184
decoded_log_vs_current_model,PR12562 rpm_bb_stress_002,https://github.com/betaflight/betaflight/files/11072576/rpm_bb_stress.zip,racingQuad,,0.045,,0.014062499999999999,,,Log-level maxima across decoded motors.,PR12562 rpm_bb_stress_002,,,,,,,,,0.0578964954806505,0.0554497980808588,,0.7772491171773839,0.2536077765241557,0.6789351320270572,4,42916.666666666664,503271.0962485214,525477.7070063455
decoded_log_vs_current_model,PR12562 telemetry debug 011,https://github.com/betaflight/betaflight/files/11116146/blackbox_rpm_new_format_011_almost_stalled_rpm_telemetry_debug.zip,racingQuad,,0.045,,0.014062499999999999,,,Log-level maxima across decoded motors.,PR12562 telemetry debug 011,,,,,,,,,0.06342689446865409,0.16444033104180633,,0.7094782170399221,0.08551734182792926,0.7488371616620098,4,38910.505836575874,459389.2384861207,177192.7395481025
