row_type,scenario,preset,ambient_case,forward_speed_mps,metric,value,unit,throttle_command,sample_count,dt_seconds,target_max_rpm_scale,equivalent_max_thrust_loss_percent,peak_sample_index,peak_time_seconds,peak_window,peak_observed_thrust_loss_percent,peak_thrust_loss_over_contract_ratio,max_allowed_thrust_loss_over_contract_ratio,peak_neutral_thrust_newtons,peak_derated_thrust_newtons,peak_average_target_omega_ratio,peak_average_motor_omega_ratio,peak_target_scale_error_ratio,peak_target_omega_overshoot_ratio,peak_motor_omega_above_neutral_ratio,peak_rotor_advance_ratio,peak_rotor_tip_mach,early_window_max_thrust_loss_over_contract_ratio,mid_window_max_thrust_loss_over_contract_ratio,late_window_max_thrust_loss_over_contract_ratio,settled_window_max_thrust_loss_over_contract_ratio,peak_in_settled_window,thrust_margin_passed,runtime_coupling_allowed,playable_reference_allowed,gameplay_auto_apply_allowed,status,message,source_file,evidence_role,note
propeller_archive_rotor_spec_retune_ambient_compressibility_derate_control_hook_forward_punchout_peak_timing_diagnostic,synthetic_derate_validation_all_pass,apDrone,cold_sea_level_minus10c,28.0,peak_thrust_loss_over_contract_ratio,0.23146597254194,ratio,1.0,360,0.005,0.9910302351978083,1.785907292377809,277,1.39,settled_after_900ms,24.932504546571806,0.23146597254194,0.04,23.42899290838751,17.587558186287808,1.018938428979536,1.032755751812104,0.039010453562817,0.0,0.038787490617084,0.157718590238949,0.537614032484733,0.015472804809058016,0.027694826581310346,0.002474498602327,0.23146597254194,true,false,false,false,false,FAIL,forward-punchout-peak-margin-settled-window-failure,drone-sim-core/src/main/java/com/tenicana/dronecraft/sim/PropellerArchiveRotorSpecRetuneAmbientCompressibilityDerateControlHookForwardPunchoutPeakTimingDiagnostic.java,peak_timing_row,APDrone full-throttle cold-air peak timing row
propeller_archive_rotor_spec_retune_ambient_compressibility_derate_control_hook_forward_punchout_peak_timing_diagnostic_summary,all,,,,row_count,5,count,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,READY,forward-punchout-peak-timing-diagnostic-recorded,drone-sim-core/src/main/java/com/tenicana/dronecraft/sim/PropellerArchiveRotorSpecRetuneAmbientCompressibilityDerateControlHookForwardPunchoutPeakTimingDiagnostic.java,summary,five APDrone speed samples
propeller_archive_rotor_spec_retune_ambient_compressibility_derate_control_hook_forward_punchout_peak_timing_diagnostic_summary,all,,,,failed_row_count,4,count,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,READY,forward-punchout-peak-timing-diagnostic-recorded,drone-sim-core/src/main/java/com/tenicana/dronecraft/sim/PropellerArchiveRotorSpecRetuneAmbientCompressibilityDerateControlHookForwardPunchoutPeakTimingDiagnostic.java,summary,four APDrone peak rows exceed thrust-loss margin
propeller_archive_rotor_spec_retune_ambient_compressibility_derate_control_hook_forward_punchout_peak_timing_diagnostic_summary,all,,,,settled_peak_row_count,5,count,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,READY,forward-punchout-peak-timing-diagnostic-recorded,drone-sim-core/src/main/java/com/tenicana/dronecraft/sim/PropellerArchiveRotorSpecRetuneAmbientCompressibilityDerateControlHookForwardPunchoutPeakTimingDiagnostic.java,summary,all peak samples occur after 900 ms
propeller_archive_rotor_spec_retune_ambient_compressibility_derate_control_hook_forward_punchout_peak_timing_diagnostic_summary,all,,,,early_window_failure_row_count,0,count,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,READY,forward-punchout-peak-timing-diagnostic-recorded,drone-sim-core/src/main/java/com/tenicana/dronecraft/sim/PropellerArchiveRotorSpecRetuneAmbientCompressibilityDerateControlHookForwardPunchoutPeakTimingDiagnostic.java,summary,startup window stays below 0.04 margin
propeller_archive_rotor_spec_retune_ambient_compressibility_derate_control_hook_forward_punchout_peak_timing_diagnostic_summary,all,,,,settled_window_failure_row_count,5,count,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,READY,forward-punchout-peak-timing-diagnostic-recorded,drone-sim-core/src/main/java/com/tenicana/dronecraft/sim/PropellerArchiveRotorSpecRetuneAmbientCompressibilityDerateControlHookForwardPunchoutPeakTimingDiagnostic.java,summary,all failures happen in settled window
propeller_archive_rotor_spec_retune_ambient_compressibility_derate_control_hook_forward_punchout_peak_timing_diagnostic_summary,all,,,,derated_target_above_neutral_peak_row_count,1,count,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,READY,forward-punchout-peak-timing-diagnostic-recorded,drone-sim-core/src/main/java/com/tenicana/dronecraft/sim/PropellerArchiveRotorSpecRetuneAmbientCompressibilityDerateControlHookForwardPunchoutPeakTimingDiagnostic.java,summary,28 mps peak has derated target above neutral target
propeller_archive_rotor_spec_retune_ambient_compressibility_derate_control_hook_forward_punchout_peak_timing_diagnostic_summary,all,,,,derated_motor_above_neutral_peak_row_count,1,count,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,READY,forward-punchout-peak-timing-diagnostic-recorded,drone-sim-core/src/main/java/com/tenicana/dronecraft/sim/PropellerArchiveRotorSpecRetuneAmbientCompressibilityDerateControlHookForwardPunchoutPeakTimingDiagnostic.java,summary,28 mps peak has derated motor omega above neutral motor omega
propeller_archive_rotor_spec_retune_ambient_compressibility_derate_control_hook_forward_punchout_peak_timing_diagnostic_summary,all,,,,min_peak_time_seconds,1.06,seconds,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,READY,forward-punchout-peak-timing-diagnostic-recorded,drone-sim-core/src/main/java/com/tenicana/dronecraft/sim/PropellerArchiveRotorSpecRetuneAmbientCompressibilityDerateControlHookForwardPunchoutPeakTimingDiagnostic.java,summary,earliest APDrone peak is at 8 mps
propeller_archive_rotor_spec_retune_ambient_compressibility_derate_control_hook_forward_punchout_peak_timing_diagnostic_summary,all,,,,max_peak_time_seconds,1.73,seconds,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,READY,forward-punchout-peak-timing-diagnostic-recorded,drone-sim-core/src/main/java/com/tenicana/dronecraft/sim/PropellerArchiveRotorSpecRetuneAmbientCompressibilityDerateControlHookForwardPunchoutPeakTimingDiagnostic.java,summary,latest APDrone peak is at 22 mps blackbox speed
propeller_archive_rotor_spec_retune_ambient_compressibility_derate_control_hook_forward_punchout_peak_timing_diagnostic_summary,all,,,,max_peak_thrust_loss_over_contract_ratio,0.365142773305258,ratio,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,READY,forward-punchout-peak-timing-diagnostic-recorded,drone-sim-core/src/main/java/com/tenicana/dronecraft/sim/PropellerArchiveRotorSpecRetuneAmbientCompressibilityDerateControlHookForwardPunchoutPeakTimingDiagnostic.java,summary,static full-throttle cold-air peak
propeller_archive_rotor_spec_retune_ambient_compressibility_derate_control_hook_forward_punchout_peak_timing_diagnostic_summary,all,,,,min_peak_thrust_loss_over_contract_ratio,0.059948790116623255,ratio,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,READY,forward-punchout-peak-timing-diagnostic-recorded,drone-sim-core/src/main/java/com/tenicana/dronecraft/sim/PropellerArchiveRotorSpecRetuneAmbientCompressibilityDerateControlHookForwardPunchoutPeakTimingDiagnostic.java,summary,lowest peak still exceeds 0.04 margin
propeller_archive_rotor_spec_retune_ambient_compressibility_derate_control_hook_forward_punchout_peak_timing_diagnostic_summary,all,,,,max_early_window_thrust_loss_over_contract_ratio,0.015472804809058016,ratio,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,READY,forward-punchout-peak-timing-diagnostic-recorded,drone-sim-core/src/main/java/com/tenicana/dronecraft/sim/PropellerArchiveRotorSpecRetuneAmbientCompressibilityDerateControlHookForwardPunchoutPeakTimingDiagnostic.java,summary,early window does not explain failure
propeller_archive_rotor_spec_retune_ambient_compressibility_derate_control_hook_forward_punchout_peak_timing_diagnostic_summary,all,,,,max_mid_window_thrust_loss_over_contract_ratio,0.027694826581310346,ratio,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,READY,forward-punchout-peak-timing-diagnostic-recorded,drone-sim-core/src/main/java/com/tenicana/dronecraft/sim/PropellerArchiveRotorSpecRetuneAmbientCompressibilityDerateControlHookForwardPunchoutPeakTimingDiagnostic.java,summary,mid window stays below failure threshold
propeller_archive_rotor_spec_retune_ambient_compressibility_derate_control_hook_forward_punchout_peak_timing_diagnostic_summary,all,,,,max_late_window_thrust_loss_over_contract_ratio,0.006384179795763525,ratio,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,READY,forward-punchout-peak-timing-diagnostic-recorded,drone-sim-core/src/main/java/com/tenicana/dronecraft/sim/PropellerArchiveRotorSpecRetuneAmbientCompressibilityDerateControlHookForwardPunchoutPeakTimingDiagnostic.java,summary,late pre-settled window stays below failure threshold
propeller_archive_rotor_spec_retune_ambient_compressibility_derate_control_hook_forward_punchout_peak_timing_diagnostic_summary,all,,,,max_settled_window_thrust_loss_over_contract_ratio,0.365142773305258,ratio,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,READY,forward-punchout-peak-timing-diagnostic-recorded,drone-sim-core/src/main/java/com/tenicana/dronecraft/sim/PropellerArchiveRotorSpecRetuneAmbientCompressibilityDerateControlHookForwardPunchoutPeakTimingDiagnostic.java,summary,settled window contains the peak failure
propeller_archive_rotor_spec_retune_ambient_compressibility_derate_control_hook_forward_punchout_peak_timing_diagnostic_summary,all,,,,max_peak_average_target_omega_ratio,1.0189384289795356,ratio,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,READY,forward-punchout-peak-timing-diagnostic-recorded,drone-sim-core/src/main/java/com/tenicana/dronecraft/sim/PropellerArchiveRotorSpecRetuneAmbientCompressibilityDerateControlHookForwardPunchoutPeakTimingDiagnostic.java,summary,28 mps peak target ratio exceeds neutral
propeller_archive_rotor_spec_retune_ambient_compressibility_derate_control_hook_forward_punchout_peak_timing_diagnostic_summary,all,,,,max_peak_average_motor_omega_ratio,1.0327557518121044,ratio,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,READY,forward-punchout-peak-timing-diagnostic-recorded,drone-sim-core/src/main/java/com/tenicana/dronecraft/sim/PropellerArchiveRotorSpecRetuneAmbientCompressibilityDerateControlHookForwardPunchoutPeakTimingDiagnostic.java,summary,28 mps peak motor ratio exceeds neutral
propeller_archive_rotor_spec_retune_ambient_compressibility_derate_control_hook_forward_punchout_peak_timing_diagnostic_summary,all,,,,dominant_peak_window,settled_after_900ms,text,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,READY,forward-punchout-peak-timing-diagnostic-recorded,drone-sim-core/src/main/java/com/tenicana/dronecraft/sim/PropellerArchiveRotorSpecRetuneAmbientCompressibilityDerateControlHookForwardPunchoutPeakTimingDiagnostic.java,summary,all APDrone peaks are settled-window peaks
propeller_archive_rotor_spec_retune_ambient_compressibility_derate_control_hook_forward_punchout_peak_timing_diagnostic_summary,all,,,,next_required_action,investigate-apDrone-settled-full-throttle-thrust-model-before-runtime-coupling,text,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,READY,forward-punchout-peak-timing-diagnostic-recorded,drone-sim-core/src/main/java/com/tenicana/dronecraft/sim/PropellerArchiveRotorSpecRetuneAmbientCompressibilityDerateControlHookForwardPunchoutPeakTimingDiagnostic.java,summary,inspect APDrone settled full-throttle thrust model before runtime coupling
propeller_archive_rotor_spec_retune_ambient_compressibility_derate_control_hook_forward_punchout_peak_timing_diagnostic_summary,all,,,,peak_timing_diagnostic_passed,false,boolean,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,READY,forward-punchout-peak-timing-diagnostic-recorded,drone-sim-core/src/main/java/com/tenicana/dronecraft/sim/PropellerArchiveRotorSpecRetuneAmbientCompressibilityDerateControlHookForwardPunchoutPeakTimingDiagnostic.java,summary,diagnostic keeps control-hook review blocked
propeller_archive_rotor_spec_retune_ambient_compressibility_derate_control_hook_forward_punchout_peak_timing_diagnostic_method,all,,,,method,apDrone-full-throttle-forward-punchout-peak-timing,text,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,READY,decompose-APDrone-full-throttle-cold-air-forward-punchout-failures-by-peak-sample-and-window,drone-sim-core/src/main/java/com/tenicana/dronecraft/sim/PropellerArchiveRotorSpecRetuneAmbientCompressibilityDerateControlHookForwardPunchoutPeakTimingDiagnostic.java,method,complete diagnostic result remains lab evidence only
