row_type,scenario_name,status,metric,value,unit,worksheet_scenario,payload_scenario,promotion_evidence_complete,full_simulation_evidence_complete,worksheet_review_work_open,source_rows_reviewed,expected_slot_count,review_work_open_slot_count,evidence_blocked_slot_count,observed_payload_slot_count,reviewed_payload_slot_count,coefficient_payload_ready_slot_count,lookup_execution_input_slot_count,missing_payload_slot_count,failed_payload_slot_count,reviewed_payload_handoff_ready,runtime_coupling_allowed,gameplay_auto_apply_allowed,next_required_action,note
propeller_archive_ct_cp_j_lookup_coefficient_payload_review_handoff,worksheet_open_payload_ready,READY,lookup_execution_input_slot_count,21,count,synthetic_promotion_evidence_accepted_geometry_pending,synthetic_all_payloads_reviewed,true,false,true,true,21,21,0,21,21,21,21,0,0,true,false,false,feed-reviewed-coefficient-payload-rows-to-lookup-execution-contract,synthetic ready handoff still has no runtime or gameplay authority
propeller_archive_ct_cp_j_lookup_coefficient_payload_review_handoff_summary,all,BLOCKED,scenario_count,4,count,summary,summary,false,false,false,false,0,0,0,0,0,0,0,0,0,false,false,false,execute-clearance-evidence-ledger-before-reviewed-payload-output,total handoff scenarios
propeller_archive_ct_cp_j_lookup_coefficient_payload_review_handoff_summary,all,BLOCKED,ready_scenario_count,1,count,summary,summary,false,false,false,false,0,0,0,0,0,0,0,0,0,false,false,false,execute-clearance-evidence-ledger-before-reviewed-payload-output,only synthetic worksheet-open payload-ready scenario passes
propeller_archive_ct_cp_j_lookup_coefficient_payload_review_handoff_summary,all,BLOCKED,blocked_scenario_count,3,count,summary,summary,false,false,false,false,0,0,0,0,0,0,0,0,0,false,false,false,execute-clearance-evidence-ledger-before-reviewed-payload-output,three scenarios remain blocked
propeller_archive_ct_cp_j_lookup_coefficient_payload_review_handoff_summary,all,BLOCKED,max_review_work_open_slot_count,21,count,summary,summary,false,false,false,false,0,21,0,0,0,0,0,0,0,false,false,false,execute-clearance-evidence-ledger-before-reviewed-payload-output,maximum worksheet open slots across scenarios
propeller_archive_ct_cp_j_lookup_coefficient_payload_review_handoff_summary,all,BLOCKED,max_observed_payload_slot_count,21,count,summary,summary,false,false,false,false,0,0,0,21,0,0,0,0,0,false,false,false,execute-clearance-evidence-ledger-before-reviewed-payload-output,maximum observed payload slots across scenarios
propeller_archive_ct_cp_j_lookup_coefficient_payload_review_handoff_summary,all,BLOCKED,max_reviewed_payload_slot_count,21,count,summary,summary,false,false,false,false,0,0,0,0,21,0,0,0,0,false,false,false,execute-clearance-evidence-ledger-before-reviewed-payload-output,maximum reviewed payload slots across scenarios
propeller_archive_ct_cp_j_lookup_coefficient_payload_review_handoff_summary,all,BLOCKED,max_lookup_execution_input_slot_count,21,count,summary,summary,false,false,false,false,0,0,0,0,0,0,21,0,0,false,false,false,execute-clearance-evidence-ledger-before-reviewed-payload-output,maximum lookup input slots across scenarios
propeller_archive_ct_cp_j_lookup_coefficient_payload_review_handoff_summary,all,BLOCKED,current_review_work_open_slot_count,0,count,summary,summary,false,false,false,false,0,0,0,0,0,0,0,0,0,false,false,false,execute-clearance-evidence-ledger-before-reviewed-payload-output,current worksheet opens no slots
propeller_archive_ct_cp_j_lookup_coefficient_payload_review_handoff_summary,all,BLOCKED,current_evidence_blocked_slot_count,21,count,summary,summary,false,false,false,false,0,0,21,0,0,0,0,0,0,false,false,false,execute-clearance-evidence-ledger-before-reviewed-payload-output,current evidence blocks all slots
propeller_archive_ct_cp_j_lookup_coefficient_payload_review_handoff_summary,all,BLOCKED,current_reviewed_payload_slot_count,0,count,summary,summary,false,false,false,false,0,0,0,0,0,0,0,0,0,false,false,false,execute-clearance-evidence-ledger-before-reviewed-payload-output,current reviewed payload slots remain zero
propeller_archive_ct_cp_j_lookup_coefficient_payload_review_handoff_summary,all,BLOCKED,current_lookup_execution_input_slot_count,0,count,summary,summary,false,false,false,false,0,0,0,0,0,0,0,0,0,false,false,false,execute-clearance-evidence-ledger-before-reviewed-payload-output,current lookup input remains zero
propeller_archive_ct_cp_j_lookup_coefficient_payload_review_handoff_summary,all,BLOCKED,current_reviewed_payload_handoff_ready,false,boolean,summary,summary,false,false,false,false,0,0,0,0,0,0,0,0,0,false,false,false,execute-clearance-evidence-ledger-before-reviewed-payload-output,current reviewed payload handoff blocked
propeller_archive_ct_cp_j_lookup_coefficient_payload_review_handoff_summary,all,BLOCKED,runtime_coupling_allowed_count,0,count,summary,summary,false,false,false,false,0,0,0,0,0,0,0,0,0,false,false,false,execute-clearance-evidence-ledger-before-reviewed-payload-output,no runtime coupling authority
propeller_archive_ct_cp_j_lookup_coefficient_payload_review_handoff_summary,all,BLOCKED,gameplay_auto_apply_allowed_count,0,count,summary,summary,false,false,false,false,0,0,0,0,0,0,0,0,0,false,false,false,execute-clearance-evidence-ledger-before-reviewed-payload-output,no gameplay auto apply authority
propeller_archive_ct_cp_j_lookup_coefficient_payload_review_handoff_summary,all,BLOCKED,current_status,BLOCKED,text,summary,summary,false,false,false,false,0,0,0,0,0,0,0,0,0,false,false,false,execute-clearance-evidence-ledger-before-reviewed-payload-output,current handoff status
propeller_archive_ct_cp_j_lookup_coefficient_payload_review_handoff_summary,all,BLOCKED,next_required_action,execute-clearance-evidence-ledger-before-reviewed-payload-output,action,summary,summary,false,false,false,false,0,0,0,0,0,0,0,0,0,false,false,false,execute-clearance-evidence-ledger-before-reviewed-payload-output,next handoff action
propeller_archive_ct_cp_j_lookup_coefficient_payload_review_handoff_method,packet,BLOCKED,method,worksheet-plus-payload-handoff,text,method,method,false,false,false,false,0,0,0,0,0,0,0,0,0,false,false,false,complete-coefficient-payload-review-handoff-before-lookup-execution,handoff combines worksheet and reviewed payload summaries before lookup execution input is exposed
