row_type,name,source,decoder,field_family,motor_poles,frame_count,decoded_frame_count,decoded_frame_fraction,duration_s,actual_sample_hz,rpm_min_all_motors,rpm_median_all_motors,rpm_p95_all_motors,rpm_max_all_motors,sample_interval_s,sample_rows_written,note,motor_index,valid_sample_count,valid_sample_fraction,raw_invalid_count,raw_zero_count,raw_uint16max_count,rpm_min,rpm_p05,rpm_median,rpm_mean,rpm_p95,rpm_p99,rpm_max,median_abs_frame_delta_rpm,p95_abs_frame_delta_rpm,max_50ms_slew_rpm_s,max_50ms_positive_slew_rpm_s,max_50ms_negative_slew_rpm_s,max_100ms_positive_slew_rpm_s,max_100ms_negative_slew_rpm_s
decoded_motor_rpm_summary,PR12562 almost stalled 010,https://github.com/betaflight/betaflight/files/11116145/blackbox_rpm_new_format_010_almost_stalled.zip,orangebox 0.5.0,eInterval,12.0,6284,,,,,,,,,,,"For eInterval rows, 65535 is treated as no valid telemetry.",0,6284,1.0,0,0,0,204.51570680628274,890.4860424901192,4699.248120300752,4431.748310656055,4789.272030651341,4826.254826254826,4844.961240310077,17.60018022584518,35.60036454773308,41441.06031141921,41441.06031141921,2177.863043148585,30564.23105054492,1273.5479618533532
decoded_motor_rpm_summary,PR12562 almost stalled 010,https://github.com/betaflight/betaflight/files/11116145/blackbox_rpm_new_format_010_almost_stalled.zip,orangebox 0.5.0,eInterval,12.0,6284,,,,,,,,,,,"For eInterval rows, 65535 is treated as no valid telemetry.",1,6258,0.9958625079567155,26,0,26,204.51570680628274,204.51570680628274,3071.253071253071,2183.5886963862245,3164.5569620253164,3205.128205128205,3238.3419689119173,7.754246225233146,44.83715146587565,33544.496559324616,33544.496559324616,2498.2292551039654,24045.063452418817,1428.3452113378432
decoded_motor_rpm_summary,PR12562 almost stalled 010,https://github.com/betaflight/betaflight/files/11116145/blackbox_rpm_new_format_010_almost_stalled.zip,orangebox 0.5.0,eInterval,12.0,6284,,,,,,,,,,,"For eInterval rows, 65535 is treated as no valid telemetry.",2,6284,1.0,0,0,0,204.51570680628274,3824.3888482392454,4496.402877697842,4336.048457528004,4528.985507246377,4545.454545454545,4578.754578754579,16.23250136352999,48.004301185386794,39377.29646556219,39377.29646556219,1919.429821854828,30015.52082088358,1122.7802410079194
decoded_motor_rpm_summary,PR12562 almost stalled 010,https://github.com/betaflight/betaflight/files/11116145/blackbox_rpm_new_format_010_almost_stalled.zip,orangebox 0.5.0,eInterval,12.0,6284,,,,,,,,,,,"For eInterval rows, 65535 is treated as no valid telemetry.",3,6284,1.0,0,0,0,204.51570680628274,308.1854043392505,2759.381898454746,2329.0706723889716,2808.9887640449438,2821.6704288939054,2834.467120181406,6.131899613445057,19.056965731257527,30408.46890511786,30408.46890511786,3079.841057362976,23783.861741352277,1548.8932625660786
decoded_log_summary,PR12562 telemetry debug 011,https://github.com/betaflight/betaflight/files/11116146/blackbox_rpm_new_format_011_almost_stalled_rpm_telemetry_debug.zip,orangebox 0.5.0,eInterval,12.0,13074,13074,1.0,8.235632,1587.3705867382125,204.51570680628274,6053.268765133172,26109.660574412534,38910.505836575874,0.05,165,RPM fields are converted to mechanical RPM using PR #12562 units and the log's motor_poles header.,,,,,,,,,,,,,,,,,,,,
decoded_motor_rpm_summary,PR12562 telemetry debug 011,https://github.com/betaflight/betaflight/files/11116146/blackbox_rpm_new_format_011_almost_stalled_rpm_telemetry_debug.zip,orangebox 0.5.0,eInterval,12.0,13074,,,,,,,,,,,"For eInterval rows, 65535 is treated as no valid telemetry.",0,13069,0.9996175615725869,5,0,5,204.51570680628274,5980.861244019139,6067.961165048544,9849.912311285443,26455.026455026455,29642.152719075748,30303.030303030304,24.10428768173699,214.41436290345519,177192.7395481025,126883.09603313718,177192.7395481025,106152.60826299948,95500.99769614189
decoded_motor_rpm_summary,PR12562 telemetry debug 011,https://github.com/betaflight/betaflight/files/11116146/blackbox_rpm_new_format_011_almost_stalled_rpm_telemetry_debug.zip,orangebox 0.5.0,eInterval,12.0,13074,,,,,,,,,,,"For eInterval rows, 65535 is treated as no valid telemetry.",1,13074,1.0,0,0,0,204.51570680628274,204.5157068062827,2997.6019184652278,6734.7649852504865,24857.211809186534,28328.611898016996,29239.766081871345,14.65691102668734,229.80370362064855,130885.33260351601,130885.33260351601,96302.83264943492,115185.54640705926,81483.22088865099
decoded_motor_rpm_summary,PR12562 telemetry debug 011,https://github.com/betaflight/betaflight/files/11116146/blackbox_rpm_new_format_011_almost_stalled_rpm_telemetry_debug.zip,orangebox 0.5.0,eInterval,12.0,13074,,,,,,,,,,,"For eInterval rows, 65535 is treated as no valid telemetry.",2,13074,1.0,0,0,0,204.51570680628274,6009.615384615385,6112.469437652811,9680.703524160966,25510.20408163265,29069.767441860466,29325.513196480937,29.456295694079017,203.5002035002035,125905.12624884707,122179.34836074912,125905.12624884707,86457.6702981461,80649.67755748924
decoded_motor_rpm_summary,PR12562 telemetry debug 011,https://github.com/betaflight/betaflight/files/11116146/blackbox_rpm_new_format_011_almost_stalled_rpm_telemetry_debug.zip,orangebox 0.5.0,eInterval,12.0,13074,,,,,,,,,,,"For eInterval rows, 65535 is treated as no valid telemetry.",3,13074,1.0,0,0,0,204.51570680628274,204.5157068062827,2906.9767441860463,6945.588359539877,27100.271002710026,30030.03003003003,38910.505836575874,6.68249080489295,185.2007902639579,459389.2384861207,459389.2384861207,93817.04212511053,232173.0893958562,79106.51988648639
decoded_log_summary,PR12562 rpm filter debug 013,https://github.com/betaflight/betaflight/files/11116149/blackbox_rpm_new_format_013_rpm_filter_debug.zip,orangebox 0.5.0,eInterval,12.0,16310,16310,1.0,10.276422,1587.0309724532526,204.51570680628274,23201.85614849188,25706.94087403599,27624.309392265193,0.05,206,RPM fields are converted to mechanical RPM using PR #12562 units and the log's motor_poles header.,,,,,,,,,,,,,,,,,,,,
decoded_motor_rpm_summary,PR12562 rpm filter debug 013,https://github.com/betaflight/betaflight/files/11116149/blackbox_rpm_new_format_013_rpm_filter_debug.zip,orangebox 0.5.0,eInterval,12.0,16310,,,,,,,,,,,"For eInterval rows, 65535 is treated as no valid telemetry.",0,16305,0.9996934396076027,5,0,5,204.51570680628274,5910.16548463357,23364.48598130841,17993.909776660374,25974.025974025975,27322.4043715847,27548.209366391184,62.34413965087151,373.1528931787652,60882.01826893579,60882.01826893579,32296.489504135647,58299.0958719472,23127.755701644124
decoded_motor_rpm_summary,PR12562 rpm filter debug 013,https://github.com/betaflight/betaflight/files/11116149/blackbox_rpm_new_format_013_rpm_filter_debug.zip,orangebox 0.5.0,eInterval,12.0,16310,,,,,,,,,,,"For eInterval rows, 65535 is treated as no valid telemetry.",1,16310,1.0,0,0,0,204.51570680628274,204.51570680628274,22883.29519450801,15855.224820726868,25000.0,26525.19893899204,26737.9679144385,70.54574185902311,444.4820131405844,68849.35482095792,68849.35482095792,39959.38752593184,52775.39785864573,27581.426243353693
decoded_motor_rpm_summary,PR12562 rpm filter debug 013,https://github.com/betaflight/betaflight/files/11116149/blackbox_rpm_new_format_013_rpm_filter_debug.zip,orangebox 0.5.0,eInterval,12.0,16310,,,,,,,,,,,"For eInterval rows, 65535 is treated as no valid telemetry.",2,16310,1.0,0,0,0,204.51570680628274,6250.0,23696.682464454978,18215.453207761206,25974.025974025975,27322.4043715847,27624.309392265193,60.51730189661248,351.78236397748697,66155.45682421463,66155.45682421463,29020.795059096923,61728.28736507382,24097.265250418037
decoded_motor_rpm_summary,PR12562 rpm filter debug 013,https://github.com/betaflight/betaflight/files/11116149/blackbox_rpm_new_format_013_rpm_filter_debug.zip,orangebox 0.5.0,eInterval,12.0,16310,,,,,,,,,,,"For eInterval rows, 65535 is treated as no valid telemetry.",3,16310,1.0,0,0,0,204.51570680628274,204.51570680628274,22779.04328018223,16174.16396240323,25125.628140703517,26525.19893899204,26666.666666666668,55.49389567147591,331.28818096285613,70502.43195861283,70502.43195861283,34014.85038227268,51427.91273783847,24874.690366870298
