row_type,scenario_name,preset_name,ambient_temperature_celsius,speed_of_sound_mps,current_hover_tip_mach,candidate_hover_tip_mach,current_max_tip_mach,candidate_max_tip_mach,hover_tip_mach_limit,max_tip_mach_limit,compressibility_onset_mach,candidate_hover_mach_within_budget,candidate_max_mach_within_budget,candidate_max_compressibility_review_required,tip_mach_budget_accepted,manual_patch_review_allowed,config_patch_allowed,runtime_coupling_allowed,gameplay_auto_apply_allowed,status,message,source_file,evidence_role,note
propeller_archive_rotor_spec_retune_tip_mach_budget_source,source_fingerprint,source_description,,,,,,,,,,PropellerArchiveSourceFingerprint identifies archive identity before reviewed import.,text,,,,,,READY,,drone-sim-core/src/main/java/com/tenicana/dronecraft/sim/PropellerArchiveSourceFingerprint.java,source_identity,raw rows remain outside repository
propeller_archive_rotor_spec_retune_tip_mach_budget_scenario,current_retune_validation_blocked,min_candidate_max_mach_margin,,,0.0,mach,,,,,,false,false,false,false,false,false,false,BLOCKED,validation-run-not-planned,drone-sim-core/src/main/java/com/tenicana/dronecraft/sim/PropellerArchiveRotorSpecRetuneTipMachBudgetGate.java,current_tip_mach_budget,no candidate rows
propeller_archive_rotor_spec_retune_tip_mach_budget_scenario,current_retune_validation_blocked,config_patch_allowed_count,,,0,count,,,,,,false,false,false,false,false,false,false,BLOCKED,validation-run-not-planned,drone-sim-core/src/main/java/com/tenicana/dronecraft/sim/PropellerArchiveRotorSpecRetuneTipMachBudgetGate.java,current_tip_mach_budget,direct config patch remains closed
propeller_archive_rotor_spec_retune_tip_mach_budget_scenario,current_retune_validation_blocked,runtime_coupling_allowed_count,,,0,count,,,,,,false,false,false,false,false,false,false,BLOCKED,validation-run-not-planned,drone-sim-core/src/main/java/com/tenicana/dronecraft/sim/PropellerArchiveRotorSpecRetuneTipMachBudgetGate.java,current_tip_mach_budget,runtime coupling remains closed
propeller_archive_rotor_spec_retune_tip_mach_budget_scenario,current_retune_validation_blocked,gameplay_auto_apply_allowed_count,,,0,count,,,,,,false,false,false,false,false,false,false,BLOCKED,validation-run-not-planned,drone-sim-core/src/main/java/com/tenicana/dronecraft/sim/PropellerArchiveRotorSpecRetuneTipMachBudgetGate.java,current_tip_mach_budget,playable auto apply remains closed
propeller_archive_rotor_spec_retune_tip_mach_budget_scenario,current_retune_validation_blocked,message,,,validation-run-not-planned,text,,,,,,false,false,false,false,false,false,false,BLOCKED,validation-run-not-planned,drone-sim-core/src/main/java/com/tenicana/dronecraft/sim/PropellerArchiveRotorSpecRetuneTipMachBudgetGate.java,current_tip_mach_budget,current validation gate blocks budget
propeller_archive_rotor_spec_retune_tip_mach_budget_scenario,synthetic_ready_validation_results_missing,validation_acceptance_ready,,,false,boolean,,,,,,false,false,false,false,false,false,false,BLOCKED,validation-result-set-incomplete,drone-sim-core/src/main/java/com/tenicana/dronecraft/sim/PropellerArchiveRotorSpecRetuneTipMachBudgetGate.java,missing_results_tip_mach_budget,validation results are missing
propeller_archive_rotor_spec_retune_tip_mach_budget_scenario,synthetic_ready_validation_results_missing,impact_preview_available,,,false,boolean,,,,,,false,false,false,false,false,false,false,BLOCKED,validation-result-set-incomplete,drone-sim-core/src/main/java/com/tenicana/dronecraft/sim/PropellerArchiveRotorSpecRetuneTipMachBudgetGate.java,missing_results_tip_mach_budget,no impact preview rows
propeller_archive_rotor_spec_retune_tip_mach_budget_scenario,synthetic_ready_validation_results_missing,tip_mach_budget_available,,,false,boolean,,,,,,false,false,false,false,false,false,false,BLOCKED,validation-result-set-incomplete,drone-sim-core/src/main/java/com/tenicana/dronecraft/sim/PropellerArchiveRotorSpecRetuneTipMachBudgetGate.java,missing_results_tip_mach_budget,no budget rows
propeller_archive_rotor_spec_retune_tip_mach_budget_scenario,synthetic_ready_validation_results_missing,budget_row_count,,,0,count,,,,,,false,false,false,false,false,false,false,BLOCKED,validation-result-set-incomplete,drone-sim-core/src/main/java/com/tenicana/dronecraft/sim/PropellerArchiveRotorSpecRetuneTipMachBudgetGate.java,missing_results_tip_mach_budget,no budget rows
propeller_archive_rotor_spec_retune_tip_mach_budget_scenario,synthetic_ready_validation_results_missing,tip_mach_budget_accepted_count,,,0,count,,,,,,false,false,false,false,false,false,false,BLOCKED,validation-result-set-incomplete,drone-sim-core/src/main/java/com/tenicana/dronecraft/sim/PropellerArchiveRotorSpecRetuneTipMachBudgetGate.java,missing_results_tip_mach_budget,no accepted budget rows
propeller_archive_rotor_spec_retune_tip_mach_budget_scenario,synthetic_ready_validation_results_missing,compressibility_review_required_count,,,0,count,,,,,,false,false,false,false,false,false,false,BLOCKED,validation-result-set-incomplete,drone-sim-core/src/main/java/com/tenicana/dronecraft/sim/PropellerArchiveRotorSpecRetuneTipMachBudgetGate.java,missing_results_tip_mach_budget,no candidate rows
propeller_archive_rotor_spec_retune_tip_mach_budget_scenario,synthetic_ready_validation_results_missing,max_candidate_hover_tip_mach,,,0.0,mach,,,,,,false,false,false,false,false,false,false,BLOCKED,validation-result-set-incomplete,drone-sim-core/src/main/java/com/tenicana/dronecraft/sim/PropellerArchiveRotorSpecRetuneTipMachBudgetGate.java,missing_results_tip_mach_budget,no candidate rows
propeller_archive_rotor_spec_retune_tip_mach_budget_scenario,synthetic_ready_validation_results_missing,max_candidate_max_tip_mach,,,0.0,mach,,,,,,false,false,false,false,false,false,false,BLOCKED,validation-result-set-incomplete,drone-sim-core/src/main/java/com/tenicana/dronecraft/sim/PropellerArchiveRotorSpecRetuneTipMachBudgetGate.java,missing_results_tip_mach_budget,no candidate rows
propeller_archive_rotor_spec_retune_tip_mach_budget_scenario,synthetic_ready_validation_results_missing,min_candidate_hover_mach_margin,,,0.0,mach,,,,,,false,false,false,false,false,false,false,BLOCKED,validation-result-set-incomplete,drone-sim-core/src/main/java/com/tenicana/dronecraft/sim/PropellerArchiveRotorSpecRetuneTipMachBudgetGate.java,missing_results_tip_mach_budget,no candidate rows
propeller_archive_rotor_spec_retune_tip_mach_budget_scenario,synthetic_ready_validation_results_missing,min_candidate_max_mach_margin,,,0.0,mach,,,,,,false,false,false,false,false,false,false,BLOCKED,validation-result-set-incomplete,drone-sim-core/src/main/java/com/tenicana/dronecraft/sim/PropellerArchiveRotorSpecRetuneTipMachBudgetGate.java,missing_results_tip_mach_budget,no candidate rows
propeller_archive_rotor_spec_retune_tip_mach_budget_scenario,synthetic_ready_validation_results_missing,config_patch_allowed_count,,,0,count,,,,,,false,false,false,false,false,false,false,BLOCKED,validation-result-set-incomplete,drone-sim-core/src/main/java/com/tenicana/dronecraft/sim/PropellerArchiveRotorSpecRetuneTipMachBudgetGate.java,missing_results_tip_mach_budget,direct config patch remains closed
propeller_archive_rotor_spec_retune_tip_mach_budget_scenario,synthetic_ready_validation_results_missing,runtime_coupling_allowed_count,,,0,count,,,,,,false,false,false,false,false,false,false,BLOCKED,validation-result-set-incomplete,drone-sim-core/src/main/java/com/tenicana/dronecraft/sim/PropellerArchiveRotorSpecRetuneTipMachBudgetGate.java,missing_results_tip_mach_budget,runtime coupling remains closed
propeller_archive_rotor_spec_retune_tip_mach_budget_scenario,synthetic_ready_validation_results_missing,gameplay_auto_apply_allowed_count,,,0,count,,,,,,false,false,false,false,false,false,false,BLOCKED,validation-result-set-incomplete,drone-sim-core/src/main/java/com/tenicana/dronecraft/sim/PropellerArchiveRotorSpecRetuneTipMachBudgetGate.java,missing_results_tip_mach_budget,playable auto apply remains closed
propeller_archive_rotor_spec_retune_tip_mach_budget_scenario,synthetic_ready_validation_results_missing,message,,,validation-result-set-incomplete,text,,,,,,false,false,false,false,false,false,false,BLOCKED,validation-result-set-incomplete,drone-sim-core/src/main/java/com/tenicana/dronecraft/sim/PropellerArchiveRotorSpecRetuneTipMachBudgetGate.java,missing_results_tip_mach_budget,planned validation rows need explicit results
propeller_archive_rotor_spec_retune_tip_mach_budget_scenario,synthetic_ready_validation_all_pass,validation_acceptance_ready,,,true,boolean,,,,,,true,false,false,false,false,false,false,READY,tip-mach-budget-ready-compressibility-review-required,drone-sim-core/src/main/java/com/tenicana/dronecraft/sim/PropellerArchiveRotorSpecRetuneTipMachBudgetGate.java,all_pass_tip_mach_budget,validation accepted
propeller_archive_rotor_spec_retune_tip_mach_budget_scenario,synthetic_ready_validation_all_pass,impact_preview_available,,,true,boolean,,,,,,true,false,false,false,false,false,false,READY,tip-mach-budget-ready-compressibility-review-required,drone-sim-core/src/main/java/com/tenicana/dronecraft/sim/PropellerArchiveRotorSpecRetuneTipMachBudgetGate.java,all_pass_tip_mach_budget,physical impact preview exists
propeller_archive_rotor_spec_retune_tip_mach_budget_scenario,synthetic_ready_validation_all_pass,tip_mach_budget_available,,,true,boolean,,,,,,true,false,false,false,false,false,false,READY,tip-mach-budget-ready-compressibility-review-required,drone-sim-core/src/main/java/com/tenicana/dronecraft/sim/PropellerArchiveRotorSpecRetuneTipMachBudgetGate.java,all_pass_tip_mach_budget,budget rows exist
propeller_archive_rotor_spec_retune_tip_mach_budget_scenario,synthetic_ready_validation_all_pass,budget_row_count,,,2,count,,,,,,true,false,false,false,false,false,false,READY,tip-mach-budget-ready-compressibility-review-required,drone-sim-core/src/main/java/com/tenicana/dronecraft/sim/PropellerArchiveRotorSpecRetuneTipMachBudgetGate.java,all_pass_tip_mach_budget,racingQuad and apDrone
propeller_archive_rotor_spec_retune_tip_mach_budget_scenario,synthetic_ready_validation_all_pass,tip_mach_budget_accepted_count,,,2,count,,,,,,true,false,false,false,false,false,false,READY,tip-mach-budget-ready-compressibility-review-required,drone-sim-core/src/main/java/com/tenicana/dronecraft/sim/PropellerArchiveRotorSpecRetuneTipMachBudgetGate.java,all_pass_tip_mach_budget,both candidates stay under hover and max tip Mach limits
propeller_archive_rotor_spec_retune_tip_mach_budget_scenario,synthetic_ready_validation_all_pass,compressibility_review_required_count,,,2,count,,,,,,true,false,false,false,false,false,false,READY,tip-mach-budget-ready-compressibility-review-required,drone-sim-core/src/main/java/com/tenicana/dronecraft/sim/PropellerArchiveRotorSpecRetuneTipMachBudgetGate.java,all_pass_tip_mach_budget,both candidates exceed compressibility onset at max rpm
propeller_archive_rotor_spec_retune_tip_mach_budget_scenario,synthetic_ready_validation_all_pass,max_candidate_hover_tip_mach,,,0.2800893172401641,mach,,,,,,true,false,false,false,false,false,false,READY,tip-mach-budget-ready-compressibility-review-required,drone-sim-core/src/main/java/com/tenicana/dronecraft/sim/PropellerArchiveRotorSpecRetuneTipMachBudgetGate.java,all_pass_tip_mach_budget,racingQuad has highest candidate hover Mach
propeller_archive_rotor_spec_retune_tip_mach_budget_scenario,synthetic_ready_validation_all_pass,max_candidate_max_tip_mach,,,0.6266668829797807,mach,,,,,,true,false,false,false,false,false,false,READY,tip-mach-budget-ready-compressibility-review-required,drone-sim-core/src/main/java/com/tenicana/dronecraft/sim/PropellerArchiveRotorSpecRetuneTipMachBudgetGate.java,all_pass_tip_mach_budget,racingQuad has highest candidate max Mach
propeller_archive_rotor_spec_retune_tip_mach_budget_scenario,synthetic_ready_validation_all_pass,min_candidate_hover_mach_margin,,,0.06991068275983586,mach,,,,,,true,false,false,false,false,false,false,READY,tip-mach-budget-ready-compressibility-review-required,drone-sim-core/src/main/java/com/tenicana/dronecraft/sim/PropellerArchiveRotorSpecRetuneTipMachBudgetGate.java,all_pass_tip_mach_budget,margin to hover limit
propeller_archive_rotor_spec_retune_tip_mach_budget_scenario,synthetic_ready_validation_all_pass,min_candidate_max_mach_margin,,,0.07333311702021927,mach,,,,,,true,false,false,false,false,false,false,READY,tip-mach-budget-ready-compressibility-review-required,drone-sim-core/src/main/java/com/tenicana/dronecraft/sim/PropellerArchiveRotorSpecRetuneTipMachBudgetGate.java,all_pass_tip_mach_budget,margin to max limit
propeller_archive_rotor_spec_retune_tip_mach_budget_scenario,synthetic_ready_validation_all_pass,config_patch_allowed_count,,,0,count,,,,,,true,false,false,false,false,false,false,READY,tip-mach-budget-ready-compressibility-review-required,drone-sim-core/src/main/java/com/tenicana/dronecraft/sim/PropellerArchiveRotorSpecRetuneTipMachBudgetGate.java,all_pass_tip_mach_budget,direct config patch remains closed
propeller_archive_rotor_spec_retune_tip_mach_budget_scenario,synthetic_ready_validation_all_pass,runtime_coupling_allowed_count,,,0,count,,,,,,true,false,false,false,false,false,false,READY,tip-mach-budget-ready-compressibility-review-required,drone-sim-core/src/main/java/com/tenicana/dronecraft/sim/PropellerArchiveRotorSpecRetuneTipMachBudgetGate.java,all_pass_tip_mach_budget,runtime coupling remains closed
propeller_archive_rotor_spec_retune_tip_mach_budget_scenario,synthetic_ready_validation_all_pass,gameplay_auto_apply_allowed_count,,,0,count,,,,,,true,false,false,false,false,false,false,READY,tip-mach-budget-ready-compressibility-review-required,drone-sim-core/src/main/java/com/tenicana/dronecraft/sim/PropellerArchiveRotorSpecRetuneTipMachBudgetGate.java,all_pass_tip_mach_budget,playable auto apply remains closed
propeller_archive_rotor_spec_retune_tip_mach_budget_scenario,synthetic_ready_validation_all_pass,message,,,tip-mach-budget-ready-compressibility-review-required,text,,,,,,true,false,false,false,false,false,false,READY,tip-mach-budget-ready-compressibility-review-required,drone-sim-core/src/main/java/com/tenicana/dronecraft/sim/PropellerArchiveRotorSpecRetuneTipMachBudgetGate.java,all_pass_tip_mach_budget,budget accepted but max-rpm compressibility review remains required
propeller_archive_rotor_spec_retune_tip_mach_budget_scenario,synthetic_ready_validation_one_failed,validation_acceptance_ready,,,false,boolean,,,,,,false,false,false,false,false,false,false,BLOCKED,validation-result-failed,drone-sim-core/src/main/java/com/tenicana/dronecraft/sim/PropellerArchiveRotorSpecRetuneTipMachBudgetGate.java,failed_tip_mach_budget,one validation result failed
propeller_archive_rotor_spec_retune_tip_mach_budget_scenario,synthetic_ready_validation_one_failed,impact_preview_available,,,false,boolean,,,,,,false,false,false,false,false,false,false,BLOCKED,validation-result-failed,drone-sim-core/src/main/java/com/tenicana/dronecraft/sim/PropellerArchiveRotorSpecRetuneTipMachBudgetGate.java,failed_tip_mach_budget,no impact preview rows
propeller_archive_rotor_spec_retune_tip_mach_budget_scenario,synthetic_ready_validation_one_failed,tip_mach_budget_available,,,false,boolean,,,,,,false,false,false,false,false,false,false,BLOCKED,validation-result-failed,drone-sim-core/src/main/java/com/tenicana/dronecraft/sim/PropellerArchiveRotorSpecRetuneTipMachBudgetGate.java,failed_tip_mach_budget,no budget rows
propeller_archive_rotor_spec_retune_tip_mach_budget_scenario,synthetic_ready_validation_one_failed,budget_row_count,,,0,count,,,,,,false,false,false,false,false,false,false,BLOCKED,validation-result-failed,drone-sim-core/src/main/java/com/tenicana/dronecraft/sim/PropellerArchiveRotorSpecRetuneTipMachBudgetGate.java,failed_tip_mach_budget,no budget rows
propeller_archive_rotor_spec_retune_tip_mach_budget_scenario,synthetic_ready_validation_one_failed,tip_mach_budget_accepted_count,,,0,count,,,,,,false,false,false,false,false,false,false,BLOCKED,validation-result-failed,drone-sim-core/src/main/java/com/tenicana/dronecraft/sim/PropellerArchiveRotorSpecRetuneTipMachBudgetGate.java,failed_tip_mach_budget,no accepted budget rows
propeller_archive_rotor_spec_retune_tip_mach_budget_scenario,synthetic_ready_validation_one_failed,compressibility_review_required_count,,,0,count,,,,,,false,false,false,false,false,false,false,BLOCKED,validation-result-failed,drone-sim-core/src/main/java/com/tenicana/dronecraft/sim/PropellerArchiveRotorSpecRetuneTipMachBudgetGate.java,failed_tip_mach_budget,no candidate rows
propeller_archive_rotor_spec_retune_tip_mach_budget_scenario,synthetic_ready_validation_one_failed,max_candidate_hover_tip_mach,,,0.0,mach,,,,,,false,false,false,false,false,false,false,BLOCKED,validation-result-failed,drone-sim-core/src/main/java/com/tenicana/dronecraft/sim/PropellerArchiveRotorSpecRetuneTipMachBudgetGate.java,failed_tip_mach_budget,no candidate rows
propeller_archive_rotor_spec_retune_tip_mach_budget_scenario,synthetic_ready_validation_one_failed,max_candidate_max_tip_mach,,,0.0,mach,,,,,,false,false,false,false,false,false,false,BLOCKED,validation-result-failed,drone-sim-core/src/main/java/com/tenicana/dronecraft/sim/PropellerArchiveRotorSpecRetuneTipMachBudgetGate.java,failed_tip_mach_budget,no candidate rows
propeller_archive_rotor_spec_retune_tip_mach_budget_scenario,synthetic_ready_validation_one_failed,min_candidate_hover_mach_margin,,,0.0,mach,,,,,,false,false,false,false,false,false,false,BLOCKED,validation-result-failed,drone-sim-core/src/main/java/com/tenicana/dronecraft/sim/PropellerArchiveRotorSpecRetuneTipMachBudgetGate.java,failed_tip_mach_budget,no candidate rows
propeller_archive_rotor_spec_retune_tip_mach_budget_scenario,synthetic_ready_validation_one_failed,min_candidate_max_mach_margin,,,0.0,mach,,,,,,false,false,false,false,false,false,false,BLOCKED,validation-result-failed,drone-sim-core/src/main/java/com/tenicana/dronecraft/sim/PropellerArchiveRotorSpecRetuneTipMachBudgetGate.java,failed_tip_mach_budget,no candidate rows
propeller_archive_rotor_spec_retune_tip_mach_budget_scenario,synthetic_ready_validation_one_failed,config_patch_allowed_count,,,0,count,,,,,,false,false,false,false,false,false,false,BLOCKED,validation-result-failed,drone-sim-core/src/main/java/com/tenicana/dronecraft/sim/PropellerArchiveRotorSpecRetuneTipMachBudgetGate.java,failed_tip_mach_budget,direct config patch remains closed
propeller_archive_rotor_spec_retune_tip_mach_budget_scenario,synthetic_ready_validation_one_failed,runtime_coupling_allowed_count,,,0,count,,,,,,false,false,false,false,false,false,false,BLOCKED,validation-result-failed,drone-sim-core/src/main/java/com/tenicana/dronecraft/sim/PropellerArchiveRotorSpecRetuneTipMachBudgetGate.java,failed_tip_mach_budget,runtime coupling remains closed
propeller_archive_rotor_spec_retune_tip_mach_budget_scenario,synthetic_ready_validation_one_failed,gameplay_auto_apply_allowed_count,,,0,count,,,,,,false,false,false,false,false,false,false,BLOCKED,validation-result-failed,drone-sim-core/src/main/java/com/tenicana/dronecraft/sim/PropellerArchiveRotorSpecRetuneTipMachBudgetGate.java,failed_tip_mach_budget,playable auto apply remains closed
propeller_archive_rotor_spec_retune_tip_mach_budget_scenario,synthetic_ready_validation_one_failed,message,,,validation-result-failed,text,,,,,,false,false,false,false,false,false,false,BLOCKED,validation-result-failed,drone-sim-core/src/main/java/com/tenicana/dronecraft/sim/PropellerArchiveRotorSpecRetuneTipMachBudgetGate.java,failed_tip_mach_budget,failed validation blocks budget
propeller_archive_rotor_spec_retune_tip_mach_budget,synthetic_ready_validation_all_pass,racingQuad,15.0,340.29228686527705,0.2544862390346117,0.2800893172401641,0.5693830087790251,0.6266668829797807,0.35,0.7,0.46,true,true,true,true,true,false,false,false,READY,tip-mach-budget-ready-compressibility-review-required,drone-sim-core/src/main/java/com/tenicana/dronecraft/sim/PropellerArchiveRotorSpecRetuneTipMachBudgetGate.java,tip_mach_budget_row,candidate max tip Mach remains under hard budget but crosses compressibility onset
propeller_archive_rotor_spec_retune_tip_mach_budget,synthetic_ready_validation_all_pass,apDrone,15.0,340.29228686527705,0.20024725834552842,0.20754779260300985,0.592768384926339,0.6143792970390007,0.35,0.7,0.46,true,true,true,true,true,false,false,false,READY,tip-mach-budget-ready-compressibility-review-required,drone-sim-core/src/main/java/com/tenicana/dronecraft/sim/PropellerArchiveRotorSpecRetuneTipMachBudgetGate.java,tip_mach_budget_row,candidate max tip Mach remains under hard budget but crosses compressibility onset
propeller_archive_rotor_spec_retune_tip_mach_budget_summary,all_scenarios,scenario_count,,,4,count,,,,,,false,false,false,false,false,false,false,READY,,drone-sim-core/src/main/java/com/tenicana/dronecraft/sim/PropellerArchiveRotorSpecRetuneTipMachBudgetGate.java,tip_mach_budget_summary,current missing all-pass and failed scenarios
propeller_archive_rotor_spec_retune_tip_mach_budget_summary,all_scenarios,tip_mach_budget_available_scenario_count,,,1,count,,,,,,false,false,false,false,false,false,false,READY,,drone-sim-core/src/main/java/com/tenicana/dronecraft/sim/PropellerArchiveRotorSpecRetuneTipMachBudgetGate.java,tip_mach_budget_summary,only synthetic all-pass scenario opens budget rows
propeller_archive_rotor_spec_retune_tip_mach_budget_summary,all_scenarios,total_budget_row_count,,,2,count,,,,,,false,false,false,false,false,false,false,READY,,drone-sim-core/src/main/java/com/tenicana/dronecraft/sim/PropellerArchiveRotorSpecRetuneTipMachBudgetGate.java,tip_mach_budget_summary,racingQuad and apDrone
propeller_archive_rotor_spec_retune_tip_mach_budget_summary,all_scenarios,max_budget_row_count,,,2,count,,,,,,false,false,false,false,false,false,false,READY,,drone-sim-core/src/main/java/com/tenicana/dronecraft/sim/PropellerArchiveRotorSpecRetuneTipMachBudgetGate.java,tip_mach_budget_summary,max accepted scenario row count
propeller_archive_rotor_spec_retune_tip_mach_budget_summary,all_scenarios,max_tip_mach_budget_accepted_count,,,2,count,,,,,,false,false,false,false,false,false,false,READY,,drone-sim-core/src/main/java/com/tenicana/dronecraft/sim/PropellerArchiveRotorSpecRetuneTipMachBudgetGate.java,tip_mach_budget_summary,both candidates remain below hover and max limits
propeller_archive_rotor_spec_retune_tip_mach_budget_summary,all_scenarios,max_compressibility_review_required_count,,,2,count,,,,,,false,false,false,false,false,false,false,READY,,drone-sim-core/src/main/java/com/tenicana/dronecraft/sim/PropellerArchiveRotorSpecRetuneTipMachBudgetGate.java,tip_mach_budget_summary,both candidates exceed compressibility onset at max rpm
propeller_archive_rotor_spec_retune_tip_mach_budget_summary,all_scenarios,max_candidate_hover_tip_mach,,,0.2800893172401641,mach,,,,,,false,false,false,false,false,false,false,READY,,drone-sim-core/src/main/java/com/tenicana/dronecraft/sim/PropellerArchiveRotorSpecRetuneTipMachBudgetGate.java,tip_mach_budget_summary,max hover Mach after retune
propeller_archive_rotor_spec_retune_tip_mach_budget_summary,all_scenarios,max_candidate_max_tip_mach,,,0.6266668829797807,mach,,,,,,false,false,false,false,false,false,false,READY,,drone-sim-core/src/main/java/com/tenicana/dronecraft/sim/PropellerArchiveRotorSpecRetuneTipMachBudgetGate.java,tip_mach_budget_summary,max full-throttle Mach after retune
