row_type,scenario_name,status,metric,value,unit,lookup_reference_review_scenario,openfoam_dimensional_handoff_scenario,lookup_reference_review_ready,lookup_reference_material_export_allowed,openfoam_dimensional_handoff_ready,openfoam_dimensional_support_ready,openfoam_solver_quality_contract_ready,openfoam_coefficient_lookup_shape_guard_ready,lookup_performance_reference_row_available_count,lookup_full_simulation_reference_row_available_count,expected_openfoam_reference_row_count,openfoam_reference_row_available_count,blocked_openfoam_reference_row_count,openfoam_solver_quality_blocker_count,reference_materialization_ready,runtime_coupling_allowed,gameplay_auto_apply_allowed,next_required_action,note
propeller_archive_ct_cp_j_openfoam_dimensional_reference_materialization_summary,all,BLOCKED,materialization_ready_scenario_count,1,count,n/a,n/a,false,false,false,false,false,false,9,6,6,6,0,0,true,false,false,materialize-openfoam-dimensional-reference-table-after-review,one synthetic combination opens reference materialization
propeller_archive_ct_cp_j_openfoam_dimensional_reference_materialization_summary,all,BLOCKED,blocked_scenario_count,4,count,n/a,n/a,false,false,false,false,false,false,0,0,6,0,6,4,false,false,false,complete-ct-cp-j-lookup-reference-review-before-openfoam-materialization,four combinations stay blocked
propeller_archive_ct_cp_j_openfoam_dimensional_reference_materialization_summary,all,BLOCKED,max_lookup_performance_reference_row_available_count,9,count,n/a,n/a,true,true,false,true,true,true,9,6,6,0,6,0,false,false,false,materialize-ct-cp-j-lookup-reference-table-after-review,reviewed lookup path can expose nine performance rows
propeller_archive_ct_cp_j_openfoam_dimensional_reference_materialization_summary,all,BLOCKED,max_lookup_full_simulation_reference_row_available_count,6,count,n/a,n/a,true,true,false,true,true,true,9,6,6,0,6,0,false,false,false,materialize-ct-cp-j-lookup-reference-table-after-review,reviewed lookup path can expose six full simulation rows
propeller_archive_ct_cp_j_openfoam_dimensional_reference_materialization_summary,all,BLOCKED,max_expected_openfoam_reference_row_count,6,count,n/a,n/a,false,false,false,false,false,false,0,0,6,0,6,4,false,false,false,verify-openfoam-dimensional-reference-target-count,six geometry backed OpenFOAM SI rows are expected
propeller_archive_ct_cp_j_openfoam_dimensional_reference_materialization_summary,all,BLOCKED,max_openfoam_reference_row_available_count,6,count,n/a,n/a,true,true,true,true,true,true,9,6,6,6,0,0,true,false,false,materialize-openfoam-dimensional-reference-table-after-review,six OpenFOAM rows open only in the all reviewed combination
propeller_archive_ct_cp_j_openfoam_dimensional_reference_materialization_summary,all,BLOCKED,max_blocked_openfoam_reference_row_count,6,count,n/a,n/a,false,false,false,false,false,false,0,0,6,0,6,4,false,false,false,complete-openfoam-dimensional-reference-materialization-gate,six OpenFOAM rows remain blocked in incomplete combinations
propeller_archive_ct_cp_j_openfoam_dimensional_reference_materialization_summary,all,BLOCKED,current_lookup_performance_reference_row_available_count,0,count,current_result_seeds_unavailable_reference_blocked,current_dimensional_support_blocked,false,false,false,false,false,false,0,0,6,0,6,4,false,false,false,execute-clearance-evidence-ledger-before-reviewed-payload-output,current lookup reference rows are unavailable
propeller_archive_ct_cp_j_openfoam_dimensional_reference_materialization_summary,all,BLOCKED,current_openfoam_reference_row_available_count,0,count,current_result_seeds_unavailable_reference_blocked,current_dimensional_support_blocked,false,false,false,false,false,false,0,0,6,0,6,4,false,false,false,execute-clearance-evidence-ledger-before-reviewed-payload-output,current OpenFOAM SI rows are unavailable
propeller_archive_ct_cp_j_openfoam_dimensional_reference_materialization_summary,all,BLOCKED,current_blocked_openfoam_reference_row_count,6,count,current_result_seeds_unavailable_reference_blocked,current_dimensional_support_blocked,false,false,false,false,false,false,0,0,6,0,6,4,false,false,false,execute-clearance-evidence-ledger-before-reviewed-payload-output,current OpenFOAM SI rows remain blocked
propeller_archive_ct_cp_j_openfoam_dimensional_reference_materialization_summary,all,BLOCKED,openfoam_dimensional_handoff_ready_scenario_count,2,count,n/a,n/a,false,false,true,true,true,true,0,0,6,0,6,0,false,false,false,review-accepted-ct-cp-j-results-before-reference-export,two scenarios have reviewed OpenFOAM dimensional handoff rows
propeller_archive_ct_cp_j_openfoam_dimensional_reference_materialization_summary,all,BLOCKED,lookup_reference_review_ready_scenario_count,2,count,n/a,n/a,true,true,false,true,true,true,9,6,6,0,6,0,false,false,false,review-openfoam-dimensional-reference-before-materialization,two scenarios have reviewed CT/CP/J lookup reference rows
propeller_archive_ct_cp_j_openfoam_dimensional_reference_materialization_summary,all,BLOCKED,max_openfoam_solver_quality_blocker_count,4,count,n/a,n/a,false,false,false,false,false,false,0,0,6,0,6,4,false,false,false,review-openfoam-mesh-yplus-and-time-step-against-run-setup,current OpenFOAM handoff carries four solver quality blocker classes
propeller_archive_ct_cp_j_openfoam_dimensional_reference_materialization_summary,all,BLOCKED,openfoam_solver_quality_blocked_scenario_count,2,count,n/a,n/a,false,false,false,false,false,false,0,0,6,0,6,4,false,false,false,review-openfoam-mesh-yplus-and-time-step-against-run-setup,two combinations inherit current solver quality blockers
propeller_archive_ct_cp_j_openfoam_dimensional_reference_materialization_summary,all,BLOCKED,runtime_coupling_allowed_count,0,count,n/a,n/a,true,true,true,true,true,true,9,6,6,6,0,0,true,false,false,keep-runtime-coupling-and-gameplay-auto-apply-closed,no materialization scenario can couple to runtime physics
propeller_archive_ct_cp_j_openfoam_dimensional_reference_materialization_summary,all,BLOCKED,gameplay_auto_apply_allowed_count,0,count,n/a,n/a,true,true,true,true,true,true,9,6,6,6,0,0,true,false,false,keep-runtime-coupling-and-gameplay-auto-apply-closed,no materialization scenario can auto apply gameplay tuning
propeller_archive_ct_cp_j_openfoam_dimensional_reference_materialization_summary,all,BLOCKED,first_materialization_ready_scenario,lookup_reference_and_openfoam_ready,text,acceptance_handoff_ready_reference_reviewed,dimensional_support_ready_reference_reviewed,true,true,true,true,true,true,9,6,6,6,0,0,true,false,false,materialize-openfoam-dimensional-reference-table-after-review,all reviewed combination is the first ready state
propeller_archive_ct_cp_j_openfoam_dimensional_reference_materialization_summary,all,BLOCKED,current_status,BLOCKED,text,current_result_seeds_unavailable_reference_blocked,current_dimensional_support_blocked,false,false,false,false,false,false,0,0,6,0,6,4,false,false,false,execute-clearance-evidence-ledger-before-reviewed-payload-output,current materialization state is blocked
propeller_archive_ct_cp_j_openfoam_dimensional_reference_materialization_summary,all,BLOCKED,next_required_action,execute-clearance-evidence-ledger-before-reviewed-payload-output,text,current_result_seeds_unavailable_reference_blocked,current_dimensional_support_blocked,false,false,false,false,false,false,0,0,6,0,6,4,false,false,false,execute-clearance-evidence-ledger-before-reviewed-payload-output,current next action comes from lookup reference readiness
propeller_archive_ct_cp_j_openfoam_dimensional_reference_materialization_method,all,READY,method_note,require-reviewed-ct-cp-j-lookup-reference-rows-and-reviewed-openfoam-dimensional-reference-handoff-rows-before-opening-si-cfd-reference-table-weights,text,n/a,n/a,false,false,false,false,false,false,0,0,6,0,6,4,false,false,false,keep-runtime-coupling-and-gameplay-auto-apply-closed,method keeps CFD reference material audit only until both reviewed chains pass
