row_type,name,case_or_metric,status,metric,value,unit,performance_match_id,fit_input_window_kind,query_advance_ratio_j,query_rpm,archive_sample_row_count,archive_static_sample_row_count,archive_nonstatic_sample_row_count,archive_distinct_rpm_bin_count,minimum_performance_neighbor_rows,available_rectangular_neighbor_rows,available_nonstatic_neighbor_rows,direct_static_anchor_binding,scattered_surface_fit_required,archive_curve_shape_guard_passed,negative_thrust_tail_row_count,archive_max_eta_formula_residual,archive_max_ct_increase,post_review_full_simulation_lookup_allowed,source_rows_reviewed,fit_input_window_ready,runtime_coupling_allowed,gameplay_auto_apply_allowed,next_required_action,note
propeller_archive_ct_cp_j_scattered_fit_input_window,apDrone,high_domain_max_rpm,BLOCKED,fit_input_window_kind,SCATTERED_SURFACE_FIT,text,da4052 5.0x3.75 - 3,SCATTERED_SURFACE_FIT,0.73152,7946.7,63,14,49,18,2,1,0,false,true,true,5,0.00027500814692071884,0.000071,true,false,false,false,false,review-source-license-before-fit-input-window,source review blocks high-domain scattered fit input window
propeller_archive_ct_cp_j_scattered_fit_input_window,heavyLift,static_anchor_low_rpm,BLOCKED,fit_input_window_kind,DIRECT_STATIC_ANCHOR,text,ancf 10.0x5.0 - 2,DIRECT_STATIC_ANCHOR,0.0,1060.0,128,14,114,20,1,1,0,true,false,true,44,0.00000000000000000,0.000071,false,false,false,false,false,review-source-license-before-fit-input-window,source review blocks performance-only static anchor input window
propeller_archive_ct_cp_j_scattered_fit_input_window,heavyLift,mid_domain_mid_rpm,BLOCKED,fit_input_window_kind,SCATTERED_SURFACE_FIT,text,ancf 10.0x5.0 - 2,SCATTERED_SURFACE_FIT,0.3335,4250.0,128,14,114,20,4,2,0,false,true,true,44,0.00000000000000000,0.000071,false,false,false,false,false,review-source-license-before-fit-input-window,source review blocks performance-only scattered fit input window
propeller_archive_ct_cp_j_scattered_fit_input_window,heavyLift,high_domain_max_rpm,BLOCKED,fit_input_window_kind,SCATTERED_SURFACE_FIT,text,ancf 10.0x5.0 - 2,SCATTERED_SURFACE_FIT,0.6003,7440.0,128,14,114,20,2,1,0,false,true,true,44,0.00000000000000000,0.000071,false,false,false,false,false,review-source-license-before-fit-input-window,source review blocks performance-only high-domain scattered fit input window
propeller_archive_ct_cp_j_scattered_fit_input_window_summary,all,window_row_count,BLOCKED,window_row_count,9,count,all,,,,,,,,,,,false,false,true,9,0.00027500814692071884,0.000071,false,false,false,false,false,inspect-fit-input-windows,nine post-review CT CP J lookup windows
propeller_archive_ct_cp_j_scattered_fit_input_window_summary,all,direct_static_anchor_window_count,BLOCKED,direct_static_anchor_window_count,3,count,all,,,,,,,,,,,true,false,true,9,0.00027500814692071884,0.000071,false,false,false,false,false,bind-reviewed-static-ct-cp-j-anchor,three static windows can bind direct after review
propeller_archive_ct_cp_j_scattered_fit_input_window_summary,all,scattered_surface_fit_required_window_count,BLOCKED,scattered_surface_fit_required_window_count,6,count,all,,,,,,,,,,,false,true,true,9,0.00027500814692071884,0.000071,false,false,false,false,false,fit-reviewed-scattered-ct-cp-j-surface,six nonstatic windows require scattered fit
propeller_archive_ct_cp_j_scattered_fit_input_window_summary,all,post_review_full_simulation_window_count,BLOCKED,post_review_full_simulation_window_count,6,count,all,,,,,,,,,,,false,false,true,9,0.00027500814692071884,0.000071,true,false,false,false,false,resolve-full-simulation-ready-rows,racingQuad and apDrone windows are full-simulation candidates
propeller_archive_ct_cp_j_scattered_fit_input_window_summary,all,post_review_performance_only_window_count,BLOCKED,post_review_performance_only_window_count,3,count,all,,,,,,,,,,,false,false,true,9,0.00027500814692071884,0.000071,false,false,false,false,false,resolve-heavy-lift-reviewed-geometry-before-openfoam-mesh,heavyLift remains performance-only
propeller_archive_ct_cp_j_scattered_fit_input_window_summary,all,archive_curve_shape_guard_ready_window_count,BLOCKED,archive_curve_shape_guard_ready_window_count,9,count,all,,,,,,,,,,,false,false,true,9,0.00027500814692071884,0.000071,false,false,false,false,false,preserve-archive-curve-shape-guard,all windows inherit passing shape guard
propeller_archive_ct_cp_j_scattered_fit_input_window_summary,all,negative_thrust_tail_window_count,BLOCKED,negative_thrust_tail_window_count,9,count,all,,,,,,,,,,,false,false,true,9,0.00027500814692071884,0.000071,false,false,false,false,false,keep-positive-thrust-envelope-and-extrapolation-guards,all windows inherit high-J negative-tail diagnostics
propeller_archive_ct_cp_j_scattered_fit_input_window_summary,all,source_rows_reviewed_window_count,BLOCKED,source_rows_reviewed_window_count,0,count,all,,,,,,,,,,,false,false,true,9,0.00027500814692071884,0.000071,false,false,false,false,false,review-source-license-before-fit-input-window,current source review blocks all windows
propeller_archive_ct_cp_j_scattered_fit_input_window_summary,all,fit_input_window_ready_count,BLOCKED,fit_input_window_ready_count,0,count,all,,,,,,,,,,,false,false,true,9,0.00027500814692071884,0.000071,false,false,false,false,false,review-source-license-before-fit-input-window,no current fit input window is ready
propeller_archive_ct_cp_j_scattered_fit_input_window_summary,all,max_archive_sample_row_count,BLOCKED,max_archive_sample_row_count,128,count,all,,,,,,,,,,,false,false,true,9,0.00027500814692071884,0.000071,false,false,false,false,false,inspect-heavy-lift-archive-window,largest selected archive curve has 128 rows
propeller_archive_ct_cp_j_scattered_fit_input_window_summary,all,max_archive_static_sample_row_count,BLOCKED,max_archive_static_sample_row_count,14,count,all,,,,,,,,,,,false,false,true,9,0.00027500814692071884,0.000071,false,false,false,false,false,inspect-static-anchor-coverage,largest selected static sample count is 14
propeller_archive_ct_cp_j_scattered_fit_input_window_summary,all,max_archive_nonstatic_sample_row_count,BLOCKED,max_archive_nonstatic_sample_row_count,114,count,all,,,,,,,,,,,false,true,true,9,0.00027500814692071884,0.000071,false,false,false,false,false,inspect-nonstatic-fit-support,largest selected nonstatic sample count is 114
propeller_archive_ct_cp_j_scattered_fit_input_window_summary,all,max_archive_distinct_rpm_bin_count,BLOCKED,max_archive_distinct_rpm_bin_count,20,count,all,,,,,,,,,,,false,true,true,9,0.00027500814692071884,0.000071,false,false,false,false,false,inspect-rpm-track-coverage,largest selected rpm-bin count is 20
propeller_archive_ct_cp_j_scattered_fit_input_window_summary,all,runtime_coupling_allowed_count,BLOCKED,runtime_coupling_allowed_count,0,count,all,,,,,,,,,,,false,false,true,9,0.00027500814692071884,0.000071,false,false,false,false,false,keep-runtime-coupling-closed,no input window can mutate runtime physics
propeller_archive_ct_cp_j_scattered_fit_input_window_summary,all,gameplay_auto_apply_allowed_count,BLOCKED,gameplay_auto_apply_allowed_count,0,count,all,,,,,,,,,,,false,false,true,9,0.00027500814692071884,0.000071,false,false,false,false,false,keep-gameplay-auto-apply-closed,no input window can auto tune gameplay
propeller_archive_ct_cp_j_scattered_fit_input_window_method,all,method,READY,method_description,compact-archive-fit-input-window,text,all,,,,,,,,,,,false,false,true,9,0.00027500814692071884,0.000071,false,false,false,false,false,fit-reviewed-scattered-ct-cp-j-surface,static windows may bind after review while nonstatic sparse-track windows require reviewed scattered CT CP J surface fitting
