row_type,component_category,component_name,dataset_filename,dataset_id,dataset_version,doi,source_scope,source_page,download_url,local_source_file,size_bytes,content_type,note,spec_name,value,unit,component_value,config_value,comparison_value
apdrone_component_spec,propeller,Foxeer Donut 5145 Props,P02_Foxeer Donut 5145.pdf,zgsvdtxnfh,2,10.17632/zgsvdtxnfh.2,foxeer_official_product_page,https://www.foxeer.com/foxeer-donut-5145-props-g-520,,docs/data/raw/apdrone_zgsvdtxnfh_v2/component_datasheets/P02_Foxeer Donut 5145.pdf,,,Official Foxeer page lists Height of Hub 6.5 mm.,hub_height_mm,6.5,mm,,,
apdrone_component_spec,propeller,Foxeer Donut 5145 Props,P02_Foxeer Donut 5145.pdf,zgsvdtxnfh,2,10.17632/zgsvdtxnfh.2,foxeer_official_product_page,https://www.foxeer.com/foxeer-donut-5145-props-g-520,,docs/data/raw/apdrone_zgsvdtxnfh_v2/component_datasheets/P02_Foxeer Donut 5145.pdf,,,Official Foxeer page lists Pure PC.,material,Pure PC,,,,
apdrone_component_spec,motor,APdrone 2507 1800KV brushless motor,P03_2507 1800KV Brushless Motor.pdf,zgsvdtxnfh,2,10.17632/zgsvdtxnfh.2,apdrone_dataset_pdf_filename,https://data.mendeley.com/datasets/zgsvdtxnfh/2,,docs/data/raw/apdrone_zgsvdtxnfh_v2/component_datasheets/P03_2507 1800KV Brushless Motor.pdf,,,Exact APdrone component PDF is image-only; the filename itself records 2507 1800KV.,kv_from_component_pdf_filename,1800,rpm_per_volt,,,
apdrone_component_spec,motor,APdrone 2507 1800KV brushless motor,P03_2507 1800KV Brushless Motor.pdf,zgsvdtxnfh,2,10.17632/zgsvdtxnfh.2,apdrone_dataset_pdf_filename,https://data.mendeley.com/datasets/zgsvdtxnfh/2,,docs/data/raw/apdrone_zgsvdtxnfh_v2/component_datasheets/P03_2507 1800KV Brushless Motor.pdf,,,Derived from the 2507 motor-size convention in the APdrone PDF filename.,stator_diameter_mm_from_2507,25,mm,,,
apdrone_component_spec,motor,APdrone 2507 1800KV brushless motor,P03_2507 1800KV Brushless Motor.pdf,zgsvdtxnfh,2,10.17632/zgsvdtxnfh.2,apdrone_dataset_pdf_filename,https://data.mendeley.com/datasets/zgsvdtxnfh/2,,docs/data/raw/apdrone_zgsvdtxnfh_v2/component_datasheets/P03_2507 1800KV Brushless Motor.pdf,,,Derived from the 2507 motor-size convention in the APdrone PDF filename.,stator_height_mm_from_2507,7,mm,,,
apdrone_component_spec,motor,DarwinFPV 2507 1800KV comparable motor,P03_2507 1800KV Brushless Motor.pdf,zgsvdtxnfh,2,10.17632/zgsvdtxnfh.2,manufacturer_comparable_product_page,https://darwinfpv.com/products/darwin-129-2507-1800kv-3-6s-brushless-motor,,docs/data/raw/apdrone_zgsvdtxnfh_v2/component_datasheets/P03_2507 1800KV Brushless Motor.pdf,,,"Comparable 2507 1800KV page claims 1.8 kg max thrust; use only as a same-size motor sanity anchor, not proof of APdrone's exact motor curve.",max_thrust_g,1800,g,,,
apdrone_component_spec,motor,DarwinFPV 2507 1800KV comparable motor,P03_2507 1800KV Brushless Motor.pdf,zgsvdtxnfh,2,10.17632/zgsvdtxnfh.2,manufacturer_comparable_product_page,https://darwinfpv.com/products/darwin-129-2507-1800kv-3-6s-brushless-motor,,docs/data/raw/apdrone_zgsvdtxnfh_v2/component_datasheets/P03_2507 1800KV Brushless Motor.pdf,,,Comparable 2507 1800KV page describes the motor as intended for 5-6 inch freestyle drones.,target_prop_size_range,5-6,in_prop,,,
apdrone_component_spec,battery,Zeee 4S 1500mAh 14.8V 100C LiPo Battery,P08_Zeee 4S 1500mAh 14.8V 100C Lipo Battery.pdf,zgsvdtxnfh,2,10.17632/zgsvdtxnfh.2,apdrone_dataset_pdf_filename,https://data.mendeley.com/datasets/zgsvdtxnfh/2,,docs/data/raw/apdrone_zgsvdtxnfh_v2/component_datasheets/P08_Zeee 4S 1500mAh 14.8V 100C Lipo Battery.pdf,,,Exact APdrone component PDF is image-only; filename records 1500 mAh.,capacity_mah_from_component_pdf_filename,1500,mAh,,,
apdrone_component_spec,battery,Zeee 4S 1500mAh 14.8V 100C LiPo Battery,P08_Zeee 4S 1500mAh 14.8V 100C Lipo Battery.pdf,zgsvdtxnfh,2,10.17632/zgsvdtxnfh.2,apdrone_dataset_pdf_filename,https://data.mendeley.com/datasets/zgsvdtxnfh/2,,docs/data/raw/apdrone_zgsvdtxnfh_v2/component_datasheets/P08_Zeee 4S 1500mAh 14.8V 100C Lipo Battery.pdf,,,Filename records a 4S 14.8 V nominal LiPo.,nominal_voltage_v_from_component_pdf_filename,14.8,V,,,
apdrone_component_spec,battery,Zeee 4S 1500mAh 14.8V 100C LiPo Battery,P08_Zeee 4S 1500mAh 14.8V 100C Lipo Battery.pdf,zgsvdtxnfh,2,10.17632/zgsvdtxnfh.2,apdrone_dataset_pdf_filename,https://data.mendeley.com/datasets/zgsvdtxnfh/2,,docs/data/raw/apdrone_zgsvdtxnfh_v2/component_datasheets/P08_Zeee 4S 1500mAh 14.8V 100C Lipo Battery.pdf,,,"Filename records 100C. Current Zeee 1500 mAh official listing found online is 120C, so keep this APdrone value separate.",discharge_c_from_component_pdf_filename,100,C,,,
apdrone_component_spec,battery,Zeee 4S 1500mAh 14.8V 100C LiPo Battery,P08_Zeee 4S 1500mAh 14.8V 100C Lipo Battery.pdf,zgsvdtxnfh,2,10.17632/zgsvdtxnfh.2,derived_from_apdrone_dataset_pdf_filename,https://data.mendeley.com/datasets/zgsvdtxnfh/2,,docs/data/raw/apdrone_zgsvdtxnfh_v2/component_datasheets/P08_Zeee 4S 1500mAh 14.8V 100C Lipo Battery.pdf,,,"Derived as 1.5 Ah * 100C. Treat C-rating as a manufacturer claim, not measured continuous current.",claimed_max_discharge_current_a,150,A,,,
apdrone_component_spec,battery,Zeee 4S 1500mAh current official listing,P08_Zeee 4S 1500mAh 14.8V 100C Lipo Battery.pdf,zgsvdtxnfh,2,10.17632/zgsvdtxnfh.2,manufacturer_current_similar_product_page,https://zeeebattery.com/products/zeee-4s-lipo-battery-1500mah-14-8v-120c-xt60,,docs/data/raw/apdrone_zgsvdtxnfh_v2/component_datasheets/P08_Zeee 4S 1500mAh 14.8V 100C Lipo Battery.pdf,,,"Current Zeee 1500 mAh official listing is 120C, not the APdrone PDF's 100C label; use weight as similar-pack context only.",approx_weight_g_current_120c_listing,176.7,g,,,
apdrone_component_spec,esc,Foxeer Reaper F4 128K 65A BL32 4in1 ESC,P09_Foxeer Reaper F4 128K 65A BL32 4in1 ESC.pdf,zgsvdtxnfh,2,10.17632/zgsvdtxnfh.2,foxeer_official_product_page,https://www.foxeer.com/foxeer-reaper-f4-128k-65a-bl32-4in1-9-40v-esc-30-5-30-5mm-m3-g-420,,docs/data/raw/apdrone_zgsvdtxnfh_v2/component_datasheets/P09_Foxeer Reaper F4 128K 65A BL32 4in1 ESC.pdf,,,Official Foxeer page lists 65A*4 continuous current.,continuous_current_per_channel_a,65,A,,,
apdrone_component_spec,esc,Foxeer Reaper F4 128K 65A BL32 4in1 ESC,P09_Foxeer Reaper F4 128K 65A BL32 4in1 ESC.pdf,zgsvdtxnfh,2,10.17632/zgsvdtxnfh.2,foxeer_official_product_page,https://www.foxeer.com/foxeer-reaper-f4-128k-65a-bl32-4in1-9-40v-esc-30-5-30-5mm-m3-g-420,,docs/data/raw/apdrone_zgsvdtxnfh_v2/component_datasheets/P09_Foxeer Reaper F4 128K 65A BL32 4in1 ESC.pdf,,,Official Foxeer page lists 100A*4 burst current.,burst_current_per_channel_a,100,A,,,
apdrone_component_spec,esc,Foxeer Reaper F4 128K 65A BL32 4in1 ESC,P09_Foxeer Reaper F4 128K 65A BL32 4in1 ESC.pdf,zgsvdtxnfh,2,10.17632/zgsvdtxnfh.2,foxeer_official_product_page,https://www.foxeer.com/foxeer-reaper-f4-128k-65a-bl32-4in1-9-40v-esc-30-5-30-5mm-m3-g-420,,docs/data/raw/apdrone_zgsvdtxnfh_v2/component_datasheets/P09_Foxeer Reaper F4 128K 65A BL32 4in1 ESC.pdf,,,"Official Foxeer page lists DC 9V-40V, 3-8S LiPo.",input_voltage_range_v,9-40,V,,,
apdrone_component_spec,esc,Foxeer Reaper F4 128K 65A BL32 4in1 ESC,P09_Foxeer Reaper F4 128K 65A BL32 4in1 ESC.pdf,zgsvdtxnfh,2,10.17632/zgsvdtxnfh.2,foxeer_official_product_page,https://www.foxeer.com/foxeer-reaper-f4-128k-65a-bl32-4in1-9-40v-esc-30-5-30-5mm-m3-g-420,,docs/data/raw/apdrone_zgsvdtxnfh_v2/component_datasheets/P09_Foxeer Reaper F4 128K 65A BL32 4in1 ESC.pdf,,,Official Foxeer page lists these input signals.,supported_protocols,"DShot150/300/600/1200, MultiShot, OneShot",,,,
apdrone_component_spec,esc,Foxeer Reaper F4 128K 65A BL32 4in1 ESC,P09_Foxeer Reaper F4 128K 65A BL32 4in1 ESC.pdf,zgsvdtxnfh,2,10.17632/zgsvdtxnfh.2,foxeer_official_product_page,https://www.foxeer.com/foxeer-reaper-f4-128k-65a-bl32-4in1-9-40v-esc-30-5-30-5mm-m3-g-420,,docs/data/raw/apdrone_zgsvdtxnfh_v2/component_datasheets/P09_Foxeer Reaper F4 128K 65A BL32 4in1 ESC.pdf,,,Official Foxeer page lists Current Scaling 70.,current_scaling,70,esc_current_scale,,,
apdrone_component_spec,flight_controller,Foxeer F722 V4 FC MPU6000 8S Dual BEC Barometer X8,P10_Foxeer F722 V4 Flight Con- troller MPU6000 8S.pdf,zgsvdtxnfh,2,10.17632/zgsvdtxnfh.2,foxeer_official_product_page,https://www.foxeer.com/foxeer-f722-v4-mpu6000-fc-8s-dual-bec-barometer-x8-g-502,,docs/data/raw/apdrone_zgsvdtxnfh_v2/component_datasheets/P10_Foxeer F722 V4 Flight Con- troller MPU6000 8S.pdf,,,Official Foxeer 8S MPU6000 X8 page lists CPU STM32F722RET6.,cpu,STM32F722RET6,,,,
apdrone_component_spec,flight_controller,Foxeer F722 V4 FC MPU6000 8S Dual BEC Barometer X8,P10_Foxeer F722 V4 Flight Con- troller MPU6000 8S.pdf,zgsvdtxnfh,2,10.17632/zgsvdtxnfh.2,foxeer_official_product_page,https://www.foxeer.com/foxeer-f722-v4-mpu6000-fc-8s-dual-bec-barometer-x8-g-502,,docs/data/raw/apdrone_zgsvdtxnfh_v2/component_datasheets/P10_Foxeer F722 V4 Flight Con- troller MPU6000 8S.pdf,,,Official Foxeer 8S MPU6000 X8 product name/model lists MPU6000.,gyro,MPU6000,,,,
apdrone_component_spec,flight_controller,Foxeer F722 V4 FC MPU6000 8S Dual BEC Barometer X8,P10_Foxeer F722 V4 Flight Con- troller MPU6000 8S.pdf,zgsvdtxnfh,2,10.17632/zgsvdtxnfh.2,foxeer_official_product_page,https://www.foxeer.com/foxeer-f722-v4-mpu6000-fc-8s-dual-bec-barometer-x8-g-502,,docs/data/raw/apdrone_zgsvdtxnfh_v2/component_datasheets/P10_Foxeer F722 V4 Flight Con- troller MPU6000 8S.pdf,,,Official Foxeer page lists barometer DPS310.,barometer,DPS310,,,,
apdrone_component_spec,flight_controller,Foxeer F722 V4 FC MPU6000 8S Dual BEC Barometer X8,P10_Foxeer F722 V4 Flight Con- troller MPU6000 8S.pdf,zgsvdtxnfh,2,10.17632/zgsvdtxnfh.2,foxeer_official_product_page,https://www.foxeer.com/foxeer-f722-v4-mpu6000-fc-8s-dual-bec-barometer-x8-g-502,,docs/data/raw/apdrone_zgsvdtxnfh_v2/component_datasheets/P10_Foxeer F722 V4 Flight Con- troller MPU6000 8S.pdf,,,Official Foxeer page lists 4-8S LiPo power supply.,power_supply_cells,4-8S,LiPo,,,
apdrone_component_spec,flight_controller,Foxeer F722 V4 FC MPU6000 8S Dual BEC Barometer X8,P10_Foxeer F722 V4 Flight Con- troller MPU6000 8S.pdf,zgsvdtxnfh,2,10.17632/zgsvdtxnfh.2,foxeer_official_product_page,https://www.foxeer.com/foxeer-f722-v4-mpu6000-fc-8s-dual-bec-barometer-x8-g-502,,docs/data/raw/apdrone_zgsvdtxnfh_v2/component_datasheets/P10_Foxeer F722 V4 Flight Con- troller MPU6000 8S.pdf,,,Official Foxeer page lists 16M flash memory.,blackbox_flash_mb,16,MB,,,
apdrone_component_spec,flight_controller,Foxeer F722 V4 FC MPU6000 8S Dual BEC Barometer X8,P10_Foxeer F722 V4 Flight Con- troller MPU6000 8S.pdf,zgsvdtxnfh,2,10.17632/zgsvdtxnfh.2,foxeer_official_product_page,https://www.foxeer.com/foxeer-f722-v4-mpu6000-fc-8s-dual-bec-barometer-x8-g-502,,docs/data/raw/apdrone_zgsvdtxnfh_v2/component_datasheets/P10_Foxeer F722 V4 Flight Con- troller MPU6000 8S.pdf,,,Official Foxeer page lists 7.7 g.,weight_g,7.7,g,,,
apdrone_component_config_crosscheck,motor,APdrone 2507 motor KV,P03_2507 1800KV Brushless Motor.pdf,,,,apdrone_betaflight_config_vs_component_pdf_filename,https://data.mendeley.com/datasets/zgsvdtxnfh/2,,docs/data/raw/apdrone_zgsvdtxnfh_v2/betaflight_configuration_for_f722.txt,,,"APdrone component PDF filename says 1800KV, while the Betaflight dump uses motor_kv=1960. Treat KV as unresolved until the exact motor datasheet is OCR-checked or weighed against RPM telemetry.",betaflight_motor_kv_over_component_filename_kv,1.0888888888888888,ratio,1800.0,1960.0,
apdrone_component_config_crosscheck,battery,Zeee 4S 1500mAh APdrone battery,P08_Zeee 4S 1500mAh 14.8V 100C Lipo Battery.pdf,,,,apdrone_betaflight_config_vs_component_pdf_filename,https://data.mendeley.com/datasets/zgsvdtxnfh/2,,docs/data/raw/apdrone_zgsvdtxnfh_v2/betaflight_configuration_for_f722.txt,,,APdrone component filename and Betaflight dump both indicate a 1500 mAh pack.,betaflight_bat_capacity_matches_component_filename,true,boolean,1500.0,1500.0,
apdrone_component_derived_limit,battery_vs_esc,APdrone claimed pack C-rating versus 4-in-1 ESC rating,P08_Zeee 4S 1500mAh 14.8V 100C Lipo Battery.pdf,,,,derived_from_component_specs,https://data.mendeley.com/datasets/zgsvdtxnfh/2,,docs/data/raw/apdrone_zgsvdtxnfh_v2/component_datasheets/P08_Zeee 4S 1500mAh 14.8V 100C Lipo Battery.pdf,,,"1.5Ah*100C gives a 150A claim, while the 4-in-1 ESC continuous aggregate is 4*65A=260A. Battery C-rating is a claim, not measured usable current.",claimed_pack_current_over_total_esc_continuous_current,0.5769230769230769,ratio,150.0,,260.0
apdrone_component_config_crosscheck,esc,Foxeer Reaper F4 65A ESC protocol,P09_Foxeer Reaper F4 128K 65A BL32 4in1 ESC.pdf,,,,apdrone_betaflight_config_vs_official_esc_spec,https://data.mendeley.com/datasets/zgsvdtxnfh/2,,docs/data/raw/apdrone_zgsvdtxnfh_v2/betaflight_configuration_for_f722.txt,,,APdrone Betaflight dump uses DSHOT600; official ESC page lists DShot600 support.,betaflight_motor_protocol_supported_by_esc,true,boolean,DShot150/300/600/1200,DSHOT600,
