row_type,name,metric,value,unit,source_file,evidence_role,required,current_satisfied,reviewed_import_satisfied,synthetic_target_satisfied,post_review_ct_cp_j_allowed,post_review_full_simulation_allowed,runtime_coupling_allowed,gameplay_auto_apply_allowed,next_required_action,status,note
propeller_archive_ct_cp_j_lookup_interpolation_rule,reject_extrapolation,rule,queries-outside-reviewed-J-RPM-bounds-are-rejected-instead-of-extrapolated,text,drone-sim-core/src/main/java/com/tenicana/dronecraft/sim/PropellerArchiveCtCpJLookupInterpolationPolicy.java,policy_rule,true,true,true,true,false,false,false,false,reject-query-until-reviewed-extrapolation-policy,READY,out-of-domain probes remain blocked
propeller_archive_ct_cp_j_lookup_interpolation_rule,shape_preserving_ct,rule,CT-interpolation-must-not-overshoot-neighbor-extrema,text,drone-sim-core/src/main/java/com/tenicana/dronecraft/sim/PropellerArchiveCtCpJLookupInterpolationPolicy.java,policy_rule,true,false,true,true,false,false,false,false,accept-ct-shape-preservation-before-reference-export,BLOCKED,prevents invented thrust bumps
propeller_archive_ct_cp_j_lookup_interpolation_rule,positive_cp,rule,CP-interpolation-must-remain-positive-and-finite,text,drone-sim-core/src/main/java/com/tenicana/dronecraft/sim/PropellerArchiveCtCpJLookupInterpolationPolicy.java,policy_rule,true,false,true,true,false,false,false,false,accept-cp-positivity-before-reference-export,BLOCKED,prevents unphysical shaft-power rows
propeller_archive_ct_cp_j_lookup_interpolation_rule,eta_consistency,rule,eta-must-agree-with-J-times-CT-over-CP-after-low-J-guard,text,drone-sim-core/src/main/java/com/tenicana/dronecraft/sim/PropellerArchiveCtCpJLookupInterpolationPolicy.java,policy_rule,true,false,true,true,false,false,false,false,accept-eta-consistency-before-reference-export,BLOCKED,power and thrust rows must close
propeller_archive_ct_cp_j_lookup_interpolation_rule,runtime_leak_guard,rule,policy-output-cannot-drive-runtime-physics-or-gameplay-auto-apply,text,drone-sim-core/src/main/java/com/tenicana/dronecraft/sim/PropellerArchiveCtCpJLookupInterpolationPolicy.java,policy_rule,true,true,true,true,false,false,false,false,keep-runtime-coupling-and-gameplay-auto-apply-closed,READY,no runtime leak from interpolation policy
propeller_archive_ct_cp_j_lookup_interpolation_contract,racingQuad,static_anchor_low_rpm,J=0;rpm=1477.8;j_neighbors=1;rpm_neighbors=1;neighbor_rows=1,contract,drone-sim-core/src/main/java/com/tenicana/dronecraft/sim/PropellerArchiveCtCpJLookupInterpolationPolicy.java,query_contract,true,false,true,true,true,true,false,false,review-source-license-then-bind-reviewed-ct-cp-j-rows-to-interpolation-policy,INTERPOLATION_READY_AFTER_REVIEW,static DA4052 anchor preserved after review
propeller_archive_ct_cp_j_lookup_interpolation_contract,racingQuad,mid_domain_mid_rpm,J=0.4064;rpm=4712.25;j_neighbors=2;rpm_neighbors=2;neighbor_rows=4,contract,drone-sim-core/src/main/java/com/tenicana/dronecraft/sim/PropellerArchiveCtCpJLookupInterpolationPolicy.java,query_contract,true,false,true,true,true,true,false,false,review-source-license-then-bind-reviewed-ct-cp-j-rows-to-interpolation-policy,INTERPOLATION_READY_AFTER_REVIEW,mid-domain query requires four reviewed neighbors
propeller_archive_ct_cp_j_lookup_interpolation_contract,racingQuad,high_domain_max_rpm,J=0.73152;rpm=7946.7;j_neighbors=2;rpm_neighbors=1;neighbor_rows=2,contract,drone-sim-core/src/main/java/com/tenicana/dronecraft/sim/PropellerArchiveCtCpJLookupInterpolationPolicy.java,query_contract,true,false,true,true,true,true,false,false,review-source-license-then-bind-reviewed-ct-cp-j-rows-to-interpolation-policy,INTERPOLATION_READY_AFTER_REVIEW,upper-RPM in-domain query needs two J neighbors
propeller_archive_ct_cp_j_lookup_interpolation_contract,racingQuad,high_j_extrapolation_probe,J=0.93472;rpm=7946.7;j_neighbors=0;rpm_neighbors=0;neighbor_rows=0,contract,drone-sim-core/src/main/java/com/tenicana/dronecraft/sim/PropellerArchiveCtCpJLookupInterpolationPolicy.java,query_contract,true,true,true,true,false,false,false,false,reject-query-until-reviewed-extrapolation-policy,EXTRAPOLATION_REJECTED,high-J probe rejected before interpolation
propeller_archive_ct_cp_j_lookup_interpolation_contract,apDrone,static_anchor_low_rpm,J=0;rpm=1477.8;j_neighbors=1;rpm_neighbors=1;neighbor_rows=1,contract,drone-sim-core/src/main/java/com/tenicana/dronecraft/sim/PropellerArchiveCtCpJLookupInterpolationPolicy.java,query_contract,true,false,true,true,true,true,false,false,review-source-license-then-bind-reviewed-ct-cp-j-rows-to-interpolation-policy,INTERPOLATION_READY_AFTER_REVIEW,static DA4052 anchor preserved after review
propeller_archive_ct_cp_j_lookup_interpolation_contract,apDrone,mid_domain_mid_rpm,J=0.4064;rpm=4712.25;j_neighbors=2;rpm_neighbors=2;neighbor_rows=4,contract,drone-sim-core/src/main/java/com/tenicana/dronecraft/sim/PropellerArchiveCtCpJLookupInterpolationPolicy.java,query_contract,true,false,true,true,true,true,false,false,review-source-license-then-bind-reviewed-ct-cp-j-rows-to-interpolation-policy,INTERPOLATION_READY_AFTER_REVIEW,mid-domain query requires four reviewed neighbors
propeller_archive_ct_cp_j_lookup_interpolation_contract,apDrone,high_domain_max_rpm,J=0.73152;rpm=7946.7;j_neighbors=2;rpm_neighbors=1;neighbor_rows=2,contract,drone-sim-core/src/main/java/com/tenicana/dronecraft/sim/PropellerArchiveCtCpJLookupInterpolationPolicy.java,query_contract,true,false,true,true,true,true,false,false,review-source-license-then-bind-reviewed-ct-cp-j-rows-to-interpolation-policy,INTERPOLATION_READY_AFTER_REVIEW,upper-RPM in-domain query needs two J neighbors
propeller_archive_ct_cp_j_lookup_interpolation_contract,apDrone,high_j_extrapolation_probe,J=0.93472;rpm=7946.7;j_neighbors=0;rpm_neighbors=0;neighbor_rows=0,contract,drone-sim-core/src/main/java/com/tenicana/dronecraft/sim/PropellerArchiveCtCpJLookupInterpolationPolicy.java,query_contract,true,true,true,true,false,false,false,false,reject-query-until-reviewed-extrapolation-policy,EXTRAPOLATION_REJECTED,high-J probe rejected before interpolation
propeller_archive_ct_cp_j_lookup_interpolation_contract,cinewhoop,static_anchor_low_rpm,J=0;rpm=2963.3;j_neighbors=1;rpm_neighbors=1;neighbor_rows=1,contract,drone-sim-core/src/main/java/com/tenicana/dronecraft/sim/PropellerArchiveCtCpJLookupInterpolationPolicy.java,query_contract,true,false,true,true,false,false,false,false,resolve-cinewhoop-three-blade-coverage-or-correction,COVERAGE_BLOCKED,two-blade curve cannot seed three-blade preset
propeller_archive_ct_cp_j_lookup_interpolation_contract,cinewhoop,mid_domain_mid_rpm,J=0.5337;rpm=9013.15;j_neighbors=2;rpm_neighbors=2;neighbor_rows=4,contract,drone-sim-core/src/main/java/com/tenicana/dronecraft/sim/PropellerArchiveCtCpJLookupInterpolationPolicy.java,query_contract,true,false,true,true,false,false,false,false,resolve-cinewhoop-three-blade-coverage-or-correction,COVERAGE_BLOCKED,two-blade curve cannot seed three-blade preset
propeller_archive_ct_cp_j_lookup_interpolation_contract,cinewhoop,high_domain_max_rpm,J=0.96066;rpm=15063;j_neighbors=2;rpm_neighbors=1;neighbor_rows=2,contract,drone-sim-core/src/main/java/com/tenicana/dronecraft/sim/PropellerArchiveCtCpJLookupInterpolationPolicy.java,query_contract,true,false,true,true,false,false,false,false,resolve-cinewhoop-three-blade-coverage-or-correction,COVERAGE_BLOCKED,two-blade curve cannot seed three-blade preset
propeller_archive_ct_cp_j_lookup_interpolation_contract,cinewhoop,high_j_extrapolation_probe,J=1.22751;rpm=15063;j_neighbors=0;rpm_neighbors=0;neighbor_rows=0,contract,drone-sim-core/src/main/java/com/tenicana/dronecraft/sim/PropellerArchiveCtCpJLookupInterpolationPolicy.java,query_contract,true,true,true,true,false,false,false,false,reject-query-until-reviewed-extrapolation-policy,EXTRAPOLATION_REJECTED,high-J probe rejected before interpolation
propeller_archive_ct_cp_j_lookup_interpolation_contract,heavyLift,static_anchor_low_rpm,J=0;rpm=1060;j_neighbors=1;rpm_neighbors=1;neighbor_rows=1,contract,drone-sim-core/src/main/java/com/tenicana/dronecraft/sim/PropellerArchiveCtCpJLookupInterpolationPolicy.java,query_contract,true,false,true,true,true,false,false,false,add-heavy-lift-geometry-match-or-reviewed-surrogate,PERFORMANCE_INTERPOLATION_READY_AFTER_REVIEW_FULL_SIM_BLOCKED,performance interpolation can proceed after review but geometry is missing
propeller_archive_ct_cp_j_lookup_interpolation_contract,heavyLift,mid_domain_mid_rpm,J=0.3335;rpm=4250;j_neighbors=2;rpm_neighbors=2;neighbor_rows=4,contract,drone-sim-core/src/main/java/com/tenicana/dronecraft/sim/PropellerArchiveCtCpJLookupInterpolationPolicy.java,query_contract,true,false,true,true,true,false,false,false,add-heavy-lift-geometry-match-or-reviewed-surrogate,PERFORMANCE_INTERPOLATION_READY_AFTER_REVIEW_FULL_SIM_BLOCKED,performance interpolation can proceed after review but geometry is missing
propeller_archive_ct_cp_j_lookup_interpolation_contract,heavyLift,high_domain_max_rpm,J=0.6003;rpm=7440;j_neighbors=2;rpm_neighbors=1;neighbor_rows=2,contract,drone-sim-core/src/main/java/com/tenicana/dronecraft/sim/PropellerArchiveCtCpJLookupInterpolationPolicy.java,query_contract,true,false,true,true,true,false,false,false,add-heavy-lift-geometry-match-or-reviewed-surrogate,PERFORMANCE_INTERPOLATION_READY_AFTER_REVIEW_FULL_SIM_BLOCKED,performance interpolation can proceed after review but geometry is missing
propeller_archive_ct_cp_j_lookup_interpolation_contract,heavyLift,high_j_extrapolation_probe,J=0.76705;rpm=7440;j_neighbors=0;rpm_neighbors=0;neighbor_rows=0,contract,drone-sim-core/src/main/java/com/tenicana/dronecraft/sim/PropellerArchiveCtCpJLookupInterpolationPolicy.java,query_contract,true,true,true,true,false,false,false,false,reject-query-until-reviewed-extrapolation-policy,EXTRAPOLATION_REJECTED,high-J probe rejected before interpolation
propeller_archive_ct_cp_j_lookup_interpolation_summary,all,policy_rule_count,9,count,drone-sim-core/src/main/java/com/tenicana/dronecraft/sim/PropellerArchiveCtCpJLookupInterpolationPolicy.java,summary,true,true,true,true,false,false,false,false,verify-policy-rule-contract,TRIAGED,nine interpolation rules are declared
propeller_archive_ct_cp_j_lookup_interpolation_summary,all,query_contract_count,16,count,drone-sim-core/src/main/java/com/tenicana/dronecraft/sim/PropellerArchiveCtCpJLookupInterpolationPolicy.java,summary,true,true,true,true,false,false,false,false,verify-query-contract-count,TRIAGED,sixteen query contracts are derived from query envelope
propeller_archive_ct_cp_j_lookup_interpolation_summary,all,inside_lookup_domain_contract_count,12,count,drone-sim-core/src/main/java/com/tenicana/dronecraft/sim/PropellerArchiveCtCpJLookupInterpolationPolicy.java,summary,true,true,true,true,false,false,false,false,verify-domain-contract-count,TRIAGED,twelve contracts are inside J RPM domains
propeller_archive_ct_cp_j_lookup_interpolation_summary,all,extrapolation_rejected_contract_count,4,count,drone-sim-core/src/main/java/com/tenicana/dronecraft/sim/PropellerArchiveCtCpJLookupInterpolationPolicy.java,summary,true,true,true,true,false,false,false,false,reject-query-until-reviewed-extrapolation-policy,READY,four high-J probes remain rejected
propeller_archive_ct_cp_j_lookup_interpolation_summary,all,current_interpolation_allowed_count,0,count,drone-sim-core/src/main/java/com/tenicana/dronecraft/sim/PropellerArchiveCtCpJLookupInterpolationPolicy.java,summary,true,false,false,false,false,false,false,false,review-source-license-before-importing-raw-rows,BLOCKED,no current interpolation is allowed
propeller_archive_ct_cp_j_lookup_interpolation_summary,all,post_review_ct_cp_j_interpolation_allowed_count,9,count,drone-sim-core/src/main/java/com/tenicana/dronecraft/sim/PropellerArchiveCtCpJLookupInterpolationPolicy.java,summary,true,false,true,true,true,false,false,false,review-source-license-then-bind-reviewed-ct-cp-j-rows-to-interpolation-policy,TRIAGED,three presets times three in-domain performance contracts
propeller_archive_ct_cp_j_lookup_interpolation_summary,all,post_review_full_simulation_interpolation_allowed_count,6,count,drone-sim-core/src/main/java/com/tenicana/dronecraft/sim/PropellerArchiveCtCpJLookupInterpolationPolicy.java,summary,true,false,true,true,true,true,false,false,resolve-cinewhoop-blade-count-and-heavy-lift-geometry-coverage,TRIAGED,racingQuad and APDrone have full simulation coverage
propeller_archive_ct_cp_j_lookup_interpolation_summary,all,post_review_performance_only_interpolation_count,3,count,drone-sim-core/src/main/java/com/tenicana/dronecraft/sim/PropellerArchiveCtCpJLookupInterpolationPolicy.java,summary,true,false,true,true,true,false,false,false,add-heavy-lift-geometry-match-or-reviewed-surrogate,TRIAGED,heavyLift performance rows are geometry blocked
propeller_archive_ct_cp_j_lookup_interpolation_summary,all,blade_coverage_blocked_contract_count,3,count,drone-sim-core/src/main/java/com/tenicana/dronecraft/sim/PropellerArchiveCtCpJLookupInterpolationPolicy.java,summary,true,false,true,true,false,false,false,false,resolve-cinewhoop-three-blade-coverage-or-correction,BLOCKED,cinewhoop in-domain contracts remain blocked
propeller_archive_ct_cp_j_lookup_interpolation_summary,all,geometry_coverage_blocked_contract_count,3,count,drone-sim-core/src/main/java/com/tenicana/dronecraft/sim/PropellerArchiveCtCpJLookupInterpolationPolicy.java,summary,true,false,true,true,true,false,false,false,add-heavy-lift-geometry-match-or-reviewed-surrogate,BLOCKED,heavyLift in-domain contracts remain geometry blocked
propeller_archive_ct_cp_j_lookup_interpolation_summary,all,static_anchor_contract_count,3,count,drone-sim-core/src/main/java/com/tenicana/dronecraft/sim/PropellerArchiveCtCpJLookupInterpolationPolicy.java,summary,true,false,true,true,true,false,false,false,preserve-static-ct-cp-anchor,TRIAGED,three accepted performance static anchors must be preserved
propeller_archive_ct_cp_j_lookup_interpolation_summary,all,eta_consistency_required_contract_count,9,count,drone-sim-core/src/main/java/com/tenicana/dronecraft/sim/PropellerArchiveCtCpJLookupInterpolationPolicy.java,summary,true,false,true,true,true,false,false,false,accept-eta-consistency-before-reference-export,TRIAGED,every accepted performance contract requires eta closure
propeller_archive_ct_cp_j_lookup_interpolation_summary,all,cp_positive_required_contract_count,9,count,drone-sim-core/src/main/java/com/tenicana/dronecraft/sim/PropellerArchiveCtCpJLookupInterpolationPolicy.java,summary,true,false,true,true,true,false,false,false,accept-cp-positivity-before-reference-export,TRIAGED,every accepted performance contract requires positive CP
propeller_archive_ct_cp_j_lookup_interpolation_summary,all,minimum_post_review_performance_neighbor_rows,21,count,drone-sim-core/src/main/java/com/tenicana/dronecraft/sim/PropellerArchiveCtCpJLookupInterpolationPolicy.java,summary,true,false,true,true,true,false,false,false,validate-reviewed-neighbor-coverage,TRIAGED,minimum reviewed CT CP rows needed for accepted performance contracts
propeller_archive_ct_cp_j_lookup_interpolation_summary,all,minimum_post_review_full_simulation_neighbor_rows,14,count,drone-sim-core/src/main/java/com/tenicana/dronecraft/sim/PropellerArchiveCtCpJLookupInterpolationPolicy.java,summary,true,false,true,true,true,true,false,false,validate-reviewed-neighbor-coverage,TRIAGED,minimum reviewed CT CP rows needed for full-simulation contracts
propeller_archive_ct_cp_j_lookup_interpolation_summary,all,runtime_coupling_allowed_count,0,count,drone-sim-core/src/main/java/com/tenicana/dronecraft/sim/PropellerArchiveCtCpJLookupInterpolationPolicy.java,summary,true,true,true,true,false,false,false,false,keep-runtime-coupling-and-gameplay-auto-apply-closed,READY,no policy row can couple to runtime physics
propeller_archive_ct_cp_j_lookup_interpolation_summary,all,gameplay_auto_apply_allowed_count,0,count,drone-sim-core/src/main/java/com/tenicana/dronecraft/sim/PropellerArchiveCtCpJLookupInterpolationPolicy.java,summary,true,true,true,true,false,false,false,false,keep-runtime-coupling-and-gameplay-auto-apply-closed,READY,no policy row can auto-apply gameplay tuning
propeller_archive_ct_cp_j_lookup_interpolation_summary,all,next_required_action,review-source-license-then-bind-reviewed-ct-cp-j-rows-to-interpolation-policy,text,drone-sim-core/src/main/java/com/tenicana/dronecraft/sim/PropellerArchiveCtCpJLookupInterpolationPolicy.java,summary,true,false,true,true,false,false,false,false,review-source-license-then-bind-reviewed-ct-cp-j-rows-to-interpolation-policy,BLOCKED,next step before coefficient lookup interpolation
propeller_archive_ct_cp_j_lookup_interpolation_method,all,method_note,derive-minimum-j-rpm-neighbor-contracts-from-query-envelope-without-computing-ct-cp-values,text,docs/data/propeller_archive_ct_cp_j_lookup_interpolation_policy_packet.csv,method,true,true,true,true,false,false,false,false,keep-raw-data-out-of-repository,READY,no raw wind-tunnel rows or fitted coefficients are vendored
