row_type,name,metric,value,unit,source_file,evidence_role,required,current_satisfied,post_review_satisfied,case_setup_ready,runtime_coupling_allowed,gameplay_auto_apply_allowed,next_required_action,status,note
propeller_archive_ct_cp_j_openfoam_run_setup_rule,reference_materialization_required,requirement,allow external case setup authoring only after reviewed CT/CP/J lookup and OpenFOAM dimensional reference materialization,text,drone-sim-core/src/main/java/com/tenicana/dronecraft/sim/PropellerArchiveCtCpJOpenFoamRunSetup.java,setup_rule,true,false,true,false,false,false,execute-clearance-evidence-ledger-before-reviewed-payload-output,BLOCKED,materialization gate is the first blocker before case template authoring
propeller_archive_ct_cp_j_openfoam_run_setup_rule,exact_j_rpm_run_point,requirement,preserve manifest J and RPM coordinates for external CFD case authoring,text,drone-sim-core/src/main/java/com/tenicana/dronecraft/sim/PropellerArchiveCtCpJOpenFoamRunSetup.java,setup_rule,true,true,true,false,false,false,bind-openfoam-case-template-to-manifest-run-point,READY,run setup carries exact manifest coordinates
propeller_archive_ct_cp_j_openfoam_run_setup_rule,freestream_from_advance_ratio,requirement,use V=J*n*D so coefficient and SI result contracts share the same freestream,text,drone-sim-core/src/main/java/com/tenicana/dronecraft/sim/PropellerArchiveCtCpJOpenFoamRunSetup.java,setup_rule,true,true,true,false,false,false,author-openfoam-inlet-or-moving-reference-frame-from-run-setup,READY,advance ratio is converted to axial freestream speed
propeller_archive_ct_cp_j_openfoam_run_setup_rule,rotor_geometry_from_drone_config,requirement,use DroneConfig rotor radius pitch blade count and representative chord for setup dimensions,text,drone-sim-core/src/main/java/com/tenicana/dronecraft/sim/PropellerArchiveCtCpJOpenFoamRunSetup.java,setup_rule,true,true,true,false,false,false,review-config-geometry-before-openfoam-case-export,READY,geometry reference is explicit but still requires external case authoring review
propeller_archive_ct_cp_j_openfoam_run_setup_rule,standard_air_reference,requirement,use explicit standard density temperature viscosity and speed of sound references,text,drone-sim-core/src/main/java/com/tenicana/dronecraft/sim/PropellerArchiveCtCpJOpenFoamRunSetup.java,setup_rule,true,true,true,false,false,false,keep-air-reference-visible-in-openfoam-results,READY,air reference values are recorded for reproducible normalization
propeller_archive_ct_cp_j_openfoam_run_setup_rule,mach_and_reynolds_diagnostics,requirement,record helical tip Mach and 0.75R chord Reynolds for mesh and timestep review,text,drone-sim-core/src/main/java/com/tenicana/dronecraft/sim/PropellerArchiveCtCpJOpenFoamRunSetup.java,setup_rule,true,true,true,false,false,false,review-openfoam-mesh-yplus-and-time-step-against-run-setup,READY,diagnostics are available before external solver execution
propeller_archive_ct_cp_j_openfoam_run_setup_rule,source_case_hash_required,requirement,external case archive SHA-256 is still required before results can enter contracts,text,drone-sim-core/src/main/java/com/tenicana/dronecraft/sim/PropellerArchiveCtCpJOpenFoamRunSetup.java,setup_rule,true,false,true,false,false,false,author-external-openfoam-case-template-and-record-case-sha256,BLOCKED,no external case archive hash exists yet
propeller_archive_ct_cp_j_openfoam_run_setup_rule,no_runtime_or_gameplay_auto_apply,requirement,setup rows are offline CFD authoring evidence only,text,drone-sim-core/src/main/java/com/tenicana/dronecraft/sim/PropellerArchiveCtCpJOpenFoamRunSetup.java,leak_guard,true,true,true,false,false,false,keep-runtime-coupling-and-gameplay-auto-apply-closed,READY,run setup has no runtime or playable mutation authority
propeller_archive_ct_cp_j_openfoam_run_setup,racingQuad,static_anchor_low_rpm,case_key=racingQuad/static_anchor_low_rpm;J=0.0;rpm=1477.8;D=0.127;V=0.0;omega=154.75485332843162;tipMach=0.02887791941122053;Re75=4793.703209742471;materialization=current_lookup_and_openfoam_blocked;materialization_ready=false;blocked_reference_rows=6;mat_action=execute-clearance-evidence-ledger-before-reviewed-payload-output,run_setup,drone-sim-core/src/main/java/com/tenicana/dronecraft/sim/PropellerArchiveCtCpJOpenFoamRunSetup.java,external_case_setup,true,false,false,false,false,false,execute-clearance-evidence-ledger-before-reviewed-payload-output,BLOCKED,setup is computable but reference materialization is still blocked
propeller_archive_ct_cp_j_openfoam_run_setup,racingQuad,mid_domain_mid_rpm,case_key=racingQuad/mid_domain_mid_rpm;J=0.4064;rpm=4712.25;D=0.127;V=4.053540279999999;omega=493.4656660626167;tipMach=0.09285008363845466;Re75=15511.35283589175;materialization=current_lookup_and_openfoam_blocked;materialization_ready=false;blocked_reference_rows=6;mat_action=execute-clearance-evidence-ledger-before-reviewed-payload-output,run_setup,drone-sim-core/src/main/java/com/tenicana/dronecraft/sim/PropellerArchiveCtCpJOpenFoamRunSetup.java,external_case_setup,true,false,false,false,false,false,execute-clearance-evidence-ledger-before-reviewed-payload-output,BLOCKED,setup is computable but reference materialization is still blocked
propeller_archive_ct_cp_j_openfoam_run_setup,racingQuad,high_domain_max_rpm,case_key=racingQuad/high_domain_max_rpm;J=0.73152;rpm=7946.7;D=0.127;V=12.3045431328;omega=832.1764787968016;tipMach=0.1594419162659843;Re75=26991.358896136968;materialization=current_lookup_and_openfoam_blocked;materialization_ready=false;blocked_reference_rows=6;mat_action=execute-clearance-evidence-ledger-before-reviewed-payload-output,run_setup,drone-sim-core/src/main/java/com/tenicana/dronecraft/sim/PropellerArchiveCtCpJOpenFoamRunSetup.java,external_case_setup,true,false,false,false,false,false,execute-clearance-evidence-ledger-before-reviewed-payload-output,BLOCKED,setup is computable but reference materialization is still blocked
propeller_archive_ct_cp_j_openfoam_run_setup,apDrone,static_anchor_low_rpm,case_key=apDrone/static_anchor_low_rpm;J=0.0;rpm=1477.8;D=0.12954;V=0.0;omega=154.75485332843162;tipMach=0.029455477799444938;Re75=4998.652292237674;materialization=current_lookup_and_openfoam_blocked;materialization_ready=false;blocked_reference_rows=6;mat_action=execute-clearance-evidence-ledger-before-reviewed-payload-output,run_setup,drone-sim-core/src/main/java/com/tenicana/dronecraft/sim/PropellerArchiveCtCpJOpenFoamRunSetup.java,external_case_setup,true,false,false,false,false,false,execute-clearance-evidence-ledger-before-reviewed-payload-output,BLOCKED,setup is computable but reference materialization is still blocked
propeller_archive_ct_cp_j_openfoam_run_setup,apDrone,mid_domain_mid_rpm,case_key=apDrone/mid_domain_mid_rpm;J=0.4064;rpm=4712.25;D=0.12954;V=4.134611085599999;omega=493.4656660626167;tipMach=0.09470708531122377;Re75=16174.522288167078;materialization=current_lookup_and_openfoam_blocked;materialization_ready=false;blocked_reference_rows=6;mat_action=execute-clearance-evidence-ledger-before-reviewed-payload-output,run_setup,drone-sim-core/src/main/java/com/tenicana/dronecraft/sim/PropellerArchiveCtCpJOpenFoamRunSetup.java,external_case_setup,true,false,false,false,false,false,execute-clearance-evidence-ledger-before-reviewed-payload-output,BLOCKED,setup is computable but reference materialization is still blocked
propeller_archive_ct_cp_j_openfoam_run_setup,apDrone,high_domain_max_rpm,case_key=apDrone/high_domain_max_rpm;J=0.73152;rpm=7946.7;D=0.12954;V=12.550633995455998;omega=832.1764787968016;tipMach=0.16263075459130397;Re75=28145.342361325085;materialization=current_lookup_and_openfoam_blocked;materialization_ready=false;blocked_reference_rows=6;mat_action=execute-clearance-evidence-ledger-before-reviewed-payload-output,run_setup,drone-sim-core/src/main/java/com/tenicana/dronecraft/sim/PropellerArchiveCtCpJOpenFoamRunSetup.java,external_case_setup,true,false,false,false,false,false,execute-clearance-evidence-ledger-before-reviewed-payload-output,BLOCKED,setup is computable but reference materialization is still blocked
propeller_archive_ct_cp_j_openfoam_run_setup_summary,all_rows,run_setup_row_count,6,count,drone-sim-core/src/main/java/com/tenicana/dronecraft/sim/PropellerArchiveCtCpJOpenFoamRunSetup.java,summary,true,true,true,false,false,false,author-external-openfoam-case-template-and-record-case-sha256,BLOCKED,six manifest-backed run setup rows are defined
propeller_archive_ct_cp_j_openfoam_run_setup_summary,all_rows,current_runnable_count,0,count,drone-sim-core/src/main/java/com/tenicana/dronecraft/sim/PropellerArchiveCtCpJOpenFoamRunSetup.java,summary,true,false,true,false,false,false,author-external-openfoam-case-template-and-record-case-sha256,BLOCKED,no OpenFOAM case is currently runnable inside the repository
propeller_archive_ct_cp_j_openfoam_run_setup_summary,all_rows,post_review_case_buildable_count,6,count,drone-sim-core/src/main/java/com/tenicana/dronecraft/sim/PropellerArchiveCtCpJOpenFoamRunSetup.java,summary,true,false,true,false,false,false,author-external-openfoam-case-template-and-record-case-sha256,BLOCKED,six cases become buildable after external case authoring and review
propeller_archive_ct_cp_j_openfoam_run_setup_summary,all_rows,source_case_sha256_required_count,6,count,drone-sim-core/src/main/java/com/tenicana/dronecraft/sim/PropellerArchiveCtCpJOpenFoamRunSetup.java,summary,true,false,true,false,false,false,author-external-openfoam-case-template-and-record-case-sha256,BLOCKED,every external setup row requires a reviewed case archive hash
propeller_archive_ct_cp_j_openfoam_run_setup_summary,all_rows,current_source_case_sha256_available_count,0,count,drone-sim-core/src/main/java/com/tenicana/dronecraft/sim/PropellerArchiveCtCpJOpenFoamRunSetup.java,summary,true,false,true,false,false,false,author-external-openfoam-case-template-and-record-case-sha256,BLOCKED,no external case archive hash has been supplied
propeller_archive_ct_cp_j_openfoam_run_setup_summary,all_rows,reference_materialization_ready_setup_count,0,count,drone-sim-core/src/main/java/com/tenicana/dronecraft/sim/PropellerArchiveCtCpJOpenFoamRunSetup.java,summary,true,false,true,false,false,false,execute-clearance-evidence-ledger-before-reviewed-payload-output,BLOCKED,no run setup row can proceed to external authoring until materialization opens
propeller_archive_ct_cp_j_openfoam_run_setup_summary,all_rows,run_setup_ready_for_external_authoring_count,0,count,drone-sim-core/src/main/java/com/tenicana/dronecraft/sim/PropellerArchiveCtCpJOpenFoamRunSetup.java,summary,true,false,true,false,false,false,execute-clearance-evidence-ledger-before-reviewed-payload-output,BLOCKED,geometry and flow inputs are computable but upstream reference material is not materialized
propeller_archive_ct_cp_j_openfoam_run_setup_summary,all_rows,blocked_openfoam_reference_row_total,36,count,drone-sim-core/src/main/java/com/tenicana/dronecraft/sim/PropellerArchiveCtCpJOpenFoamRunSetup.java,summary,true,false,true,false,false,false,execute-clearance-evidence-ledger-before-reviewed-payload-output,BLOCKED,six setup rows each inherit six blocked OpenFOAM dimensional reference rows
propeller_archive_ct_cp_j_openfoam_run_setup_summary,all_rows,current_reference_materialization_scenario_name,current_lookup_and_openfoam_blocked,text,drone-sim-core/src/main/java/com/tenicana/dronecraft/sim/PropellerArchiveCtCpJOpenFoamRunSetup.java,summary,true,true,true,false,false,false,execute-clearance-evidence-ledger-before-reviewed-payload-output,BLOCKED,run setup inherits the current OpenFOAM reference materialization scenario
propeller_archive_ct_cp_j_openfoam_run_setup_summary,all_rows,current_reference_materialization_next_required_action,execute-clearance-evidence-ledger-before-reviewed-payload-output,action,drone-sim-core/src/main/java/com/tenicana/dronecraft/sim/PropellerArchiveCtCpJOpenFoamRunSetup.java,summary,true,false,true,false,false,false,execute-clearance-evidence-ledger-before-reviewed-payload-output,BLOCKED,lookup clearance evidence remains ahead of external OpenFOAM case setup authoring
propeller_archive_ct_cp_j_openfoam_run_setup_summary,all_rows,static_anchor_case_count,2,count,drone-sim-core/src/main/java/com/tenicana/dronecraft/sim/PropellerArchiveCtCpJOpenFoamRunSetup.java,summary,true,true,true,false,false,false,bind-openfoam-case-template-to-manifest-run-point,READY,two zero-advance-ratio static anchors remain in the case set
propeller_archive_ct_cp_j_openfoam_run_setup_summary,all_rows,max_query_advance_ratio_j,0.73152,J,drone-sim-core/src/main/java/com/tenicana/dronecraft/sim/PropellerArchiveCtCpJOpenFoamRunSetup.java,summary,true,true,true,false,false,false,bind-openfoam-case-template-to-manifest-run-point,READY,highest manifest advance ratio is retained
propeller_archive_ct_cp_j_openfoam_run_setup_summary,all_rows,max_query_rpm,7946.7,rpm,drone-sim-core/src/main/java/com/tenicana/dronecraft/sim/PropellerArchiveCtCpJOpenFoamRunSetup.java,summary,true,true,true,false,false,false,bind-openfoam-case-template-to-manifest-run-point,READY,highest manifest RPM is retained
propeller_archive_ct_cp_j_openfoam_run_setup_summary,all_rows,max_axial_freestream_speed_meters_per_second,12.550633995455998,m/s,drone-sim-core/src/main/java/com/tenicana/dronecraft/sim/PropellerArchiveCtCpJOpenFoamRunSetup.java,summary,true,true,true,false,false,false,author-openfoam-inlet-or-moving-reference-frame-from-run-setup,READY,max V=J*n*D over the setup rows
propeller_archive_ct_cp_j_openfoam_run_setup_summary,all_rows,max_helical_tip_mach,0.16263075459130397,mach,drone-sim-core/src/main/java/com/tenicana/dronecraft/sim/PropellerArchiveCtCpJOpenFoamRunSetup.java,summary,true,true,true,false,false,false,review-openfoam-mesh-yplus-and-time-step-against-run-setup,READY,max helical tip Mach remains low for incompressible OpenFOAM assumptions
propeller_archive_ct_cp_j_openfoam_run_setup_summary,all_rows,min_reynolds_station_chord_number,4793.703209742471,Re,drone-sim-core/src/main/java/com/tenicana/dronecraft/sim/PropellerArchiveCtCpJOpenFoamRunSetup.java,summary,true,true,true,false,false,false,review-openfoam-mesh-yplus-and-time-step-against-run-setup,READY,lowest 0.75R chord Reynolds is the static racingQuad anchor
propeller_archive_ct_cp_j_openfoam_run_setup_summary,all_rows,max_reynolds_station_chord_number,28145.342361325085,Re,drone-sim-core/src/main/java/com/tenicana/dronecraft/sim/PropellerArchiveCtCpJOpenFoamRunSetup.java,summary,true,true,true,false,false,false,review-openfoam-mesh-yplus-and-time-step-against-run-setup,READY,highest 0.75R chord Reynolds is the APDrone high-domain case
propeller_archive_ct_cp_j_openfoam_run_setup_summary,all_rows,runtime_coupling_allowed_count,0,count,drone-sim-core/src/main/java/com/tenicana/dronecraft/sim/PropellerArchiveCtCpJOpenFoamRunSetup.java,summary,true,true,true,false,false,false,keep-runtime-coupling-and-gameplay-auto-apply-closed,READY,run setup cannot alter runtime physics
propeller_archive_ct_cp_j_openfoam_run_setup_summary,all_rows,gameplay_auto_apply_allowed_count,0,count,drone-sim-core/src/main/java/com/tenicana/dronecraft/sim/PropellerArchiveCtCpJOpenFoamRunSetup.java,summary,true,true,true,false,false,false,keep-runtime-coupling-and-gameplay-auto-apply-closed,READY,run setup cannot tune playable branch automatically
propeller_archive_ct_cp_j_openfoam_run_setup_summary,all_rows,next_required_action,execute-clearance-evidence-ledger-before-reviewed-payload-output,text,drone-sim-core/src/main/java/com/tenicana/dronecraft/sim/PropellerArchiveCtCpJOpenFoamRunSetup.java,summary,true,false,true,false,false,false,execute-clearance-evidence-ledger-before-reviewed-payload-output,BLOCKED,next step is lookup/reference materialization before external case authoring
propeller_archive_ct_cp_j_openfoam_run_setup_method,external_case_authoring_rule,method,manifest-to-dimensional-run-setup-without-vendored-openfoam-output,text,drone-sim-core/src/main/java/com/tenicana/dronecraft/sim/PropellerArchiveCtCpJOpenFoamRunSetup.java,method,true,true,true,false,false,false,author-external-openfoam-case-template-and-record-case-sha256,BLOCKED,run setup derives reproducible external CFD inputs while keeping OpenFOAM cases and raw solver output outside the repository
