row_type,scenario,preset_or_metric,ambient_or_value,post_derate_physical_budget_accepted_or_unit,manual_derate_review_ready,rotor_spec_max_omega_rad_per_sec,rotor_spec_max_rpm,target_max_rpm_scale,contracted_max_omega_rad_per_sec,contracted_max_rpm,required_max_rpm_derate_percent,equivalent_max_thrust_scale,equivalent_max_thrust_loss_percent,target_max_tip_mach,control_boundary,control_layer_clamp_required,rotor_spec_patch_allowed,drone_config_patch_allowed,runtime_implementation_ready,runtime_coupling_allowed,playable_reference_allowed,gameplay_auto_apply_allowed,status,message,source_file,evidence_role,note
propeller_archive_rotor_spec_retune_ambient_compressibility_derate_control_contract_source,source_fingerprint,source_description,PropellerArchiveSourceFingerprint,text,,,,,,,,,,,,,,,,,,,READY,archive identity checked before control-contract review,drone-sim-core/src/main/java/com/tenicana/dronecraft/sim/PropellerArchiveSourceFingerprint.java,source_identity,raw rows remain outside repository
propeller_archive_rotor_spec_retune_ambient_compressibility_derate_control_contract_source,dataset_triage,source_description,PropellerArchiveDatasetTriage,text,,,,,,,,,,,,,,,,,,,READY,CT CP eta and blade geometry dataset is useful after source review,drone-sim-core/src/main/java/com/tenicana/dronecraft/sim/PropellerArchiveDatasetTriage.java,dataset_triage,dataset stays non-vendored
propeller_archive_rotor_spec_retune_ambient_compressibility_derate_control_contract_source,derate_validation_acceptance_gate,source_description,DerateValidationAcceptanceGate,text,,,,,,,,,,,,,,,,,,,READY,accepted cold-air validation rows required,drone-sim-core/src/main/java/com/tenicana/dronecraft/sim/PropellerArchiveRotorSpecRetuneAmbientCompressibilityDerateValidationAcceptanceGate.java,validation_acceptance,synthetic acceptance remains offline
propeller_archive_rotor_spec_retune_ambient_compressibility_derate_control_contract_source,derate_physical_budget,source_description,DeratePhysicalBudgetAcceptanceGate,text,,,,,,,,,,,,,,,,,,,READY,post-derate physical budget feeds target max-RPM scale,drone-sim-core/src/main/java/com/tenicana/dronecraft/sim/PropellerArchiveRotorSpecRetuneAmbientCompressibilityDeratePhysicalBudgetAcceptanceGate.java,physical_budget,accepted budget rows only
propeller_archive_rotor_spec_retune_ambient_compressibility_derate_control_contract_source,drone_config,source_description,DroneConfig RotorSpec,text,,,,,,,,,,,,,,,,,,,READY,baseline max omega and max RPM are read without mutation,drone-sim-core/src/main/java/com/tenicana/dronecraft/sim/DroneConfig.java,rotor_baseline,configuration patch remains closed
propeller_archive_rotor_spec_retune_ambient_compressibility_derate_control_contract_source,runtime_boundary,source_description,DronePhysics targetOmega,text,,,,,,,,,,,,,,,,,,,BLOCKED,runtime hook is named but not implemented,drone-sim-core/src/main/java/com/tenicana/dronecraft/sim/DronePhysics.java,control_boundary,no runtime coupling or playable export
propeller_archive_rotor_spec_retune_ambient_compressibility_derate_control_contract,synthetic_derate_validation_all_pass,racingQuad,cold_sea_level_minus10c,true,true,3051.2857662936467,29137.63274949454,0.9715982698017723,2964.6239712016823,28310.07356552835,2.840173019822779,0.9440031978817975,5.599680211820246,0.6371344703535363,DronePhysics.targetOmega=maxOmega*targetMaxRpmScale-before-motor-response,true,false,false,false,false,false,false,REVIEW_READY,control-contract-ready-runtime-hook-not-enabled,drone-sim-core/src/main/java/com/tenicana/dronecraft/sim/PropellerArchiveRotorSpecRetuneAmbientCompressibilityDerateControlContract.java,contract_row,racingQuad cold-air derate maps to control-layer target max omega only
propeller_archive_rotor_spec_retune_ambient_compressibility_derate_control_contract,synthetic_derate_validation_all_pass,apDrone,cold_sea_level_minus10c,true,true,3114.320044588864,29739.56576798938,0.9910302351978083,3086.385326270149,29472.808857731186,0.8969764802191723,0.9821409270762232,1.7859072923776753,0.6371344703535363,DronePhysics.targetOmega=maxOmega*targetMaxRpmScale-before-motor-response,true,false,false,false,false,false,false,REVIEW_READY,control-contract-ready-runtime-hook-not-enabled,drone-sim-core/src/main/java/com/tenicana/dronecraft/sim/PropellerArchiveRotorSpecRetuneAmbientCompressibilityDerateControlContract.java,contract_row,apDrone cold-air derate maps to control-layer target max omega only
propeller_archive_rotor_spec_retune_ambient_compressibility_derate_control_contract_scenario,current_derate_validation_blocked,rotor_spec_patch_allowed_count,0,count,,,,,,,,,,,,,,,,,,,,BLOCKED,cold-air-derate-validation-not-planned,drone-sim-core/src/main/java/com/tenicana/dronecraft/sim/PropellerArchiveRotorSpecRetuneAmbientCompressibilityDerateControlContract.java,current_scenario,rotor spec patch closed
propeller_archive_rotor_spec_retune_ambient_compressibility_derate_control_contract_scenario,current_derate_validation_blocked,drone_config_patch_allowed_count,0,count,,,,,,,,,,,,,,,,,,,,BLOCKED,cold-air-derate-validation-not-planned,drone-sim-core/src/main/java/com/tenicana/dronecraft/sim/PropellerArchiveRotorSpecRetuneAmbientCompressibilityDerateControlContract.java,current_scenario,config patch closed
propeller_archive_rotor_spec_retune_ambient_compressibility_derate_control_contract_scenario,current_derate_validation_blocked,runtime_coupling_allowed_count,0,count,,,,,,,,,,,,,,,,,,,,BLOCKED,cold-air-derate-validation-not-planned,drone-sim-core/src/main/java/com/tenicana/dronecraft/sim/PropellerArchiveRotorSpecRetuneAmbientCompressibilityDerateControlContract.java,current_scenario,runtime coupling closed
propeller_archive_rotor_spec_retune_ambient_compressibility_derate_control_contract_scenario,current_derate_validation_blocked,playable_reference_allowed_count,0,count,,,,,,,,,,,,,,,,,,,,BLOCKED,cold-air-derate-validation-not-planned,drone-sim-core/src/main/java/com/tenicana/dronecraft/sim/PropellerArchiveRotorSpecRetuneAmbientCompressibilityDerateControlContract.java,current_scenario,playable export closed
propeller_archive_rotor_spec_retune_ambient_compressibility_derate_control_contract_scenario,current_derate_validation_blocked,gameplay_auto_apply_allowed_count,0,count,,,,,,,,,,,,,,,,,,,,BLOCKED,cold-air-derate-validation-not-planned,drone-sim-core/src/main/java/com/tenicana/dronecraft/sim/PropellerArchiveRotorSpecRetuneAmbientCompressibilityDerateControlContract.java,current_scenario,gameplay auto apply closed
propeller_archive_rotor_spec_retune_ambient_compressibility_derate_control_contract_scenario,current_derate_validation_blocked,control_boundary,DronePhysics.targetOmega=maxOmega*targetMaxRpmScale-before-motor-response,text,,,,,,,,,,,,,,,,,,,,BLOCKED,cold-air-derate-validation-not-planned,drone-sim-core/src/main/java/com/tenicana/dronecraft/sim/PropellerArchiveRotorSpecRetuneAmbientCompressibilityDerateControlContract.java,current_scenario,boundary named for future hook
propeller_archive_rotor_spec_retune_ambient_compressibility_derate_control_contract_scenario,current_derate_validation_blocked,status,BLOCKED,text,,,,,,,,,,,,,,,,,,,,BLOCKED,cold-air-derate-validation-not-planned,drone-sim-core/src/main/java/com/tenicana/dronecraft/sim/PropellerArchiveRotorSpecRetuneAmbientCompressibilityDerateControlContract.java,current_scenario,scenario blocked
propeller_archive_rotor_spec_retune_ambient_compressibility_derate_control_contract_scenario,current_derate_validation_blocked,message,cold-air-derate-validation-not-planned,text,,,,,,,,,,,,,,,,,,,,BLOCKED,cold-air-derate-validation-not-planned,drone-sim-core/src/main/java/com/tenicana/dronecraft/sim/PropellerArchiveRotorSpecRetuneAmbientCompressibilityDerateControlContract.java,current_scenario,no validation plan
propeller_archive_rotor_spec_retune_ambient_compressibility_derate_control_contract_scenario,synthetic_derate_validation_results_missing,post_derate_physical_budget_accepted,false,boolean,,,,,,,,,,,,,,,,,,,,BLOCKED,cold-air-derate-validation-result-set-incomplete,drone-sim-core/src/main/java/com/tenicana/dronecraft/sim/PropellerArchiveRotorSpecRetuneAmbientCompressibilityDerateControlContract.java,missing_scenario,no accepted physical budget
propeller_archive_rotor_spec_retune_ambient_compressibility_derate_control_contract_scenario,synthetic_derate_validation_results_missing,derate_control_contract_available,false,boolean,,,,,,,,,,,,,,,,,,,,BLOCKED,cold-air-derate-validation-result-set-incomplete,drone-sim-core/src/main/java/com/tenicana/dronecraft/sim/PropellerArchiveRotorSpecRetuneAmbientCompressibilityDerateControlContract.java,missing_scenario,contract unavailable
propeller_archive_rotor_spec_retune_ambient_compressibility_derate_control_contract_scenario,synthetic_derate_validation_results_missing,contract_row_count,0,count,,,,,,,,,,,,,,,,,,,,BLOCKED,cold-air-derate-validation-result-set-incomplete,drone-sim-core/src/main/java/com/tenicana/dronecraft/sim/PropellerArchiveRotorSpecRetuneAmbientCompressibilityDerateControlContract.java,missing_scenario,no contract rows
propeller_archive_rotor_spec_retune_ambient_compressibility_derate_control_contract_scenario,synthetic_derate_validation_results_missing,control_layer_clamp_required_count,0,count,,,,,,,,,,,,,,,,,,,,BLOCKED,cold-air-derate-validation-result-set-incomplete,drone-sim-core/src/main/java/com/tenicana/dronecraft/sim/PropellerArchiveRotorSpecRetuneAmbientCompressibilityDerateControlContract.java,missing_scenario,no clamp rows
propeller_archive_rotor_spec_retune_ambient_compressibility_derate_control_contract_scenario,synthetic_derate_validation_results_missing,runtime_implementation_ready_count,0,count,,,,,,,,,,,,,,,,,,,,BLOCKED,cold-air-derate-validation-result-set-incomplete,drone-sim-core/src/main/java/com/tenicana/dronecraft/sim/PropellerArchiveRotorSpecRetuneAmbientCompressibilityDerateControlContract.java,missing_scenario,runtime hook closed
propeller_archive_rotor_spec_retune_ambient_compressibility_derate_control_contract_scenario,synthetic_derate_validation_results_missing,max_required_max_rpm_derate_percent,0.0,percent,,,,,,,,,,,,,,,,,,,,BLOCKED,cold-air-derate-validation-result-set-incomplete,drone-sim-core/src/main/java/com/tenicana/dronecraft/sim/PropellerArchiveRotorSpecRetuneAmbientCompressibilityDerateControlContract.java,missing_scenario,no derate
propeller_archive_rotor_spec_retune_ambient_compressibility_derate_control_contract_scenario,synthetic_derate_validation_results_missing,min_target_max_rpm_scale,0.0,ratio,,,,,,,,,,,,,,,,,,,,BLOCKED,cold-air-derate-validation-result-set-incomplete,drone-sim-core/src/main/java/com/tenicana/dronecraft/sim/PropellerArchiveRotorSpecRetuneAmbientCompressibilityDerateControlContract.java,missing_scenario,no scale
propeller_archive_rotor_spec_retune_ambient_compressibility_derate_control_contract_scenario,synthetic_derate_validation_results_missing,max_equivalent_max_thrust_loss_percent,0.0,percent,,,,,,,,,,,,,,,,,,,,BLOCKED,cold-air-derate-validation-result-set-incomplete,drone-sim-core/src/main/java/com/tenicana/dronecraft/sim/PropellerArchiveRotorSpecRetuneAmbientCompressibilityDerateControlContract.java,missing_scenario,no thrust loss
propeller_archive_rotor_spec_retune_ambient_compressibility_derate_control_contract_scenario,synthetic_derate_validation_results_missing,min_contracted_max_rpm,0.0,rpm,,,,,,,,,,,,,,,,,,,,BLOCKED,cold-air-derate-validation-result-set-incomplete,drone-sim-core/src/main/java/com/tenicana/dronecraft/sim/PropellerArchiveRotorSpecRetuneAmbientCompressibilityDerateControlContract.java,missing_scenario,no contracted rpm
propeller_archive_rotor_spec_retune_ambient_compressibility_derate_control_contract_scenario,synthetic_derate_validation_results_missing,max_contracted_max_rpm,0.0,rpm,,,,,,,,,,,,,,,,,,,,BLOCKED,cold-air-derate-validation-result-set-incomplete,drone-sim-core/src/main/java/com/tenicana/dronecraft/sim/PropellerArchiveRotorSpecRetuneAmbientCompressibilityDerateControlContract.java,missing_scenario,no contracted rpm
propeller_archive_rotor_spec_retune_ambient_compressibility_derate_control_contract_scenario,synthetic_derate_validation_results_missing,rotor_spec_patch_allowed_count,0,count,,,,,,,,,,,,,,,,,,,,BLOCKED,cold-air-derate-validation-result-set-incomplete,drone-sim-core/src/main/java/com/tenicana/dronecraft/sim/PropellerArchiveRotorSpecRetuneAmbientCompressibilityDerateControlContract.java,missing_scenario,rotor spec patch closed
propeller_archive_rotor_spec_retune_ambient_compressibility_derate_control_contract_scenario,synthetic_derate_validation_results_missing,drone_config_patch_allowed_count,0,count,,,,,,,,,,,,,,,,,,,,BLOCKED,cold-air-derate-validation-result-set-incomplete,drone-sim-core/src/main/java/com/tenicana/dronecraft/sim/PropellerArchiveRotorSpecRetuneAmbientCompressibilityDerateControlContract.java,missing_scenario,config patch closed
propeller_archive_rotor_spec_retune_ambient_compressibility_derate_control_contract_scenario,synthetic_derate_validation_results_missing,runtime_coupling_allowed_count,0,count,,,,,,,,,,,,,,,,,,,,BLOCKED,cold-air-derate-validation-result-set-incomplete,drone-sim-core/src/main/java/com/tenicana/dronecraft/sim/PropellerArchiveRotorSpecRetuneAmbientCompressibilityDerateControlContract.java,missing_scenario,runtime coupling closed
propeller_archive_rotor_spec_retune_ambient_compressibility_derate_control_contract_scenario,synthetic_derate_validation_results_missing,playable_reference_allowed_count,0,count,,,,,,,,,,,,,,,,,,,,BLOCKED,cold-air-derate-validation-result-set-incomplete,drone-sim-core/src/main/java/com/tenicana/dronecraft/sim/PropellerArchiveRotorSpecRetuneAmbientCompressibilityDerateControlContract.java,missing_scenario,playable export closed
propeller_archive_rotor_spec_retune_ambient_compressibility_derate_control_contract_scenario,synthetic_derate_validation_results_missing,gameplay_auto_apply_allowed_count,0,count,,,,,,,,,,,,,,,,,,,,BLOCKED,cold-air-derate-validation-result-set-incomplete,drone-sim-core/src/main/java/com/tenicana/dronecraft/sim/PropellerArchiveRotorSpecRetuneAmbientCompressibilityDerateControlContract.java,missing_scenario,gameplay auto apply closed
propeller_archive_rotor_spec_retune_ambient_compressibility_derate_control_contract_scenario,synthetic_derate_validation_results_missing,control_boundary,DronePhysics.targetOmega=maxOmega*targetMaxRpmScale-before-motor-response,text,,,,,,,,,,,,,,,,,,,,BLOCKED,cold-air-derate-validation-result-set-incomplete,drone-sim-core/src/main/java/com/tenicana/dronecraft/sim/PropellerArchiveRotorSpecRetuneAmbientCompressibilityDerateControlContract.java,missing_scenario,boundary named for future hook
propeller_archive_rotor_spec_retune_ambient_compressibility_derate_control_contract_scenario,synthetic_derate_validation_results_missing,status,BLOCKED,text,,,,,,,,,,,,,,,,,,,,BLOCKED,cold-air-derate-validation-result-set-incomplete,drone-sim-core/src/main/java/com/tenicana/dronecraft/sim/PropellerArchiveRotorSpecRetuneAmbientCompressibilityDerateControlContract.java,missing_scenario,scenario blocked
propeller_archive_rotor_spec_retune_ambient_compressibility_derate_control_contract_scenario,synthetic_derate_validation_results_missing,message,cold-air-derate-validation-result-set-incomplete,text,,,,,,,,,,,,,,,,,,,,BLOCKED,cold-air-derate-validation-result-set-incomplete,drone-sim-core/src/main/java/com/tenicana/dronecraft/sim/PropellerArchiveRotorSpecRetuneAmbientCompressibilityDerateControlContract.java,missing_scenario,missing result set
propeller_archive_rotor_spec_retune_ambient_compressibility_derate_control_contract_scenario,synthetic_derate_validation_all_pass,post_derate_physical_budget_accepted,true,boolean,,,,,,,,,,,,,,,,,,,,REVIEW_READY,control-contract-ready-runtime-hook-not-enabled,drone-sim-core/src/main/java/com/tenicana/dronecraft/sim/PropellerArchiveRotorSpecRetuneAmbientCompressibilityDerateControlContract.java,all_pass_scenario,accepted physical budget present
propeller_archive_rotor_spec_retune_ambient_compressibility_derate_control_contract_scenario,synthetic_derate_validation_all_pass,derate_control_contract_available,true,boolean,,,,,,,,,,,,,,,,,,,,REVIEW_READY,control-contract-ready-runtime-hook-not-enabled,drone-sim-core/src/main/java/com/tenicana/dronecraft/sim/PropellerArchiveRotorSpecRetuneAmbientCompressibilityDerateControlContract.java,all_pass_scenario,contract available
propeller_archive_rotor_spec_retune_ambient_compressibility_derate_control_contract_scenario,synthetic_derate_validation_all_pass,contract_row_count,2,count,,,,,,,,,,,,,,,,,,,,REVIEW_READY,control-contract-ready-runtime-hook-not-enabled,drone-sim-core/src/main/java/com/tenicana/dronecraft/sim/PropellerArchiveRotorSpecRetuneAmbientCompressibilityDerateControlContract.java,all_pass_scenario,two preset rows
propeller_archive_rotor_spec_retune_ambient_compressibility_derate_control_contract_scenario,synthetic_derate_validation_all_pass,control_layer_clamp_required_count,2,count,,,,,,,,,,,,,,,,,,,,REVIEW_READY,control-contract-ready-runtime-hook-not-enabled,drone-sim-core/src/main/java/com/tenicana/dronecraft/sim/PropellerArchiveRotorSpecRetuneAmbientCompressibilityDerateControlContract.java,all_pass_scenario,two future clamps required
propeller_archive_rotor_spec_retune_ambient_compressibility_derate_control_contract_scenario,synthetic_derate_validation_all_pass,runtime_implementation_ready_count,0,count,,,,,,,,,,,,,,,,,,,,REVIEW_READY,control-contract-ready-runtime-hook-not-enabled,drone-sim-core/src/main/java/com/tenicana/dronecraft/sim/PropellerArchiveRotorSpecRetuneAmbientCompressibilityDerateControlContract.java,all_pass_scenario,runtime hook not implemented
propeller_archive_rotor_spec_retune_ambient_compressibility_derate_control_contract_scenario,synthetic_derate_validation_all_pass,max_required_max_rpm_derate_percent,2.840173019822779,percent,,,,,,,,,,,,,,,,,,,,REVIEW_READY,control-contract-ready-runtime-hook-not-enabled,drone-sim-core/src/main/java/com/tenicana/dronecraft/sim/PropellerArchiveRotorSpecRetuneAmbientCompressibilityDerateControlContract.java,all_pass_scenario,racingQuad limiting derate
propeller_archive_rotor_spec_retune_ambient_compressibility_derate_control_contract_scenario,synthetic_derate_validation_all_pass,min_target_max_rpm_scale,0.9715982698017723,ratio,,,,,,,,,,,,,,,,,,,,REVIEW_READY,control-contract-ready-runtime-hook-not-enabled,drone-sim-core/src/main/java/com/tenicana/dronecraft/sim/PropellerArchiveRotorSpecRetuneAmbientCompressibilityDerateControlContract.java,all_pass_scenario,racingQuad minimum scale
propeller_archive_rotor_spec_retune_ambient_compressibility_derate_control_contract_scenario,synthetic_derate_validation_all_pass,max_equivalent_max_thrust_loss_percent,5.599680211820246,percent,,,,,,,,,,,,,,,,,,,,REVIEW_READY,control-contract-ready-runtime-hook-not-enabled,drone-sim-core/src/main/java/com/tenicana/dronecraft/sim/PropellerArchiveRotorSpecRetuneAmbientCompressibilityDerateControlContract.java,all_pass_scenario,scale squared thrust capacity loss
propeller_archive_rotor_spec_retune_ambient_compressibility_derate_control_contract_scenario,synthetic_derate_validation_all_pass,min_contracted_max_rpm,28310.07356552835,rpm,,,,,,,,,,,,,,,,,,,,REVIEW_READY,control-contract-ready-runtime-hook-not-enabled,drone-sim-core/src/main/java/com/tenicana/dronecraft/sim/PropellerArchiveRotorSpecRetuneAmbientCompressibilityDerateControlContract.java,all_pass_scenario,racingQuad contracted max rpm
propeller_archive_rotor_spec_retune_ambient_compressibility_derate_control_contract_scenario,synthetic_derate_validation_all_pass,max_contracted_max_rpm,29472.808857731186,rpm,,,,,,,,,,,,,,,,,,,,REVIEW_READY,control-contract-ready-runtime-hook-not-enabled,drone-sim-core/src/main/java/com/tenicana/dronecraft/sim/PropellerArchiveRotorSpecRetuneAmbientCompressibilityDerateControlContract.java,all_pass_scenario,apDrone contracted max rpm
propeller_archive_rotor_spec_retune_ambient_compressibility_derate_control_contract_scenario,synthetic_derate_validation_all_pass,rotor_spec_patch_allowed_count,0,count,,,,,,,,,,,,,,,,,,,,REVIEW_READY,control-contract-ready-runtime-hook-not-enabled,drone-sim-core/src/main/java/com/tenicana/dronecraft/sim/PropellerArchiveRotorSpecRetuneAmbientCompressibilityDerateControlContract.java,all_pass_scenario,rotor spec patch closed
propeller_archive_rotor_spec_retune_ambient_compressibility_derate_control_contract_scenario,synthetic_derate_validation_all_pass,drone_config_patch_allowed_count,0,count,,,,,,,,,,,,,,,,,,,,REVIEW_READY,control-contract-ready-runtime-hook-not-enabled,drone-sim-core/src/main/java/com/tenicana/dronecraft/sim/PropellerArchiveRotorSpecRetuneAmbientCompressibilityDerateControlContract.java,all_pass_scenario,config patch closed
propeller_archive_rotor_spec_retune_ambient_compressibility_derate_control_contract_scenario,synthetic_derate_validation_all_pass,runtime_coupling_allowed_count,0,count,,,,,,,,,,,,,,,,,,,,REVIEW_READY,control-contract-ready-runtime-hook-not-enabled,drone-sim-core/src/main/java/com/tenicana/dronecraft/sim/PropellerArchiveRotorSpecRetuneAmbientCompressibilityDerateControlContract.java,all_pass_scenario,runtime coupling closed
