row_type,scenario,preset_or_metric,ambient_or_value,derate_validation_acceptance_ready_or_unit,manual_derate_review_allowed,derate_manual_review_material_available,rpm_control_review_complete,physics_budget_review_complete,target_max_tip_mach,target_max_rpm_scale,required_max_rpm_derate_percent,limiting_budget,max_tip_mach_limit,post_derate_thrust_loss_percent,max_thrust_loss_percent_limit,post_derate_load_factor,max_load_factor_limit,post_derate_reaction_torque_scale,max_reaction_torque_scale_limit,post_derate_vibration_proxy,max_vibration_proxy_limit,derate_target_within_budget,post_derate_physical_budget_accepted,manual_derate_review_ready,playable_reference_allowed,config_patch_allowed,runtime_coupling_allowed,gameplay_auto_apply_allowed,status,message,source_file,evidence_role,note
propeller_archive_rotor_spec_retune_ambient_compressibility_derate_physical_budget_acceptance_scenario,synthetic_derate_validation_results_missing,rpm_control_review_complete_count,0,count,,,,,,,,,,,,,,,,,,,,,,,,,BLOCKED,cold-air-derate-validation-result-set-incomplete,drone-sim-core/src/main/java/com/tenicana/dronecraft/sim/PropellerArchiveRotorSpecRetuneAmbientCompressibilityDeratePhysicalBudgetAcceptanceGate.java,missing_scenario,no rpm control rows
propeller_archive_rotor_spec_retune_ambient_compressibility_derate_physical_budget_acceptance_scenario,synthetic_derate_validation_results_missing,physics_budget_review_complete_count,0,count,,,,,,,,,,,,,,,,,,,,,,,,,BLOCKED,cold-air-derate-validation-result-set-incomplete,drone-sim-core/src/main/java/com/tenicana/dronecraft/sim/PropellerArchiveRotorSpecRetuneAmbientCompressibilityDeratePhysicalBudgetAcceptanceGate.java,missing_scenario,no budget rows
propeller_archive_rotor_spec_retune_ambient_compressibility_derate_physical_budget_acceptance_scenario,synthetic_derate_validation_results_missing,max_required_max_rpm_derate_percent,0.0,percent,,,,,,,,,,,,,,,,,,,,,,,,,BLOCKED,cold-air-derate-validation-result-set-incomplete,drone-sim-core/src/main/java/com/tenicana/dronecraft/sim/PropellerArchiveRotorSpecRetuneAmbientCompressibilityDeratePhysicalBudgetAcceptanceGate.java,missing_scenario,no derate
propeller_archive_rotor_spec_retune_ambient_compressibility_derate_physical_budget_acceptance_scenario,synthetic_derate_validation_results_missing,min_target_max_rpm_scale,0.0,ratio,,,,,,,,,,,,,,,,,,,,,,,,,BLOCKED,cold-air-derate-validation-result-set-incomplete,drone-sim-core/src/main/java/com/tenicana/dronecraft/sim/PropellerArchiveRotorSpecRetuneAmbientCompressibilityDeratePhysicalBudgetAcceptanceGate.java,missing_scenario,no scale
propeller_archive_rotor_spec_retune_ambient_compressibility_derate_physical_budget_acceptance_scenario,synthetic_derate_validation_results_missing,max_post_derate_thrust_loss_percent,0.0,percent,,,,,,,,,,,,,,,,,,,,,,,,,BLOCKED,cold-air-derate-validation-result-set-incomplete,drone-sim-core/src/main/java/com/tenicana/dronecraft/sim/PropellerArchiveRotorSpecRetuneAmbientCompressibilityDeratePhysicalBudgetAcceptanceGate.java,missing_scenario,no thrust loss
propeller_archive_rotor_spec_retune_ambient_compressibility_derate_physical_budget_acceptance_scenario,synthetic_derate_validation_results_missing,max_post_derate_load_factor,0.0,ratio,,,,,,,,,,,,,,,,,,,,,,,,,BLOCKED,cold-air-derate-validation-result-set-incomplete,drone-sim-core/src/main/java/com/tenicana/dronecraft/sim/PropellerArchiveRotorSpecRetuneAmbientCompressibilityDeratePhysicalBudgetAcceptanceGate.java,missing_scenario,no load factor
propeller_archive_rotor_spec_retune_ambient_compressibility_derate_physical_budget_acceptance_scenario,synthetic_derate_validation_results_missing,max_post_derate_reaction_torque_scale,1.0,ratio,,,,,,,,,,,,,,,,,,,,,,,,,BLOCKED,cold-air-derate-validation-result-set-incomplete,drone-sim-core/src/main/java/com/tenicana/dronecraft/sim/PropellerArchiveRotorSpecRetuneAmbientCompressibilityDeratePhysicalBudgetAcceptanceGate.java,missing_scenario,no torque scale
propeller_archive_rotor_spec_retune_ambient_compressibility_derate_physical_budget_acceptance_scenario,synthetic_derate_validation_results_missing,max_post_derate_vibration_proxy,0.0,proxy,,,,,,,,,,,,,,,,,,,,,,,,,BLOCKED,cold-air-derate-validation-result-set-incomplete,drone-sim-core/src/main/java/com/tenicana/dronecraft/sim/PropellerArchiveRotorSpecRetuneAmbientCompressibilityDeratePhysicalBudgetAcceptanceGate.java,missing_scenario,no vibration proxy
propeller_archive_rotor_spec_retune_ambient_compressibility_derate_physical_budget_acceptance_scenario,synthetic_derate_validation_results_missing,playable_reference_allowed_count,0,count,,,,,,,,,,,,,,,,,,,,,,,,,BLOCKED,cold-air-derate-validation-result-set-incomplete,drone-sim-core/src/main/java/com/tenicana/dronecraft/sim/PropellerArchiveRotorSpecRetuneAmbientCompressibilityDeratePhysicalBudgetAcceptanceGate.java,missing_scenario,playable export closed
propeller_archive_rotor_spec_retune_ambient_compressibility_derate_physical_budget_acceptance_scenario,synthetic_derate_validation_results_missing,config_patch_allowed_count,0,count,,,,,,,,,,,,,,,,,,,,,,,,,BLOCKED,cold-air-derate-validation-result-set-incomplete,drone-sim-core/src/main/java/com/tenicana/dronecraft/sim/PropellerArchiveRotorSpecRetuneAmbientCompressibilityDeratePhysicalBudgetAcceptanceGate.java,missing_scenario,config patch closed
propeller_archive_rotor_spec_retune_ambient_compressibility_derate_physical_budget_acceptance_scenario,synthetic_derate_validation_results_missing,runtime_coupling_allowed_count,0,count,,,,,,,,,,,,,,,,,,,,,,,,,BLOCKED,cold-air-derate-validation-result-set-incomplete,drone-sim-core/src/main/java/com/tenicana/dronecraft/sim/PropellerArchiveRotorSpecRetuneAmbientCompressibilityDeratePhysicalBudgetAcceptanceGate.java,missing_scenario,runtime coupling closed
propeller_archive_rotor_spec_retune_ambient_compressibility_derate_physical_budget_acceptance_scenario,synthetic_derate_validation_results_missing,gameplay_auto_apply_allowed_count,0,count,,,,,,,,,,,,,,,,,,,,,,,,,BLOCKED,cold-air-derate-validation-result-set-incomplete,drone-sim-core/src/main/java/com/tenicana/dronecraft/sim/PropellerArchiveRotorSpecRetuneAmbientCompressibilityDeratePhysicalBudgetAcceptanceGate.java,missing_scenario,gameplay auto apply closed
propeller_archive_rotor_spec_retune_ambient_compressibility_derate_physical_budget_acceptance_scenario,synthetic_derate_validation_results_missing,status,BLOCKED,text,,,,,,,,,,,,,,,,,,,,,,,,,BLOCKED,cold-air-derate-validation-result-set-incomplete,drone-sim-core/src/main/java/com/tenicana/dronecraft/sim/PropellerArchiveRotorSpecRetuneAmbientCompressibilityDeratePhysicalBudgetAcceptanceGate.java,missing_scenario,scenario blocked
propeller_archive_rotor_spec_retune_ambient_compressibility_derate_physical_budget_acceptance_scenario,synthetic_derate_validation_results_missing,message,cold-air-derate-validation-result-set-incomplete,text,,,,,,,,,,,,,,,,,,,,,,,,,BLOCKED,cold-air-derate-validation-result-set-incomplete,drone-sim-core/src/main/java/com/tenicana/dronecraft/sim/PropellerArchiveRotorSpecRetuneAmbientCompressibilityDeratePhysicalBudgetAcceptanceGate.java,missing_scenario,validation result set incomplete
propeller_archive_rotor_spec_retune_ambient_compressibility_derate_physical_budget_acceptance_scenario,synthetic_derate_validation_all_pass,derate_validation_acceptance_ready,true,boolean,,,,,,,,,,,,,,,,,,,,,,,,,READY,post-derate-physical-budget-accepted-for-manual-review,drone-sim-core/src/main/java/com/tenicana/dronecraft/sim/PropellerArchiveRotorSpecRetuneAmbientCompressibilityDeratePhysicalBudgetAcceptanceGate.java,all_pass_scenario,acceptance is ready
propeller_archive_rotor_spec_retune_ambient_compressibility_derate_physical_budget_acceptance_scenario,synthetic_derate_validation_all_pass,manual_derate_review_allowed,true,boolean,,,,,,,,,,,,,,,,,,,,,,,,,READY,post-derate-physical-budget-accepted-for-manual-review,drone-sim-core/src/main/java/com/tenicana/dronecraft/sim/PropellerArchiveRotorSpecRetuneAmbientCompressibilityDeratePhysicalBudgetAcceptanceGate.java,all_pass_scenario,manual review opened
propeller_archive_rotor_spec_retune_ambient_compressibility_derate_physical_budget_acceptance_scenario,synthetic_derate_validation_all_pass,derate_physical_budget_available,true,boolean,,,,,,,,,,,,,,,,,,,,,,,,,READY,post-derate-physical-budget-accepted-for-manual-review,drone-sim-core/src/main/java/com/tenicana/dronecraft/sim/PropellerArchiveRotorSpecRetuneAmbientCompressibilityDeratePhysicalBudgetAcceptanceGate.java,all_pass_scenario,post derate budget available
propeller_archive_rotor_spec_retune_ambient_compressibility_derate_physical_budget_acceptance_scenario,synthetic_derate_validation_all_pass,budget_row_count,2,count,,,,,,,,,,,,,,,,,,,,,,,,,READY,post-derate-physical-budget-accepted-for-manual-review,drone-sim-core/src/main/java/com/tenicana/dronecraft/sim/PropellerArchiveRotorSpecRetuneAmbientCompressibilityDeratePhysicalBudgetAcceptanceGate.java,all_pass_scenario,two budget rows
propeller_archive_rotor_spec_retune_ambient_compressibility_derate_physical_budget_acceptance_scenario,synthetic_derate_validation_all_pass,post_derate_physical_budget_accepted_count,2,count,,,,,,,,,,,,,,,,,,,,,,,,,READY,post-derate-physical-budget-accepted-for-manual-review,drone-sim-core/src/main/java/com/tenicana/dronecraft/sim/PropellerArchiveRotorSpecRetuneAmbientCompressibilityDeratePhysicalBudgetAcceptanceGate.java,all_pass_scenario,two accepted budgets
propeller_archive_rotor_spec_retune_ambient_compressibility_derate_physical_budget_acceptance_scenario,synthetic_derate_validation_all_pass,manual_derate_review_ready_count,2,count,,,,,,,,,,,,,,,,,,,,,,,,,READY,post-derate-physical-budget-accepted-for-manual-review,drone-sim-core/src/main/java/com/tenicana/dronecraft/sim/PropellerArchiveRotorSpecRetuneAmbientCompressibilityDeratePhysicalBudgetAcceptanceGate.java,all_pass_scenario,two manual review ready rows
propeller_archive_rotor_spec_retune_ambient_compressibility_derate_physical_budget_acceptance_scenario,synthetic_derate_validation_all_pass,rpm_control_review_complete_count,2,count,,,,,,,,,,,,,,,,,,,,,,,,,READY,post-derate-physical-budget-accepted-for-manual-review,drone-sim-core/src/main/java/com/tenicana/dronecraft/sim/PropellerArchiveRotorSpecRetuneAmbientCompressibilityDeratePhysicalBudgetAcceptanceGate.java,all_pass_scenario,rpm fields complete
propeller_archive_rotor_spec_retune_ambient_compressibility_derate_physical_budget_acceptance_scenario,synthetic_derate_validation_all_pass,physics_budget_review_complete_count,2,count,,,,,,,,,,,,,,,,,,,,,,,,,READY,post-derate-physical-budget-accepted-for-manual-review,drone-sim-core/src/main/java/com/tenicana/dronecraft/sim/PropellerArchiveRotorSpecRetuneAmbientCompressibilityDeratePhysicalBudgetAcceptanceGate.java,all_pass_scenario,budget fields complete
propeller_archive_rotor_spec_retune_ambient_compressibility_derate_physical_budget_acceptance_scenario,synthetic_derate_validation_all_pass,max_required_max_rpm_derate_percent,2.840173019822779,percent,,,,,,,,,,,,,,,,,,,,,,,,,READY,post-derate-physical-budget-accepted-for-manual-review,drone-sim-core/src/main/java/com/tenicana/dronecraft/sim/PropellerArchiveRotorSpecRetuneAmbientCompressibilityDeratePhysicalBudgetAcceptanceGate.java,all_pass_scenario,racingQuad limiting derate
propeller_archive_rotor_spec_retune_ambient_compressibility_derate_physical_budget_acceptance_scenario,synthetic_derate_validation_all_pass,min_target_max_rpm_scale,0.9715982698017723,ratio,,,,,,,,,,,,,,,,,,,,,,,,,READY,post-derate-physical-budget-accepted-for-manual-review,drone-sim-core/src/main/java/com/tenicana/dronecraft/sim/PropellerArchiveRotorSpecRetuneAmbientCompressibilityDeratePhysicalBudgetAcceptanceGate.java,all_pass_scenario,racingQuad limiting scale
propeller_archive_rotor_spec_retune_ambient_compressibility_derate_physical_budget_acceptance_scenario,synthetic_derate_validation_all_pass,max_post_derate_thrust_loss_percent,9.761226035642207,percent,,,,,,,,,,,,,,,,,,,,,,,,,READY,post-derate-physical-budget-accepted-for-manual-review,drone-sim-core/src/main/java/com/tenicana/dronecraft/sim/PropellerArchiveRotorSpecRetuneAmbientCompressibilityDeratePhysicalBudgetAcceptanceGate.java,all_pass_scenario,post derate loss under limit
