row_type,name,source,tip_mach_loss_onset_low,tip_mach_loss_onset_high,blade_angle_075r_low_deg,blade_angle_075r_high_deg,current_curve_thrust_scale_at_low,current_curve_thrust_scale_at_high,note,tip_mach_serious_loss_threshold,efficiency_loss_per_0_1_mach_low_percent,efficiency_loss_per_0_1_mach_high_percent,current_curve_thrust_scale_at_threshold,current_curve_reaction_torque_scale_at_threshold,tip_mach,current_compressibility_intensity,current_thrust_scale,current_thrust_loss_percent,current_load_factor,current_reaction_torque_scale,current_vibration_proxy_at_spin1,preset,scenario,ambient_temperature_c,speed_of_sound_m_s,max_tip_mach,max_compressibility_thrust_scale,max_compressibility_thrust_loss_percent,mach_margin_over_current_onset_0_46,mach_margin_to_naca_serious_0_91,inside_naca_takeoff_climb_loss_band_0_5_0_7,family,uiuc_tip_mach_min_proxy,uiuc_tip_mach_max_proxy,current_curve_thrust_scale_at_uiuc_max_mach,racing_default_max_mach_over_uiuc_max_mach
current_compressibility_curve,current_curve_mach_1.00,drone-sim-core/src/main/java/com/tenicana/dronecraft/sim/DronePhysics.java,,,,,,,Mirrors DronePhysics rotorCompressibility* helper functions.,,,,,,1.0,1.0,0.8,19.999999999999996,0.42,1.42,0.22,,,,,,,,,,,,,,,
current_preset_tip_mach_position,racingQuad project_default_25c,https://www.grc.nasa.gov/www/k-12/airplane/atmosmet.html,,,,,,,"Current preset max-RPM tip Mach placed against NACA threshold bands; uses rotational tip speed only, while runtime helical tip Mach can be higher with airspeed.",,,,,,,,,,,,,racingQuad,project_default_25c,25.0,346.146703725458,0.5597529720038076,0.9624421598349558,3.7557840165044154,0.09975297200380756,0.35024702799619245,1,,,,,
current_preset_tip_mach_position,cinewhoop project_default_25c,https://www.grc.nasa.gov/www/k-12/airplane/atmosmet.html,,,,,,,"Current preset max-RPM tip Mach placed against NACA threshold bands; uses rotational tip speed only, while runtime helical tip Mach can be higher with airspeed.",,,,,,,,,,,,,cinewhoop,project_default_25c,25.0,346.146703725458,0.09156288531874399,1.0,0.0,-0.36843711468125606,0.818437114681256,0,,,,,
current_preset_tip_mach_position,heavyLift project_default_25c,https://www.grc.nasa.gov/www/k-12/airplane/atmosmet.html,,,,,,,"Current preset max-RPM tip Mach placed against NACA threshold bands; uses rotational tip speed only, while runtime helical tip Mach can be higher with airspeed.",,,,,,,,,,,,,heavyLift,project_default_25c,25.0,346.146703725458,0.33715457881001126,1.0,0.0,-0.12284542118998876,0.5728454211899887,0,,,,,
current_preset_tip_mach_position,racingQuad cold_sea_level_-10c,https://www.grc.nasa.gov/www/k-12/airplane/atmosmet.html,,,,,,,"Current preset max-RPM tip Mach placed against NACA threshold bands; uses rotational tip speed only, while runtime helical tip Mach can be higher with airspeed.",,,,,,,,,,,,,racingQuad,cold_sea_level_-10c,-10.0,325.195465066781,0.5958159537060499,0.9360805202453826,6.3919479754617425,0.13581595370604987,0.31418404629395014,1,,,,,
current_preset_tip_mach_position,cinewhoop cold_sea_level_-10c,https://www.grc.nasa.gov/www/k-12/airplane/atmosmet.html,,,,,,,"Current preset max-RPM tip Mach placed against NACA threshold bands; uses rotational tip speed only, while runtime helical tip Mach can be higher with airspeed.",,,,,,,,,,,,,cinewhoop,cold_sea_level_-10c,-10.0,325.195465066781,0.0974619708493375,1.0,0.0,-0.3625380291506625,0.8125380291506625,0,,,,,
current_preset_tip_mach_position,heavyLift cold_sea_level_-10c,https://www.grc.nasa.gov/www/k-12/airplane/atmosmet.html,,,,,,,"Current preset max-RPM tip Mach placed against NACA threshold bands; uses rotational tip speed only, while runtime helical tip Mach can be higher with airspeed.",,,,,,,,,,,,,heavyLift,cold_sea_level_-10c,-10.0,325.195465066781,0.35887630252489655,1.0,0.0,-0.10112369747510347,0.5511236974751035,0,,,,,
current_preset_tip_mach_position,racingQuad mountain_3000m_hot_30c,https://www.grc.nasa.gov/www/k-12/airplane/atmosmet.html,,,,,,,"Current preset max-RPM tip Mach placed against NACA threshold bands; uses rotational tip speed only, while runtime helical tip Mach can be higher with airspeed.",,,,,,,,,,,,,racingQuad,mountain_3000m_hot_30c,30.0,349.03709043595927,0.555117640700127,0.9654919981028869,3.4508001897113116,0.09511764070012702,0.354882359299873,1,,,,,
current_preset_tip_mach_position,cinewhoop mountain_3000m_hot_30c,https://www.grc.nasa.gov/www/k-12/airplane/atmosmet.html,,,,,,,"Current preset max-RPM tip Mach placed against NACA threshold bands; uses rotational tip speed only, while runtime helical tip Mach can be higher with airspeed.",,,,,,,,,,,,,cinewhoop,mountain_3000m_hot_30c,30.0,349.03709043595927,0.09080465029400811,1.0,0.0,-0.3691953497059919,0.819195349705992,0,,,,,
current_preset_tip_mach_position,heavyLift mountain_3000m_hot_30c,https://www.grc.nasa.gov/www/k-12/airplane/atmosmet.html,,,,,,,"Current preset max-RPM tip Mach placed against NACA threshold bands; uses rotational tip speed only, while runtime helical tip Mach can be higher with airspeed.",,,,,,,,,,,,,heavyLift,mountain_3000m_hot_30c,30.0,349.03709043595927,0.3343625915379425,1.0,0.0,-0.1256374084620575,0.5756374084620575,0,,,,,
uiuc_static_tip_mach_coverage,DA4052 5x3.75 3-blade,https://m-selig.ae.illinois.edu/props/volume-2/data/da4052_5x3.75_3b_static_1204ga.txt,,,,,,,UIUC public static rows used here remain below the current compressibility onset; they do not validate high-tip-Mach losses.,,,,,,,,,,,,,,,,,,,,,,,da4052_5x3.75_3b,0.0283890813839773,0.15266066770135078,1.0,3.6666482626608787
uiuc_static_tip_mach_coverage,NR640 5in 15deg 3-blade,https://m-selig.ae.illinois.edu/props/volume-2/data/nr640_5_15deg_3b_static_0696md.txt,,,,,,,UIUC public static rows used here remain below the current compressibility onset; they do not validate high-tip-Mach losses.,,,,,,,,,,,,,,,,,,,,,,,nr640_5_15deg_3b,0.028474453528961458,0.1901427854268639,1.0,2.9438559593369886
uiuc_static_tip_mach_coverage,MicroInvent 5x4 3-blade,https://m-selig.ae.illinois.edu/props/volume-2/data/mit_5x4_static_0362rd.txt,,,,,,,UIUC public static rows used here remain below the current compressibility onset; they do not validate high-tip-Mach losses.,,,,,,,,,,,,,,,,,,,,,,,mit_5x4,0.030651654543247978,0.12286279223990543,1.0,4.555919345466427
uiuc_static_tip_mach_coverage,APC SF 10x4.7,https://m-selig.ae.illinois.edu/props/volume-1/data/apcsf_10x4.7_static_kt0835.txt,,,,,,,UIUC public static rows used here remain below the current compressibility onset; they do not validate high-tip-Mach losses.,,,,,,,,,,,,,,,,,,,,,,,apcsf_10x4.7,0.09132744762706448,0.2508142945349083,1.0,2.2317427044649616
