row_type,name,metric,value,unit,source_file,evidence_role,inside_j_domain,inside_rpm_domain,inside_lookup_domain,post_review_ct_cp_j_query_allowed,post_review_full_simulation_query_allowed,runtime_coupling_allowed,gameplay_auto_apply_allowed,next_required_action,status,note
propeller_archive_ct_cp_j_lookup_query,apDrone,static_anchor_low_rpm,J=0;rpm=1477.8;mu=0;j_coverage=0;rpm_fraction=0,query_envelope,drone-sim-core/src/main/java/com/tenicana/dronecraft/sim/PropellerArchiveCtCpJLookupQueryEnvelope.java,domain_query,true,true,true,true,true,false,false,review-source-license-then-run-reviewed-lookup-query-envelope-with-real-ct-cp-j-rows,LOOKUP_READY_AFTER_REVIEW,static anchor query is in DA4052 domain but current source review blocks use
propeller_archive_ct_cp_j_lookup_query,apDrone,mid_domain_mid_rpm,J=0.4064;rpm=4712.25;mu=0.129361137745093;j_coverage=0.5;rpm_fraction=0.5,query_envelope,drone-sim-core/src/main/java/com/tenicana/dronecraft/sim/PropellerArchiveCtCpJLookupQueryEnvelope.java,domain_query,true,true,true,true,true,false,false,review-source-license-then-run-reviewed-lookup-query-envelope-with-real-ct-cp-j-rows,LOOKUP_READY_AFTER_REVIEW,mid-domain query is review-ready after raw import
propeller_archive_ct_cp_j_lookup_query,apDrone,high_domain_max_rpm,J=0.73152;rpm=7946.7;mu=0.232850047941167;j_coverage=0.9;rpm_fraction=1,query_envelope,drone-sim-core/src/main/java/com/tenicana/dronecraft/sim/PropellerArchiveCtCpJLookupQueryEnvelope.java,domain_query,true,true,true,true,true,false,false,review-source-license-then-run-reviewed-lookup-query-envelope-with-real-ct-cp-j-rows,LOOKUP_READY_AFTER_REVIEW,high in-domain query remains below extrapolation boundary
propeller_archive_ct_cp_j_lookup_query,apDrone,high_j_extrapolation_probe,J=0.93472;rpm=7946.7;mu=0.297530616813713;j_coverage=1.15;rpm_fraction=1,query_envelope,drone-sim-core/src/main/java/com/tenicana/dronecraft/sim/PropellerArchiveCtCpJLookupQueryEnvelope.java,domain_query,false,true,false,false,false,false,false,reject-query-until-reviewed-extrapolation-policy,OUT_OF_DOMAIN,high-J probe is intentionally rejected
propeller_archive_ct_cp_j_lookup_query,cinewhoop,static_anchor_low_rpm,J=0;rpm=2963.3;mu=0;j_coverage=0;rpm_fraction=0,query_envelope,drone-sim-core/src/main/java/com/tenicana/dronecraft/sim/PropellerArchiveCtCpJLookupQueryEnvelope.java,domain_query,true,true,true,false,false,false,false,resolve-cinewhoop-three-blade-coverage-or-correction,COVERAGE_BLOCKED,two-blade matched curve cannot seed three-blade preset lookup
propeller_archive_ct_cp_j_lookup_query,cinewhoop,mid_domain_mid_rpm,J=0.5337;rpm=9013.15;mu=0.169881986256289;j_coverage=0.5;rpm_fraction=0.5,query_envelope,drone-sim-core/src/main/java/com/tenicana/dronecraft/sim/PropellerArchiveCtCpJLookupQueryEnvelope.java,domain_query,true,true,true,false,false,false,false,resolve-cinewhoop-three-blade-coverage-or-correction,COVERAGE_BLOCKED,two-blade matched curve cannot seed three-blade preset lookup
propeller_archive_ct_cp_j_lookup_query,cinewhoop,high_domain_max_rpm,J=0.96066;rpm=15063;mu=0.30578757526132;j_coverage=0.9;rpm_fraction=1,query_envelope,drone-sim-core/src/main/java/com/tenicana/dronecraft/sim/PropellerArchiveCtCpJLookupQueryEnvelope.java,domain_query,true,true,true,false,false,false,false,resolve-cinewhoop-three-blade-coverage-or-correction,COVERAGE_BLOCKED,two-blade matched curve cannot seed three-blade preset lookup
propeller_archive_ct_cp_j_lookup_query,cinewhoop,high_j_extrapolation_probe,J=1.22751;rpm=15063;mu=0.390728568389465;j_coverage=1.15;rpm_fraction=1,query_envelope,drone-sim-core/src/main/java/com/tenicana/dronecraft/sim/PropellerArchiveCtCpJLookupQueryEnvelope.java,domain_query,false,true,false,false,false,false,false,reject-query-until-reviewed-extrapolation-policy,OUT_OF_DOMAIN,high-J probe is intentionally rejected
propeller_archive_ct_cp_j_lookup_query,heavyLift,static_anchor_low_rpm,J=0;rpm=1060;mu=0;j_coverage=0;rpm_fraction=0,query_envelope,drone-sim-core/src/main/java/com/tenicana/dronecraft/sim/PropellerArchiveCtCpJLookupQueryEnvelope.java,domain_query,true,true,true,true,false,false,false,add-heavy-lift-geometry-match-or-reviewed-surrogate,PERFORMANCE_LOOKUP_READY_AFTER_REVIEW_FULL_SIM_BLOCKED,CT CP J query can seed performance lookup after review but geometry remains missing
propeller_archive_ct_cp_j_lookup_query,heavyLift,mid_domain_mid_rpm,J=0.3335;rpm=4250;mu=0.106156347042294;j_coverage=0.5;rpm_fraction=0.5,query_envelope,drone-sim-core/src/main/java/com/tenicana/dronecraft/sim/PropellerArchiveCtCpJLookupQueryEnvelope.java,domain_query,true,true,true,true,false,false,false,add-heavy-lift-geometry-match-or-reviewed-surrogate,PERFORMANCE_LOOKUP_READY_AFTER_REVIEW_FULL_SIM_BLOCKED,CT CP J query can seed performance lookup after review but geometry remains missing
propeller_archive_ct_cp_j_lookup_query,heavyLift,high_domain_max_rpm,J=0.6003;rpm=7440;mu=0.19108142467613;j_coverage=0.9;rpm_fraction=1,query_envelope,drone-sim-core/src/main/java/com/tenicana/dronecraft/sim/PropellerArchiveCtCpJLookupQueryEnvelope.java,domain_query,true,true,true,true,false,false,false,add-heavy-lift-geometry-match-or-reviewed-surrogate,PERFORMANCE_LOOKUP_READY_AFTER_REVIEW_FULL_SIM_BLOCKED,CT CP J query can seed performance lookup after review but geometry remains missing
propeller_archive_ct_cp_j_lookup_query,heavyLift,high_j_extrapolation_probe,J=0.76705;rpm=7440;mu=0.244159598197277;j_coverage=1.15;rpm_fraction=1,query_envelope,drone-sim-core/src/main/java/com/tenicana/dronecraft/sim/PropellerArchiveCtCpJLookupQueryEnvelope.java,domain_query,false,true,false,false,false,false,false,reject-query-until-reviewed-extrapolation-policy,OUT_OF_DOMAIN,high-J probe is intentionally rejected
propeller_archive_ct_cp_j_lookup_query_summary,all,query_row_count,16,count,drone-sim-core/src/main/java/com/tenicana/dronecraft/sim/PropellerArchiveCtCpJLookupQueryEnvelope.java,summary,true,true,true,false,false,false,false,verify-query-envelope,TRIAGED,four cases times four presets
propeller_archive_ct_cp_j_lookup_query_summary,all,query_case_count,4,count,drone-sim-core/src/main/java/com/tenicana/dronecraft/sim/PropellerArchiveCtCpJLookupQueryEnvelope.java,summary,true,true,true,false,false,false,false,verify-query-case-contract,TRIAGED,static mid high-domain and high-J probe cases
propeller_archive_ct_cp_j_lookup_query_summary,all,inside_advance_ratio_domain_count,12,count,drone-sim-core/src/main/java/com/tenicana/dronecraft/sim/PropellerArchiveCtCpJLookupQueryEnvelope.java,summary,true,true,true,false,false,false,false,reject-query-until-reviewed-extrapolation-policy,TRIAGED,twelve non-probe rows are inside J domains
propeller_archive_ct_cp_j_lookup_query_summary,all,inside_rpm_domain_count,16,count,drone-sim-core/src/main/java/com/tenicana/dronecraft/sim/PropellerArchiveCtCpJLookupQueryEnvelope.java,summary,true,true,true,false,false,false,false,verify-rpm-bracket-policy,TRIAGED,all probe rows keep RPM in range to isolate J extrapolation
propeller_archive_ct_cp_j_lookup_query_summary,all,inside_lookup_domain_count,12,count,drone-sim-core/src/main/java/com/tenicana/dronecraft/sim/PropellerArchiveCtCpJLookupQueryEnvelope.java,summary,true,true,true,false,false,false,false,verify-lookup-domain-policy,TRIAGED,twelve rows can be interpolated after review
propeller_archive_ct_cp_j_lookup_query_summary,all,extrapolation_required_count,4,count,drone-sim-core/src/main/java/com/tenicana/dronecraft/sim/PropellerArchiveCtCpJLookupQueryEnvelope.java,summary,false,true,false,false,false,false,false,reject-query-until-reviewed-extrapolation-policy,BLOCKED,four high-J probes are rejected
propeller_archive_ct_cp_j_lookup_query_summary,all,current_query_allowed_count,0,count,drone-sim-core/src/main/java/com/tenicana/dronecraft/sim/PropellerArchiveCtCpJLookupQueryEnvelope.java,summary,false,false,false,false,false,false,false,review-source-license-before-importing-raw-rows,BLOCKED,current source review blocks every query
propeller_archive_ct_cp_j_lookup_query_summary,all,post_review_ct_cp_j_query_allowed_count,9,count,drone-sim-core/src/main/java/com/tenicana/dronecraft/sim/PropellerArchiveCtCpJLookupQueryEnvelope.java,summary,true,true,true,true,false,false,false,review-source-license-then-run-reviewed-lookup-query-envelope-with-real-ct-cp-j-rows,TRIAGED,racingQuad APDrone and heavyLift each have three in-domain CT CP J query rows
propeller_archive_ct_cp_j_lookup_query_summary,all,post_review_full_simulation_query_allowed_count,6,count,drone-sim-core/src/main/java/com/tenicana/dronecraft/sim/PropellerArchiveCtCpJLookupQueryEnvelope.java,summary,true,true,true,true,true,false,false,resolve-cinewhoop-blade-count-and-heavy-lift-geometry-coverage,TRIAGED,racingQuad and APDrone each have three full-simulation query rows
propeller_archive_ct_cp_j_lookup_query_summary,all,post_review_performance_only_query_count,3,count,drone-sim-core/src/main/java/com/tenicana/dronecraft/sim/PropellerArchiveCtCpJLookupQueryEnvelope.java,summary,true,true,true,true,false,false,false,add-heavy-lift-geometry-match-or-reviewed-surrogate,TRIAGED,heavyLift has CT CP J performance rows but no geometry-backed full-simulation rows
propeller_archive_ct_cp_j_lookup_query_summary,all,blade_coverage_blocked_query_count,3,count,drone-sim-core/src/main/java/com/tenicana/dronecraft/sim/PropellerArchiveCtCpJLookupQueryEnvelope.java,summary,true,true,true,false,false,false,false,resolve-cinewhoop-three-blade-coverage-or-correction,BLOCKED,cinewhoop in-domain rows are blocked by blade-count mismatch
propeller_archive_ct_cp_j_lookup_query_summary,all,geometry_coverage_blocked_query_count,3,count,drone-sim-core/src/main/java/com/tenicana/dronecraft/sim/PropellerArchiveCtCpJLookupQueryEnvelope.java,summary,true,true,true,true,false,false,false,add-heavy-lift-geometry-match-or-reviewed-surrogate,BLOCKED,heavyLift in-domain rows lack reviewed geometry
propeller_archive_ct_cp_j_lookup_query_summary,all,runtime_coupling_allowed_count,0,count,drone-sim-core/src/main/java/com/tenicana/dronecraft/sim/PropellerArchiveCtCpJLookupQueryEnvelope.java,summary,true,true,true,false,false,false,false,keep-runtime-coupling-and-gameplay-auto-apply-closed,READY,no lookup query can alter DronePhysics
propeller_archive_ct_cp_j_lookup_query_summary,all,gameplay_auto_apply_allowed_count,0,count,drone-sim-core/src/main/java/com/tenicana/dronecraft/sim/PropellerArchiveCtCpJLookupQueryEnvelope.java,summary,true,true,true,false,false,false,false,keep-runtime-coupling-and-gameplay-auto-apply-closed,READY,no lookup query can auto-apply gameplay tuning
propeller_archive_ct_cp_j_lookup_query_summary,all,max_equivalent_project_mu,0.390728568389465,ratio,drone-sim-core/src/main/java/com/tenicana/dronecraft/sim/PropellerArchiveCtCpJLookupQueryEnvelope.java,summary,false,true,false,false,false,false,false,reject-query-until-reviewed-extrapolation-policy,TRIAGED,max mu belongs to rejected cinewhoop high-J probe
propeller_archive_ct_cp_j_lookup_query_summary,all,max_inside_domain_equivalent_project_mu,0.30578757526132,ratio,drone-sim-core/src/main/java/com/tenicana/dronecraft/sim/PropellerArchiveCtCpJLookupQueryEnvelope.java,summary,true,true,true,false,false,false,false,verify-j-over-pi-policy,TRIAGED,max accepted equivalent mu belongs to cinewhoop high in-domain query
propeller_archive_ct_cp_j_lookup_query_summary,all,apdrone_forward_diagnostic_max_equivalent_j,0.619644960857424,J,drone-sim-core/src/main/java/com/tenicana/dronecraft/sim/PropellerArchiveCtCpJLookupQueryEnvelope.java,summary,true,true,true,false,false,false,false,feed-forward-domain-check-to-advance-scale-review,TRIAGED,APDrone diagnostic max equivalent J remains inside DA4052 domain
propeller_archive_ct_cp_j_lookup_query_summary,all,apdrone_forward_diagnostic_archive_coverage_ratio,0.762358465621831,ratio,drone-sim-core/src/main/java/com/tenicana/dronecraft/sim/PropellerArchiveCtCpJLookupQueryEnvelope.java,summary,true,true,true,false,false,false,false,feed-forward-domain-check-to-advance-scale-review,TRIAGED,APDrone diagnostic uses roughly seventy-six percent of DA4052 J coverage
propeller_archive_ct_cp_j_lookup_query_summary,all,apdrone_forward_diagnostic_inside_seed_domain,true,boolean,drone-sim-core/src/main/java/com/tenicana/dronecraft/sim/PropellerArchiveCtCpJLookupQueryEnvelope.java,summary,true,true,true,false,false,false,false,feed-forward-domain-check-to-advance-scale-review,READY,no APDrone forward diagnostic row requires CT CP J extrapolation
propeller_archive_ct_cp_j_lookup_query_summary,all,next_required_action,review-source-license-then-run-reviewed-lookup-query-envelope-with-real-ct-cp-j-rows,text,drone-sim-core/src/main/java/com/tenicana/dronecraft/sim/PropellerArchiveCtCpJLookupQueryEnvelope.java,summary,false,true,true,false,false,false,false,review-source-license-then-run-reviewed-lookup-query-envelope-with-real-ct-cp-j-rows,BLOCKED,next step before any curve interpolation
propeller_archive_ct_cp_j_lookup_query_method,all,method_note,derive-query-domain-guard-from-lookup-seed-and-forward-advance-diagnostic-without-interpolating-coefficients,text,docs/data/propeller_archive_ct_cp_j_lookup_query_envelope_packet.csv,method,true,true,true,false,false,false,false,keep-raw-data-out-of-repository,READY,no raw wind-tunnel rows or fitted CT CP coefficients are vendored
