row_type,name,h_over_r,cheeseman_bennett_ground_boost,kan_aau_hover_boost_proxy,source,note,preset,clearance_m,ground_effect_height_m,ceiling_effect_height_m,current_ground_multiplier,current_ceiling_multiplier,current_ground_intensity,current_ceiling_intensity,ground_multiplier_over_cheeseman,ceiling_multiplier_over_ground_multiplier,obstruction,transverse_speed_m_s,two_rotor_wall_force_over_weight,four_rotor_wall_force_over_weight,wall_force_per_rotor_n,two_rotor_wall_force_n,four_rotor_wall_force_n,spin_ratio_hover,thrust_fraction_hover,speed_washout,blockage,wall_cushion,build_tau_s,release_tau_s
current_wall_force_scan,racingQuad,,,,drone-sim-core/src/main/java/com/tenicana/dronecraft/sim/DroneConfig.java,Current Java steady wall-force proxy at hover thrust; direction is toward the obstruction/wall.,racingQuad,,,,,,,,,,0.25,0.0,0.012544493827166051,0.025088987654332102,0.06766070321459787,0.13532140642919574,0.2706428128583915,0.446950883870468,0.1997650925925926,1.0,0.19479114491512498,0.04177650221516266,0.037,0.10625
current_wall_force_scan,racingQuad,,,,drone-sim-core/src/main/java/com/tenicana/dronecraft/sim/DroneConfig.java,Current Java steady wall-force proxy at hover thrust; direction is toward the obstruction/wall.,racingQuad,,,,,,,,,,0.25,6.0,0.005814501699374481,0.011629003398748962,0.03136143069959391,0.06272286139918783,0.12544572279837565,0.446950883870468,0.1997650925925926,0.5,0.19479114491512498,0.02088825110758133,0.037,0.10625
current_wall_force_scan,racingQuad,,,,drone-sim-core/src/main/java/com/tenicana/dronecraft/sim/DroneConfig.java,Current Java steady wall-force proxy at hover thrust; direction is toward the obstruction/wall.,racingQuad,,,,,,,,,,0.25,12.0,0.0024455923269437858,0.0048911846538875715,0.013190687396162802,0.026381374792325604,0.05276274958465121,0.446950883870468,0.1997650925925926,0.21999999999999997,0.19479114491512498,0.009190830487335783,0.037,0.10625
current_wall_force_scan,racingQuad,,,,drone-sim-core/src/main/java/com/tenicana/dronecraft/sim/DroneConfig.java,Current Java steady wall-force proxy at hover thrust; direction is toward the obstruction/wall.,racingQuad,,,,,,,,,,0.5,0.0,0.0336740453964046,0.0673480907928092,0.18162626750765815,0.3632525350153163,0.7265050700306326,0.446950883870468,0.1997650925925926,1.0,0.4413514981453274,0.094655852287164,0.034,0.1175
current_wall_force_scan,racingQuad,,,,drone-sim-core/src/main/java/com/tenicana/dronecraft/sim/DroneConfig.java,Current Java steady wall-force proxy at hover thrust; direction is toward the obstruction/wall.,racingQuad,,,,,,,,,,0.5,6.0,0.014487094448599405,0.02897418889719881,0.07813842562589654,0.15627685125179308,0.31255370250358616,0.446950883870468,0.1997650925925926,0.5,0.4413514981453274,0.047327926143582,0.034,0.1175
current_wall_force_scan,racingQuad,,,,drone-sim-core/src/main/java/com/tenicana/dronecraft/sim/DroneConfig.java,Current Java steady wall-force proxy at hover thrust; direction is toward the obstruction/wall.,racingQuad,,,,,,,,,,0.5,12.0,0.005795299236681581,0.011590598473363162,0.031257859192671884,0.06251571838534377,0.12503143677068754,0.446950883870468,0.1997650925925926,0.21999999999999997,0.4413514981453274,0.020824287503176078,0.034,0.1175
current_wall_force_scan,racingQuad,,,,drone-sim-core/src/main/java/com/tenicana/dronecraft/sim/DroneConfig.java,Current Java steady wall-force proxy at hover thrust; direction is toward the obstruction/wall.,racingQuad,,,,,,,,,,0.75,0.0,0.06364147847727876,0.12728295695455752,0.34326033770006315,0.6865206754001263,1.3730413508002526,0.446950883870468,0.1997650925925926,1.0,0.7121513317989712,0.15273379959542843,0.031,0.12875
current_wall_force_scan,racingQuad,,,,drone-sim-core/src/main/java/com/tenicana/dronecraft/sim/DroneConfig.java,Current Java steady wall-force proxy at hover thrust; direction is toward the obstruction/wall.,racingQuad,,,,,,,,,,0.75,6.0,0.02570245043155554,0.05140490086311108,0.13863021453853777,0.27726042907707554,0.5545208581541511,0.446950883870468,0.1997650925925926,0.5,0.7121513317989712,0.07636689979771422,0.031,0.12875
current_wall_force_scan,racingQuad,,,,drone-sim-core/src/main/java/com/tenicana/dronecraft/sim/DroneConfig.java,Current Java steady wall-force proxy at hover thrust; direction is toward the obstruction/wall.,racingQuad,,,,,,,,,,0.75,12.0,0.00980153182781898,0.01960306365563796,0.052866105654604555,0.10573221130920911,0.21146442261841822,0.446950883870468,0.1997650925925926,0.21999999999999997,0.7121513317989712,0.03360143591099425,0.031,0.12875
current_wall_force_scan,racingQuad,,,,drone-sim-core/src/main/java/com/tenicana/dronecraft/sim/DroneConfig.java,Current Java steady wall-force proxy at hover thrust; direction is toward the obstruction/wall.,racingQuad,,,,,,,,,,1.0,0.0,0.1032553403672804,0.2065106807345608,0.5569239409870347,1.1138478819740694,2.2276957639481387,0.446950883870468,0.1997650925925926,1.0,1.0,0.21446817941013513,0.028,0.14
current_wall_force_scan,racingQuad,,,,drone-sim-core/src/main/java/com/tenicana/dronecraft/sim/DroneConfig.java,Current Java steady wall-force proxy at hover thrust; direction is toward the obstruction/wall.,racingQuad,,,,,,,,,,1.0,6.0,0.0395638350918201,0.0791276701836402,0.21339377587175865,0.4267875517435173,0.8535751034870346,0.446950883870468,0.1997650925925926,0.5,1.0,0.10723408970506756,0.028,0.14
current_wall_force_scan,racingQuad,,,,drone-sim-core/src/main/java/com/tenicana/dronecraft/sim/DroneConfig.java,Current Java steady wall-force proxy at hover thrust; direction is toward the obstruction/wall.,racingQuad,,,,,,,,,,1.0,12.0,0.01443555847377637,0.02887111694755274,0.07786045822877247,0.15572091645754493,0.31144183291508987,0.446950883870468,0.1997650925925926,0.21999999999999997,1.0,0.04718299947022972,0.028,0.14
current_ground_ceiling_scan,cinewhoop,0.5,1.3333333333333333,1.4749262536873158,drone-sim-core/src/main/java/com/tenicana/dronecraft/sim/DroneConfig.java,Current Java ground/ceiling formulas scanned at clearance = h/R * rotor_radius.,cinewhoop,0.019,0.75,0.9375,1.2279940266666667,1.1727779328,0.9499751111111111,0.9598774044444445,0.9209955200000001,0.9550355354605852,,,,,,,,,,,,,,
current_ground_ceiling_scan,cinewhoop,1.0,1.0666666666666667,1.1778563015312131,drone-sim-core/src/main/java/com/tenicana/dronecraft/sim/DroneConfig.java,Current Java ground/ceiling formulas scanned at clearance = h/R * rotor_radius.,cinewhoop,0.038,0.75,0.9375,1.2162961066666667,1.1657037312,0.9012337777777778,0.9205762844444445,1.1402776000000001,0.9584045569254365,,,,,,,,,,,,,,
current_ground_ceiling_scan,cinewhoop,1.5,1.0285714285714287,1.1037527593818983,drone-sim-core/src/main/java/com/tenicana/dronecraft/sim/DroneConfig.java,Current Java ground/ceiling formulas scanned at clearance = h/R * rotor_radius.,cinewhoop,0.056999999999999995,0.75,0.9375,1.2049062400000001,1.1587773952,0.8537760000000001,0.8820966400000001,1.1714366222222221,0.9617158221373306,,,,,,,,,,,,,,
current_ground_ceiling_scan,cinewhoop,2.0,1.0158730158730158,1.0700909577314073,drone-sim-core/src/main/java/com/tenicana/dronecraft/sim/DroneConfig.java,Current Java ground/ceiling formulas scanned at clearance = h/R * rotor_radius.,cinewhoop,0.076,0.75,0.9375,1.1938244266666667,1.1519989248,0.8076017777777779,0.8444384711111111,1.17517092,0.9649651146915719,,,,,,,,,,,,,,
current_ground_ceiling_scan,cinewhoop,3.0,1.0069930069930069,1.0384215991692627,drone-sim-core/src/main/java/com/tenicana/dronecraft/sim/DroneConfig.java,Current Java ground/ceiling formulas scanned at clearance = h/R * rotor_radius.,cinewhoop,0.11399999999999999,0.75,0.9375,1.17258496,1.1388855808,0.719104,0.7715865600000001,1.164442008888889,0.9712606076748588,,,,,,,,,,,,,,
current_ground_ceiling_scan,cinewhoop,4.0,1.003921568627451,1.0232796111537477,drone-sim-core/src/main/java/com/tenicana/dronecraft/sim/DroneConfig.java,Current Java ground/ceiling formulas scanned at clearance = h/R * rotor_radius.,cinewhoop,0.152,0.75,0.9375,1.1525777066666667,1.1263636992,0.6357404444444444,0.7020205511111111,1.14807545,0.9772561907843251,,,,,,,,,,,,,,
current_ground_ceiling_scan,cinewhoop,6.0,1.0017391304347827,1.0085728693898133,drone-sim-core/src/main/java/com/tenicana/dronecraft/sim/DroneConfig.java,Current Java ground/ceiling formulas scanned at clearance = h/R * rotor_radius.,cinewhoop,0.22799999999999998,0.75,0.9375,1.11625984,1.1030943232000001,0.48441599999999996,0.5727462400000001,1.1143218888888886,0.9882056880233192,,,,,,,,,,,,,,
current_wall_force_scan,cinewhoop,,,,drone-sim-core/src/main/java/com/tenicana/dronecraft/sim/DroneConfig.java,Current Java steady wall-force proxy at hover thrust; direction is toward the obstruction/wall.,cinewhoop,,,,,,,,,,0.25,0.0,0.013197494355074649,0.026394988710149298,0.06147602380816657,0.12295204761633315,0.2459040952326663,0.5395692002653598,0.29113492187499995,1.0,0.19479114491512498,0.05667566290209853,0.037,0.10625
current_wall_force_scan,cinewhoop,,,,drone-sim-core/src/main/java/com/tenicana/dronecraft/sim/DroneConfig.java,Current Java steady wall-force proxy at hover thrust; direction is toward the obstruction/wall.,cinewhoop,,,,,,,,,,0.25,6.0,0.00597775183135163,0.01195550366270326,0.027845316998539114,0.05569063399707823,0.11138126799415646,0.5395692002653598,0.29113492187499995,0.5,0.19479114491512498,0.028337831451049265,0.037,0.10625
current_wall_force_scan,cinewhoop,,,,drone-sim-core/src/main/java/com/tenicana/dronecraft/sim/DroneConfig.java,Current Java steady wall-force proxy at hover thrust; direction is toward the obstruction/wall.,cinewhoop,,,,,,,,,,0.25,12.0,0.0024771975524945627,0.004954395104989125,0.01153917945463113,0.02307835890926226,0.04615671781852452,0.5395692002653598,0.29113492187499995,0.21999999999999997,0.19479114491512498,0.012468645838461676,0.037,0.10625
current_wall_force_scan,cinewhoop,,,,drone-sim-core/src/main/java/com/tenicana/dronecraft/sim/DroneConfig.java,Current Java steady wall-force proxy at hover thrust; direction is toward the obstruction/wall.,cinewhoop,,,,,,,,,,0.5,0.0,0.03702635655096518,0.07405271310193036,0.17247464674849824,0.3449492934969965,0.689898586993993,0.5395692002653598,0.29113492187499995,1.0,0.4413514981453274,0.12841389038048867,0.034,0.1175
current_wall_force_scan,cinewhoop,,,,drone-sim-core/src/main/java/com/tenicana/dronecraft/sim/DroneConfig.java,Current Java steady wall-force proxy at hover thrust; direction is toward the obstruction/wall.,cinewhoop,,,,,,,,,,0.5,6.0,0.015325172237239547,0.030650344474479094,0.07138708515215446,0.14277417030430892,0.28554834060861783,0.5395692002653598,0.29113492187499995,0.5,0.4413514981453274,0.06420694519024434,0.034,0.1175
current_wall_force_scan,cinewhoop,,,,drone-sim-core/src/main/java/com/tenicana/dronecraft/sim/DroneConfig.java,Current Java steady wall-force proxy at hover thrust; direction is toward the obstruction/wall.,cinewhoop,,,,,,,,,,0.5,12.0,0.005957551096562315,0.01191510219312463,0.027751218769023835,0.05550243753804767,0.11100487507609534,0.5395692002653598,0.29113492187499995,0.21999999999999997,0.4413514981453274,0.028251055883707504,0.034,0.1175
current_wall_force_scan,cinewhoop,,,,drone-sim-core/src/main/java/com/tenicana/dronecraft/sim/DroneConfig.java,Current Java steady wall-force proxy at hover thrust; direction is toward the obstruction/wall.,cinewhoop,,,,,,,,,,0.75,0.0,0.07236957807703298,0.14473915615406596,0.33710898335333933,0.6742179667066787,1.3484359334133573,0.5395692002653598,0.29113492187499995,1.0,0.7121513317989712,0.2072047414368118,0.031,0.12875
current_wall_force_scan,cinewhoop,,,,drone-sim-core/src/main/java/com/tenicana/dronecraft/sim/DroneConfig.java,Current Java steady wall-force proxy at hover thrust; direction is toward the obstruction/wall.,cinewhoop,,,,,,,,,,0.75,6.0,0.027884475331494105,0.05576895066298821,0.1298903127545584,0.2597806255091168,0.5195612510182336,0.5395692002653598,0.29113492187499995,0.5,0.7121513317989712,0.1036023707184059,0.031,0.12875
current_wall_force_scan,cinewhoop,,,,drone-sim-core/src/main/java/com/tenicana/dronecraft/sim/DroneConfig.java,Current Java steady wall-force proxy at hover thrust; direction is toward the obstruction/wall.,cinewhoop,,,,,,,,,,0.75,12.0,0.010223971848447085,0.02044794369689417,0.04762488392559745,0.0952497678511949,0.1904995357023898,0.5395692002653598,0.29113492187499995,0.21999999999999997,0.7121513317989712,0.045585043116098595,0.031,0.12875
current_wall_force_scan,cinewhoop,,,,drone-sim-core/src/main/java/com/tenicana/dronecraft/sim/DroneConfig.java,Current Java steady wall-force proxy at hover thrust; direction is toward the obstruction/wall.,cinewhoop,,,,,,,,,,1.0,0.0,0.12046511217708857,0.24093022435417713,0.5611456163574365,1.122291232714873,2.244582465429746,0.5395692002653598,0.29113492187499995,1.0,1.0,0.29095605412039355,0.028,0.14
current_wall_force_scan,cinewhoop,,,,drone-sim-core/src/main/java/com/tenicana/dronecraft/sim/DroneConfig.java,Current Java steady wall-force proxy at hover thrust; direction is toward the obstruction/wall.,cinewhoop,,,,,,,,,,1.0,6.0,0.043866278044272136,0.08773255608854427,0.20433608690185912,0.40867217380371823,0.8173443476074365,0.5395692002653598,0.29113492187499995,0.5,1.0,0.14547802706019677,0.028,0.14
current_wall_force_scan,cinewhoop,,,,drone-sim-core/src/main/java/com/tenicana/dronecraft/sim/DroneConfig.java,Current Java steady wall-force proxy at hover thrust; direction is toward the obstruction/wall.,cinewhoop,,,,,,,,,,1.0,12.0,0.01526851142937108,0.03053702285874216,0.0711231501141999,0.1422463002283998,0.2844926004567996,0.5395692002653598,0.29113492187499995,0.21999999999999997,1.0,0.06401033190648657,0.028,0.14
current_ground_ceiling_scan,heavyLift,0.5,1.3333333333333333,1.4749262536873158,drone-sim-core/src/main/java/com/tenicana/dronecraft/sim/DroneConfig.java,Current Java ground/ceiling formulas scanned at clearance = h/R * rotor_radius.,heavyLift,0.0635,1.2,1.5,1.1076360208333333,1.08254129,0.8969668402777776,0.9171254444444444,0.8307270156250001,0.9773438834045381,,,,,,,,,,,,,,
current_ground_ceiling_scan,heavyLift,1.0,1.0666666666666667,1.1778563015312131,drone-sim-core/src/main/java/com/tenicana/dronecraft/sim/DroneConfig.java,Current Java ground/ceiling formulas scanned at clearance = h/R * rotor_radius.,heavyLift,0.127,1.2,1.5,1.0959440833333334,1.07540516,0.7995340277777778,0.8378351111111111,1.027447578125,0.9812591503109687,,,,,,,,,,,,,,
current_ground_ceiling_scan,heavyLift,1.5,1.0285714285714287,1.1037527593818983,drone-sim-core/src/main/java/com/tenicana/dronecraft/sim/DroneConfig.java,Current Java ground/ceiling formulas scanned at clearance = h/R * rotor_radius.,heavyLift,0.1905,1.2,1.5,1.0849241875,1.06859161,0.7077015625,0.762129,1.0547874045138887,0.9849458812991944,,,,,,,,,,,,,,
current_ground_ceiling_scan,heavyLift,2.0,1.0158730158730158,1.0700909577314073,drone-sim-core/src/main/java/com/tenicana/dronecraft/sim/DroneConfig.java,Current Java ground/ceiling formulas scanned at clearance = h/R * rotor_radius.,heavyLift,0.254,1.2,1.5,1.0745763333333334,1.06210064,0.6214694444444444,0.6900071111111111,1.0577860781250001,0.9883901283265435,,,,,,,,,,,,,,
current_ground_ceiling_scan,heavyLift,3.0,1.0069930069930069,1.0384215991692627,drone-sim-core/src/main/java/com/tenicana/dronecraft/sim/DroneConfig.java,Current Java ground/ceiling formulas scanned at clearance = h/R * rotor_radius.,heavyLift,0.381,1.2,1.5,1.05589675,1.05008644,0.46580625,0.556516,1.0485641336805558,0.994497274473096,,,,,,,,,,,,,,
current_ground_ceiling_scan,heavyLift,4.0,1.003921568627451,1.0232796111537477,drone-sim-core/src/main/java/com/tenicana/dronecraft/sim/DroneConfig.java,Current Java ground/ceiling formulas scanned at clearance = h/R * rotor_radius.,heavyLift,0.508,1.2,1.5,1.0399053333333332,1.03936256,0.3325444444444444,0.4373617777777778,1.035843203125,0.9994780550537294,,,,,,,,,,,,,,
current_ground_ceiling_scan,heavyLift,6.0,1.0017391304347827,1.0085728693898133,drone-sim-core/src/main/java/com/tenicana/dronecraft/sim/DroneConfig.java,Current Java ground/ceiling formulas scanned at clearance = h/R * rotor_radius.,heavyLift,0.762,1.2,1.5,1.015987,1.02178576,0.13322499999999998,0.242064,1.0142231336805554,1.005707513974096,,,,,,,,,,,,,,
current_wall_force_scan,heavyLift,,,,drone-sim-core/src/main/java/com/tenicana/dronecraft/sim/DroneConfig.java,Current Java steady wall-force proxy at hover thrust; direction is toward the obstruction/wall.,heavyLift,,,,,,,,,,0.25,0.0,0.01319164016876855,0.0263832803375371,0.29107304563737174,0.5821460912747435,1.164292182549487,0.5388213562465471,0.29032845394736845,1.0,0.19479114491512498,0.05654209109206466,0.037,0.10625
current_wall_force_scan,heavyLift,,,,drone-sim-core/src/main/java/com/tenicana/dronecraft/sim/DroneConfig.java,Current Java steady wall-force proxy at hover thrust; direction is toward the obstruction/wall.,heavyLift,,,,,,,,,,0.25,6.0,0.005976288284775105,0.01195257656955021,0.13186657689275202,0.26373315378550405,0.5274663075710081,0.5388213562465471,0.29032845394736845,0.5,0.19479114491512498,0.02827104554603233,0.037,0.10625
current_wall_force_scan,heavyLift,,,,drone-sim-core/src/main/java/com/tenicana/dronecraft/sim/DroneConfig.java,Current Java steady wall-force proxy at hover thrust; direction is toward the obstruction/wall.,heavyLift,,,,,,,,,,0.25,12.0,0.0024769142098773475,0.004953828419754695,0.0546530191566608,0.1093060383133216,0.2186120766266432,0.5388213562465471,0.29032845394736845,0.21999999999999997,0.19479114491512498,0.012439260040254222,0.037,0.10625
current_wall_force_scan,heavyLift,,,,drone-sim-core/src/main/java/com/tenicana/dronecraft/sim/DroneConfig.java,Current Java steady wall-force proxy at hover thrust; direction is toward the obstruction/wall.,heavyLift,,,,,,,,,,0.5,0.0,0.03699630289370756,0.07399260578741512,0.8163220359882988,1.6326440719765976,3.265288143953195,0.5388213562465471,0.29032845394736845,1.0,0.4413514981453274,0.12811124767825435,0.034,0.1175
current_wall_force_scan,heavyLift,,,,drone-sim-core/src/main/java/com/tenicana/dronecraft/sim/DroneConfig.java,Current Java steady wall-force proxy at hover thrust; direction is toward the obstruction/wall.,heavyLift,,,,,,,,,,0.5,6.0,0.015317658822925143,0.030635317645850285,0.3379835675156374,0.6759671350312748,1.3519342700625496,0.5388213562465471,0.29032845394736845,0.5,0.4413514981453274,0.06405562383912718,0.034,0.1175
current_wall_force_scan,heavyLift,,,,drone-sim-core/src/main/java/com/tenicana/dronecraft/sim/DroneConfig.java,Current Java steady wall-force proxy at hover thrust; direction is toward the obstruction/wall.,heavyLift,,,,,,,,,,0.5,12.0,0.0059560964995510465,0.011912192999102093,0.1314210459089751,0.2628420918179502,0.5256841836359004,0.5388213562465471,0.29032845394736845,0.21999999999999997,0.4413514981453274,0.028184474489215953,0.034,0.1175
current_wall_force_scan,heavyLift,,,,drone-sim-core/src/main/java/com/tenicana/dronecraft/sim/DroneConfig.java,Current Java steady wall-force proxy at hover thrust; direction is toward the obstruction/wall.,heavyLift,,,,,,,,,,0.75,0.0,0.07229133017527586,0.14458266035055173,1.5951054893925802,3.1902109787851605,6.380421957570321,0.5388213562465471,0.29032845394736845,1.0,0.7121513317989712,0.20671640639238323,0.031,0.12875
current_wall_force_scan,heavyLift,,,,drone-sim-core/src/main/java/com/tenicana/dronecraft/sim/DroneConfig.java,Current Java steady wall-force proxy at hover thrust; direction is toward the obstruction/wall.,heavyLift,,,,,,,,,,0.75,6.0,0.02786491335605482,0.05572982671210964,0.6148382682670988,1.2296765365341975,2.459353073068395,0.5388213562465471,0.29032845394736845,0.5,0.7121513317989712,0.10335820319619161,0.031,0.12875
current_wall_force_scan,heavyLift,,,,drone-sim-core/src/main/java/com/tenicana/dronecraft/sim/DroneConfig.java,Current Java steady wall-force proxy at hover thrust; direction is toward the obstruction/wall.,heavyLift,,,,,,,,,,0.75,12.0,0.01022018465000204,0.02044036930000408,0.22550799104537064,0.4510159820907413,0.9020319641814826,0.5388213562465471,0.29032845394736845,0.21999999999999997,0.7121513317989712,0.0454776094063243,0.031,0.12875
current_wall_force_scan,heavyLift,,,,drone-sim-core/src/main/java/com/tenicana/dronecraft/sim/DroneConfig.java,Current Java steady wall-force proxy at hover thrust; direction is toward the obstruction/wall.,heavyLift,,,,,,,,,,1.0,0.0,0.12031082560892492,0.24062165121784984,2.654653855404968,5.309307710809936,10.618615421619872,0.5388213562465471,0.29032845394736845,1.0,1.0,0.2902703360396663,0.028,0.14
current_wall_force_scan,heavyLift,,,,drone-sim-core/src/main/java/com/tenicana/dronecraft/sim/DroneConfig.java,Current Java steady wall-force proxy at hover thrust; direction is toward the obstruction/wall.,heavyLift,,,,,,,,,,1.0,6.0,0.04382770640223123,0.08765541280446246,0.967056698226242,1.934113396452484,3.868226792904968,0.5388213562465471,0.29032845394736845,0.5,1.0,0.14513516801983314,0.028,0.14
current_wall_force_scan,heavyLift,,,,drone-sim-core/src/main/java/com/tenicana/dronecraft/sim/DroneConfig.java,Current Java steady wall-force proxy at hover thrust; direction is toward the obstruction/wall.,heavyLift,,,,,,,,,,1.0,12.0,0.015261043959471966,0.03052208791894393,0.33673436267660045,0.6734687253532009,1.3469374507064018,0.5388213562465471,0.29032845394736845,0.21999999999999997,1.0,0.06385947392872658,0.028,0.14
current_ground_ceiling_scan,hexLift,0.5,1.3333333333333333,1.4749262536873158,drone-sim-core/src/main/java/com/tenicana/dronecraft/sim/DroneConfig.java,Current Java ground/ceiling formulas scanned at clearance = h/R * rotor_radius.,hexLift,0.0525,1.05,1.3125,1.099275,1.076032,0.9025,0.9216,0.82445625,0.9788560642241478,,,,,,,,,,,,,,
current_ground_ceiling_scan,hexLift,1.0,1.0666666666666667,1.1778563015312131,drone-sim-core/src/main/java/com/tenicana/dronecraft/sim/DroneConfig.java,Current Java ground/ceiling formulas scanned at clearance = h/R * rotor_radius.,hexLift,0.105,1.05,1.3125,1.0891,1.069828,0.81,0.8464,1.02103125,0.9823046552199064,,,,,,,,,,,,,,
current_ground_ceiling_scan,hexLift,1.5,1.0285714285714287,1.1037527593818983,drone-sim-core/src/main/java/com/tenicana/dronecraft/sim/DroneConfig.java,Current Java ground/ceiling formulas scanned at clearance = h/R * rotor_radius.,hexLift,0.1575,1.05,1.3125,1.079475,1.063888,0.7224999999999999,0.7744,1.049489583333333,0.9855605734268973,,,,,,,,,,,,,,
current_ground_ceiling_scan,hexLift,2.0,1.0158730158730158,1.0700909577314073,drone-sim-core/src/main/java/com/tenicana/dronecraft/sim/DroneConfig.java,Current Java ground/ceiling formulas scanned at clearance = h/R * rotor_radius.,hexLift,0.21,1.05,1.3125,1.0704,1.058212,0.6400000000000001,0.7055999999999999,1.0536750000000001,0.9886136023916292,,,,,,,,,,,,,,
