row_type,scenario_name,preset_name,validation_acceptance_ready,manual_patch_review_allowed,physical_impact_preview_available,tip_mach_budget_accepted,reynolds_budget_accepted,compressibility_impact_accepted,compressibility_review_required,candidate_hover_tip_mach,candidate_max_tip_mach,candidate_hover_reynolds_number,candidate_max_thrust_loss_percent,candidate_max_load_factor,candidate_max_reaction_torque_scale,candidate_max_vibration_proxy,physical_budget_accepted,manual_patch_review_ready,playable_reference_allowed,config_patch_allowed,runtime_coupling_allowed,gameplay_auto_apply_allowed,status,message,source_file,evidence_role,note
propeller_archive_rotor_spec_retune_physical_budget_acceptance_scenario,current_retune_validation_blocked,budget_row_count,,,,,,0,count,,,,,,,,,,,,,,BLOCKED,validation-run-not-planned,drone-sim-core/src/main/java/com/tenicana/dronecraft/sim/PropellerArchiveRotorSpecRetunePhysicalBudgetAcceptanceGate.java,current_physical_budget,no budget rows
propeller_archive_rotor_spec_retune_physical_budget_acceptance_scenario,current_retune_validation_blocked,physical_budget_accepted_count,,,,,,0,count,,,,,,,,,,,,,,BLOCKED,validation-run-not-planned,drone-sim-core/src/main/java/com/tenicana/dronecraft/sim/PropellerArchiveRotorSpecRetunePhysicalBudgetAcceptanceGate.java,current_physical_budget,no accepted rows
propeller_archive_rotor_spec_retune_physical_budget_acceptance_scenario,current_retune_validation_blocked,compressibility_review_required_count,,,,,,0,count,,,,,,,,,,,,,,BLOCKED,validation-run-not-planned,drone-sim-core/src/main/java/com/tenicana/dronecraft/sim/PropellerArchiveRotorSpecRetunePhysicalBudgetAcceptanceGate.java,current_physical_budget,no review rows
propeller_archive_rotor_spec_retune_physical_budget_acceptance_scenario,current_retune_validation_blocked,manual_patch_review_ready_count,,,,,,0,count,,,,,,,,,,,,,,BLOCKED,validation-run-not-planned,drone-sim-core/src/main/java/com/tenicana/dronecraft/sim/PropellerArchiveRotorSpecRetunePhysicalBudgetAcceptanceGate.java,current_physical_budget,manual review not open
propeller_archive_rotor_spec_retune_physical_budget_acceptance_scenario,current_retune_validation_blocked,playable_reference_allowed_count,,,,,,0,count,,,,,,,,,,,,,,BLOCKED,validation-run-not-planned,drone-sim-core/src/main/java/com/tenicana/dronecraft/sim/PropellerArchiveRotorSpecRetunePhysicalBudgetAcceptanceGate.java,current_physical_budget,playable reference remains closed
propeller_archive_rotor_spec_retune_physical_budget_acceptance_scenario,current_retune_validation_blocked,min_candidate_hover_reynolds_number,,,,,,0.0,Re,,,,,,,,,,,,,,BLOCKED,validation-run-not-planned,drone-sim-core/src/main/java/com/tenicana/dronecraft/sim/PropellerArchiveRotorSpecRetunePhysicalBudgetAcceptanceGate.java,current_physical_budget,no candidate rows
propeller_archive_rotor_spec_retune_physical_budget_acceptance_scenario,current_retune_validation_blocked,max_candidate_max_tip_mach,,,,,,0.0,Mach,,,,,,,,,,,,,,BLOCKED,validation-run-not-planned,drone-sim-core/src/main/java/com/tenicana/dronecraft/sim/PropellerArchiveRotorSpecRetunePhysicalBudgetAcceptanceGate.java,current_physical_budget,no candidate rows
propeller_archive_rotor_spec_retune_physical_budget_acceptance_scenario,current_retune_validation_blocked,max_candidate_max_thrust_loss_percent,,,,,,0.0,percent,,,,,,,,,,,,,,BLOCKED,validation-run-not-planned,drone-sim-core/src/main/java/com/tenicana/dronecraft/sim/PropellerArchiveRotorSpecRetunePhysicalBudgetAcceptanceGate.java,current_physical_budget,no candidate rows
propeller_archive_rotor_spec_retune_physical_budget_acceptance_scenario,current_retune_validation_blocked,max_candidate_max_load_factor,,,,,,0.0,ratio,,,,,,,,,,,,,,BLOCKED,validation-run-not-planned,drone-sim-core/src/main/java/com/tenicana/dronecraft/sim/PropellerArchiveRotorSpecRetunePhysicalBudgetAcceptanceGate.java,current_physical_budget,no candidate rows
propeller_archive_rotor_spec_retune_physical_budget_acceptance_scenario,current_retune_validation_blocked,max_candidate_max_reaction_torque_scale,,,,,,1.0,scale,,,,,,,,,,,,,,BLOCKED,validation-run-not-planned,drone-sim-core/src/main/java/com/tenicana/dronecraft/sim/PropellerArchiveRotorSpecRetunePhysicalBudgetAcceptanceGate.java,current_physical_budget,no candidate rows
propeller_archive_rotor_spec_retune_physical_budget_acceptance_scenario,current_retune_validation_blocked,max_candidate_max_vibration_proxy,,,,,,0.0,ratio,,,,,,,,,,,,,,BLOCKED,validation-run-not-planned,drone-sim-core/src/main/java/com/tenicana/dronecraft/sim/PropellerArchiveRotorSpecRetunePhysicalBudgetAcceptanceGate.java,current_physical_budget,no candidate rows
propeller_archive_rotor_spec_retune_physical_budget_acceptance_scenario,current_retune_validation_blocked,config_patch_allowed_count,,,,,,0,count,,,,,,,,,,,,,,BLOCKED,validation-run-not-planned,drone-sim-core/src/main/java/com/tenicana/dronecraft/sim/PropellerArchiveRotorSpecRetunePhysicalBudgetAcceptanceGate.java,current_physical_budget,patch gate remains closed
propeller_archive_rotor_spec_retune_physical_budget_acceptance_scenario,current_retune_validation_blocked,runtime_coupling_allowed_count,,,,,,0,count,,,,,,,,,,,,,,BLOCKED,validation-run-not-planned,drone-sim-core/src/main/java/com/tenicana/dronecraft/sim/PropellerArchiveRotorSpecRetunePhysicalBudgetAcceptanceGate.java,current_physical_budget,runtime coupling remains closed
propeller_archive_rotor_spec_retune_physical_budget_acceptance_scenario,current_retune_validation_blocked,gameplay_auto_apply_allowed_count,,,,,,0,count,,,,,,,,,,,,,,BLOCKED,validation-run-not-planned,drone-sim-core/src/main/java/com/tenicana/dronecraft/sim/PropellerArchiveRotorSpecRetunePhysicalBudgetAcceptanceGate.java,current_physical_budget,gameplay auto apply remains closed
propeller_archive_rotor_spec_retune_physical_budget_acceptance_scenario,current_retune_validation_blocked,status,,,,,,BLOCKED,text,,,,,,,,,,,,,,BLOCKED,validation-run-not-planned,drone-sim-core/src/main/java/com/tenicana/dronecraft/sim/PropellerArchiveRotorSpecRetunePhysicalBudgetAcceptanceGate.java,current_physical_budget,blocked until validation is planned
propeller_archive_rotor_spec_retune_physical_budget_acceptance_scenario,current_retune_validation_blocked,message,,,,,,validation-run-not-planned,text,,,,,,,,,,,,,,BLOCKED,validation-run-not-planned,drone-sim-core/src/main/java/com/tenicana/dronecraft/sim/PropellerArchiveRotorSpecRetunePhysicalBudgetAcceptanceGate.java,current_physical_budget,upstream block propagated
propeller_archive_rotor_spec_retune_physical_budget_acceptance_scenario,synthetic_ready_validation_results_missing,validation_acceptance_ready,,,,,,false,boolean,,,,,,,,,,,,,,BLOCKED,validation-result-set-incomplete,drone-sim-core/src/main/java/com/tenicana/dronecraft/sim/PropellerArchiveRotorSpecRetunePhysicalBudgetAcceptanceGate.java,missing_results_physical_budget,validation results are incomplete
propeller_archive_rotor_spec_retune_physical_budget_acceptance_scenario,synthetic_ready_validation_results_missing,reynolds_budget_available,,,,,,false,boolean,,,,,,,,,,,,,,BLOCKED,validation-result-set-incomplete,drone-sim-core/src/main/java/com/tenicana/dronecraft/sim/PropellerArchiveRotorSpecRetunePhysicalBudgetAcceptanceGate.java,missing_results_physical_budget,no upstream Reynolds rows
propeller_archive_rotor_spec_retune_physical_budget_acceptance_scenario,synthetic_ready_validation_results_missing,compressibility_impact_available,,,,,,false,boolean,,,,,,,,,,,,,,BLOCKED,validation-result-set-incomplete,drone-sim-core/src/main/java/com/tenicana/dronecraft/sim/PropellerArchiveRotorSpecRetunePhysicalBudgetAcceptanceGate.java,missing_results_physical_budget,no upstream compressibility rows
propeller_archive_rotor_spec_retune_physical_budget_acceptance_scenario,synthetic_ready_validation_results_missing,physical_budget_available,,,,,,false,boolean,,,,,,,,,,,,,,BLOCKED,validation-result-set-incomplete,drone-sim-core/src/main/java/com/tenicana/dronecraft/sim/PropellerArchiveRotorSpecRetunePhysicalBudgetAcceptanceGate.java,missing_results_physical_budget,no physical budget rows
propeller_archive_rotor_spec_retune_physical_budget_acceptance_scenario,synthetic_ready_validation_results_missing,budget_row_count,,,,,,0,count,,,,,,,,,,,,,,BLOCKED,validation-result-set-incomplete,drone-sim-core/src/main/java/com/tenicana/dronecraft/sim/PropellerArchiveRotorSpecRetunePhysicalBudgetAcceptanceGate.java,missing_results_physical_budget,no budget rows
propeller_archive_rotor_spec_retune_physical_budget_acceptance_scenario,synthetic_ready_validation_results_missing,physical_budget_accepted_count,,,,,,0,count,,,,,,,,,,,,,,BLOCKED,validation-result-set-incomplete,drone-sim-core/src/main/java/com/tenicana/dronecraft/sim/PropellerArchiveRotorSpecRetunePhysicalBudgetAcceptanceGate.java,missing_results_physical_budget,no accepted rows
propeller_archive_rotor_spec_retune_physical_budget_acceptance_scenario,synthetic_ready_validation_results_missing,compressibility_review_required_count,,,,,,0,count,,,,,,,,,,,,,,BLOCKED,validation-result-set-incomplete,drone-sim-core/src/main/java/com/tenicana/dronecraft/sim/PropellerArchiveRotorSpecRetunePhysicalBudgetAcceptanceGate.java,missing_results_physical_budget,no review rows
propeller_archive_rotor_spec_retune_physical_budget_acceptance_scenario,synthetic_ready_validation_results_missing,manual_patch_review_ready_count,,,,,,0,count,,,,,,,,,,,,,,BLOCKED,validation-result-set-incomplete,drone-sim-core/src/main/java/com/tenicana/dronecraft/sim/PropellerArchiveRotorSpecRetunePhysicalBudgetAcceptanceGate.java,missing_results_physical_budget,manual review not open
propeller_archive_rotor_spec_retune_physical_budget_acceptance_scenario,synthetic_ready_validation_results_missing,playable_reference_allowed_count,,,,,,0,count,,,,,,,,,,,,,,BLOCKED,validation-result-set-incomplete,drone-sim-core/src/main/java/com/tenicana/dronecraft/sim/PropellerArchiveRotorSpecRetunePhysicalBudgetAcceptanceGate.java,missing_results_physical_budget,playable reference remains closed
propeller_archive_rotor_spec_retune_physical_budget_acceptance_scenario,synthetic_ready_validation_results_missing,min_candidate_hover_reynolds_number,,,,,,0.0,Re,,,,,,,,,,,,,,BLOCKED,validation-result-set-incomplete,drone-sim-core/src/main/java/com/tenicana/dronecraft/sim/PropellerArchiveRotorSpecRetunePhysicalBudgetAcceptanceGate.java,missing_results_physical_budget,no candidate rows
propeller_archive_rotor_spec_retune_physical_budget_acceptance_scenario,synthetic_ready_validation_results_missing,max_candidate_max_tip_mach,,,,,,0.0,Mach,,,,,,,,,,,,,,BLOCKED,validation-result-set-incomplete,drone-sim-core/src/main/java/com/tenicana/dronecraft/sim/PropellerArchiveRotorSpecRetunePhysicalBudgetAcceptanceGate.java,missing_results_physical_budget,no candidate rows
propeller_archive_rotor_spec_retune_physical_budget_acceptance_scenario,synthetic_ready_validation_results_missing,max_candidate_max_thrust_loss_percent,,,,,,0.0,percent,,,,,,,,,,,,,,BLOCKED,validation-result-set-incomplete,drone-sim-core/src/main/java/com/tenicana/dronecraft/sim/PropellerArchiveRotorSpecRetunePhysicalBudgetAcceptanceGate.java,missing_results_physical_budget,no candidate rows
propeller_archive_rotor_spec_retune_physical_budget_acceptance_scenario,synthetic_ready_validation_results_missing,max_candidate_max_load_factor,,,,,,0.0,ratio,,,,,,,,,,,,,,BLOCKED,validation-result-set-incomplete,drone-sim-core/src/main/java/com/tenicana/dronecraft/sim/PropellerArchiveRotorSpecRetunePhysicalBudgetAcceptanceGate.java,missing_results_physical_budget,no candidate rows
propeller_archive_rotor_spec_retune_physical_budget_acceptance_scenario,synthetic_ready_validation_results_missing,max_candidate_max_reaction_torque_scale,,,,,,1.0,scale,,,,,,,,,,,,,,BLOCKED,validation-result-set-incomplete,drone-sim-core/src/main/java/com/tenicana/dronecraft/sim/PropellerArchiveRotorSpecRetunePhysicalBudgetAcceptanceGate.java,missing_results_physical_budget,no candidate rows
propeller_archive_rotor_spec_retune_physical_budget_acceptance_scenario,synthetic_ready_validation_results_missing,max_candidate_max_vibration_proxy,,,,,,0.0,ratio,,,,,,,,,,,,,,BLOCKED,validation-result-set-incomplete,drone-sim-core/src/main/java/com/tenicana/dronecraft/sim/PropellerArchiveRotorSpecRetunePhysicalBudgetAcceptanceGate.java,missing_results_physical_budget,no candidate rows
propeller_archive_rotor_spec_retune_physical_budget_acceptance_scenario,synthetic_ready_validation_results_missing,config_patch_allowed_count,,,,,,0,count,,,,,,,,,,,,,,BLOCKED,validation-result-set-incomplete,drone-sim-core/src/main/java/com/tenicana/dronecraft/sim/PropellerArchiveRotorSpecRetunePhysicalBudgetAcceptanceGate.java,missing_results_physical_budget,patch gate remains closed
propeller_archive_rotor_spec_retune_physical_budget_acceptance_scenario,synthetic_ready_validation_results_missing,runtime_coupling_allowed_count,,,,,,0,count,,,,,,,,,,,,,,BLOCKED,validation-result-set-incomplete,drone-sim-core/src/main/java/com/tenicana/dronecraft/sim/PropellerArchiveRotorSpecRetunePhysicalBudgetAcceptanceGate.java,missing_results_physical_budget,runtime coupling remains closed
propeller_archive_rotor_spec_retune_physical_budget_acceptance_scenario,synthetic_ready_validation_results_missing,gameplay_auto_apply_allowed_count,,,,,,0,count,,,,,,,,,,,,,,BLOCKED,validation-result-set-incomplete,drone-sim-core/src/main/java/com/tenicana/dronecraft/sim/PropellerArchiveRotorSpecRetunePhysicalBudgetAcceptanceGate.java,missing_results_physical_budget,gameplay auto apply remains closed
propeller_archive_rotor_spec_retune_physical_budget_acceptance_scenario,synthetic_ready_validation_results_missing,status,,,,,,BLOCKED,text,,,,,,,,,,,,,,BLOCKED,validation-result-set-incomplete,drone-sim-core/src/main/java/com/tenicana/dronecraft/sim/PropellerArchiveRotorSpecRetunePhysicalBudgetAcceptanceGate.java,missing_results_physical_budget,blocked until validation results are complete
propeller_archive_rotor_spec_retune_physical_budget_acceptance_scenario,synthetic_ready_validation_results_missing,message,,,,,,validation-result-set-incomplete,text,,,,,,,,,,,,,,BLOCKED,validation-result-set-incomplete,drone-sim-core/src/main/java/com/tenicana/dronecraft/sim/PropellerArchiveRotorSpecRetunePhysicalBudgetAcceptanceGate.java,missing_results_physical_budget,upstream missing-results block propagated
propeller_archive_rotor_spec_retune_physical_budget_acceptance_scenario,synthetic_ready_validation_all_pass,validation_acceptance_ready,,,,,,true,boolean,,,,,,,,,,,,,,READY,physical-budget-accepted-compressibility-review-required,drone-sim-core/src/main/java/com/tenicana/dronecraft/sim/PropellerArchiveRotorSpecRetunePhysicalBudgetAcceptanceGate.java,all_pass_physical_budget,validation accepted
propeller_archive_rotor_spec_retune_physical_budget_acceptance_scenario,synthetic_ready_validation_all_pass,reynolds_budget_available,,,,,,true,boolean,,,,,,,,,,,,,,READY,physical-budget-accepted-compressibility-review-required,drone-sim-core/src/main/java/com/tenicana/dronecraft/sim/PropellerArchiveRotorSpecRetunePhysicalBudgetAcceptanceGate.java,all_pass_physical_budget,Reynolds budget accepted two rows
propeller_archive_rotor_spec_retune_physical_budget_acceptance_scenario,synthetic_ready_validation_all_pass,compressibility_impact_available,,,,,,true,boolean,,,,,,,,,,,,,,READY,physical-budget-accepted-compressibility-review-required,drone-sim-core/src/main/java/com/tenicana/dronecraft/sim/PropellerArchiveRotorSpecRetunePhysicalBudgetAcceptanceGate.java,all_pass_physical_budget,compressibility impact accepted two rows
propeller_archive_rotor_spec_retune_physical_budget_acceptance_scenario,synthetic_ready_validation_all_pass,physical_budget_available,,,,,,true,boolean,,,,,,,,,,,,,,READY,physical-budget-accepted-compressibility-review-required,drone-sim-core/src/main/java/com/tenicana/dronecraft/sim/PropellerArchiveRotorSpecRetunePhysicalBudgetAcceptanceGate.java,all_pass_physical_budget,aggregate budget rows available
propeller_archive_rotor_spec_retune_physical_budget_acceptance_scenario,synthetic_ready_validation_all_pass,budget_row_count,,,,,,2,count,,,,,,,,,,,,,,READY,physical-budget-accepted-compressibility-review-required,drone-sim-core/src/main/java/com/tenicana/dronecraft/sim/PropellerArchiveRotorSpecRetunePhysicalBudgetAcceptanceGate.java,all_pass_physical_budget,racingQuad and apDrone
propeller_archive_rotor_spec_retune_physical_budget_acceptance_scenario,synthetic_ready_validation_all_pass,physical_budget_accepted_count,,,,,,2,count,,,,,,,,,,,,,,READY,physical-budget-accepted-compressibility-review-required,drone-sim-core/src/main/java/com/tenicana/dronecraft/sim/PropellerArchiveRotorSpecRetunePhysicalBudgetAcceptanceGate.java,all_pass_physical_budget,both candidates pass aggregate budget
propeller_archive_rotor_spec_retune_physical_budget_acceptance_scenario,synthetic_ready_validation_all_pass,compressibility_review_required_count,,,,,,2,count,,,,,,,,,,,,,,READY,physical-budget-accepted-compressibility-review-required,drone-sim-core/src/main/java/com/tenicana/dronecraft/sim/PropellerArchiveRotorSpecRetunePhysicalBudgetAcceptanceGate.java,all_pass_physical_budget,both candidates still require compressibility review
propeller_archive_rotor_spec_retune_physical_budget_acceptance_scenario,synthetic_ready_validation_all_pass,manual_patch_review_ready_count,,,,,,2,count,,,,,,,,,,,,,,READY,physical-budget-accepted-compressibility-review-required,drone-sim-core/src/main/java/com/tenicana/dronecraft/sim/PropellerArchiveRotorSpecRetunePhysicalBudgetAcceptanceGate.java,all_pass_physical_budget,both candidates are manual review material only
propeller_archive_rotor_spec_retune_physical_budget_acceptance_scenario,synthetic_ready_validation_all_pass,playable_reference_allowed_count,,,,,,0,count,,,,,,,,,,,,,,READY,physical-budget-accepted-compressibility-review-required,drone-sim-core/src/main/java/com/tenicana/dronecraft/sim/PropellerArchiveRotorSpecRetunePhysicalBudgetAcceptanceGate.java,all_pass_physical_budget,compressibility review keeps playable reference closed
propeller_archive_rotor_spec_retune_physical_budget_acceptance_scenario,synthetic_ready_validation_all_pass,min_candidate_hover_reynolds_number,,,,,,36163.200423383874,Re,,,,,,,,,,,,,,READY,physical-budget-accepted-compressibility-review-required,drone-sim-core/src/main/java/com/tenicana/dronecraft/sim/PropellerArchiveRotorSpecRetunePhysicalBudgetAcceptanceGate.java,all_pass_physical_budget,minimum candidate hover Re occurs on apDrone
propeller_archive_rotor_spec_retune_physical_budget_acceptance_scenario,synthetic_ready_validation_all_pass,max_candidate_max_tip_mach,,,,,,0.6266668829797807,Mach,,,,,,,,,,,,,,READY,physical-budget-accepted-compressibility-review-required,drone-sim-core/src/main/java/com/tenicana/dronecraft/sim/PropellerArchiveRotorSpecRetunePhysicalBudgetAcceptanceGate.java,all_pass_physical_budget,max candidate Mach occurs on racingQuad
propeller_archive_rotor_spec_retune_physical_budget_acceptance_scenario,synthetic_ready_validation_all_pass,max_candidate_max_thrust_loss_percent,,,,,,8.890939026611733,percent,,,,,,,,,,,,,,READY,physical-budget-accepted-compressibility-review-required,drone-sim-core/src/main/java/com/tenicana/dronecraft/sim/PropellerArchiveRotorSpecRetunePhysicalBudgetAcceptanceGate.java,all_pass_physical_budget,max thrust loss remains bounded
propeller_archive_rotor_spec_retune_physical_budget_acceptance_scenario,synthetic_ready_validation_all_pass,max_candidate_max_load_factor,,,,,,0.1867097195588465,ratio,,,,,,,,,,,,,,READY,physical-budget-accepted-compressibility-review-required,drone-sim-core/src/main/java/com/tenicana/dronecraft/sim/PropellerArchiveRotorSpecRetunePhysicalBudgetAcceptanceGate.java,all_pass_physical_budget,max load remains bounded
propeller_archive_rotor_spec_retune_physical_budget_acceptance_scenario,synthetic_ready_validation_all_pass,max_candidate_max_reaction_torque_scale,,,,,,1.1620172236195199,scale,,,,,,,,,,,,,,READY,physical-budget-accepted-compressibility-review-required,drone-sim-core/src/main/java/com/tenicana/dronecraft/sim/PropellerArchiveRotorSpecRetunePhysicalBudgetAcceptanceGate.java,all_pass_physical_budget,max torque scale remains bounded
propeller_archive_rotor_spec_retune_physical_budget_acceptance_scenario,synthetic_ready_validation_all_pass,max_candidate_max_vibration_proxy,,,,,,0.09780032929272911,ratio,,,,,,,,,,,,,,READY,physical-budget-accepted-compressibility-review-required,drone-sim-core/src/main/java/com/tenicana/dronecraft/sim/PropellerArchiveRotorSpecRetunePhysicalBudgetAcceptanceGate.java,all_pass_physical_budget,max vibration proxy remains bounded
propeller_archive_rotor_spec_retune_physical_budget_acceptance_scenario,synthetic_ready_validation_all_pass,config_patch_allowed_count,,,,,,0,count,,,,,,,,,,,,,,READY,physical-budget-accepted-compressibility-review-required,drone-sim-core/src/main/java/com/tenicana/dronecraft/sim/PropellerArchiveRotorSpecRetunePhysicalBudgetAcceptanceGate.java,all_pass_physical_budget,config patch remains closed
propeller_archive_rotor_spec_retune_physical_budget_acceptance_scenario,synthetic_ready_validation_all_pass,runtime_coupling_allowed_count,,,,,,0,count,,,,,,,,,,,,,,READY,physical-budget-accepted-compressibility-review-required,drone-sim-core/src/main/java/com/tenicana/dronecraft/sim/PropellerArchiveRotorSpecRetunePhysicalBudgetAcceptanceGate.java,all_pass_physical_budget,runtime coupling remains closed
propeller_archive_rotor_spec_retune_physical_budget_acceptance_scenario,synthetic_ready_validation_all_pass,gameplay_auto_apply_allowed_count,,,,,,0,count,,,,,,,,,,,,,,READY,physical-budget-accepted-compressibility-review-required,drone-sim-core/src/main/java/com/tenicana/dronecraft/sim/PropellerArchiveRotorSpecRetunePhysicalBudgetAcceptanceGate.java,all_pass_physical_budget,gameplay auto apply remains closed
propeller_archive_rotor_spec_retune_physical_budget_acceptance_scenario,synthetic_ready_validation_all_pass,status,,,,,,READY,text,,,,,,,,,,,,,,READY,physical-budget-accepted-compressibility-review-required,drone-sim-core/src/main/java/com/tenicana/dronecraft/sim/PropellerArchiveRotorSpecRetunePhysicalBudgetAcceptanceGate.java,all_pass_physical_budget,accepted for manual review only
propeller_archive_rotor_spec_retune_physical_budget_acceptance_scenario,synthetic_ready_validation_all_pass,message,,,,,,physical-budget-accepted-compressibility-review-required,text,,,,,,,,,,,,,,READY,physical-budget-accepted-compressibility-review-required,drone-sim-core/src/main/java/com/tenicana/dronecraft/sim/PropellerArchiveRotorSpecRetunePhysicalBudgetAcceptanceGate.java,all_pass_physical_budget,compressibility review prevents playable reference export
propeller_archive_rotor_spec_retune_physical_budget_acceptance_scenario,synthetic_ready_validation_one_failed,validation_acceptance_ready,,,,,,false,boolean,,,,,,,,,,,,,,BLOCKED,validation-result-failed,drone-sim-core/src/main/java/com/tenicana/dronecraft/sim/PropellerArchiveRotorSpecRetunePhysicalBudgetAcceptanceGate.java,failed_physical_budget,validation result failed
propeller_archive_rotor_spec_retune_physical_budget_acceptance_scenario,synthetic_ready_validation_one_failed,reynolds_budget_available,,,,,,false,boolean,,,,,,,,,,,,,,BLOCKED,validation-result-failed,drone-sim-core/src/main/java/com/tenicana/dronecraft/sim/PropellerArchiveRotorSpecRetunePhysicalBudgetAcceptanceGate.java,failed_physical_budget,no upstream Reynolds rows
propeller_archive_rotor_spec_retune_physical_budget_acceptance_scenario,synthetic_ready_validation_one_failed,compressibility_impact_available,,,,,,false,boolean,,,,,,,,,,,,,,BLOCKED,validation-result-failed,drone-sim-core/src/main/java/com/tenicana/dronecraft/sim/PropellerArchiveRotorSpecRetunePhysicalBudgetAcceptanceGate.java,failed_physical_budget,no upstream compressibility rows
propeller_archive_rotor_spec_retune_physical_budget_acceptance_scenario,synthetic_ready_validation_one_failed,physical_budget_available,,,,,,false,boolean,,,,,,,,,,,,,,BLOCKED,validation-result-failed,drone-sim-core/src/main/java/com/tenicana/dronecraft/sim/PropellerArchiveRotorSpecRetunePhysicalBudgetAcceptanceGate.java,failed_physical_budget,no physical budget rows
propeller_archive_rotor_spec_retune_physical_budget_acceptance_scenario,synthetic_ready_validation_one_failed,budget_row_count,,,,,,0,count,,,,,,,,,,,,,,BLOCKED,validation-result-failed,drone-sim-core/src/main/java/com/tenicana/dronecraft/sim/PropellerArchiveRotorSpecRetunePhysicalBudgetAcceptanceGate.java,failed_physical_budget,no budget rows
