row_type,name,blocker_count,numerical_budget_blocker,external_case_hash_blocker,solver_quality_extraction_blocker,missing_quality_case_blocker,failed_quality_case_blocker,incomplete_quality_payload_blocker,blade_courant_blocker,freestream_courant_blocker,azimuth_step_blocker,tip_mach_blocker,reynolds_reference_blocker,low_reynolds_review_blocker,grid_independence_blocker,mesh_non_orthogonality_blocker,runtime_coupling_leak_blocker,gameplay_auto_apply_leak_blocker,expected_quality_case_count,observed_quality_case_count,missing_quality_case_count,failed_quality_case_count,low_reynolds_review_missing_count,next_required_action,status,message,source_file,evidence_role,note
propeller_archive_ct_cp_j_openfoam_solver_quality_blocker_summary,scenario_count,5,,,,,,,,,,,,,,,,,,,,,,extract-compact-openfoam-solver-quality-summary,BLOCKED,all_scenarios,drone-sim-core/src/main/java/com/tenicana/dronecraft/sim/PropellerArchiveCtCpJOpenFoamSolverQualityBlockerReport.java,summary,Five solver quality blocker scenarios are represented.
propeller_archive_ct_cp_j_openfoam_solver_quality_blocker_summary,ready_scenario_count,1,,,,,,,,,,,,,,,,,,,,,,extract-compact-openfoam-solver-quality-summary,BLOCKED,all_scenarios,drone-sim-core/src/main/java/com/tenicana/dronecraft/sim/PropellerArchiveCtCpJOpenFoamSolverQualityBlockerReport.java,summary,Only the synthetic all-pass quality scenario clears blockers.
propeller_archive_ct_cp_j_openfoam_solver_quality_blocker_summary,blocked_scenario_count,4,,,,,,,,,,,,,,,,,,,,,,extract-compact-openfoam-solver-quality-summary,BLOCKED,all_scenarios,drone-sim-core/src/main/java/com/tenicana/dronecraft/sim/PropellerArchiveCtCpJOpenFoamSolverQualityBlockerReport.java,summary,Current missing and synthetic failure scenarios remain blocked.
propeller_archive_ct_cp_j_openfoam_solver_quality_blocker_summary,max_blocker_count,4,,,,,,,,,,,,,,,,,,,,,,extract-compact-openfoam-solver-quality-summary,BLOCKED,all_scenarios,drone-sim-core/src/main/java/com/tenicana/dronecraft/sim/PropellerArchiveCtCpJOpenFoamSolverQualityBlockerReport.java,summary,Current no-hash/no-quality state carries four blocker classes.
propeller_archive_ct_cp_j_openfoam_solver_quality_blocker_summary,numerical_budget_blocker_scenario_count,1,,,,,,,,,,,,,,,,,,,,,,extract-compact-openfoam-solver-quality-summary,BLOCKED,all_scenarios,drone-sim-core/src/main/java/com/tenicana/dronecraft/sim/PropellerArchiveCtCpJOpenFoamSolverQualityBlockerReport.java,summary,Current state still marks the numerical budget unavailable.
propeller_archive_ct_cp_j_openfoam_solver_quality_blocker_summary,external_case_hash_blocker_scenario_count,1,,,,,,,,,,,,,,,,,,,,,,extract-compact-openfoam-solver-quality-summary,BLOCKED,all_scenarios,drone-sim-core/src/main/java/com/tenicana/dronecraft/sim/PropellerArchiveCtCpJOpenFoamSolverQualityBlockerReport.java,summary,Current state lacks reviewed external case archive hashes.
propeller_archive_ct_cp_j_openfoam_solver_quality_blocker_summary,solver_quality_extraction_blocker_scenario_count,1,,,,,,,,,,,,,,,,,,,,,,extract-compact-openfoam-solver-quality-summary,BLOCKED,all_scenarios,drone-sim-core/src/main/java/com/tenicana/dronecraft/sim/PropellerArchiveCtCpJOpenFoamSolverQualityBlockerReport.java,summary,Current state lacks compact solver QA extraction.
propeller_archive_ct_cp_j_openfoam_solver_quality_blocker_summary,missing_quality_case_blocker_scenario_count,2,,,,,,,,,,,,,,,,,,,,,,extract-compact-openfoam-solver-quality-summary,BLOCKED,all_scenarios,drone-sim-core/src/main/java/com/tenicana/dronecraft/sim/PropellerArchiveCtCpJOpenFoamSolverQualityBlockerReport.java,summary,Current and quality-missing states have six absent QA rows.
propeller_archive_ct_cp_j_openfoam_solver_quality_blocker_summary,failed_quality_case_blocker_scenario_count,2,,,,,,,,,,,,,,,,,,,,,,extract-compact-openfoam-solver-quality-summary,BLOCKED,all_scenarios,drone-sim-core/src/main/java/com/tenicana/dronecraft/sim/PropellerArchiveCtCpJOpenFoamSolverQualityBlockerReport.java,summary,Low-Reynolds and Courant synthetic rows isolate failed QA blockers.
propeller_archive_ct_cp_j_openfoam_solver_quality_blocker_summary,low_reynolds_review_blocker_scenario_count,1,,,,,,,,,,,,,,,,,,,,,,extract-compact-openfoam-solver-quality-summary,BLOCKED,all_scenarios,drone-sim-core/src/main/java/com/tenicana/dronecraft/sim/PropellerArchiveCtCpJOpenFoamSolverQualityBlockerReport.java,summary,Static-anchor low-Reynolds review is represented separately.
propeller_archive_ct_cp_j_openfoam_solver_quality_blocker_summary,blade_courant_blocker_scenario_count,1,,,,,,,,,,,,,,,,,,,,,,extract-compact-openfoam-solver-quality-summary,BLOCKED,all_scenarios,drone-sim-core/src/main/java/com/tenicana/dronecraft/sim/PropellerArchiveCtCpJOpenFoamSolverQualityBlockerReport.java,summary,Blade-cell Courant failure is represented separately.
propeller_archive_ct_cp_j_openfoam_solver_quality_blocker_summary,grid_independence_blocker_scenario_count,0,,,,,,,,,,,,,,,,,,,,,,extract-compact-openfoam-solver-quality-summary,BLOCKED,all_scenarios,drone-sim-core/src/main/java/com/tenicana/dronecraft/sim/PropellerArchiveCtCpJOpenFoamSolverQualityBlockerReport.java,summary,No current synthetic row exceeds the grid-independence budget.
propeller_archive_ct_cp_j_openfoam_solver_quality_blocker_summary,mesh_non_orthogonality_blocker_scenario_count,0,,,,,,,,,,,,,,,,,,,,,,extract-compact-openfoam-solver-quality-summary,BLOCKED,all_scenarios,drone-sim-core/src/main/java/com/tenicana/dronecraft/sim/PropellerArchiveCtCpJOpenFoamSolverQualityBlockerReport.java,summary,No current synthetic row exceeds mesh non-orthogonality budget.
propeller_archive_ct_cp_j_openfoam_solver_quality_blocker_summary,runtime_coupling_leak_scenario_count,0,,,,,,,,,,,,,,,,,,,,,,extract-compact-openfoam-solver-quality-summary,BLOCKED,all_scenarios,drone-sim-core/src/main/java/com/tenicana/dronecraft/sim/PropellerArchiveCtCpJOpenFoamSolverQualityBlockerReport.java,summary,The blocker report cannot open runtime coupling.
propeller_archive_ct_cp_j_openfoam_solver_quality_blocker_summary,gameplay_auto_apply_leak_scenario_count,0,,,,,,,,,,,,,,,,,,,,,,extract-compact-openfoam-solver-quality-summary,BLOCKED,all_scenarios,drone-sim-core/src/main/java/com/tenicana/dronecraft/sim/PropellerArchiveCtCpJOpenFoamSolverQualityBlockerReport.java,summary,The blocker report cannot auto-apply gameplay tuning.
propeller_archive_ct_cp_j_openfoam_solver_quality_blocker_method,blocker_report_rule,,,,,,,,,,,,,,,,,,,,,,,require-openfoam-solver-quality-blockers-clear-before-result-support,BLOCKED,decompose-openfoam-solver-quality-readiness-before-cfd-support,drone-sim-core/src/main/java/com/tenicana/dronecraft/sim/PropellerArchiveCtCpJOpenFoamSolverQualityBlockerReport.java,method,Audit-only blocker split for external OpenFOAM solver QA.
