row_type,scenario_name,preset_name,case_name,slot_id,status,metric,value,unit,performance_match_id,slot_kind,slot_coordinate_role,query_advance_ratio_j,query_rpm,slot_advance_ratio_j,slot_rpm,minimum_performance_neighbor_rows,promotion_evidence_complete,full_simulation_evidence_complete,review_work_allowed,source_archive_identity_required,ct_cp_entry_required,ct_cp_value_present,coefficient_payload_reviewed,lookup_execution_input_ready,full_simulation_lookup_allowed,performance_only_coverage,runtime_coupling_allowed,gameplay_auto_apply_allowed,next_required_action,note
propeller_archive_ct_cp_j_lookup_coefficient_payload_review_worksheet,current_no_evidence_submitted,racingQuad,mid_domain_mid_rpm,j1-r0,EVIDENCE_BLOCKED,review_work_allowed,false,boolean,da4052 5.0x3.75 - 3,BILINEAR_CORNER_SLOT,upper_j_lower_rpm,0.406400,4712.25,0.487680,4065.36,4,false,false,false,true,false,false,false,false,true,false,false,false,execute-clearance-evidence-ledger-before-reviewed-payload-output,clearance evidence incomplete before coefficient payload review: source_review
propeller_archive_ct_cp_j_lookup_coefficient_payload_review_worksheet,current_no_evidence_submitted,racingQuad,mid_domain_mid_rpm,j0-r1,EVIDENCE_BLOCKED,review_work_allowed,false,boolean,da4052 5.0x3.75 - 3,BILINEAR_CORNER_SLOT,lower_j_upper_rpm,0.406400,4712.25,0.325120,5359.14,4,false,false,false,true,false,false,false,false,true,false,false,false,execute-clearance-evidence-ledger-before-reviewed-payload-output,clearance evidence incomplete before coefficient payload review: source_review
propeller_archive_ct_cp_j_lookup_coefficient_payload_review_worksheet,current_no_evidence_submitted,racingQuad,mid_domain_mid_rpm,j1-r1,EVIDENCE_BLOCKED,review_work_allowed,false,boolean,da4052 5.0x3.75 - 3,BILINEAR_CORNER_SLOT,upper_j_upper_rpm,0.406400,4712.25,0.487680,5359.14,4,false,false,false,true,false,false,false,false,true,false,false,false,execute-clearance-evidence-ledger-before-reviewed-payload-output,clearance evidence incomplete before coefficient payload review: source_review
propeller_archive_ct_cp_j_lookup_coefficient_payload_review_worksheet,current_no_evidence_submitted,racingQuad,high_domain_max_rpm,j0-rmax,EVIDENCE_BLOCKED,review_work_allowed,false,boolean,da4052 5.0x3.75 - 3,HIGH_RPM_EDGE_SLOT,lower_j_query_rpm,0.731520,7946.70,0.650240,7946.70,2,false,false,false,true,false,false,false,false,true,false,false,false,execute-clearance-evidence-ledger-before-reviewed-payload-output,clearance evidence incomplete before coefficient payload review: source_review
propeller_archive_ct_cp_j_lookup_coefficient_payload_review_worksheet,current_no_evidence_submitted,racingQuad,high_domain_max_rpm,j1-rmax,EVIDENCE_BLOCKED,review_work_allowed,false,boolean,da4052 5.0x3.75 - 3,HIGH_RPM_EDGE_SLOT,upper_j_query_rpm,0.731520,7946.70,0.812800,7946.70,2,false,false,false,true,false,false,false,false,true,false,false,false,execute-clearance-evidence-ledger-before-reviewed-payload-output,clearance evidence incomplete before coefficient payload review: source_review
propeller_archive_ct_cp_j_lookup_coefficient_payload_review_worksheet,current_no_evidence_submitted,apDrone,static_anchor_low_rpm,static-anchor,EVIDENCE_BLOCKED,review_work_allowed,false,boolean,da4052 5.0x3.75 - 3,DIRECT_STATIC_ANCHOR_SLOT,query_j_query_rpm,0.000000,1477.80,0.000000,1477.80,1,false,false,false,true,false,false,false,false,true,false,false,false,execute-clearance-evidence-ledger-before-reviewed-payload-output,clearance evidence incomplete before coefficient payload review: source_review
propeller_archive_ct_cp_j_lookup_coefficient_payload_review_worksheet,current_no_evidence_submitted,apDrone,mid_domain_mid_rpm,j0-r0,EVIDENCE_BLOCKED,review_work_allowed,false,boolean,da4052 5.0x3.75 - 3,BILINEAR_CORNER_SLOT,lower_j_lower_rpm,0.406400,4712.25,0.325120,4065.36,4,false,false,false,true,false,false,false,false,true,false,false,false,execute-clearance-evidence-ledger-before-reviewed-payload-output,clearance evidence incomplete before coefficient payload review: source_review
propeller_archive_ct_cp_j_lookup_coefficient_payload_review_worksheet,current_no_evidence_submitted,apDrone,mid_domain_mid_rpm,j1-r0,EVIDENCE_BLOCKED,review_work_allowed,false,boolean,da4052 5.0x3.75 - 3,BILINEAR_CORNER_SLOT,upper_j_lower_rpm,0.406400,4712.25,0.487680,4065.36,4,false,false,false,true,false,false,false,false,true,false,false,false,execute-clearance-evidence-ledger-before-reviewed-payload-output,clearance evidence incomplete before coefficient payload review: source_review
propeller_archive_ct_cp_j_lookup_coefficient_payload_review_worksheet,current_no_evidence_submitted,apDrone,mid_domain_mid_rpm,j0-r1,EVIDENCE_BLOCKED,review_work_allowed,false,boolean,da4052 5.0x3.75 - 3,BILINEAR_CORNER_SLOT,lower_j_upper_rpm,0.406400,4712.25,0.325120,5359.14,4,false,false,false,true,false,false,false,false,true,false,false,false,execute-clearance-evidence-ledger-before-reviewed-payload-output,clearance evidence incomplete before coefficient payload review: source_review
propeller_archive_ct_cp_j_lookup_coefficient_payload_review_worksheet,current_no_evidence_submitted,apDrone,mid_domain_mid_rpm,j1-r1,EVIDENCE_BLOCKED,review_work_allowed,false,boolean,da4052 5.0x3.75 - 3,BILINEAR_CORNER_SLOT,upper_j_upper_rpm,0.406400,4712.25,0.487680,5359.14,4,false,false,false,true,false,false,false,false,true,false,false,false,execute-clearance-evidence-ledger-before-reviewed-payload-output,clearance evidence incomplete before coefficient payload review: source_review
propeller_archive_ct_cp_j_lookup_coefficient_payload_review_worksheet,current_no_evidence_submitted,apDrone,high_domain_max_rpm,j0-rmax,EVIDENCE_BLOCKED,review_work_allowed,false,boolean,da4052 5.0x3.75 - 3,HIGH_RPM_EDGE_SLOT,lower_j_query_rpm,0.731520,7946.70,0.650240,7946.70,2,false,false,false,true,false,false,false,false,true,false,false,false,execute-clearance-evidence-ledger-before-reviewed-payload-output,clearance evidence incomplete before coefficient payload review: source_review
propeller_archive_ct_cp_j_lookup_coefficient_payload_review_worksheet,current_no_evidence_submitted,apDrone,high_domain_max_rpm,j1-rmax,EVIDENCE_BLOCKED,review_work_allowed,false,boolean,da4052 5.0x3.75 - 3,HIGH_RPM_EDGE_SLOT,upper_j_query_rpm,0.731520,7946.70,0.812800,7946.70,2,false,false,false,true,false,false,false,false,true,false,false,false,execute-clearance-evidence-ledger-before-reviewed-payload-output,clearance evidence incomplete before coefficient payload review: source_review
propeller_archive_ct_cp_j_lookup_coefficient_payload_review_worksheet,current_no_evidence_submitted,heavyLift,static_anchor_low_rpm,static-anchor,EVIDENCE_BLOCKED,review_work_allowed,false,boolean,ancf 10.0x5.0 - 2,DIRECT_STATIC_ANCHOR_SLOT,query_j_query_rpm,0.000000,1060.00,0.000000,1060.00,1,false,false,false,true,false,false,false,false,false,true,false,false,execute-clearance-evidence-ledger-before-reviewed-payload-output,clearance evidence incomplete before coefficient payload review: source_review
propeller_archive_ct_cp_j_lookup_coefficient_payload_review_worksheet,current_no_evidence_submitted,heavyLift,mid_domain_mid_rpm,j0-r0,EVIDENCE_BLOCKED,review_work_allowed,false,boolean,ancf 10.0x5.0 - 2,BILINEAR_CORNER_SLOT,lower_j_lower_rpm,0.333500,4250.00,0.266800,3612.00,4,false,false,false,true,false,false,false,false,false,true,false,false,execute-clearance-evidence-ledger-before-reviewed-payload-output,clearance evidence incomplete before coefficient payload review: source_review
propeller_archive_ct_cp_j_lookup_coefficient_payload_review_worksheet,current_no_evidence_submitted,heavyLift,mid_domain_mid_rpm,j1-r0,EVIDENCE_BLOCKED,review_work_allowed,false,boolean,ancf 10.0x5.0 - 2,BILINEAR_CORNER_SLOT,upper_j_lower_rpm,0.333500,4250.00,0.400200,3612.00,4,false,false,false,true,false,false,false,false,false,true,false,false,execute-clearance-evidence-ledger-before-reviewed-payload-output,clearance evidence incomplete before coefficient payload review: source_review
propeller_archive_ct_cp_j_lookup_coefficient_payload_review_worksheet,current_no_evidence_submitted,heavyLift,mid_domain_mid_rpm,j0-r1,EVIDENCE_BLOCKED,review_work_allowed,false,boolean,ancf 10.0x5.0 - 2,BILINEAR_CORNER_SLOT,lower_j_upper_rpm,0.333500,4250.00,0.266800,4888.00,4,false,false,false,true,false,false,false,false,false,true,false,false,execute-clearance-evidence-ledger-before-reviewed-payload-output,clearance evidence incomplete before coefficient payload review: source_review
propeller_archive_ct_cp_j_lookup_coefficient_payload_review_worksheet,current_no_evidence_submitted,heavyLift,mid_domain_mid_rpm,j1-r1,EVIDENCE_BLOCKED,review_work_allowed,false,boolean,ancf 10.0x5.0 - 2,BILINEAR_CORNER_SLOT,upper_j_upper_rpm,0.333500,4250.00,0.400200,4888.00,4,false,false,false,true,false,false,false,false,false,true,false,false,execute-clearance-evidence-ledger-before-reviewed-payload-output,clearance evidence incomplete before coefficient payload review: source_review
propeller_archive_ct_cp_j_lookup_coefficient_payload_review_worksheet,current_no_evidence_submitted,heavyLift,high_domain_max_rpm,j0-rmax,EVIDENCE_BLOCKED,review_work_allowed,false,boolean,ancf 10.0x5.0 - 2,HIGH_RPM_EDGE_SLOT,lower_j_query_rpm,0.600300,7440.00,0.533600,7440.00,2,false,false,false,true,false,false,false,false,false,true,false,false,execute-clearance-evidence-ledger-before-reviewed-payload-output,clearance evidence incomplete before coefficient payload review: source_review
propeller_archive_ct_cp_j_lookup_coefficient_payload_review_worksheet,current_no_evidence_submitted,heavyLift,high_domain_max_rpm,j1-rmax,EVIDENCE_BLOCKED,review_work_allowed,false,boolean,ancf 10.0x5.0 - 2,HIGH_RPM_EDGE_SLOT,upper_j_query_rpm,0.600300,7440.00,0.667000,7440.00,2,false,false,false,true,false,false,false,false,false,true,false,false,execute-clearance-evidence-ledger-before-reviewed-payload-output,clearance evidence incomplete before coefficient payload review: source_review
propeller_archive_ct_cp_j_lookup_coefficient_payload_review_worksheet_scenario,current_no_evidence_submitted,all,summary,,BLOCKED,review_work_open_slot_count,0,count,not_applicable,scenario,scenario,0,0,0,0,0,false,false,false,false,false,false,false,false,false,false,false,false,execute-clearance-evidence-ledger-before-reviewed-payload-output,no coefficient review work opens without evidence
propeller_archive_ct_cp_j_lookup_coefficient_payload_review_worksheet_scenario,synthetic_source_review_evidence_only,all,summary,,BLOCKED,review_work_open_slot_count,0,count,not_applicable,scenario,scenario,0,0,0,0,0,false,false,false,false,false,false,false,false,false,false,false,false,execute-clearance-evidence-ledger-before-reviewed-payload-output,source evidence alone does not open CT CP entry
propeller_archive_ct_cp_j_lookup_coefficient_payload_review_worksheet_scenario,synthetic_promotion_evidence_accepted_geometry_pending,all,summary,,REVIEW_OPEN,review_work_open_slot_count,21,count,not_applicable,scenario,scenario,0,0,0,0,0,true,false,true,true,true,false,false,false,false,false,false,false,enter-reviewed-ct-cp-values-before-reviewed-payload-binding,promotion evidence opens manual CT CP review only
propeller_archive_ct_cp_j_lookup_coefficient_payload_review_worksheet_scenario,synthetic_all_clearance_evidence_accepted,all,summary,,REVIEW_OPEN,review_work_open_slot_count,21,count,not_applicable,scenario,scenario,0,0,0,0,0,true,true,true,true,true,false,false,false,false,false,false,false,enter-reviewed-ct-cp-values-before-reviewed-payload-binding,all clearance evidence still requires reviewed CT CP values
propeller_archive_ct_cp_j_lookup_coefficient_payload_review_worksheet_summary,current_no_evidence_submitted,all,summary,,BLOCKED,expected_slot_count,21,count,not_applicable,summary,summary,0,0,0,0,0,false,false,false,false,false,false,false,false,false,false,false,false,execute-clearance-evidence-ledger-before-reviewed-payload-output,total worksheet slots
propeller_archive_ct_cp_j_lookup_coefficient_payload_review_worksheet_summary,current_no_evidence_submitted,all,summary,,BLOCKED,review_work_open_slot_count,0,count,not_applicable,summary,summary,0,0,0,0,0,false,false,false,false,false,false,false,false,false,false,false,false,execute-clearance-evidence-ledger-before-reviewed-payload-output,no review work currently open
propeller_archive_ct_cp_j_lookup_coefficient_payload_review_worksheet_summary,current_no_evidence_submitted,all,summary,,BLOCKED,evidence_blocked_slot_count,21,count,not_applicable,summary,summary,0,0,0,0,0,false,false,false,false,false,false,false,false,false,false,false,false,execute-clearance-evidence-ledger-before-reviewed-payload-output,all slots blocked by missing evidence
propeller_archive_ct_cp_j_lookup_coefficient_payload_review_worksheet_summary,current_no_evidence_submitted,all,summary,,BLOCKED,static_anchor_slot_count,3,count,not_applicable,summary,summary,0,0,0,0,0,false,false,false,false,false,false,false,false,false,false,false,false,execute-clearance-evidence-ledger-before-reviewed-payload-output,static anchor slots
propeller_archive_ct_cp_j_lookup_coefficient_payload_review_worksheet_summary,current_no_evidence_submitted,all,summary,,BLOCKED,bilinear_corner_slot_count,12,count,not_applicable,summary,summary,0,0,0,0,0,false,false,false,false,false,false,false,false,false,false,false,false,execute-clearance-evidence-ledger-before-reviewed-payload-output,bilinear corner slots
propeller_archive_ct_cp_j_lookup_coefficient_payload_review_worksheet_summary,current_no_evidence_submitted,all,summary,,BLOCKED,high_rpm_edge_slot_count,6,count,not_applicable,summary,summary,0,0,0,0,0,false,false,false,false,false,false,false,false,false,false,false,false,execute-clearance-evidence-ledger-before-reviewed-payload-output,high rpm edge slots
propeller_archive_ct_cp_j_lookup_coefficient_payload_review_worksheet_summary,current_no_evidence_submitted,all,summary,,BLOCKED,full_simulation_slot_count,14,count,not_applicable,summary,summary,0,0,0,0,0,false,false,false,false,false,false,false,false,false,false,false,false,execute-clearance-evidence-ledger-before-reviewed-payload-output,geometry backed full simulation slots
propeller_archive_ct_cp_j_lookup_coefficient_payload_review_worksheet_summary,current_no_evidence_submitted,all,summary,,BLOCKED,performance_only_slot_count,7,count,not_applicable,summary,summary,0,0,0,0,0,false,false,false,false,false,false,false,false,false,false,false,false,execute-clearance-evidence-ledger-before-reviewed-payload-output,heavyLift performance only slots
propeller_archive_ct_cp_j_lookup_coefficient_payload_review_worksheet_summary,current_no_evidence_submitted,all,summary,,BLOCKED,source_archive_identity_required_count,21,count,not_applicable,summary,summary,0,0,0,0,0,false,false,false,false,false,false,false,false,false,false,false,false,execute-clearance-evidence-ledger-before-reviewed-payload-output,all slots require source archive identity
propeller_archive_ct_cp_j_lookup_coefficient_payload_review_worksheet_summary,current_no_evidence_submitted,all,summary,,BLOCKED,ct_cp_entry_required_count,0,count,not_applicable,summary,summary,0,0,0,0,0,false,false,false,false,false,false,false,false,false,false,false,false,execute-clearance-evidence-ledger-before-reviewed-payload-output,no CT CP entry until evidence clears
propeller_archive_ct_cp_j_lookup_coefficient_payload_review_worksheet_summary,current_no_evidence_submitted,all,summary,,BLOCKED,ct_cp_value_present_count,0,count,not_applicable,summary,summary,0,0,0,0,0,false,false,false,false,false,false,false,false,false,false,false,false,execute-clearance-evidence-ledger-before-reviewed-payload-output,no CT CP values present
propeller_archive_ct_cp_j_lookup_coefficient_payload_review_worksheet_summary,current_no_evidence_submitted,all,summary,,BLOCKED,coefficient_payload_reviewed_count,0,count,not_applicable,summary,summary,0,0,0,0,0,false,false,false,false,false,false,false,false,false,false,false,false,execute-clearance-evidence-ledger-before-reviewed-payload-output,no coefficient payload reviewed
propeller_archive_ct_cp_j_lookup_coefficient_payload_review_worksheet_summary,current_no_evidence_submitted,all,summary,,BLOCKED,lookup_execution_input_ready_count,0,count,not_applicable,summary,summary,0,0,0,0,0,false,false,false,false,false,false,false,false,false,false,false,false,execute-clearance-evidence-ledger-before-reviewed-payload-output,lookup input remains closed
propeller_archive_ct_cp_j_lookup_coefficient_payload_review_worksheet_summary,current_no_evidence_submitted,all,summary,,BLOCKED,runtime_coupling_allowed_count,0,count,not_applicable,summary,summary,0,0,0,0,0,false,false,false,false,false,false,false,false,false,false,false,false,execute-clearance-evidence-ledger-before-reviewed-payload-output,no runtime coupling authority
propeller_archive_ct_cp_j_lookup_coefficient_payload_review_worksheet_summary,current_no_evidence_submitted,all,summary,,BLOCKED,gameplay_auto_apply_allowed_count,0,count,not_applicable,summary,summary,0,0,0,0,0,false,false,false,false,false,false,false,false,false,false,false,false,execute-clearance-evidence-ledger-before-reviewed-payload-output,no gameplay auto apply authority
propeller_archive_ct_cp_j_lookup_coefficient_payload_review_worksheet_summary,current_no_evidence_submitted,all,summary,,BLOCKED,promotion_evidence_complete,false,boolean,not_applicable,summary,summary,0,0,0,0,0,false,false,false,false,false,false,false,false,false,false,false,false,execute-clearance-evidence-ledger-before-reviewed-payload-output,promotion evidence incomplete
propeller_archive_ct_cp_j_lookup_coefficient_payload_review_worksheet_summary,current_no_evidence_submitted,all,summary,,BLOCKED,full_simulation_evidence_complete,false,boolean,not_applicable,summary,summary,0,0,0,0,0,false,false,false,false,false,false,false,false,false,false,false,false,execute-clearance-evidence-ledger-before-reviewed-payload-output,full simulation evidence incomplete
propeller_archive_ct_cp_j_lookup_coefficient_payload_review_worksheet_summary,current_no_evidence_submitted,all,summary,,BLOCKED,first_blocked_slot_key,racingQuad/static_anchor_low_rpm/static-anchor,text,not_applicable,summary,summary,0,0,0,0,0,false,false,false,false,false,false,false,false,false,false,false,false,execute-clearance-evidence-ledger-before-reviewed-payload-output,first worksheet slot blocked by missing evidence
propeller_archive_ct_cp_j_lookup_coefficient_payload_review_worksheet_summary,current_no_evidence_submitted,all,summary,,BLOCKED,next_required_action,execute-clearance-evidence-ledger-before-reviewed-payload-output,action,not_applicable,summary,summary,0,0,0,0,0,false,false,false,false,false,false,false,false,false,false,false,false,execute-clearance-evidence-ledger-before-reviewed-payload-output,next worksheet action
propeller_archive_ct_cp_j_lookup_coefficient_payload_review_worksheet_method,packet,method,method,,BLOCKED,method,coefficient-payload-review-worksheet,text,not_applicable,method,method,0,0,0,0,0,false,false,false,false,false,false,false,false,false,false,false,false,execute-clearance-evidence-ledger-before-reviewed-payload-output,worksheet consumes evidence ledger and reviewed grid slots without creating coefficient payloads
