row_type,scenario,preset,ambient_case,forward_speed_mps,metric,value,unit,throttle_command,sample_count,dt_seconds,target_max_rpm_scale,contracted_max_rpm,equivalent_max_thrust_loss_percent,observed_thrust_loss_percent,thrust_loss_over_contract_ratio,max_allowed_thrust_loss_over_contract_ratio,max_target_scale_error_ratio,max_target_omega_overshoot_ratio,max_motor_omega_above_neutral_ratio,max_rotor_advance_ratio,max_rotor_tip_mach,neutral_thrust_newtons_at_max_margin,derated_thrust_newtons_at_max_margin,thrust_margin_passed,runtime_coupling_allowed,playable_reference_allowed,gameplay_auto_apply_allowed,status,message,source_file,evidence_role,note
propeller_archive_rotor_spec_retune_ambient_compressibility_derate_control_hook_forward_punchout_margin_diagnostic,synthetic_derate_validation_all_pass,racingQuad,cold_sea_level_minus10c,28.0,thrust_loss_over_contract_ratio,0.018992829079531,ratio,1.0,360,0.005,0.9715982698017723,28310.07356552835,5.599680211820268,7.498963119773396,0.018992829079531,0.04,0.021391876087773,0.003904391168101,0.003281701736639,0.622418993294185,0.550309281556026,32.22884660299188,29.812017282305177,true,false,false,false,PASS,forward-punchout-derate-margin-within-contract,drone-sim-core/src/main/java/com/tenicana/dronecraft/sim/PropellerArchiveRotorSpecRetuneAmbientCompressibilityDerateControlHookForwardPunchoutMarginDiagnostic.java,diagnostic_row,full-throttle cold-air speed sweep
propeller_archive_rotor_spec_retune_ambient_compressibility_derate_control_hook_forward_punchout_margin_diagnostic,synthetic_derate_validation_all_pass,apDrone,cold_sea_level_minus10c,0.0,thrust_loss_over_contract_ratio,0.365142773305258,ratio,1.0,360,0.005,0.9910302351978083,29472.808857731186,1.785907292377809,38.30018462290361,0.365142773305258,0.04,0.04793217214967,0.0,0.088903012925563,0.233323065032346,0.567044012750784,12.6199828674343,7.786506129828159,false,false,false,false,FAIL,forward-punchout-derate-margin-exceeds-contract,drone-sim-core/src/main/java/com/tenicana/dronecraft/sim/PropellerArchiveRotorSpecRetuneAmbientCompressibilityDerateControlHookForwardPunchoutMarginDiagnostic.java,diagnostic_row,full-throttle cold-air speed sweep
propeller_archive_rotor_spec_retune_ambient_compressibility_derate_control_hook_forward_punchout_margin_diagnostic,synthetic_derate_validation_all_pass,apDrone,cold_sea_level_minus10c,8.0,thrust_loss_over_contract_ratio,0.059948790116623255,ratio,1.0,360,0.005,0.9910302351978083,29472.808857731186,1.785907292377809,7.780786304040134,0.059948790116623255,0.04,0.01257310864158,0.0,0.043328080546269,0.195886954808279,0.563001153350673,12.242380134862119,11.289826698040237,false,false,false,false,FAIL,forward-punchout-derate-margin-exceeds-contract,drone-sim-core/src/main/java/com/tenicana/dronecraft/sim/PropellerArchiveRotorSpecRetuneAmbientCompressibilityDerateControlHookForwardPunchoutMarginDiagnostic.java,diagnostic_row,full-throttle cold-air speed sweep
propeller_archive_rotor_spec_retune_ambient_compressibility_derate_control_hook_forward_punchout_margin_diagnostic,synthetic_derate_validation_all_pass,apDrone,cold_sea_level_minus10c,16.0,thrust_loss_over_contract_ratio,0.148761443348371,ratio,1.0,360,0.005,0.9910302351978083,29472.808857731186,1.785907292377809,16.66205162721493,0.148761443348371,0.04,0.081241199938619,0.008047053983024,0.072833378369155,0.264502500079515,0.563499100165235,24.1413313439658,20.1188902519372,false,false,false,false,FAIL,forward-punchout-derate-margin-exceeds-contract,drone-sim-core/src/main/java/com/tenicana/dronecraft/sim/PropellerArchiveRotorSpecRetuneAmbientCompressibilityDerateControlHookForwardPunchoutMarginDiagnostic.java,diagnostic_row,full-throttle cold-air speed sweep
propeller_archive_rotor_spec_retune_ambient_compressibility_derate_control_hook_forward_punchout_margin_diagnostic,synthetic_derate_validation_all_pass,apDrone,cold_sea_level_minus10c,22.0,thrust_loss_over_contract_ratio,0.1208445699538298,ratio,1.0,360,0.005,0.9910302351978083,29472.808857731186,1.785907292377809,13.87036428776079,0.1208445699538298,0.04,0.040898197245875,0.00901348864533,0.017700675798289,0.363690937609333,0.568815913307131,14.644717363462435,12.613441716237238,false,false,false,false,FAIL,forward-punchout-derate-margin-exceeds-contract,drone-sim-core/src/main/java/com/tenicana/dronecraft/sim/PropellerArchiveRotorSpecRetuneAmbientCompressibilityDerateControlHookForwardPunchoutMarginDiagnostic.java,diagnostic_row,full-throttle cold-air speed sweep
propeller_archive_rotor_spec_retune_ambient_compressibility_derate_control_hook_forward_punchout_margin_diagnostic,synthetic_derate_validation_all_pass,apDrone,cold_sea_level_minus10c,28.0,thrust_loss_over_contract_ratio,0.23146597254194,ratio,1.0,360,0.005,0.9910302351978083,29472.808857731186,1.785907292377809,24.932504546571806,0.23146597254194,0.04,0.09296911273513,0.007581680434709,0.065967825591591,0.463632969913369,0.575359319533547,23.42899290838751,17.587558186287808,false,false,false,false,FAIL,forward-punchout-derate-margin-exceeds-contract,drone-sim-core/src/main/java/com/tenicana/dronecraft/sim/PropellerArchiveRotorSpecRetuneAmbientCompressibilityDerateControlHookForwardPunchoutMarginDiagnostic.java,diagnostic_row,full-throttle cold-air speed sweep
propeller_archive_rotor_spec_retune_ambient_compressibility_derate_control_hook_forward_punchout_margin_diagnostic_summary,all,,,,row_count,10,count,,,,,,,,,,,,,,,,,,,,,READY,forward-punchout-margin-diagnostic-recorded,drone-sim-core/src/main/java/com/tenicana/dronecraft/sim/PropellerArchiveRotorSpecRetuneAmbientCompressibilityDerateControlHookForwardPunchoutMarginDiagnostic.java,summary,ten speed-sweep rows
propeller_archive_rotor_spec_retune_ambient_compressibility_derate_control_hook_forward_punchout_margin_diagnostic_summary,all,,,,passed_row_count,5,count,,,,,,,,,,,,,,,,,,,,,READY,forward-punchout-margin-diagnostic-recorded,drone-sim-core/src/main/java/com/tenicana/dronecraft/sim/PropellerArchiveRotorSpecRetuneAmbientCompressibilityDerateControlHookForwardPunchoutMarginDiagnostic.java,summary,racingQuad rows pass
propeller_archive_rotor_spec_retune_ambient_compressibility_derate_control_hook_forward_punchout_margin_diagnostic_summary,all,,,,failed_row_count,5,count,,,,,,,,,,,,,,,,,,,,,READY,forward-punchout-margin-diagnostic-recorded,drone-sim-core/src/main/java/com/tenicana/dronecraft/sim/PropellerArchiveRotorSpecRetuneAmbientCompressibilityDerateControlHookForwardPunchoutMarginDiagnostic.java,summary,all APDrone rows fail
propeller_archive_rotor_spec_retune_ambient_compressibility_derate_control_hook_forward_punchout_margin_diagnostic_summary,all,,,,preset_count,2,count,,,,,,,,,,,,,,,,,,,,,READY,forward-punchout-margin-diagnostic-recorded,drone-sim-core/src/main/java/com/tenicana/dronecraft/sim/PropellerArchiveRotorSpecRetuneAmbientCompressibilityDerateControlHookForwardPunchoutMarginDiagnostic.java,summary,racingQuad and APDrone
propeller_archive_rotor_spec_retune_ambient_compressibility_derate_control_hook_forward_punchout_margin_diagnostic_summary,all,,,,speed_sample_count,5,count,,,,,,,,,,,,,,,,,,,,,READY,forward-punchout-margin-diagnostic-recorded,drone-sim-core/src/main/java/com/tenicana/dronecraft/sim/PropellerArchiveRotorSpecRetuneAmbientCompressibilityDerateControlHookForwardPunchoutMarginDiagnostic.java,summary,0 8 16 22 and 28 mps
propeller_archive_rotor_spec_retune_ambient_compressibility_derate_control_hook_forward_punchout_margin_diagnostic_summary,all,,,,apDrone_failed_row_count,5,count,,,,,,,,,,,,,,,,,,,,,READY,forward-punchout-margin-diagnostic-recorded,drone-sim-core/src/main/java/com/tenicana/dronecraft/sim/PropellerArchiveRotorSpecRetuneAmbientCompressibilityDerateControlHookForwardPunchoutMarginDiagnostic.java,summary,APDrone fails across the sampled full-throttle speed range
propeller_archive_rotor_spec_retune_ambient_compressibility_derate_control_hook_forward_punchout_margin_diagnostic_summary,all,,,,racingQuad_failed_row_count,0,count,,,,,,,,,,,,,,,,,,,,,READY,forward-punchout-margin-diagnostic-recorded,drone-sim-core/src/main/java/com/tenicana/dronecraft/sim/PropellerArchiveRotorSpecRetuneAmbientCompressibilityDerateControlHookForwardPunchoutMarginDiagnostic.java,summary,racingQuad remains within margin
propeller_archive_rotor_spec_retune_ambient_compressibility_derate_control_hook_forward_punchout_margin_diagnostic_summary,all,,,,max_observed_thrust_loss_percent,38.30018462290361,percent,,,,,,,,,,,,,,,,,,,,,READY,forward-punchout-margin-diagnostic-recorded,drone-sim-core/src/main/java/com/tenicana/dronecraft/sim/PropellerArchiveRotorSpecRetuneAmbientCompressibilityDerateControlHookForwardPunchoutMarginDiagnostic.java,summary,APDrone static full-throttle cold-air worst case
propeller_archive_rotor_spec_retune_ambient_compressibility_derate_control_hook_forward_punchout_margin_diagnostic_summary,all,,,,max_thrust_loss_over_contract_ratio,0.365142773305258,ratio,,,,,,,,,,,,,,,,,,,,,READY,forward-punchout-margin-diagnostic-recorded,drone-sim-core/src/main/java/com/tenicana/dronecraft/sim/PropellerArchiveRotorSpecRetuneAmbientCompressibilityDerateControlHookForwardPunchoutMarginDiagnostic.java,summary,largest excess above equivalent thrust-loss contract
propeller_archive_rotor_spec_retune_ambient_compressibility_derate_control_hook_forward_punchout_margin_diagnostic_summary,all,,,,min_failing_thrust_loss_over_contract_ratio,0.059948790116623255,ratio,,,,,,,,,,,,,,,,,,,,,READY,forward-punchout-margin-diagnostic-recorded,drone-sim-core/src/main/java/com/tenicana/dronecraft/sim/PropellerArchiveRotorSpecRetuneAmbientCompressibilityDerateControlHookForwardPunchoutMarginDiagnostic.java,summary,lowest APDrone failure still exceeds 0.04 margin
propeller_archive_rotor_spec_retune_ambient_compressibility_derate_control_hook_forward_punchout_margin_diagnostic_summary,all,,,,blackbox_speed_apDrone_thrust_loss_over_contract_ratio,0.1208445699538298,ratio,,,,,,,,,,,,,,,,,,,,,READY,forward-punchout-margin-diagnostic-recorded,drone-sim-core/src/main/java/com/tenicana/dronecraft/sim/PropellerArchiveRotorSpecRetuneAmbientCompressibilityDerateControlHookForwardPunchoutMarginDiagnostic.java,summary,matches APDrone 22 mps blackbox failure
propeller_archive_rotor_spec_retune_ambient_compressibility_derate_control_hook_forward_punchout_margin_diagnostic_summary,all,,,,blackbox_speed_racingQuad_thrust_loss_over_contract_ratio,0.020144608176940988,ratio,,,,,,,,,,,,,,,,,,,,,READY,forward-punchout-margin-diagnostic-recorded,drone-sim-core/src/main/java/com/tenicana/dronecraft/sim/PropellerArchiveRotorSpecRetuneAmbientCompressibilityDerateControlHookForwardPunchoutMarginDiagnostic.java,summary,racingQuad 22 mps stays below 0.04 margin
propeller_archive_rotor_spec_retune_ambient_compressibility_derate_control_hook_forward_punchout_margin_diagnostic_summary,all,,,,max_target_scale_error_ratio,0.09296911273513031,ratio,,,,,,,,,,,,,,,,,,,,,READY,forward-punchout-margin-diagnostic-recorded,drone-sim-core/src/main/java/com/tenicana/dronecraft/sim/PropellerArchiveRotorSpecRetuneAmbientCompressibilityDerateControlHookForwardPunchoutMarginDiagnostic.java,summary,APDrone high-speed target scale transient error
propeller_archive_rotor_spec_retune_ambient_compressibility_derate_control_hook_forward_punchout_margin_diagnostic_summary,all,,,,max_target_omega_overshoot_ratio,0.009550913074549803,ratio,,,,,,,,,,,,,,,,,,,,,READY,forward-punchout-margin-diagnostic-recorded,drone-sim-core/src/main/java/com/tenicana/dronecraft/sim/PropellerArchiveRotorSpecRetuneAmbientCompressibilityDerateControlHookForwardPunchoutMarginDiagnostic.java,summary,maximum target overshoot stays below one percent
propeller_archive_rotor_spec_retune_ambient_compressibility_derate_control_hook_forward_punchout_margin_diagnostic_summary,all,,,,max_motor_omega_above_neutral_ratio,0.08890301292556321,ratio,,,,,,,,,,,,,,,,,,,,,READY,forward-punchout-margin-diagnostic-recorded,drone-sim-core/src/main/java/com/tenicana/dronecraft/sim/PropellerArchiveRotorSpecRetuneAmbientCompressibilityDerateControlHookForwardPunchoutMarginDiagnostic.java,summary,APDrone derated motor can transiently exceed neutral motor speed
propeller_archive_rotor_spec_retune_ambient_compressibility_derate_control_hook_forward_punchout_margin_diagnostic_summary,all,,,,max_rotor_advance_ratio,0.6224189932941847,ratio,,,,,,,,,,,,,,,,,,,,,READY,forward-punchout-margin-diagnostic-recorded,drone-sim-core/src/main/java/com/tenicana/dronecraft/sim/PropellerArchiveRotorSpecRetuneAmbientCompressibilityDerateControlHookForwardPunchoutMarginDiagnostic.java,summary,racingQuad 28 mps has the largest advance ratio
propeller_archive_rotor_spec_retune_ambient_compressibility_derate_control_hook_forward_punchout_margin_diagnostic_summary,all,,,,max_rotor_tip_mach,0.575359319533547,mach,,,,,,,,,,,,,,,,,,,,,READY,forward-punchout-margin-diagnostic-recorded,drone-sim-core/src/main/java/com/tenicana/dronecraft/sim/PropellerArchiveRotorSpecRetuneAmbientCompressibilityDerateControlHookForwardPunchoutMarginDiagnostic.java,summary,tip Mach remains below 0.70 so thrust loss is the blocker
propeller_archive_rotor_spec_retune_ambient_compressibility_derate_control_hook_forward_punchout_margin_diagnostic_summary,all,,,,dominant_failure_preset,apDrone,text,,,,,,,,,,,,,,,,,,,,,READY,forward-punchout-margin-diagnostic-recorded,drone-sim-core/src/main/java/com/tenicana/dronecraft/sim/PropellerArchiveRotorSpecRetuneAmbientCompressibilityDerateControlHookForwardPunchoutMarginDiagnostic.java,summary,all failed rows are APDrone
propeller_archive_rotor_spec_retune_ambient_compressibility_derate_control_hook_forward_punchout_margin_diagnostic_summary,all,,,,next_required_action,investigate-apDrone-full-throttle-derate-transient-thrust-loss-before-runtime-coupling,text,,,,,,,,,,,,,,,,,,,,,READY,forward-punchout-margin-diagnostic-recorded,drone-sim-core/src/main/java/com/tenicana/dronecraft/sim/PropellerArchiveRotorSpecRetuneAmbientCompressibilityDerateControlHookForwardPunchoutMarginDiagnostic.java,summary,investigate APDrone full-throttle transient before changing acceptance gates
propeller_archive_rotor_spec_retune_ambient_compressibility_derate_control_hook_forward_punchout_margin_diagnostic_summary,all,,,,margin_diagnostic_passed,false,boolean,,,,,,,,,,,,,,,,,,,,,READY,forward-punchout-margin-diagnostic-recorded,drone-sim-core/src/main/java/com/tenicana/dronecraft/sim/PropellerArchiveRotorSpecRetuneAmbientCompressibilityDerateControlHookForwardPunchoutMarginDiagnostic.java,summary,diagnostic keeps control-hook review blocked
propeller_archive_rotor_spec_retune_ambient_compressibility_derate_control_hook_forward_punchout_margin_diagnostic_method,all,,,,method,full-throttle-forward-punchout-margin-speed-sweep,text,,,,,,,,,,,,,,,,,,,,,READY,sweep-current-DronePhysics-target-omega-derate-hook-across-cold-air-forward-speed-samples,drone-sim-core/src/main/java/com/tenicana/dronecraft/sim/PropellerArchiveRotorSpecRetuneAmbientCompressibilityDerateControlHookForwardPunchoutMarginDiagnostic.java,method,complete diagnostic result remains lab evidence only
