row_type,scenario,preset,ambient_case,review_case,flight_phase,metric,value,unit,sample_count,target_max_rpm_scale,contracted_max_rpm,max_esc_electrical_output_delta,max_target_scale_error_ratio,max_target_overshoot_ratio,max_motor_omega_above_neutral_ratio,default_preset_target_scale_neutral,motor_response_coupling_reviewed,config_mutation_allowed,runtime_coupling_allowed,playable_reference_allowed,gameplay_auto_apply_allowed,status,message,source_file,evidence_role,note
propeller_archive_rotor_spec_retune_ambient_compressibility_derate_control_hook_motor_response_coupling_review,synthetic_derate_validation_all_pass,apDrone,cold_sea_level_minus10c,full_throttle_ramp_motor_response,throttle_ramp,motor_response_coupling_reviewed,true,boolean,180,0.9910302351978083,29472.808857731186,1.1680564881988431E-7,8.497455712351831E-4,0.0,0.0,true,true,false,false,false,false,REVIEWED,target-omega-derate-couples-before-motor-response-with-esc-output-invariant,drone-sim-core/src/main/java/com/tenicana/dronecraft/sim/PropellerArchiveRotorSpecRetuneAmbientCompressibilityDerateControlHookMotorResponseCouplingReview.java,review_row,ramp schedule preserves ESC output and derated motor stays below neutral
propeller_archive_rotor_spec_retune_ambient_compressibility_derate_control_hook_motor_response_coupling_review,synthetic_derate_validation_all_pass,apDrone,cold_sea_level_minus10c,hover_hold_tracking_response,hover_hold,motor_response_coupling_reviewed,true,boolean,240,0.9910302351978083,29472.808857731186,2.007965049788396E-8,8.959745912984207E-5,0.0,0.0,true,true,false,false,false,false,REVIEWED,target-omega-derate-couples-before-motor-response-with-esc-output-invariant,drone-sim-core/src/main/java/com/tenicana/dronecraft/sim/PropellerArchiveRotorSpecRetuneAmbientCompressibilityDerateControlHookMotorResponseCouplingReview.java,review_row,hover schedule keeps target scale closure within actuator tolerance
propeller_archive_rotor_spec_retune_ambient_compressibility_derate_control_hook_motor_response_coupling_summary,all,,,,,row_count,6,count,,,,,,,,,,,,,,READY,motor-response-coupling-review-summary,drone-sim-core/src/main/java/com/tenicana/dronecraft/sim/PropellerArchiveRotorSpecRetuneAmbientCompressibilityDerateControlHookMotorResponseCouplingReview.java,summary,six preset and case rows
propeller_archive_rotor_spec_retune_ambient_compressibility_derate_control_hook_motor_response_coupling_summary,all,,,,,reviewed_row_count,6,count,,,,,,,,,,,,,,READY,motor-response-coupling-review-summary,drone-sim-core/src/main/java/com/tenicana/dronecraft/sim/PropellerArchiveRotorSpecRetuneAmbientCompressibilityDerateControlHookMotorResponseCouplingReview.java,summary,all rows reviewed
propeller_archive_rotor_spec_retune_ambient_compressibility_derate_control_hook_motor_response_coupling_summary,all,,,,,preset_count,2,count,,,,,,,,,,,,,,READY,motor-response-coupling-review-summary,drone-sim-core/src/main/java/com/tenicana/dronecraft/sim/PropellerArchiveRotorSpecRetuneAmbientCompressibilityDerateControlHookMotorResponseCouplingReview.java,summary,racingQuad and apDrone
propeller_archive_rotor_spec_retune_ambient_compressibility_derate_control_hook_motor_response_coupling_summary,all,,,,,review_case_count,3,count,,,,,,,,,,,,,,READY,motor-response-coupling-review-summary,drone-sim-core/src/main/java/com/tenicana/dronecraft/sim/PropellerArchiveRotorSpecRetuneAmbientCompressibilityDerateControlHookMotorResponseCouplingReview.java,summary,first-frame ramp and hover cases
propeller_archive_rotor_spec_retune_ambient_compressibility_derate_control_hook_motor_response_coupling_summary,all,,,,,neutral_default_preset_count,2,count,,,,,,,,,,,,,,READY,motor-response-coupling-review-summary,drone-sim-core/src/main/java/com/tenicana/dronecraft/sim/PropellerArchiveRotorSpecRetuneAmbientCompressibilityDerateControlHookMotorResponseCouplingReview.java,summary,default presets keep target scale 1.0
propeller_archive_rotor_spec_retune_ambient_compressibility_derate_control_hook_motor_response_coupling_summary,all,,,,,max_esc_electrical_output_delta,1.1575880155545448E-6,ratio,,,,,,,,,,,,,,READY,motor-response-coupling-review-summary,drone-sim-core/src/main/java/com/tenicana/dronecraft/sim/PropellerArchiveRotorSpecRetuneAmbientCompressibilityDerateControlHookMotorResponseCouplingReview.java,summary,within 2e-6 actuator-bench invariance tolerance
propeller_archive_rotor_spec_retune_ambient_compressibility_derate_control_hook_motor_response_coupling_summary,all,,,,,max_target_scale_error_ratio,0.004075367197358903,ratio,,,,,,,,,,,,,,READY,motor-response-coupling-review-summary,drone-sim-core/src/main/java/com/tenicana/dronecraft/sim/PropellerArchiveRotorSpecRetuneAmbientCompressibilityDerateControlHookMotorResponseCouplingReview.java,summary,within 0.012 target-scale tolerance
propeller_archive_rotor_spec_retune_ambient_compressibility_derate_control_hook_motor_response_coupling_summary,all,,,,,max_target_overshoot_ratio,0.0,ratio,,,,,,,,,,,,,,READY,motor-response-coupling-review-summary,drone-sim-core/src/main/java/com/tenicana/dronecraft/sim/PropellerArchiveRotorSpecRetuneAmbientCompressibilityDerateControlHookMotorResponseCouplingReview.java,summary,observed zero in actuator bench but failsafe clamp remains separate
propeller_archive_rotor_spec_retune_ambient_compressibility_derate_control_hook_motor_response_coupling_summary,all,,,,,max_motor_omega_above_neutral_ratio,3.215514754377158E-9,ratio,,,,,,,,,,,,,,READY,motor-response-coupling-review-summary,drone-sim-core/src/main/java/com/tenicana/dronecraft/sim/PropellerArchiveRotorSpecRetuneAmbientCompressibilityDerateControlHookMotorResponseCouplingReview.java,summary,derated motor does not meaningfully exceed neutral
propeller_archive_rotor_spec_retune_ambient_compressibility_derate_control_hook_motor_response_coupling_summary,all,,,,,min_target_max_rpm_scale,0.9715982698017723,ratio,,,,,,,,,,,,,,READY,motor-response-coupling-review-summary,drone-sim-core/src/main/java/com/tenicana/dronecraft/sim/PropellerArchiveRotorSpecRetuneAmbientCompressibilityDerateControlHookMotorResponseCouplingReview.java,summary,racingQuad limiting scale
propeller_archive_rotor_spec_retune_ambient_compressibility_derate_control_hook_motor_response_coupling_summary,all,,,,,max_equivalent_max_thrust_loss_percent,5.599680211820246,percent,,,,,,,,,,,,,,READY,motor-response-coupling-review-summary,drone-sim-core/src/main/java/com/tenicana/dronecraft/sim/PropellerArchiveRotorSpecRetuneAmbientCompressibilityDerateControlHookMotorResponseCouplingReview.java,summary,control contract maximum equivalent loss
propeller_archive_rotor_spec_retune_ambient_compressibility_derate_control_hook_motor_response_coupling_summary,all,,,,,runtime_coupling_allowed_count,0,count,,,,,,,,,,,,,,READY,motor-response-coupling-review-summary,drone-sim-core/src/main/java/com/tenicana/dronecraft/sim/PropellerArchiveRotorSpecRetuneAmbientCompressibilityDerateControlHookMotorResponseCouplingReview.java,summary,runtime coupling closed
propeller_archive_rotor_spec_retune_ambient_compressibility_derate_control_hook_motor_response_coupling_summary,all,,,,,playable_reference_allowed_count,0,count,,,,,,,,,,,,,,READY,motor-response-coupling-review-summary,drone-sim-core/src/main/java/com/tenicana/dronecraft/sim/PropellerArchiveRotorSpecRetuneAmbientCompressibilityDerateControlHookMotorResponseCouplingReview.java,summary,playable export closed
propeller_archive_rotor_spec_retune_ambient_compressibility_derate_control_hook_motor_response_coupling_summary,all,,,,,gameplay_auto_apply_allowed_count,0,count,,,,,,,,,,,,,,READY,motor-response-coupling-review-summary,drone-sim-core/src/main/java/com/tenicana/dronecraft/sim/PropellerArchiveRotorSpecRetuneAmbientCompressibilityDerateControlHookMotorResponseCouplingReview.java,summary,gameplay auto apply closed
propeller_archive_rotor_spec_retune_ambient_compressibility_derate_control_hook_motor_response_coupling_method,all,,,,,method,target-omega-derate-motor-response-coupling-review,text,,,,,,,,,,,,,,READY,compare neutral and target-max-RPM-derated DronePhysics actuator-bench runs with PID feedback isolated,drone-sim-core/src/main/java/com/tenicana/dronecraft/sim/PropellerArchiveRotorSpecRetuneAmbientCompressibilityDerateControlHookMotorResponseCouplingReview.java,method,next gate remains failsafe clamp and no-load overspeed review
