preset,battery_temperature_c,ambient_temperature_c,resistance_scale,current_scale,thermal_power_limit,effective_resistance_ohm,effective_current_limit_a,sag_at_nominal_limit_v,sag_at_temperature_scaled_limit_v,source,row_type,name,pack,instrument,cells,capacity_mah,warm_temperature_f,cold_temperature_f,warm_temperature_c,cold_temperature_c,temperature_drop_f,temperature_drop_c,warm_total_ir_mohm,cold_total_ir_mohm,warm_mohm_per_cell,cold_mohm_per_cell,cold_over_warm_ir_ratio,ir_increase_percent,note,current_model_warm_resistance_scale,current_model_cold_resistance_scale,current_cold_over_warm_resistance_scale,reference_cold_over_warm_ir_ratio,current_over_reference_ratio,current_ir_increase_percent
racingQuad,,,,,,,,,,https://jeffcoaeromodlers.com/wp-content/uploads/2019/05/Lithium-Polymer-Batteries-96-website.pdf,current_vs_lipo_esr_temperature_test,racingQuad_vs_SkyLipo_3S_1000mAh_ESR_Meter_71F_to_42F,SkyLipo 3S 1000mAh,ESR Meter,3,1000.0,71.0,42.0,21.666666666666668,5.555555555555555,29.0,16.111111111111114,100.36,168.6,33.45333333333333,56.199999999999996,1.6799521721801514,67.99521721801514,"Jeffco Aeromodlers field RC LiPo ESR/IR comparison; paired 71F and 42F totals. Use as a temperature-ratio anchor, not lab EIS.",1.0624,1.6160833333333335,1.5211627761044177,1.6799521721801514,0.9054798114462597,52.11627761044178
,,,,,,,,,,https://jeffcoaeromodlers.com/wp-content/uploads/2019/05/Lithium-Polymer-Batteries-96-website.pdf,reference_lipo_esr_temperature_test,SkyLipo_3S_1000mAh_iCharger_206B_71F_to_42F,SkyLipo 3S 1000mAh,iCharger 206B,3,1000.0,71.0,42.0,21.666666666666668,5.555555555555555,29.0,16.111111111111114,137.0,258.0,45.666666666666664,86.0,1.8832116788321167,88.32116788321167,"Jeffco Aeromodlers field RC LiPo ESR/IR comparison; paired 71F and 42F totals. Use as a temperature-ratio anchor, not lab EIS.",,,,,,
racingQuad,,,,,,,,,,https://jeffcoaeromodlers.com/wp-content/uploads/2019/05/Lithium-Polymer-Batteries-96-website.pdf,current_vs_lipo_esr_temperature_test,racingQuad_vs_SkyLipo_3S_1000mAh_iCharger_206B_71F_to_42F,SkyLipo 3S 1000mAh,iCharger 206B,3,1000.0,71.0,42.0,21.666666666666668,5.555555555555555,29.0,16.111111111111114,137.0,258.0,45.666666666666664,86.0,1.8832116788321167,88.32116788321167,"Jeffco Aeromodlers field RC LiPo ESR/IR comparison; paired 71F and 42F totals. Use as a temperature-ratio anchor, not lab EIS.",1.0624,1.6160833333333335,1.5211627761044177,1.8832116788321167,0.8077492260709506,52.11627761044178
,,,,,,,,,,https://jeffcoaeromodlers.com/wp-content/uploads/2019/05/Lithium-Polymer-Batteries-96-website.pdf,reference_lipo_esr_temperature_test,NanoTech_3S_1000mAh_ESR_Meter_71F_to_42F,NanoTech 3S 1000mAh,ESR Meter,3,1000.0,71.0,42.0,21.666666666666668,5.555555555555555,29.0,16.111111111111114,31.8,59.48,10.6,19.826666666666664,1.8704402515723269,87.04402515723268,"Jeffco Aeromodlers field RC LiPo ESR/IR comparison; paired 71F and 42F totals. Use as a temperature-ratio anchor, not lab EIS.",,,,,,
racingQuad,,,,,,,,,,https://jeffcoaeromodlers.com/wp-content/uploads/2019/05/Lithium-Polymer-Batteries-96-website.pdf,current_vs_lipo_esr_temperature_test,racingQuad_vs_NanoTech_3S_1000mAh_ESR_Meter_71F_to_42F,NanoTech 3S 1000mAh,ESR Meter,3,1000.0,71.0,42.0,21.666666666666668,5.555555555555555,29.0,16.111111111111114,31.8,59.48,10.6,19.826666666666664,1.8704402515723269,87.04402515723268,"Jeffco Aeromodlers field RC LiPo ESR/IR comparison; paired 71F and 42F totals. Use as a temperature-ratio anchor, not lab EIS.",1.0624,1.6160833333333335,1.5211627761044177,1.8704402515723269,0.813264564225294,52.11627761044178
,,,,,,,,,,https://jeffcoaeromodlers.com/wp-content/uploads/2019/05/Lithium-Polymer-Batteries-96-website.pdf,reference_lipo_esr_temperature_test,NanoTech_3S_1000mAh_iCharger_206B_71F_to_42F,NanoTech 3S 1000mAh,iCharger 206B,3,1000.0,71.0,42.0,21.666666666666668,5.555555555555555,29.0,16.111111111111114,29.0,59.0,9.666666666666666,19.666666666666668,2.0344827586206895,103.44827586206895,"Jeffco Aeromodlers field RC LiPo ESR/IR comparison; paired 71F and 42F totals. Use as a temperature-ratio anchor, not lab EIS.",,,,,,
racingQuad,,,,,,,,,,https://jeffcoaeromodlers.com/wp-content/uploads/2019/05/Lithium-Polymer-Batteries-96-website.pdf,current_vs_lipo_esr_temperature_test,racingQuad_vs_NanoTech_3S_1000mAh_iCharger_206B_71F_to_42F,NanoTech 3S 1000mAh,iCharger 206B,3,1000.0,71.0,42.0,21.666666666666668,5.555555555555555,29.0,16.111111111111114,29.0,59.0,9.666666666666666,19.666666666666668,2.0344827586206895,103.44827586206895,"Jeffco Aeromodlers field RC LiPo ESR/IR comparison; paired 71F and 42F totals. Use as a temperature-ratio anchor, not lab EIS.",1.0624,1.6160833333333335,1.5211627761044177,2.0344827586206895,0.7476901780852223,52.11627761044178
,,,,,,,,,,https://jeffcoaeromodlers.com/wp-content/uploads/2019/05/Lithium-Polymer-Batteries-96-website.pdf,reference_lipo_esr_temperature_test,GensAce_3S_1000mAh_ESR_Meter_71F_to_42F,GensAce 3S 1000mAh,ESR Meter,3,1000.0,71.0,42.0,21.666666666666668,5.555555555555555,29.0,16.111111111111114,90.88,152.4,30.293333333333333,50.800000000000004,1.67693661971831,67.693661971831,"Jeffco Aeromodlers field RC LiPo ESR/IR comparison; paired 71F and 42F totals. Use as a temperature-ratio anchor, not lab EIS.",,,,,,
racingQuad,,,,,,,,,,https://jeffcoaeromodlers.com/wp-content/uploads/2019/05/Lithium-Polymer-Batteries-96-website.pdf,current_vs_lipo_esr_temperature_test,racingQuad_vs_GensAce_3S_1000mAh_ESR_Meter_71F_to_42F,GensAce 3S 1000mAh,ESR Meter,3,1000.0,71.0,42.0,21.666666666666668,5.555555555555555,29.0,16.111111111111114,90.88,152.4,30.293333333333333,50.800000000000004,1.67693661971831,67.693661971831,"Jeffco Aeromodlers field RC LiPo ESR/IR comparison; paired 71F and 42F totals. Use as a temperature-ratio anchor, not lab EIS.",1.0624,1.6160833333333335,1.5211627761044177,1.67693661971831,0.90710809115728,52.11627761044178
,,,,,,,,,,https://jeffcoaeromodlers.com/wp-content/uploads/2019/05/Lithium-Polymer-Batteries-96-website.pdf,reference_lipo_esr_temperature_test,GensAce_3S_1000mAh_iCharger_206B_71F_to_42F,GensAce 3S 1000mAh,iCharger 206B,3,1000.0,71.0,42.0,21.666666666666668,5.555555555555555,29.0,16.111111111111114,120.0,233.0,40.0,77.66666666666667,1.9416666666666667,94.16666666666667,"Jeffco Aeromodlers field RC LiPo ESR/IR comparison; paired 71F and 42F totals. Use as a temperature-ratio anchor, not lab EIS.",,,,,,
racingQuad,,,,,,,,,,https://jeffcoaeromodlers.com/wp-content/uploads/2019/05/Lithium-Polymer-Batteries-96-website.pdf,current_vs_lipo_esr_temperature_test,racingQuad_vs_GensAce_3S_1000mAh_iCharger_206B_71F_to_42F,GensAce 3S 1000mAh,iCharger 206B,3,1000.0,71.0,42.0,21.666666666666668,5.555555555555555,29.0,16.111111111111114,120.0,233.0,40.0,77.66666666666667,1.9416666666666667,94.16666666666667,"Jeffco Aeromodlers field RC LiPo ESR/IR comparison; paired 71F and 42F totals. Use as a temperature-ratio anchor, not lab EIS.",1.0624,1.6160833333333335,1.5211627761044177,1.9416666666666667,0.7834314726718031,52.11627761044178
