row_type,scenario,preset,ambient_case,forward_speed_mps,metric,value,unit,peak_sample_index,peak_time_seconds,target_max_rpm_scale,contract_thrust_ratio,observed_thrust_ratio,thrust_loss_over_contract_ratio,omega_squared_proxy_ratio,advance_proxy_ratio,inflow_proxy_ratio,compressibility_proxy_ratio,residual_after_compressibility_ratio,proxy_deficit_vs_contract_ratio,residual_thrust_deficit_ratio,omega_squared_proxy_above_contract,compressibility_proxy_above_observed,runtime_coupling_allowed,playable_reference_allowed,gameplay_auto_apply_allowed,dominant_deficit_bucket,status,message,source_file,evidence_role,note
propeller_archive_rotor_spec_retune_ambient_compressibility_derate_control_hook_settled_thrust_model_breakdown_diagnostic,synthetic_derate_validation_all_pass,apDrone,cold_sea_level_minus10c,28.0,compressibility_proxy_ratio,0.7999631993000701,ratio,277,1.39,0.9910302351978083,0.982140927076222,0.7506749545342822,0.23146597254194,1.066330284708266,0.8064032172531467,0.8046814456625524,0.7999631993000701,0.9383868597844086,0.18217772777615195,0.04928824476578791,true,true,false,false,false,explicit-omega-advance-inflow-compressibility-proxy,FAIL,settled-thrust-model-breakdown-keeps-apDrone-forward-punchout-blocked,drone-sim-core/src/main/java/com/tenicana/dronecraft/sim/PropellerArchiveRotorSpecRetuneAmbientCompressibilityDerateControlHookSettledThrustModelBreakdownDiagnostic.java,breakdown_row,APDrone fast forward-punchout speed row
propeller_archive_rotor_spec_retune_ambient_compressibility_derate_control_hook_settled_thrust_model_breakdown_diagnostic_summary,all,all,all,all,row_count,5,count,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,false,false,false,NA,READY,settled-thrust-model-breakdown-recorded,drone-sim-core/src/main/java/com/tenicana/dronecraft/sim/PropellerArchiveRotorSpecRetuneAmbientCompressibilityDerateControlHookSettledThrustModelBreakdownDiagnostic.java,summary,five APDrone speed samples
propeller_archive_rotor_spec_retune_ambient_compressibility_derate_control_hook_settled_thrust_model_breakdown_diagnostic_summary,all,all,all,all,failed_row_count,5,count,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,false,false,false,NA,READY,settled-thrust-model-breakdown-recorded,drone-sim-core/src/main/java/com/tenicana/dronecraft/sim/PropellerArchiveRotorSpecRetuneAmbientCompressibilityDerateControlHookSettledThrustModelBreakdownDiagnostic.java,summary,all APDrone rows exceed the thrust-loss contract
propeller_archive_rotor_spec_retune_ambient_compressibility_derate_control_hook_settled_thrust_model_breakdown_diagnostic_summary,all,all,all,all,omega_squared_proxy_above_contract_row_count,4,count,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,false,false,false,NA,READY,settled-thrust-model-breakdown-recorded,drone-sim-core/src/main/java/com/tenicana/dronecraft/sim/PropellerArchiveRotorSpecRetuneAmbientCompressibilityDerateControlHookSettledThrustModelBreakdownDiagnostic.java,summary,four rows have omega-squared proxy above the contract ratio
propeller_archive_rotor_spec_retune_ambient_compressibility_derate_control_hook_settled_thrust_model_breakdown_diagnostic_summary,all,all,all,all,compressibility_proxy_above_observed_row_count,5,count,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,false,false,false,NA,READY,settled-thrust-model-breakdown-recorded,drone-sim-core/src/main/java/com/tenicana/dronecraft/sim/PropellerArchiveRotorSpecRetuneAmbientCompressibilityDerateControlHookSettledThrustModelBreakdownDiagnostic.java,summary,all rows retain residual thrust loss after the compressibility proxy
propeller_archive_rotor_spec_retune_ambient_compressibility_derate_control_hook_settled_thrust_model_breakdown_diagnostic_summary,all,all,all,all,explicit_proxy_dominant_row_count,4,count,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,false,false,false,NA,READY,settled-thrust-model-breakdown-recorded,drone-sim-core/src/main/java/com/tenicana/dronecraft/sim/PropellerArchiveRotorSpecRetuneAmbientCompressibilityDerateControlHookSettledThrustModelBreakdownDiagnostic.java,summary,four rows are dominated by explicit omega advance inflow compressibility proxy loss
propeller_archive_rotor_spec_retune_ambient_compressibility_derate_control_hook_settled_thrust_model_breakdown_diagnostic_summary,all,all,all,all,residual_dominant_row_count,1,count,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,false,false,false,NA,READY,settled-thrust-model-breakdown-recorded,drone-sim-core/src/main/java/com/tenicana/dronecraft/sim/PropellerArchiveRotorSpecRetuneAmbientCompressibilityDerateControlHookSettledThrustModelBreakdownDiagnostic.java,summary,one row is dominated by residual unmodeled thrust scale
propeller_archive_rotor_spec_retune_ambient_compressibility_derate_control_hook_settled_thrust_model_breakdown_diagnostic_summary,all,all,all,all,min_observed_thrust_ratio,0.6169981537709639,ratio,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,false,false,false,NA,READY,settled-thrust-model-breakdown-recorded,drone-sim-core/src/main/java/com/tenicana/dronecraft/sim/PropellerArchiveRotorSpecRetuneAmbientCompressibilityDerateControlHookSettledThrustModelBreakdownDiagnostic.java,summary,worst observed derated over neutral thrust ratio
propeller_archive_rotor_spec_retune_ambient_compressibility_derate_control_hook_settled_thrust_model_breakdown_diagnostic_summary,all,all,all,all,min_omega_squared_proxy_ratio,0.9179318211076188,ratio,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,false,false,false,NA,READY,settled-thrust-model-breakdown-recorded,drone-sim-core/src/main/java/com/tenicana/dronecraft/sim/PropellerArchiveRotorSpecRetuneAmbientCompressibilityDerateControlHookSettledThrustModelBreakdownDiagnostic.java,summary,lowest omega-squared proxy ratio
propeller_archive_rotor_spec_retune_ambient_compressibility_derate_control_hook_settled_thrust_model_breakdown_diagnostic_summary,all,all,all,all,max_omega_squared_proxy_ratio,1.066330284708266,ratio,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,false,false,false,NA,READY,settled-thrust-model-breakdown-recorded,drone-sim-core/src/main/java/com/tenicana/dronecraft/sim/PropellerArchiveRotorSpecRetuneAmbientCompressibilityDerateControlHookSettledThrustModelBreakdownDiagnostic.java,summary,highest omega-squared proxy ratio
propeller_archive_rotor_spec_retune_ambient_compressibility_derate_control_hook_settled_thrust_model_breakdown_diagnostic_summary,all,all,all,all,min_advance_proxy_ratio,0.7132360851619984,ratio,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,false,false,false,NA,READY,settled-thrust-model-breakdown-recorded,drone-sim-core/src/main/java/com/tenicana/dronecraft/sim/PropellerArchiveRotorSpecRetuneAmbientCompressibilityDerateControlHookSettledThrustModelBreakdownDiagnostic.java,summary,lowest omega plus propeller advance proxy ratio
propeller_archive_rotor_spec_retune_ambient_compressibility_derate_control_hook_settled_thrust_model_breakdown_diagnostic_summary,all,all,all,all,min_inflow_proxy_ratio,0.7126787949713781,ratio,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,false,false,false,NA,READY,settled-thrust-model-breakdown-recorded,drone-sim-core/src/main/java/com/tenicana/dronecraft/sim/PropellerArchiveRotorSpecRetuneAmbientCompressibilityDerateControlHookSettledThrustModelBreakdownDiagnostic.java,summary,lowest omega plus advance plus inflow proxy ratio
propeller_archive_rotor_spec_retune_ambient_compressibility_derate_control_hook_settled_thrust_model_breakdown_diagnostic_summary,all,all,all,all,min_compressibility_proxy_ratio,0.716812715545108,ratio,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,false,false,false,NA,READY,settled-thrust-model-breakdown-recorded,drone-sim-core/src/main/java/com/tenicana/dronecraft/sim/PropellerArchiveRotorSpecRetuneAmbientCompressibilityDerateControlHookSettledThrustModelBreakdownDiagnostic.java,summary,lowest omega advance inflow compressibility proxy ratio
propeller_archive_rotor_spec_retune_ambient_compressibility_derate_control_hook_settled_thrust_model_breakdown_diagnostic_summary,all,all,all,all,min_residual_after_compressibility_ratio,0.8607522444712229,ratio,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,false,false,false,NA,READY,settled-thrust-model-breakdown-recorded,drone-sim-core/src/main/java/com/tenicana/dronecraft/sim/PropellerArchiveRotorSpecRetuneAmbientCompressibilityDerateControlHookSettledThrustModelBreakdownDiagnostic.java,summary,lowest observed over compressibility proxy ratio
propeller_archive_rotor_spec_retune_ambient_compressibility_derate_control_hook_settled_thrust_model_breakdown_diagnostic_summary,all,all,all,all,max_proxy_deficit_vs_contract_ratio,0.26532821153111397,ratio,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,false,false,false,NA,READY,settled-thrust-model-breakdown-recorded,drone-sim-core/src/main/java/com/tenicana/dronecraft/sim/PropellerArchiveRotorSpecRetuneAmbientCompressibilityDerateControlHookSettledThrustModelBreakdownDiagnostic.java,summary,largest contract deficit explained by explicit proxies
propeller_archive_rotor_spec_retune_ambient_compressibility_derate_control_hook_settled_thrust_model_breakdown_diagnostic_summary,all,all,all,all,max_residual_thrust_deficit_ratio,0.09981456177414405,ratio,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,false,false,false,NA,READY,settled-thrust-model-breakdown-recorded,drone-sim-core/src/main/java/com/tenicana/dronecraft/sim/PropellerArchiveRotorSpecRetuneAmbientCompressibilityDerateControlHookSettledThrustModelBreakdownDiagnostic.java,summary,largest residual observed deficit after compressibility proxy
propeller_archive_rotor_spec_retune_ambient_compressibility_derate_control_hook_settled_thrust_model_breakdown_diagnostic_summary,all,all,all,all,blackbox_speed_observed_thrust_ratio,0.8612963571223922,ratio,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,false,false,false,NA,READY,settled-thrust-model-breakdown-recorded,drone-sim-core/src/main/java/com/tenicana/dronecraft/sim/PropellerArchiveRotorSpecRetuneAmbientCompressibilityDerateControlHookSettledThrustModelBreakdownDiagnostic.java,summary,22 mps blackbox speed observed thrust ratio
propeller_archive_rotor_spec_retune_ambient_compressibility_derate_control_hook_settled_thrust_model_breakdown_diagnostic_summary,all,all,all,all,blackbox_speed_compressibility_proxy_ratio,0.9039344176041539,ratio,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,false,false,false,NA,READY,settled-thrust-model-breakdown-recorded,drone-sim-core/src/main/java/com/tenicana/dronecraft/sim/PropellerArchiveRotorSpecRetuneAmbientCompressibilityDerateControlHookSettledThrustModelBreakdownDiagnostic.java,summary,22 mps blackbox speed compressibility proxy ratio
propeller_archive_rotor_spec_retune_ambient_compressibility_derate_control_hook_settled_thrust_model_breakdown_diagnostic_summary,all,all,all,all,blackbox_speed_residual_thrust_deficit_ratio,0.042638060481761775,ratio,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,false,false,false,NA,READY,settled-thrust-model-breakdown-recorded,drone-sim-core/src/main/java/com/tenicana/dronecraft/sim/PropellerArchiveRotorSpecRetuneAmbientCompressibilityDerateControlHookSettledThrustModelBreakdownDiagnostic.java,summary,22 mps residual deficit after proxy chain
propeller_archive_rotor_spec_retune_ambient_compressibility_derate_control_hook_settled_thrust_model_breakdown_diagnostic_summary,all,all,all,all,max_neutral_to_derated_propeller_scale_drop,0.19639631397321566,ratio,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,false,false,false,NA,READY,settled-thrust-model-breakdown-recorded,drone-sim-core/src/main/java/com/tenicana/dronecraft/sim/PropellerArchiveRotorSpecRetuneAmbientCompressibilityDerateControlHookSettledThrustModelBreakdownDiagnostic.java,summary,largest average propeller scale drop appears at 28 mps
propeller_archive_rotor_spec_retune_ambient_compressibility_derate_control_hook_settled_thrust_model_breakdown_diagnostic_summary,all,all,all,all,max_rotor_advance_ratio,0.20095774813129608,ratio,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,false,false,false,NA,READY,settled-thrust-model-breakdown-recorded,drone-sim-core/src/main/java/com/tenicana/dronecraft/sim/PropellerArchiveRotorSpecRetuneAmbientCompressibilityDerateControlHookSettledThrustModelBreakdownDiagnostic.java,summary,maximum sampled rotor advance ratio
propeller_archive_rotor_spec_retune_ambient_compressibility_derate_control_hook_settled_thrust_model_breakdown_diagnostic_summary,all,all,all,all,max_rotor_tip_mach,0.5376140324847326,ratio,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,false,false,false,NA,READY,settled-thrust-model-breakdown-recorded,drone-sim-core/src/main/java/com/tenicana/dronecraft/sim/PropellerArchiveRotorSpecRetuneAmbientCompressibilityDerateControlHookSettledThrustModelBreakdownDiagnostic.java,summary,maximum sampled rotor tip Mach
propeller_archive_rotor_spec_retune_ambient_compressibility_derate_control_hook_settled_thrust_model_breakdown_diagnostic_summary,all,all,all,all,dominant_deficit_bucket,explicit-omega-advance-inflow-compressibility-proxy,text,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,false,false,false,explicit-omega-advance-inflow-compressibility-proxy,READY,settled-thrust-model-breakdown-recorded,drone-sim-core/src/main/java/com/tenicana/dronecraft/sim/PropellerArchiveRotorSpecRetuneAmbientCompressibilityDerateControlHookSettledThrustModelBreakdownDiagnostic.java,summary,explicit model proxies dominate four of five rows
propeller_archive_rotor_spec_retune_ambient_compressibility_derate_control_hook_settled_thrust_model_breakdown_diagnostic_summary,all,all,all,all,next_required_action,investigate-apDrone-forward-advance-propeller-scale-and-residual-thrust-terms,text,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,false,false,false,explicit-omega-advance-inflow-compressibility-proxy,BLOCKED,next action remains APDrone settled thrust-model investigation,drone-sim-core/src/main/java/com/tenicana/dronecraft/sim/PropellerArchiveRotorSpecRetuneAmbientCompressibilityDerateControlHookSettledThrustModelBreakdownDiagnostic.java,summary,do not relax the blackbox acceptance gate
propeller_archive_rotor_spec_retune_ambient_compressibility_derate_control_hook_settled_thrust_model_breakdown_diagnostic_summary,all,all,all,all,settled_thrust_model_breakdown_passed,false,boolean,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,false,false,false,explicit-omega-advance-inflow-compressibility-proxy,BLOCKED,APDrone settled thrust model breakdown is not accepted,drone-sim-core/src/main/java/com/tenicana/dronecraft/sim/PropellerArchiveRotorSpecRetuneAmbientCompressibilityDerateControlHookSettledThrustModelBreakdownDiagnostic.java,summary,runtime coupling remains closed
propeller_archive_rotor_spec_retune_ambient_compressibility_derate_control_hook_settled_thrust_model_breakdown_diagnostic_method,all,all,all,all,method,settled-apDrone-full-throttle-thrust-model-proxy-breakdown,text,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,false,false,false,NA,READY,simulate neutral and derated APDrone full-throttle cold-air rows and compare observed thrust against omega advance inflow compressibility proxies,drone-sim-core/src/main/java/com/tenicana/dronecraft/sim/PropellerArchiveRotorSpecRetuneAmbientCompressibilityDerateControlHookSettledThrustModelBreakdownDiagnostic.java,method,lab diagnostic only
