row_type,scenario_name,status,metric,value,unit,payload_handoff_scenario,surface_fit_handoff_scenario,payload_handoff_ready,surface_fit_handoff_ready,source_rows_reviewed,scattered_surface_fit_contract_ready,expected_payload_slot_count,payload_lookup_input_slot_count,expected_surface_fit_target_count,exported_surface_fit_input_row_count,archive_curve_shape_guard_ready_target_count,negative_thrust_tail_execution_input_row_count,full_simulation_execution_input_row_count,performance_only_execution_input_row_count,lookup_execution_target_ready_count,lookup_execution_input_ready,runtime_coupling_allowed,gameplay_auto_apply_allowed,next_required_action,note
propeller_archive_ct_cp_j_lookup_execution_input_readiness_gate,payload_and_surface_fit_ready,READY,lookup_execution_target_ready_count,9,count,worksheet_open_payload_ready,surface_fit_ready_execution_input_handoff,true,true,true,true,21,21,9,9,9,9,6,3,9,true,false,false,run-lookup-execution-contract-with-reviewed-payload-and-surface-fit-inputs,synthetic all-ready path still has no runtime or gameplay authority
propeller_archive_ct_cp_j_lookup_execution_input_readiness_gate_summary,all,BLOCKED,scenario_count,4,count,summary,summary,false,false,false,false,0,0,0,0,0,0,0,0,0,false,false,false,execute-clearance-evidence-ledger-before-reviewed-payload-output,total readiness scenarios
propeller_archive_ct_cp_j_lookup_execution_input_readiness_gate_summary,all,BLOCKED,ready_scenario_count,1,count,summary,summary,false,false,false,false,0,0,0,0,0,0,0,0,0,false,false,false,execute-clearance-evidence-ledger-before-reviewed-payload-output,only synthetic all-ready scenario passes
propeller_archive_ct_cp_j_lookup_execution_input_readiness_gate_summary,all,BLOCKED,blocked_scenario_count,3,count,summary,summary,false,false,false,false,0,0,0,0,0,0,0,0,0,false,false,false,execute-clearance-evidence-ledger-before-reviewed-payload-output,three readiness scenarios are blocked
propeller_archive_ct_cp_j_lookup_execution_input_readiness_gate_summary,all,BLOCKED,max_payload_lookup_input_slot_count,21,count,summary,summary,false,false,false,false,0,21,0,0,0,0,0,0,0,false,false,false,execute-clearance-evidence-ledger-before-reviewed-payload-output,maximum reviewed payload slot count
propeller_archive_ct_cp_j_lookup_execution_input_readiness_gate_summary,all,BLOCKED,max_surface_fit_exported_input_row_count,9,count,summary,summary,false,false,false,false,0,0,0,9,0,0,0,0,0,false,false,false,execute-clearance-evidence-ledger-before-reviewed-payload-output,maximum exported surface fit target count
propeller_archive_ct_cp_j_lookup_execution_input_readiness_gate_summary,all,BLOCKED,max_lookup_execution_target_ready_count,9,count,summary,summary,false,false,false,false,0,0,0,0,0,0,0,0,9,false,false,false,execute-clearance-evidence-ledger-before-reviewed-payload-output,maximum execution target ready count
propeller_archive_ct_cp_j_lookup_execution_input_readiness_gate_summary,all,BLOCKED,current_coefficient_payload_handoff_ready,false,boolean,summary,summary,false,false,false,false,0,0,0,0,0,0,0,0,0,false,false,false,execute-clearance-evidence-ledger-before-reviewed-payload-output,current payload handoff blocked
propeller_archive_ct_cp_j_lookup_execution_input_readiness_gate_summary,all,BLOCKED,current_scattered_surface_fit_handoff_ready,false,boolean,summary,summary,false,false,false,false,0,0,0,0,0,0,0,0,0,false,false,false,execute-clearance-evidence-ledger-before-reviewed-payload-output,current surface fit handoff blocked
propeller_archive_ct_cp_j_lookup_execution_input_readiness_gate_summary,all,BLOCKED,current_payload_lookup_input_slot_count,0,count,summary,summary,false,false,false,false,0,0,0,0,0,0,0,0,0,false,false,false,execute-clearance-evidence-ledger-before-reviewed-payload-output,current payload lookup slots remain zero
propeller_archive_ct_cp_j_lookup_execution_input_readiness_gate_summary,all,BLOCKED,current_surface_fit_exported_input_row_count,0,count,summary,summary,false,false,false,false,0,0,0,0,0,0,0,0,0,false,false,false,execute-clearance-evidence-ledger-before-reviewed-payload-output,current surface fit exported rows remain zero
propeller_archive_ct_cp_j_lookup_execution_input_readiness_gate_summary,all,BLOCKED,current_lookup_execution_target_ready_count,0,count,summary,summary,false,false,false,false,0,0,0,0,0,0,0,0,0,false,false,false,execute-clearance-evidence-ledger-before-reviewed-payload-output,current lookup execution targets remain zero
propeller_archive_ct_cp_j_lookup_execution_input_readiness_gate_summary,all,BLOCKED,current_negative_thrust_tail_execution_input_row_count,9,count,summary,summary,false,false,false,false,0,0,0,0,0,9,0,0,0,false,false,false,execute-clearance-evidence-ledger-before-reviewed-payload-output,current negative-tail execution diagnostics remain visible while execution targets are blocked
propeller_archive_ct_cp_j_lookup_execution_input_readiness_gate_summary,all,BLOCKED,current_status,BLOCKED,text,summary,summary,false,false,false,false,0,0,0,0,0,0,0,0,0,false,false,false,execute-clearance-evidence-ledger-before-reviewed-payload-output,current readiness status
propeller_archive_ct_cp_j_lookup_execution_input_readiness_gate_summary,all,BLOCKED,runtime_coupling_allowed_count,0,count,summary,summary,false,false,false,false,0,0,0,0,0,0,0,0,0,false,false,false,execute-clearance-evidence-ledger-before-reviewed-payload-output,no runtime coupling authority
propeller_archive_ct_cp_j_lookup_execution_input_readiness_gate_summary,all,BLOCKED,gameplay_auto_apply_allowed_count,0,count,summary,summary,false,false,false,false,0,0,0,0,0,0,0,0,0,false,false,false,execute-clearance-evidence-ledger-before-reviewed-payload-output,no gameplay auto apply authority
propeller_archive_ct_cp_j_lookup_execution_input_readiness_gate_summary,all,BLOCKED,first_ready_scenario,payload_and_surface_fit_ready,text,summary,summary,false,false,false,false,0,0,0,0,0,0,0,0,0,false,false,false,execute-clearance-evidence-ledger-before-reviewed-payload-output,first synthetic all-ready scenario
propeller_archive_ct_cp_j_lookup_execution_input_readiness_gate_summary,all,BLOCKED,next_required_action,execute-clearance-evidence-ledger-before-reviewed-payload-output,action,summary,summary,false,false,false,false,0,0,0,0,0,0,0,0,0,false,false,false,execute-clearance-evidence-ledger-before-reviewed-payload-output,next readiness action
propeller_archive_ct_cp_j_lookup_execution_input_readiness_gate_method,packet,BLOCKED,method,payload-plus-surface-fit-readiness-gate,text,method,method,false,false,false,false,0,0,0,0,0,0,0,0,0,false,false,false,complete-payload-and-surface-fit-handoffs-before-lookup-execution,readiness gate requires both payload and surface fit handoffs before lookup execution
