row_type,preset_name,case_name,slot_id,status,metric,value,unit,performance_match_id,slot_kind,slot_coordinate_role,slot_advance_ratio_j,slot_rpm,source_archive_file,lower_source_advance_ratio_j,upper_source_advance_ratio_j,lower_source_rpm,upper_source_rpm,direct_archive_sample_count,direct_archive_sample_available,direct_static_anchor_binding,scattered_fit_required,source_rows_reviewed,coefficient_payload_reviewed,payload_source_window_ready,runtime_coupling_allowed,gameplay_auto_apply_allowed,next_required_action,note
propeller_archive_ct_cp_j_lookup_coefficient_payload_source_window_summary,all,post_review_full_simulation_source_window_count,,BLOCKED,post_review_full_simulation_source_window_count,14,count,,,,,,,,,,,,,,,false,false,false,false,false,review-source-license-then-fill-coefficient-payload-source-windows,racingQuad and apDrone source windows are geometry backed
propeller_archive_ct_cp_j_lookup_coefficient_payload_source_window_summary,all,post_review_performance_only_source_window_count,,BLOCKED,post_review_performance_only_source_window_count,7,count,,,,,,,,,,,,,,,false,false,false,false,false,review-source-license-then-fill-coefficient-payload-source-windows,heavyLift remains performance only until geometry review
propeller_archive_ct_cp_j_lookup_coefficient_payload_source_window_summary,all,archive_curve_shape_guard_ready_slot_count,,BLOCKED,archive_curve_shape_guard_ready_slot_count,21,count,,,,,,,,,,,,,,,false,false,false,false,false,review-source-license-then-fill-coefficient-payload-source-windows,shape guard is inherited for all source windows
propeller_archive_ct_cp_j_lookup_coefficient_payload_source_window_summary,all,source_rows_reviewed_slot_count,,BLOCKED,source_rows_reviewed_slot_count,0,count,,,,,,,,,,,,,,,false,false,false,false,false,review-source-license-then-fill-coefficient-payload-source-windows,source review remains closed
propeller_archive_ct_cp_j_lookup_coefficient_payload_source_window_summary,all,coefficient_payload_reviewed_slot_count,,BLOCKED,coefficient_payload_reviewed_slot_count,0,count,,,,,,,,,,,,,,,false,false,false,false,false,review-source-license-then-fill-coefficient-payload-source-windows,coefficient payload values are not reviewed yet
propeller_archive_ct_cp_j_lookup_coefficient_payload_source_window_summary,all,payload_source_window_ready_slot_count,,BLOCKED,payload_source_window_ready_slot_count,0,count,,,,,,,,,,,,,,,false,false,false,false,false,review-source-license-then-fill-coefficient-payload-source-windows,no source window is ready to feed payload values
propeller_archive_ct_cp_j_lookup_coefficient_payload_source_window_summary,all,max_source_j_bracket_width,,BLOCKED,max_source_j_bracket_width,0.022381,J,,,,,,,,,,,,,,,false,false,false,false,false,review-source-license-then-fill-coefficient-payload-source-windows,widest J support bracket among reviewed slots
propeller_archive_ct_cp_j_lookup_coefficient_payload_source_window_summary,all,max_source_rpm_bracket_width,,BLOCKED,max_source_rpm_bracket_width,500.000,rpm,,,,,,,,,,,,,,,false,false,false,false,false,review-source-license-then-fill-coefficient-payload-source-windows,widest RPM support bracket among reviewed slots
propeller_archive_ct_cp_j_lookup_coefficient_payload_source_window_summary,all,runtime_coupling_allowed_count,,BLOCKED,runtime_coupling_allowed_count,0,count,,,,,,,,,,,,,,,false,false,false,false,false,keep-runtime-and-gameplay-auto-apply-closed,no runtime authority
propeller_archive_ct_cp_j_lookup_coefficient_payload_source_window_summary,all,gameplay_auto_apply_allowed_count,,BLOCKED,gameplay_auto_apply_allowed_count,0,count,,,,,,,,,,,,,,,false,false,false,false,false,keep-runtime-and-gameplay-auto-apply-closed,no gameplay auto apply authority
propeller_archive_ct_cp_j_lookup_coefficient_payload_source_window_summary,all,next_required_action,,BLOCKED,next_required_action,review-source-license-then-fill-coefficient-payload-source-windows,action,,,,,,,,,,,,,,,false,false,false,false,false,review-source-license-then-fill-coefficient-payload-source-windows,next action for payload source windows
propeller_archive_ct_cp_j_lookup_coefficient_payload_source_window_method,packet,method,,BLOCKED,method,compact-derived-source-window-audit,text,,,,,,,,,,,,,,,false,false,false,false,false,review-source-license-then-fill-coefficient-payload-source-windows,source windows derived from archive zip without vendoring raw rows
