row_type,name,source,descent_ratio_vi_low,descent_ratio_vi_high,max_reported_thrust_loss_fraction,rotor_diameter_in_low,rotor_diameter_in_high,reynolds_low,reynolds_high,note,prop_diameter_in_low,prop_diameter_in_high,tested_prop_count,advance_ratio_low,advance_ratio_high,rotational_speed_rpm,wind_tunnel_speed_low_ft_s,wind_tunnel_speed_high_ft_s,wind_tunnel_speed_step_ft_s,wind_tunnel_speed_low_m_s,wind_tunnel_speed_high_m_s,wind_tunnel_speed_step_m_s,steady_replicates_per_condition,steady_data_points_per_run,time_history_lpf_hz,time_history_duration_s,time_history_sample_rate_hz,time_history_advance_ratio_count,time_history_prop_count,time_history_example_advance_ratios,time_history_figure_ids,max_thrust_fluctuation_half_amplitude_fraction,vertical_descent_speed_ft_s,vertical_descent_speed_m_s,net_thrust_loss_fraction_low,net_thrust_loss_fraction_high,windmilling_speed_ft_s,windmilling_speed_m_s,windmilling_rotor_speed_rpm,urdf_source,prop_radius_m,downwash_coeff_1,downwash_coeff_2,downwash_coeff_3,formula,figure,prop,pitch_in,advance_ratio_j,hover_ct_digitized,mean_ct_digitized,lower_measured_ct_digitized,upper_measured_ct_digitized,measured_half_amplitude_ct,measured_half_amplitude_over_mean_fraction,descent_ratio_vi_proxy,reference_source,preset,reference_prop,reference_figure,reference_advance_ratio_j,reference_measured_half_amplitude_fraction,current_vrs_shape_no_crossflow_max_spin,current_vrs_base_thrust_loss_percent_max_spin,current_vrs_buffet_half_amplitude_fraction_max_spin,current_buffet_over_reference_measured_half_amplitude,current_base_loss_over_cambridge_peak_loss_33pct,hover_induced_velocity_m_s,descent_ratio_vi,descent_speed_m_s,hover_spin_ratio,current_vrs_intensity_hover_spin_no_crossflow,current_vrs_entry_component,current_vrs_exit_component,current_vrs_base_thrust_loss_percent_hover_spin,current_vrs_buffet_thrust_amplitude_percent_max_spin,current_vrs_lateral_force_bound_percent_max_thrust,current_propwash_descent_factor,propwash_start_ratio_vi,propwash_full_ratio_vi,propwash_max_torque_nm
shetty_selig_fig11_13_manual_digitization,APC Thin Electric 10x7 Fig. 12 J=0.00,https://m-selig.ae.illinois.edu/pubs/ShettySelig-2011-AIAA-2011-1254-LRN-VSR-Props.pdf,,,,,,,,Low-precision manual digitization of measured thrust-envelope limits from Figs. 11-13. V/vi proxy uses digitized hover CT and momentum-theory vi/(nD)=sqrt(2CT/pi).,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Fig. 12,APC Thin Electric 10x7,7.0,0.0,0.105,0.105,0.096,0.112,0.008,0.0761904761904762,0.0,,,,,,,,,,,,,,,,,,,,,,,,,
shetty_selig_fig11_13_manual_digitization,APC Thin Electric 10x7 Fig. 12 J=-0.20,https://m-selig.ae.illinois.edu/pubs/ShettySelig-2011-AIAA-2011-1254-LRN-VSR-Props.pdf,,,,,,,,Low-precision manual digitization of measured thrust-envelope limits from Figs. 11-13. V/vi proxy uses digitized hover CT and momentum-theory vi/(nD)=sqrt(2CT/pi).,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Fig. 12,APC Thin Electric 10x7,7.0,-0.2,0.105,0.103,0.075,0.132,0.028500000000000004,0.27669902912621364,0.7735622797705238,,,,,,,,,,,,,,,,,,,,,,,,,
shetty_selig_fig11_13_manual_digitization,APC Thin Electric 10x7 Fig. 12 J=-0.32,https://m-selig.ae.illinois.edu/pubs/ShettySelig-2011-AIAA-2011-1254-LRN-VSR-Props.pdf,,,,,,,,Low-precision manual digitization of measured thrust-envelope limits from Figs. 11-13. V/vi proxy uses digitized hover CT and momentum-theory vi/(nD)=sqrt(2CT/pi).,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Fig. 12,APC Thin Electric 10x7,7.0,-0.32,0.105,0.096,0.045,0.148,0.0515,0.5364583333333333,1.2376996476328381,,,,,,,,,,,,,,,,,,,,,,,,,
shetty_selig_fig11_13_manual_digitization,APC Thin Electric 10x7 Fig. 12 J=-0.45,https://m-selig.ae.illinois.edu/pubs/ShettySelig-2011-AIAA-2011-1254-LRN-VSR-Props.pdf,,,,,,,,Low-precision manual digitization of measured thrust-envelope limits from Figs. 11-13. V/vi proxy uses digitized hover CT and momentum-theory vi/(nD)=sqrt(2CT/pi).,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Fig. 12,APC Thin Electric 10x7,7.0,-0.45,0.105,0.12,0.09,0.152,0.031,0.25833333333333336,1.7405151294836785,,,,,,,,,,,,,,,,,,,,,,,,,
shetty_selig_fig11_13_manual_digitization,APC Thin Electric 10x10 Fig. 13 J=0.00,https://m-selig.ae.illinois.edu/pubs/ShettySelig-2011-AIAA-2011-1254-LRN-VSR-Props.pdf,,,,,,,,Low-precision manual digitization of measured thrust-envelope limits from Figs. 11-13. V/vi proxy uses digitized hover CT and momentum-theory vi/(nD)=sqrt(2CT/pi).,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Fig. 13,APC Thin Electric 10x10,10.0,0.0,0.112,0.112,0.105,0.121,0.008,0.07142857142857142,0.0,,,,,,,,,,,,,,,,,,,,,,,,,
shetty_selig_fig11_13_manual_digitization,APC Thin Electric 10x10 Fig. 13 J=-0.20,https://m-selig.ae.illinois.edu/pubs/ShettySelig-2011-AIAA-2011-1254-LRN-VSR-Props.pdf,,,,,,,,Low-precision manual digitization of measured thrust-envelope limits from Figs. 11-13. V/vi proxy uses digitized hover CT and momentum-theory vi/(nD)=sqrt(2CT/pi).,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Fig. 13,APC Thin Electric 10x10,10.0,-0.2,0.112,0.111,0.085,0.138,0.026500000000000003,0.23873873873873877,0.7489984567013703,,,,,,,,,,,,,,,,,,,,,,,,,
shetty_selig_fig11_13_manual_digitization,APC Thin Electric 10x10 Fig. 13 J=-0.35,https://m-selig.ae.illinois.edu/pubs/ShettySelig-2011-AIAA-2011-1254-LRN-VSR-Props.pdf,,,,,,,,Low-precision manual digitization of measured thrust-envelope limits from Figs. 11-13. V/vi proxy uses digitized hover CT and momentum-theory vi/(nD)=sqrt(2CT/pi).,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Fig. 13,APC Thin Electric 10x10,10.0,-0.35,0.112,0.113,0.07,0.153,0.041499999999999995,0.36725663716814155,1.3107472992273979,,,,,,,,,,,,,,,,,,,,,,,,,
shetty_selig_fig11_13_manual_digitization,APC Thin Electric 10x10 Fig. 13 J=-0.48,https://m-selig.ae.illinois.edu/pubs/ShettySelig-2011-AIAA-2011-1254-LRN-VSR-Props.pdf,,,,,,,,Low-precision manual digitization of measured thrust-envelope limits from Figs. 11-13. V/vi proxy uses digitized hover CT and momentum-theory vi/(nD)=sqrt(2CT/pi).,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Fig. 13,APC Thin Electric 10x10,10.0,-0.48,0.112,0.14,0.08,0.168,0.044000000000000004,0.3142857142857143,1.7975962960832887,,,,,,,,,,,,,,,,,,,,,,,,,
current_vs_shetty_selig_digitized_fluctuation,racingQuad vs APC Thin Electric 10x5 J=0.00,drone-sim-core/src/main/java/com/tenicana/dronecraft/sim/DronePhysics.java,,,,,,,,Compares current VRS sinusoidal thrust buffet amplitude with low-precision Shetty/Selig measured-envelope digitization at the same V/vi proxy.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,https://m-selig.ae.illinois.edu/pubs/ShettySelig-2011-AIAA-2011-1254-LRN-VSR-Props.pdf,racingQuad,APC Thin Electric 10x5,Fig. 11,0.0,0.05434782608695657,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,
current_vs_shetty_selig_digitized_fluctuation,racingQuad vs APC Thin Electric 10x5 J=-0.19,drone-sim-core/src/main/java/com/tenicana/dronecraft/sim/DronePhysics.java,,,,,,,,Compares current VRS sinusoidal thrust buffet amplitude with low-precision Shetty/Selig measured-envelope digitization at the same V/vi proxy.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.7850903257178906,https://m-selig.ae.illinois.edu/pubs/ShettySelig-2011-AIAA-2011-1254-LRN-VSR-Props.pdf,racingQuad,APC Thin Electric 10x5,Fig. 11,-0.19,0.2738095238095238,0.4204820080692173,13.8590869859614,0.06519199370291823,0.23809249874109267,0.4199723329079212,,,,,,,,,,,,,,
current_vs_shetty_selig_digitized_fluctuation,racingQuad vs APC Thin Electric 10x5 J=-0.30,drone-sim-core/src/main/java/com/tenicana/dronecraft/sim/DronePhysics.java,,,,,,,,Compares current VRS sinusoidal thrust buffet amplitude with low-precision Shetty/Selig measured-envelope digitization at the same V/vi proxy.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.2396163037650905,https://m-selig.ae.illinois.edu/pubs/ShettySelig-2011-AIAA-2011-1254-LRN-VSR-Props.pdf,racingQuad,APC Thin Electric 10x5,Fig. 11,-0.3,0.6625000000000001,1.0,32.96,0.279,0.4211320754716981,0.9987878787878788,,,,,,,,,,,,,,
current_vs_shetty_selig_digitized_fluctuation,racingQuad vs APC Thin Electric 10x5 J=-0.42,drone-sim-core/src/main/java/com/tenicana/dronecraft/sim/DronePhysics.java,,,,,,,,Compares current VRS sinusoidal thrust buffet amplitude with low-precision Shetty/Selig measured-envelope digitization at the same V/vi proxy.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.7354628252711266,https://m-selig.ae.illinois.edu/pubs/ShettySelig-2011-AIAA-2011-1254-LRN-VSR-Props.pdf,racingQuad,APC Thin Electric 10x5,Fig. 11,-0.42,0.1785714285714286,0.606824508331502,20.000935794606313,0.11826995245110822,0.6623117337262059,0.6060889634729186,,,,,,,,,,,,,,
current_vs_shetty_selig_digitized_fluctuation,racingQuad vs APC Thin Electric 10x5 J=-0.62,drone-sim-core/src/main/java/com/tenicana/dronecraft/sim/DronePhysics.java,,,,,,,,Compares current VRS sinusoidal thrust buffet amplitude with low-precision Shetty/Selig measured-envelope digitization at the same V/vi proxy.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.5618736944478537,https://m-selig.ae.illinois.edu/pubs/ShettySelig-2011-AIAA-2011-1254-LRN-VSR-Props.pdf,racingQuad,APC Thin Electric 10x5,Fig. 11,-0.62,0.06250000000000006,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,
current_vs_shetty_selig_digitized_fluctuation,racingQuad vs APC Thin Electric 10x7 J=0.00,drone-sim-core/src/main/java/com/tenicana/dronecraft/sim/DronePhysics.java,,,,,,,,Compares current VRS sinusoidal thrust buffet amplitude with low-precision Shetty/Selig measured-envelope digitization at the same V/vi proxy.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,https://m-selig.ae.illinois.edu/pubs/ShettySelig-2011-AIAA-2011-1254-LRN-VSR-Props.pdf,racingQuad,APC Thin Electric 10x7,Fig. 12,0.0,0.0761904761904762,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,
current_vs_shetty_selig_digitized_fluctuation,racingQuad vs APC Thin Electric 10x7 J=-0.20,drone-sim-core/src/main/java/com/tenicana/dronecraft/sim/DronePhysics.java,,,,,,,,Compares current VRS sinusoidal thrust buffet amplitude with low-precision Shetty/Selig measured-envelope digitization at the same V/vi proxy.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.7735622797705238,https://m-selig.ae.illinois.edu/pubs/ShettySelig-2011-AIAA-2011-1254-LRN-VSR-Props.pdf,racingQuad,APC Thin Electric 10x7,Fig. 12,-0.2,0.27669902912621364,0.3977697550585078,13.11049112672842,0.059738235476916264,0.21589607909201314,0.3972876099008612,,,,,,,,,,,,,,
current_vs_shetty_selig_digitized_fluctuation,racingQuad vs APC Thin Electric 10x7 J=-0.32,drone-sim-core/src/main/java/com/tenicana/dronecraft/sim/DronePhysics.java,,,,,,,,Compares current VRS sinusoidal thrust buffet amplitude with low-precision Shetty/Selig measured-envelope digitization at the same V/vi proxy.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.2376996476328381,https://m-selig.ae.illinois.edu/pubs/ShettySelig-2011-AIAA-2011-1254-LRN-VSR-Props.pdf,racingQuad,APC Thin Electric 10x7,Fig. 12,-0.32,0.5364583333333333,1.0,32.96,0.279,0.5200776699029127,0.9987878787878788,,,,,,,,,,,,,,
current_vs_shetty_selig_digitized_fluctuation,racingQuad vs APC Thin Electric 10x7 J=-0.45,drone-sim-core/src/main/java/com/tenicana/dronecraft/sim/DronePhysics.java,,,,,,,,Compares current VRS sinusoidal thrust buffet amplitude with low-precision Shetty/Selig measured-envelope digitization at the same V/vi proxy.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.7405151294836785,https://m-selig.ae.illinois.edu/pubs/ShettySelig-2011-AIAA-2011-1254-LRN-VSR-Props.pdf,racingQuad,APC Thin Electric 10x7,Fig. 12,-0.45,0.25833333333333336,0.5985639906975959,19.728669133392764,0.11560236201472149,0.4474930142505347,0.5978384585876595,,,,,,,,,,,,,,
current_vs_shetty_selig_digitized_fluctuation,racingQuad vs APC Thin Electric 10x10 J=0.00,drone-sim-core/src/main/java/com/tenicana/dronecraft/sim/DronePhysics.java,,,,,,,,Compares current VRS sinusoidal thrust buffet amplitude with low-precision Shetty/Selig measured-envelope digitization at the same V/vi proxy.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,https://m-selig.ae.illinois.edu/pubs/ShettySelig-2011-AIAA-2011-1254-LRN-VSR-Props.pdf,racingQuad,APC Thin Electric 10x10,Fig. 13,0.0,0.07142857142857142,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,
current_vs_shetty_selig_digitized_fluctuation,racingQuad vs APC Thin Electric 10x10 J=-0.20,drone-sim-core/src/main/java/com/tenicana/dronecraft/sim/DronePhysics.java,,,,,,,,Compares current VRS sinusoidal thrust buffet amplitude with low-precision Shetty/Selig measured-envelope digitization at the same V/vi proxy.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.7489984567013703,https://m-selig.ae.illinois.edu/pubs/ShettySelig-2011-AIAA-2011-1254-LRN-VSR-Props.pdf,racingQuad,APC Thin Electric 10x10,Fig. 13,-0.2,0.23873873873873877,0.35007811159093244,11.53857455803713,0.0490045320181739,0.20526426618933216,0.3496537744859736,,,,,,,,,,,,,,
current_vs_shetty_selig_digitized_fluctuation,racingQuad vs APC Thin Electric 10x10 J=-0.35,drone-sim-core/src/main/java/com/tenicana/dronecraft/sim/DronePhysics.java,,,,,,,,Compares current VRS sinusoidal thrust buffet amplitude with low-precision Shetty/Selig measured-envelope digitization at the same V/vi proxy.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.3107472992273979,https://m-selig.ae.illinois.edu/pubs/ShettySelig-2011-AIAA-2011-1254-LRN-VSR-Props.pdf,racingQuad,APC Thin Electric 10x10,Fig. 13,-0.35,0.36725663716814155,1.0,32.96,0.279,0.7596867469879519,0.9987878787878788,,,,,,,,,,,,,,
current_vs_shetty_selig_digitized_fluctuation,racingQuad vs APC Thin Electric 10x10 J=-0.48,drone-sim-core/src/main/java/com/tenicana/dronecraft/sim/DronePhysics.java,,,,,,,,Compares current VRS sinusoidal thrust buffet amplitude with low-precision Shetty/Selig measured-envelope digitization at the same V/vi proxy.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.7975962960832887,https://m-selig.ae.illinois.edu/pubs/ShettySelig-2011-AIAA-2011-1254-LRN-VSR-Props.pdf,racingQuad,APC Thin Electric 10x10,Fig. 13,-0.48,0.3142857142857143,0.5040061350927286,16.61204221265633,0.08714614459729303,0.2772831873550233,0.5033952185653433,,,,,,,,,,,,,,
current_vs_shetty_selig_digitized_fluctuation,cinewhoop vs APC Thin Electric 10x5 J=0.00,drone-sim-core/src/main/java/com/tenicana/dronecraft/sim/DronePhysics.java,,,,,,,,Compares current VRS sinusoidal thrust buffet amplitude with low-precision Shetty/Selig measured-envelope digitization at the same V/vi proxy.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,https://m-selig.ae.illinois.edu/pubs/ShettySelig-2011-AIAA-2011-1254-LRN-VSR-Props.pdf,cinewhoop,APC Thin Electric 10x5,Fig. 11,0.0,0.05434782608695657,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,
current_vs_shetty_selig_digitized_fluctuation,cinewhoop vs APC Thin Electric 10x5 J=-0.19,drone-sim-core/src/main/java/com/tenicana/dronecraft/sim/DronePhysics.java,,,,,,,,Compares current VRS sinusoidal thrust buffet amplitude with low-precision Shetty/Selig measured-envelope digitization at the same V/vi proxy.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.7850903257178906,https://m-selig.ae.illinois.edu/pubs/ShettySelig-2011-AIAA-2011-1254-LRN-VSR-Props.pdf,cinewhoop,APC Thin Electric 10x5,Fig. 11,-0.19,0.2738095238095238,0.4204820080692173,13.875906266284165,0.06519199370291823,0.23809249874109267,0.4204820080692171,,,,,,,,,,,,,,
current_vs_shetty_selig_digitized_fluctuation,cinewhoop vs APC Thin Electric 10x5 J=-0.30,drone-sim-core/src/main/java/com/tenicana/dronecraft/sim/DronePhysics.java,,,,,,,,Compares current VRS sinusoidal thrust buffet amplitude with low-precision Shetty/Selig measured-envelope digitization at the same V/vi proxy.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.2396163037650905,https://m-selig.ae.illinois.edu/pubs/ShettySelig-2011-AIAA-2011-1254-LRN-VSR-Props.pdf,cinewhoop,APC Thin Electric 10x5,Fig. 11,-0.3,0.6625000000000001,1.0,33.00000000000001,0.279,0.4211320754716981,1.0000000000000002,,,,,,,,,,,,,,
current_vs_shetty_selig_digitized_fluctuation,cinewhoop vs APC Thin Electric 10x5 J=-0.42,drone-sim-core/src/main/java/com/tenicana/dronecraft/sim/DronePhysics.java,,,,,,,,Compares current VRS sinusoidal thrust buffet amplitude with low-precision Shetty/Selig measured-envelope digitization at the same V/vi proxy.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.7354628252711266,https://m-selig.ae.illinois.edu/pubs/ShettySelig-2011-AIAA-2011-1254-LRN-VSR-Props.pdf,cinewhoop,APC Thin Electric 10x5,Fig. 11,-0.42,0.1785714285714286,0.606824508331502,20.025208774939564,0.11826995245110822,0.6623117337262059,0.6068245083315019,,,,,,,,,,,,,,
current_vs_shetty_selig_digitized_fluctuation,cinewhoop vs APC Thin Electric 10x5 J=-0.62,drone-sim-core/src/main/java/com/tenicana/dronecraft/sim/DronePhysics.java,,,,,,,,Compares current VRS sinusoidal thrust buffet amplitude with low-precision Shetty/Selig measured-envelope digitization at the same V/vi proxy.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.5618736944478537,https://m-selig.ae.illinois.edu/pubs/ShettySelig-2011-AIAA-2011-1254-LRN-VSR-Props.pdf,cinewhoop,APC Thin Electric 10x5,Fig. 11,-0.62,0.06250000000000006,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,
