row_type,name,source,advance_ratio_low,advance_ratio_high,source_context,note,advance_ratio,lift_dissymmetry_start_mu,lift_dissymmetry_full_mu,retreating_blade_stall_start_mu,retreating_blade_stall_full_mu,high_advance_loss_start_mu,high_advance_loss_full_mu,advance_ratio_mu,spin_ratio,thrust_fraction,current_loaded_rotor,current_lift_dissymmetry,current_retreating_blade_stall,current_intensity,current_thrust_scale,current_thrust_loss_percent,current_load_factor,current_vibration,current_reverse_flow_inboard_fraction_r_over_r,preset,speed_m_s,radius_m,hover_rpm,max_rpm,hover_tip_speed_m_s,max_tip_speed_m_s,hover_mu,max_mu,hover_reverse_flow_fraction_r_over_r,max_reverse_flow_fraction_r_over_r,hover_lift_dissymmetry,max_lift_dissymmetry,hover_retreating_blade_stall,max_retreating_blade_stall,hover_intensity,max_intensity,hover_thrust_scale,max_thrust_scale,hover_load_factor,max_load_factor,hover_vibration,max_vibration,hover_retreating_stall_onset_speed_m_s,hover_retreating_stall_full_speed_m_s,max_retreating_stall_onset_speed_m_s,max_retreating_stall_full_speed_m_s
current_dissymmetry_curve,current_curve_mu_0.50,drone-sim-core/src/main/java/com/tenicana/dronecraft/sim/DronePhysics.java,,,,Mirrors current steady blade-dissymmetry/retreating-blade-stall formula at full spin and full thrust fraction.,,,,,,,,0.5,1.0,1.0,1.0,1.0,0.10400000000000006,1.0,0.9672,3.280000000000005,0.048520000000000015,0.03280000000000001,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,
current_dissymmetry_curve,current_curve_mu_0.60,drone-sim-core/src/main/java/com/tenicana/dronecraft/sim/DronePhysics.java,,,,Mirrors current steady blade-dissymmetry/retreating-blade-stall formula at full spin and full thrust fraction.,,,,,,,,0.6,1.0,1.0,1.0,1.0,0.4252500000000001,1.0,0.9431062499999999,5.689375000000007,0.09028250000000002,0.05689375000000001,0.6,,,,,,,,,,,,,,,,,,,,,,,,,,,
current_dissymmetry_curve,current_curve_mu_0.70,drone-sim-core/src/main/java/com/tenicana/dronecraft/sim/DronePhysics.java,,,,Mirrors current steady blade-dissymmetry/retreating-blade-stall formula at full spin and full thrust fraction.,,,,,,,,0.7,1.0,1.0,1.0,1.0,0.7839999999999999,1.0,0.9162,8.379999999999999,0.13692,0.08379999999999999,0.7,,,,,,,,,,,,,,,,,,,,,,,,,,,
current_dissymmetry_curve,current_curve_mu_0.82,drone-sim-core/src/main/java/com/tenicana/dronecraft/sim/DronePhysics.java,,,,Mirrors current steady blade-dissymmetry/retreating-blade-stall formula at full spin and full thrust fraction.,,,,,,,,0.82,1.0,1.0,1.0,1.0,1.0,1.0,0.9,9.999999999999998,0.165,0.1,0.82,,,,,,,,,,,,,,,,,,,,,,,,,,,
current_dissymmetry_curve,current_curve_mu_1.00,drone-sim-core/src/main/java/com/tenicana/dronecraft/sim/DronePhysics.java,,,,Mirrors current steady blade-dissymmetry/retreating-blade-stall formula at full spin and full thrust fraction.,,,,,,,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9,9.999999999999998,0.165,0.1,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
current_preset_speed_scan,racingQuad 5.0m_s,drone-sim-core/src/main/java/com/tenicana/dronecraft/sim/DronePhysics.java,,,,Speed-to-mu mapping uses transverse speed divided by rotational tip speed. Hover rows use hover thrust fraction/spin; max rows use full spin/thrust fraction.,,,,,,,,,,,,,,,,,,,,racingQuad,5.0,0.0635,13023.090711279678,29137.63274949454,86.59970425683154,193.75664615964658,0.05773691772862571,0.025805566410765746,0.05773691772862571,0.025805566410765746,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,36.37187578786925,71.01175749060187,81.37779138705156,158.8804498509102
current_preset_speed_scan,racingQuad 10.0m_s,drone-sim-core/src/main/java/com/tenicana/dronecraft/sim/DronePhysics.java,,,,Speed-to-mu mapping uses transverse speed divided by rotational tip speed. Hover rows use hover thrust fraction/spin; max rows use full spin/thrust fraction.,,,,,,,,,,,,,,,,,,,,racingQuad,10.0,0.0635,13023.090711279678,29137.63274949454,86.59970425683154,193.75664615964658,0.11547383545725141,0.05161113282153149,0.11547383545725141,0.05161113282153149,0.02331880940837719,0.0,0.0,0.0,0.02331880940837719,0.0,0.9994170297647905,1.0,0.0008161583292932017,0.0,0.0005829702352094298,0.0,36.37187578786925,71.01175749060187,81.37779138705156,158.8804498509102
current_preset_speed_scan,racingQuad 12.5m_s,drone-sim-core/src/main/java/com/tenicana/dronecraft/sim/DronePhysics.java,,,,Speed-to-mu mapping uses transverse speed divided by rotational tip speed. Hover rows use hover thrust fraction/spin; max rows use full spin/thrust fraction.,,,,,,,,,,,,,,,,,,,,racingQuad,12.5,0.0635,13023.090711279678,29137.63274949454,86.59970425683154,193.75664615964658,0.14434229432156426,0.06451391602691436,0.14434229432156426,0.06451391602691436,0.07046869530375466,0.0,0.0,0.0,0.07046869530375466,0.0,0.9982382826174061,1.0,0.0024664043356314135,0.0,0.0017617173825938666,0.0,36.37187578786925,71.01175749060187,81.37779138705156,158.8804498509102
current_preset_speed_scan,racingQuad 15.0m_s,drone-sim-core/src/main/java/com/tenicana/dronecraft/sim/DronePhysics.java,,,,Speed-to-mu mapping uses transverse speed divided by rotational tip speed. Hover rows use hover thrust fraction/spin; max rows use full spin/thrust fraction.,,,,,,,,,,,,,,,,,,,,racingQuad,15.0,0.0635,13023.090711279678,29137.63274949454,86.59970425683154,193.75664615964658,0.17321075318587711,0.07741669923229724,0.17321075318587711,0.07741669923229724,0.13477892319505638,0.0,0.0,0.0,0.13477892319505638,0.0,0.9966305269201235,1.0,0.004717262311826974,0.0,0.0033694730798764097,0.0,36.37187578786925,71.01175749060187,81.37779138705156,158.8804498509102
current_preset_speed_scan,racingQuad 20.0m_s,drone-sim-core/src/main/java/com/tenicana/dronecraft/sim/DronePhysics.java,,,,Speed-to-mu mapping uses transverse speed divided by rotational tip speed. Hover rows use hover thrust fraction/spin; max rows use full spin/thrust fraction.,,,,,,,,,,,,,,,,,,,,racingQuad,20.0,0.0635,13023.090711279678,29137.63274949454,86.59970425683154,193.75664615964658,0.23094767091450283,0.10322226564306299,0.23094767091450283,0.10322226564306299,0.2847000858764221,0.022507232263063465,0.0,0.0,0.2847000858764221,0.022507232263063465,0.9928824978530895,0.9994373191934234,0.009964503005674774,0.0007877531292072214,0.007117502146910553,0.0005626808065765866,36.37187578786925,71.01175749060187,81.37779138705156,158.8804498509102
current_preset_speed_scan,racingQuad 30.0m_s,drone-sim-core/src/main/java/com/tenicana/dronecraft/sim/DronePhysics.java,,,,Speed-to-mu mapping uses transverse speed divided by rotational tip speed. Hover rows use hover thrust fraction/spin; max rows use full spin/thrust fraction.,,,,,,,,,,,,,,,,,,,,racingQuad,30.0,0.0635,13023.090711279678,29137.63274949454,86.59970425683154,193.75664615964658,0.34642150637175423,0.15483339846459448,0.34642150637175423,0.15483339846459448,0.4593374280117814,0.20083577554218973,0.0,0.0,0.4593374280117814,0.20083577554218973,0.9885165642997055,0.9949791056114452,0.01607680998041235,0.007029252143976641,0.011483435700294536,0.005020894388554744,36.37187578786925,71.01175749060187,81.37779138705156,158.8804498509102
current_preset_speed_scan,racingQuad 40.0m_s,drone-sim-core/src/main/java/com/tenicana/dronecraft/sim/DronePhysics.java,,,,Speed-to-mu mapping uses transverse speed divided by rotational tip speed. Hover rows use hover thrust fraction/spin; max rows use full spin/thrust fraction.,,,,,,,,,,,,,,,,,,,,racingQuad,40.0,0.0635,13023.090711279678,29137.63274949454,86.59970425683154,193.75664615964658,0.46189534182900566,0.20644453128612597,0.46189534182900566,0.20644453128612597,0.4593374280117814,0.47949279496570985,0.01406141350577265,0.0,0.4642589227388018,0.47949279496570985,0.9874619582867725,0.9880126801258573,0.017904793736162793,0.016782247823799848,0.012538041713227484,0.011987319874142748,36.37187578786925,71.01175749060187,81.37779138705156,158.8804498509102
current_preset_speed_scan,racingQuad 50.0m_s,drone-sim-core/src/main/java/com/tenicana/dronecraft/sim/DronePhysics.java,,,,Speed-to-mu mapping uses transverse speed divided by rotational tip speed. Hover rows use hover thrust fraction/spin; max rows use full spin/thrust fraction.,,,,,,,,,,,,,,,,,,,,racingQuad,50.0,0.0635,13023.090711279678,29137.63274949454,86.59970425683154,193.75664615964658,0.577369177286257,0.25805566410765746,0.577369177286257,0.25805566410765746,0.4593374280117814,0.7646159505678941,0.15734859073244623,0.0,0.5144094347681376,0.7646159505678941,0.976715419994772,0.9808846012358027,0.036532126775630364,0.026761558269876296,0.023284580005228005,0.019115398764197353,36.37187578786925,71.01175749060187,81.37779138705156,158.8804498509102
current_preset_speed_scan,racingQuad 60.0m_s,drone-sim-core/src/main/java/com/tenicana/dronecraft/sim/DronePhysics.java,,,,Speed-to-mu mapping uses transverse speed divided by rotational tip speed. Hover rows use hover thrust fraction/spin; max rows use full spin/thrust fraction.,,,,,,,,,,,,,,,,,,,,racingQuad,60.0,0.0635,13023.090711279678,29137.63274949454,86.59970425683154,193.75664615964658,0.6928430127435085,0.30966679692918897,0.6928430127435085,0.30966679692918897,0.4593374280117814,0.9623429023830137,0.34959380568031423,0.0,0.5816952599998914,0.9623429023830137,0.9622970288736818,0.9759414274404247,0.061524004718853206,0.03368200158340548,0.037702971126318104,0.024058572559575345,36.37187578786925,71.01175749060187,81.37779138705156,158.8804498509102
current_preset_speed_scan,cinewhoop 5.0m_s,drone-sim-core/src/main/java/com/tenicana/dronecraft/sim/DronePhysics.java,,,,Speed-to-mu mapping uses transverse speed divided by rotational tip speed. Hover rows use hover thrust fraction/spin; max rows use full spin/thrust fraction.,,,,,,,,,,,,,,,,,,,,cinewhoop,5.0,0.038,4297.487346413935,7964.663928742473,17.101209256759542,31.694190936675362,0.29237698486284913,0.15775761589844473,0.29237698486284913,0.15775761589844473,0.7039891554574382,0.21482641387474533,0.0,0.0,0.7039891554574382,0.21482641387474533,0.9824002711135641,0.9946293396531314,0.02463962044101034,0.007518924485616087,0.017599728886435958,0.005370660346868634,7.182507887839008,14.022991590542825,13.311560193403652,25.989236568073796
current_preset_speed_scan,cinewhoop 10.0m_s,drone-sim-core/src/main/java/com/tenicana/dronecraft/sim/DronePhysics.java,,,,Speed-to-mu mapping uses transverse speed divided by rotational tip speed. Hover rows use hover thrust fraction/spin; max rows use full spin/thrust fraction.,,,,,,,,,,,,,,,,,,,,cinewhoop,10.0,0.038,4297.487346413935,7964.663928742473,17.101209256759542,31.694190936675362,0.5847539697256983,0.31551523179688945,0.5847539697256983,0.31551523179688945,0.7722214803263757,0.9750651118054572,0.2851008378935176,0.0,0.8720067735891068,0.9750651118054572,0.9593119001498268,0.9756233722048636,0.06409086073758044,0.034127278913191006,0.040688099850173215,0.02437662779513643,7.182507887839008,14.022991590542825,13.311560193403652,25.989236568073796
current_preset_speed_scan,cinewhoop 12.5m_s,drone-sim-core/src/main/java/com/tenicana/dronecraft/sim/DronePhysics.java,,,,Speed-to-mu mapping uses transverse speed divided by rotational tip speed. Hover rows use hover thrust fraction/spin; max rows use full spin/thrust fraction.,,,,,,,,,,,,,,,,,,,,cinewhoop,12.5,0.038,4297.487346413935,7964.663928742473,17.101209256759542,31.694190936675362,0.7309424621571228,0.3943940397461118,0.7309424621571228,0.3943940397461118,0.7722214803263757,1.0,0.6744290443788182,0.0,1.0,1.0,0.9301122846634292,0.975,0.11470352758066953,0.035,0.06988771533657076,0.025,7.182507887839008,14.022991590542825,13.311560193403652,25.989236568073796
current_preset_speed_scan,cinewhoop 15.0m_s,drone-sim-core/src/main/java/com/tenicana/dronecraft/sim/DronePhysics.java,,,,Speed-to-mu mapping uses transverse speed divided by rotational tip speed. Hover rows use hover thrust fraction/spin; max rows use full spin/thrust fraction.,,,,,,,,,,,,,,,,,,,,cinewhoop,15.0,0.038,4297.487346413935,7964.663928742473,17.101209256759542,31.694190936675362,0.8771309545885474,0.4732728476953342,0.8771309545885474,0.4732728476953342,0.7722214803263757,1.0,0.7722214803263757,0.048487801131521534,1.0,1.0,0.9227778519673624,0.9713634149151359,0.12741654425385202,0.0413034141470978,0.07722214803263758,0.028636585084864115,7.182507887839008,14.022991590542825,13.311560193403652,25.989236568073796
current_preset_speed_scan,cinewhoop 20.0m_s,drone-sim-core/src/main/java/com/tenicana/dronecraft/sim/DronePhysics.java,,,,Speed-to-mu mapping uses transverse speed divided by rotational tip speed. Hover rows use hover thrust fraction/spin; max rows use full spin/thrust fraction.,,,,,,,,,,,,,,,,,,,,cinewhoop,20.0,0.038,4297.487346413935,7964.663928742473,17.101209256759542,31.694190936675362,1.1695079394513965,0.6310304635937789,1.0,0.6310304635937789,0.7722214803263757,1.0,0.7722214803263757,0.541322298197364,1.0,1.0,0.9227778519673624,0.9344008276351977,0.12741654425385202,0.10537189876565732,0.07722214803263758,0.0655991723648023,7.182507887839008,14.022991590542825,13.311560193403652,25.989236568073796
current_preset_speed_scan,cinewhoop 30.0m_s,drone-sim-core/src/main/java/com/tenicana/dronecraft/sim/DronePhysics.java,,,,Speed-to-mu mapping uses transverse speed divided by rotational tip speed. Hover rows use hover thrust fraction/spin; max rows use full spin/thrust fraction.,,,,,,,,,,,,,,,,,,,,cinewhoop,30.0,0.038,4297.487346413935,7964.663928742473,17.101209256759542,31.694190936675362,1.7542619091770948,0.9465456953906684,1.0,0.9465456953906684,0.7722214803263757,1.0,0.7722214803263757,1.0,1.0,1.0,0.9227778519673624,0.9,0.12741654425385202,0.165,0.07722214803263758,0.1,7.182507887839008,14.022991590542825,13.311560193403652,25.989236568073796
current_preset_speed_scan,cinewhoop 40.0m_s,drone-sim-core/src/main/java/com/tenicana/dronecraft/sim/DronePhysics.java,,,,Speed-to-mu mapping uses transverse speed divided by rotational tip speed. Hover rows use hover thrust fraction/spin; max rows use full spin/thrust fraction.,,,,,,,,,,,,,,,,,,,,cinewhoop,40.0,0.038,4297.487346413935,7964.663928742473,17.101209256759542,31.694190936675362,2.339015878902793,1.2620609271875578,1.0,1.0,0.7722214803263757,1.0,0.7722214803263757,1.0,1.0,1.0,0.9227778519673624,0.9,0.12741654425385202,0.165,0.07722214803263758,0.1,7.182507887839008,14.022991590542825,13.311560193403652,25.989236568073796
current_preset_speed_scan,cinewhoop 50.0m_s,drone-sim-core/src/main/java/com/tenicana/dronecraft/sim/DronePhysics.java,,,,Speed-to-mu mapping uses transverse speed divided by rotational tip speed. Hover rows use hover thrust fraction/spin; max rows use full spin/thrust fraction.,,,,,,,,,,,,,,,,,,,,cinewhoop,50.0,0.038,4297.487346413935,7964.663928742473,17.101209256759542,31.694190936675362,2.923769848628491,1.5775761589844473,1.0,1.0,0.7722214803263757,1.0,0.7722214803263757,1.0,1.0,1.0,0.9227778519673624,0.9,0.12741654425385202,0.165,0.07722214803263758,0.1,7.182507887839008,14.022991590542825,13.311560193403652,25.989236568073796
current_preset_speed_scan,cinewhoop 60.0m_s,drone-sim-core/src/main/java/com/tenicana/dronecraft/sim/DronePhysics.java,,,,Speed-to-mu mapping uses transverse speed divided by rotational tip speed. Hover rows use hover thrust fraction/spin; max rows use full spin/thrust fraction.,,,,,,,,,,,,,,,,,,,,cinewhoop,60.0,0.038,4297.487346413935,7964.663928742473,17.101209256759542,31.694190936675362,3.5085238183541896,1.8930913907813367,1.0,1.0,0.7722214803263757,1.0,0.7722214803263757,1.0,1.0,1.0,0.9227778519673624,0.9,0.12741654425385202,0.165,0.07722214803263758,0.1,7.182507887839008,14.022991590542825,13.311560193403652,25.989236568073796
current_preset_speed_scan,heavyLift 5.0m_s,drone-sim-core/src/main/java/com/tenicana/dronecraft/sim/DronePhysics.java,,,,Speed-to-mu mapping uses transverse speed divided by rotational tip speed. Hover rows use hover thrust fraction/spin; max rows use full spin/thrust fraction.,,,,,,,,,,,,,,,,,,,,heavyLift,5.0,0.127,4728.264076300938,8775.19797885932,62.88311733883745,116.70494610103054,0.07951259752372253,0.04284308563641801,0.07951259752372253,0.04284308563641801,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,26.410909282311728,51.56415621784671,49.016077362432824,95.69805580284503
current_preset_speed_scan,heavyLift 10.0m_s,drone-sim-core/src/main/java/com/tenicana/dronecraft/sim/DronePhysics.java,,,,Speed-to-mu mapping uses transverse speed divided by rotational tip speed. Hover rows use hover thrust fraction/spin; max rows use full spin/thrust fraction.,,,,,,,,,,,,,,,,,,,,heavyLift,10.0,0.127,4728.264076300938,8775.19797885932,62.88311733883745,116.70494610103054,0.15902519504744506,0.08568617127283602,0.15902519504744506,0.08568617127283602,0.1701823624964248,0.0014139558123298815,0.0,0.0,0.1701823624964248,0.0014139558123298815,0.9957454409375894,0.9999646511046918,0.0059563826873748685,4.9488453431545855e-05,0.00425455906241062,3.5348895308247035e-05,26.410909282311728,51.56415621784671,49.016077362432824,95.69805580284503
current_preset_speed_scan,heavyLift 12.5m_s,drone-sim-core/src/main/java/com/tenicana/dronecraft/sim/DronePhysics.java,,,,Speed-to-mu mapping uses transverse speed divided by rotational tip speed. Hover rows use hover thrust fraction/spin; max rows use full spin/thrust fraction.,,,,,,,,,,,,,,,,,,,,heavyLift,12.5,0.127,4728.264076300938,8775.19797885932,62.88311733883745,116.70494610103054,0.19878149380930632,0.10710771409104503,0.19878149380930632,0.10710771409104503,0.33533205964079393,0.03034404550627109,0.0,0.0,0.33533205964079393,0.03034404550627109,0.9916166985089802,0.9992413988623432,0.01173662208742779,0.0010620415927194882,0.008383301491019849,0.0007586011376567773,26.410909282311728,51.56415621784671,49.016077362432824,95.69805580284503
current_preset_speed_scan,heavyLift 15.0m_s,drone-sim-core/src/main/java/com/tenicana/dronecraft/sim/DronePhysics.java,,,,Speed-to-mu mapping uses transverse speed divided by rotational tip speed. Hover rows use hover thrust fraction/spin; max rows use full spin/thrust fraction.,,,,,,,,,,,,,,,,,,,,heavyLift,15.0,0.127,4728.264076300938,8775.19797885932,62.88311733883745,116.70494610103054,0.23853779257116758,0.12852925690925404,0.23853779257116758,0.12852925690925404,0.5098047713964162,0.09151045908528979,0.0,0.0,0.5098047713964162,0.09151045908528979,0.9872548807150896,0.9977122385228677,0.01784316699887457,0.003202866067985143,0.012745119284910407,0.002287761477132245,26.410909282311728,51.56415621784671,49.016077362432824,95.69805580284503
current_preset_speed_scan,heavyLift 20.0m_s,drone-sim-core/src/main/java/com/tenicana/dronecraft/sim/DronePhysics.java,,,,Speed-to-mu mapping uses transverse speed divided by rotational tip speed. Hover rows use hover thrust fraction/spin; max rows use full spin/thrust fraction.,,,,,,,,,,,,,,,,,,,,heavyLift,20.0,0.127,4728.264076300938,8775.19797885932,62.88311733883745,116.70494610103054,0.3180503900948901,0.17137234254567205,0.3180503900948901,0.17137234254567205,0.7545631217162674,0.2837066382758452,0.0,0.0,0.7545631217162674,0.2837066382758452,0.9811359219570933,0.9929073340431038,0.026409709260069362,0.009929732339654582,0.018864078042906685,0.00709266595689613,26.410909282311728,51.56415621784671,49.016077362432824,95.69805580284503
current_preset_speed_scan,heavyLift 30.0m_s,drone-sim-core/src/main/java/com/tenicana/dronecraft/sim/DronePhysics.java,,,,Speed-to-mu mapping uses transverse speed divided by rotational tip speed. Hover rows use hover thrust fraction/spin; max rows use full spin/thrust fraction.,,,,,,,,,,,,,,,,,,,,heavyLift,30.0,0.127,4728.264076300938,8775.19797885932,62.88311733883745,116.70494610103054,0.47707558514233517,0.2570585138185081,0.47707558514233517,0.2570585138185081,0.7701019792958399,0.7596330674280293,0.04256360247638365,0.0,0.7849992401625742,0.7596330674280293,0.9775551803318753,0.9810091733142993,0.032486837597284275,0.026587157359981028,0.022444819668124772,0.018990826685700735,26.410909282311728,51.56415621784671,49.016077362432824,95.69805580284503
current_preset_speed_scan,heavyLift 40.0m_s,drone-sim-core/src/main/java/com/tenicana/dronecraft/sim/DronePhysics.java,,,,Speed-to-mu mapping uses transverse speed divided by rotational tip speed. Hover rows use hover thrust fraction/spin; max rows use full spin/thrust fraction.,,,,,,,,,,,,,,,,,,,,heavyLift,40.0,0.127,4728.264076300938,8775.19797885932,62.88311733883745,116.70494610103054,0.6361007801897802,0.3427446850913441,0.6361007801897802,0.3427446850913441,0.7701019792958399,1.0,0.431447702269228,0.0,0.9211086750900697,1.0,0.9483888728474119,0.975,0.08304177057035404,0.035,0.0516111271525881,0.025,26.410909282311728,51.56415621784671,49.016077362432824,95.69805580284503
current_preset_speed_scan,heavyLift 50.0m_s,drone-sim-core/src/main/java/com/tenicana/dronecraft/sim/DronePhysics.java,,,,Speed-to-mu mapping uses transverse speed divided by rotational tip speed. Hover rows use hover thrust fraction/spin; max rows use full spin/thrust fraction.,,,,,,,,,,,,,,,,,,,,heavyLift,50.0,0.127,4728.264076300938,8775.19797885932,62.88311733883745,116.70494610103054,0.7951259752372253,0.4284308563641801,0.7951259752372253,0.4284308563641801,0.7701019792958399,1.0,0.7615384385458382,0.0013140107413190652,1.0,1.0,0.9236320676266662,0.974901449194401,0.12595356628631338,0.03517082139637148,0.07636793237333386,0.025098550805598932,26.410909282311728,51.56415621784671,49.016077362432824,95.69805580284503
current_preset_speed_scan,heavyLift 60.0m_s,drone-sim-core/src/main/java/com/tenicana/dronecraft/sim/DronePhysics.java,,,,Speed-to-mu mapping uses transverse speed divided by rotational tip speed. Hover rows use hover thrust fraction/spin; max rows use full spin/thrust fraction.,,,,,,,,,,,,,,,,,,,,heavyLift,60.0,0.127,4728.264076300938,8775.19797885932,62.88311733883745,116.70494610103054,0.9541511702846703,0.5141170276370162,0.9541511702846703,0.5141170276370162,0.7701019792958399,1.0,0.7701019792958399,0.14003496570029442,1.0,1.0,0.922989802070416,0.9644973775724779,0.12706682658381357,0.053204545541038276,0.077010197929584,0.035502622427522085,26.410909282311728,51.56415621784671,49.016077362432824,95.69805580284503
current_preset_speed_scan,hexLift 5.0m_s,drone-sim-core/src/main/java/com/tenicana/dronecraft/sim/DronePhysics.java,,,,Speed-to-mu mapping uses transverse speed divided by rotational tip speed. Hover rows use hover thrust fraction/spin; max rows use full spin/thrust fraction.,,,,,,,,,,,,,,,,,,,,hexLift,5.0,0.105,4169.93695964427,8115.341605103235,45.85085161422849,89.23284148787373,0.10904922861778198,0.056033181468052584,0.10904922861778198,0.056033181468052584,0.02398348945586377,0.0,0.0,0.0,0.02398348945586377,0.0,0.9994004127636034,1.0,0.000839422130955232,0.0,0.0005995872363965943,0.0,19.257357677975964,37.59769832366736,37.47779342490696,73.17093002005645
