row_type,preset,field,project_value,source_value,unit,source_name,source_page,project_over_source,relative_error,match_status,transform,note
apdrone_preset_source_match,apDrone,max_battery_current_a,150.0,150,A,APdrone battery filename 1500mAh 100C claim,https://data.mendeley.com/datasets/zgsvdtxnfh/2,1.0,0.0,matches_source,,
apdrone_preset_source_match,apDrone,gyro_low_pass_cutoff_hz,125.0,125,Hz,APdrone Betaflight setting gyro_lpf1_static_hz,docs/data/raw/apdrone_zgsvdtxnfh_v2/betaflight_configuration_for_f722.txt,1.0,0.0,matches_betaflight_dump,,
apdrone_preset_source_match,apDrone,esc_command_frame_rate_hz,480.0,480,Hz,APdrone Betaflight setting motor_pwm_rate,docs/data/raw/apdrone_zgsvdtxnfh_v2/betaflight_configuration_for_f722.txt,1.0,0.0,matches_betaflight_dump,,
apdrone_preset_source_match,apDrone,max_roll_rate_deg_s,670.0,670.0,deg/s,APdrone selected Betaflight Actual Rates full-stick target,docs/data/apdrone_rate_envelope_reference.csv,1.0,0.0,matches_selected_actual_rate,,"The Betaflight dump/open-field rate_limit remains 1998 deg/s, but rate_limit is a final clamp; current apDrone selects the urban/battery Actual target rates=67 -> 670 deg/s."
apdrone_preset_source_match,apDrone,max_pitch_rate_deg_s,670.0,670.0,deg/s,APdrone selected Betaflight Actual Rates full-stick target,docs/data/apdrone_rate_envelope_reference.csv,1.0,0.0,matches_selected_actual_rate,,"The Betaflight dump/open-field rate_limit remains 1998 deg/s, but rate_limit is a final clamp; current apDrone selects the urban/battery Actual target rates=67 -> 670 deg/s."
apdrone_preset_source_match,apDrone,max_yaw_rate_deg_s,670.0,670.0,deg/s,APdrone selected Betaflight Actual Rates full-stick target,docs/data/apdrone_rate_envelope_reference.csv,1.0,0.0,matches_selected_actual_rate,,"The Betaflight dump/open-field rate_limit remains 1998 deg/s, but rate_limit is a final clamp; current apDrone selects the urban/battery Actual target rates=67 -> 670 deg/s."
apdrone_preset_source_match,apDrone,esc_command_protocol,DSHOT600,DSHOT600,protocol,APdrone Betaflight motor_pwm_protocol,docs/data/raw/apdrone_zgsvdtxnfh_v2/betaflight_configuration_for_f722.txt,,,matches_betaflight_dump,,"Component ESC page lists supported protocols as DShot150/300/600/1200, MultiShot, OneShot."
apdrone_preset_source_match,apDrone,battery_internal_resistance_ohm,0.016,,ohm,not found in extracted APdrone source files,https://data.mendeley.com/datasets/zgsvdtxnfh/2,,,no_direct_apdrone_source,,No direct APdrone pack ESR measurement has been extracted yet.
apdrone_preset_source_match,apDrone,linear_drag_coefficient_n_per_mps,0.12,,N/(m/s),not found in extracted APdrone source files,https://data.mendeley.com/datasets/zgsvdtxnfh/2,,,no_direct_apdrone_source,,No direct APdrone airframe linear damping fit is available; use apdrone_flight_vs_model_reference.csv as a speed-envelope sanity check.
apdrone_preset_source_match,apDrone,linear_drag_coefficient_n_per_mps2,0.12,,N/(m/s),not found in extracted APdrone source files,https://data.mendeley.com/datasets/zgsvdtxnfh/2,,,no_direct_apdrone_source,,Backward-compatible alias for the runtime linear damping coefficient; it is not a quadratic drag coefficient.
apdrone_preset_source_match,apDrone,body_drag_x_n_per_mps2,0.0018,,N/(m/s)^2,not found in extracted APdrone source files,https://data.mendeley.com/datasets/zgsvdtxnfh/2,,,no_direct_apdrone_source,,No direct APdrone axis-specific drag fit is available.
apdrone_preset_source_match,apDrone,body_drag_z_n_per_mps2,0.0034,,N/(m/s)^2,not found in extracted APdrone source files,https://data.mendeley.com/datasets/zgsvdtxnfh/2,,,no_direct_apdrone_source,,No direct APdrone axis-specific drag fit is available.
apdrone_preset_source_match,apDrone,max_rotor_thrust_n,13.5,,N,not found in extracted APdrone source files,https://data.mendeley.com/datasets/zgsvdtxnfh/2,,,no_direct_apdrone_source,,APdrone exact motor/prop thrust table is still missing; current value needs static-thrust or RPM/current validation.
apdrone_preset_source_match,apDrone,thrust_coefficient_n_per_rad2_s2,1.3918976015517363e-06,,N/(rad/s)^2,not found in extracted APdrone source files,https://data.mendeley.com/datasets/zgsvdtxnfh/2,,,no_direct_apdrone_source,,APdrone exact motor/prop thrust coefficient is still missing.
