row_type,name,source,equation,note,youngs_modulus_gpa,propeller,method,rpm,out_of_plane_deflection_mm,coning_angle_deg,standard_mean_error_deflection_mm,standard_mean_error_coning_deg,preset,operating_point,rotor_radius_m,arm_variable_m,arm_length_m,thrust_fraction,spin_ratio,current_arm_flex_target,current_arm_full_flex_vertical_deflection_mm,current_arm_flex_vertical_deflection_mm,current_arm_full_flex_tilt_deg,current_arm_flex_tilt_deg,current_arm_flex_natural_frequency_hz,current_arm_flex_damping_ratio,current_arm_flex_vibration,current_coning_target_intensity,current_coning_natural_frequency_hz,current_coning_damping_ratio,current_coning_thrust_scale,current_coning_load_factor,current_coning_vibration,geometry,geometry_use,section_type,outer_width_m,outer_height_m,inner_width_m,inner_height_m,area_m2,second_moment_area_m4,density_kg_m3,tip_mass_kg,load_force_n,cantilever_tip_deflection_mm_at_max_thrust,cantilever_tip_stiffness_n_m,cantilever_first_bending_frequency_hz,code_max_snap_vertical_deflection_mm,beam_deflection_over_code_max_snap,code_arm_flex_frequency_hz_max,beam_frequency_over_code_max
reference_multicopter_blade_coning_measurement,"T-motor 15x5 carbon fiber propeller, DSLR",https://rotorcraft.arc.nasa.gov/Publications/files/Nowicki_CR-2017-219428_Final.pdf,,NASA CR-2017-219428 Appendix B Table 9.,,T-motor 15x5,DSLR camera,5000.0,1.87,0.89,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
reference_multicopter_blade_coning_measurement,"T-motor 15x5 carbon fiber propeller, photogrammetry",https://rotorcraft.arc.nasa.gov/Publications/files/Nowicki_CR-2017-219428_Final.pdf,,NASA CR-2017-219428 Appendix C Table 13; coning angle not tabulated in that table.,,T-motor 15x5,photogrammetry,5000.0,1.12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
reference_multicopter_blade_coning_measurement,"DJI Phantom 3 propellers 1-5, DSLR mean",https://rotorcraft.arc.nasa.gov/Publications/files/Nowicki_CR-2017-219428_Final.pdf,,NASA CR-2017-219428 Appendix B Tables 11-12.,,DJI Phantom 3,DSLR camera mean,3000.0,1.06,0.51,0.18,0.09,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
reference_multicopter_blade_coning_measurement,"DJI Phantom 3 propellers 1-5, DSLR mean",https://rotorcraft.arc.nasa.gov/Publications/files/Nowicki_CR-2017-219428_Final.pdf,,NASA CR-2017-219428 Appendix B Tables 11-12.,,DJI Phantom 3,DSLR camera mean,5000.0,2.47,1.18,0.15,0.07,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
reference_multicopter_blade_coning_measurement,"DJI Phantom 3 propellers 1-5, DSLR mean",https://rotorcraft.arc.nasa.gov/Publications/files/Nowicki_CR-2017-219428_Final.pdf,,NASA CR-2017-219428 Appendix B Tables 11-12.,,DJI Phantom 3,DSLR camera mean,7500.0,3.73,1.78,0.16,0.07,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
reference_multicopter_blade_coning_measurement,"DJI Phantom 3 propellers 1-5, DSLR mean",https://rotorcraft.arc.nasa.gov/Publications/files/Nowicki_CR-2017-219428_Final.pdf,,NASA CR-2017-219428 Appendix B Tables 11-12.,,DJI Phantom 3,DSLR camera mean,8500.0,4.08,1.95,0.17,0.08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
current_preset_arm_flex_coning,racingQuad hover_steady,drone-sim-core/src/main/java/com/tenicana/dronecraft/sim/DroneConfig.java,,Mirrors DronePhysics arm-flex and rotor-coning target formulas; max_snap_proxy assumes full snapLoad and torsionalSnap.,,,,,,,,,racingQuad,hover_steady,0.0635,0.12727922061357855,0.18,0.1997650925925926,0.446950883870468,0.0,9.899999999999999,0.0,3.4641016151377544,0.0,31.18096746539661,0.46469508838704676,0.0,0.0,35.63158113676789,0.5404511590966843,1.0,0.0,0.0,,,,,,,,,,,,,,,,,,,
current_preset_arm_flex_coning,racingQuad max_steady,drone-sim-core/src/main/java/com/tenicana/dronecraft/sim/DroneConfig.java,,Mirrors DronePhysics arm-flex and rotor-coning target formulas; max_snap_proxy assumes full snapLoad and torsionalSnap.,,,,,,,,,racingQuad,max_steady,0.0635,0.12727922061357855,0.18,1.0,1.0,0.16,9.899999999999999,1.584,3.4641016151377544,0.5542562584220407,35.47240053901061,0.52,0.0384,0.6389577297149291,42.599999999999994,0.64,0.9757196062708327,0.0351426751343211,0.012779154594298583,,,,,,,,,,,,,,,,,,,
current_preset_arm_flex_coning,racingQuad max_snap_proxy,drone-sim-core/src/main/java/com/tenicana/dronecraft/sim/DroneConfig.java,,Mirrors DronePhysics arm-flex and rotor-coning target formulas; max_snap_proxy assumes full snapLoad and torsionalSnap.,,,,,,,,,racingQuad,max_snap_proxy,0.0635,0.12727922061357855,0.18,1.0,1.0,0.6000000000000001,9.899999999999999,5.940000000000001,3.4641016151377544,2.0784609690826525,35.47240053901061,0.52,0.14400000000000002,0.6389577297149291,42.599999999999994,0.64,0.9757196062708327,0.0351426751343211,0.012779154594298583,,,,,,,,,,,,,,,,,,,
current_preset_arm_flex_coning,cinewhoop hover_steady,drone-sim-core/src/main/java/com/tenicana/dronecraft/sim/DroneConfig.java,,Mirrors DronePhysics arm-flex and rotor-coning target formulas; max_snap_proxy assumes full snapLoad and torsionalSnap.,,,,,,,,,cinewhoop,hover_steady,0.038,0.09192388155425117,0.13,0.29113492187499995,0.5395692002653598,0.004261768411949264,5.531093212556108,0.023572238336818596,2.277356297560122,0.009705565131695454,48.522763092240986,0.473956920026536,0.0006696195199922504,0.0,47.56921988850631,0.5571224560477648,1.0,0.0,0.0,,,,,,,,,,,,,,,,,,,
current_preset_arm_flex_coning,cinewhoop max_steady,drone-sim-core/src/main/java/com/tenicana/dronecraft/sim/DroneConfig.java,,Mirrors DronePhysics arm-flex and rotor-coning target formulas; max_snap_proxy assumes full snapLoad and torsionalSnap.,,,,,,,,,cinewhoop,max_steady,0.038,0.09192388155425117,0.13,1.0,1.0,0.16,5.531093212556108,0.8849749140089773,2.277356297560122,0.36437700760961944,53.957301337366154,0.52,0.0384,0.6112087083101665,55.06867960723418,0.64,0.9767740690842137,0.03361647895705916,0.01222417416620333,,,,,,,,,,,,,,,,,,,
current_preset_arm_flex_coning,cinewhoop max_snap_proxy,drone-sim-core/src/main/java/com/tenicana/dronecraft/sim/DroneConfig.java,,Mirrors DronePhysics arm-flex and rotor-coning target formulas; max_snap_proxy assumes full snapLoad and torsionalSnap.,,,,,,,,,cinewhoop,max_snap_proxy,0.038,0.09192388155425117,0.13,1.0,1.0,0.6000000000000001,5.531093212556108,3.318655927533666,2.277356297560122,1.366413778536073,53.957301337366154,0.52,0.14400000000000002,0.6112087083101665,55.06867960723418,0.64,0.9767740690842137,0.03361647895705916,0.01222417416620333,,,,,,,,,,,,,,,,,,,
current_preset_arm_flex_coning,heavyLift hover_steady,drone-sim-core/src/main/java/com/tenicana/dronecraft/sim/DroneConfig.java,,Mirrors DronePhysics arm-flex and rotor-coning target formulas; max_snap_proxy assumes full snapLoad and torsionalSnap.,,,,,,,,,heavyLift,hover_steady,0.127,0.2545584412271571,0.36,0.29032845394736845,0.5388213562465471,0.00416896467330697,28.001428534987284,0.11673696636449173,6.928203230275509,0.028883434516509827,15.946922222648722,0.4738821356246547,0.000654476776293155,0.0,26.013856794707255,0.5569878441243785,1.0,0.0,0.0,,,,,,,,,,,,,,,,,,,
current_preset_arm_flex_coning,heavyLift max_steady,drone-sim-core/src/main/java/com/tenicana/dronecraft/sim/DroneConfig.java,,Mirrors DronePhysics arm-flex and rotor-coning target formulas; max_snap_proxy assumes full snapLoad and torsionalSnap.,,,,,,,,,heavyLift,max_steady,0.127,0.2545584412271571,0.36,1.0,1.0,0.16,28.001428534987284,4.480228565597966,6.928203230275509,1.1085125168440817,17.736200269505304,0.52,0.0384,0.9796963236924568,30.12274887854692,0.64,0.9627715396996867,0.05388329780308513,0.019593926473849138,,,,,,,,,,,,,,,,,,,
current_preset_arm_flex_coning,heavyLift max_snap_proxy,drone-sim-core/src/main/java/com/tenicana/dronecraft/sim/DroneConfig.java,,Mirrors DronePhysics arm-flex and rotor-coning target formulas; max_snap_proxy assumes full snapLoad and torsionalSnap.,,,,,,,,,heavyLift,max_snap_proxy,0.127,0.2545584412271571,0.36,1.0,1.0,0.6000000000000001,28.001428534987284,16.800857120992376,6.928203230275509,4.156921938165306,17.736200269505304,0.52,0.14400000000000002,0.9796963236924568,30.12274887854692,0.64,0.9627715396996867,0.05388329780308513,0.019593926473849138,,,,,,,,,,,,,,,,,,,
current_preset_arm_flex_coning,hexLift hover_steady,drone-sim-core/src/main/java/com/tenicana/dronecraft/sim/DroneConfig.java,,Mirrors DronePhysics arm-flex and rotor-coning target formulas; max_snap_proxy assumes full snapLoad and torsionalSnap.,,,,,,,,,hexLift,hover_steady,0.105,0.42,0.42,0.2640251923076923,0.5138338177929633,0.0016756226694466451,29.704330392966074,0.04977324938718693,6.804352474587512,0.011401527257324212,16.138472166513065,0.47138338177929634,0.00025551584698279585,0.0,28.364769037390438,0.5524900872027334,1.0,0.0,0.0,,,,,,,,,,,,,,,,,,,
current_preset_arm_flex_coning,hexLift max_steady,drone-sim-core/src/main/java/com/tenicana/dronecraft/sim/DroneConfig.java,,Mirrors DronePhysics arm-flex and rotor-coning target formulas; max_snap_proxy assumes full snapLoad and torsionalSnap.,,,,,,,,,hexLift,max_steady,0.105,0.42,0.42,1.0,1.0,0.16,29.704330392966074,4.752692862874572,6.804352474587512,1.088696395934002,18.059029196227687,0.52,0.0384,0.8862468618981357,33.128503049273355,0.64,0.9663226192478709,0.04874357740439746,0.017724937237962715,,,,,,,,,,,,,,,,,,,
current_preset_arm_flex_coning,hexLift max_snap_proxy,drone-sim-core/src/main/java/com/tenicana/dronecraft/sim/DroneConfig.java,,Mirrors DronePhysics arm-flex and rotor-coning target formulas; max_snap_proxy assumes full snapLoad and torsionalSnap.,,,,,,,,,hexLift,max_snap_proxy,0.105,0.42,0.42,1.0,1.0,0.6000000000000001,29.704330392966074,17.822598235779648,6.804352474587512,4.0826114847525075,18.059029196227687,0.52,0.14400000000000002,0.8862468618981357,33.128503049273355,0.64,0.9663226192478709,0.04874357740439746,0.017724937237962715,,,,,,,,,,,,,,,,,,,
current_preset_arm_flex_coning,octoLift hover_steady,drone-sim-core/src/main/java/com/tenicana/dronecraft/sim/DroneConfig.java,,Mirrors DronePhysics arm-flex and rotor-coning target formulas; max_snap_proxy assumes full snapLoad and torsionalSnap.,,,,,,,,,octoLift,hover_steady,0.115,0.52,0.52,0.3473188541666667,0.5893376402086216,0.012903250250828264,38.48824342432067,0.4966234366188051,7.9235189298045565,0.10223914761844313,14.54382263309962,0.47893376402086213,0.002142981804741694,0.0003898751628999586,27.810406939725674,0.5660807752375518,0.9999851847438098,2.144313395949772e-05,5.716111550532087e-06,,,,,,,,,,,,,,,,,,,
current_preset_arm_flex_coning,octoLift max_steady,drone-sim-core/src/main/java/com/tenicana/dronecraft/sim/DroneConfig.java,,Mirrors DronePhysics arm-flex and rotor-coning target formulas; max_snap_proxy assumes full snapLoad and torsionalSnap.,,,,,,,,,octoLift,max_steady,0.115,0.52,0.52,1.0,1.0,0.16,38.48824342432067,6.1581189478913085,7.9235189298045565,1.267763028768729,15.979279522311817,0.52,0.0384,0.9398198435685354,31.65538075011549,0.64,0.9642868459443956,0.05169009139626945,0.018796396871370708,,,,,,,,,,,,,,,,,,,
current_preset_arm_flex_coning,octoLift max_snap_proxy,drone-sim-core/src/main/java/com/tenicana/dronecraft/sim/DroneConfig.java,,Mirrors DronePhysics arm-flex and rotor-coning target formulas; max_snap_proxy assumes full snapLoad and torsionalSnap.,,,,,,,,,octoLift,max_snap_proxy,0.115,0.52,0.52,1.0,1.0,0.6000000000000001,38.48824342432067,23.09294605459241,7.9235189298045565,4.754111357882733,15.979279522311817,0.52,0.14400000000000002,0.9398198435685354,31.65538075011549,0.64,0.9642868459443956,0.05169009139626945,0.018796396871370708,,,,,,,,,,,,,,,,,,,
current_preset_arm_flex_coning,coaxialX8 hover_steady,drone-sim-core/src/main/java/com/tenicana/dronecraft/sim/DroneConfig.java,,Mirrors DronePhysics arm-flex and rotor-coning target formulas; max_snap_proxy assumes full snapLoad and torsionalSnap.,,,,,,,,,coaxialX8,hover_steady,0.115,0.52,0.52,0.367749375,0.6064234288020212,0.017009737180171992,38.48824342432067,0.6546749051741776,7.9235189298045565,0.13477697453809315,14.603545450054352,0.48064234288020213,0.002877302796698122,0.005430434806722086,27.970378770854424,0.5691562171843638,0.9997936434773446,0.00029867391436971477,8.082390128697184e-05,,,,,,,,,,,,,,,,,,,
current_preset_arm_flex_coning,coaxialX8 max_steady,drone-sim-core/src/main/java/com/tenicana/dronecraft/sim/DroneConfig.java,,Mirrors DronePhysics arm-flex and rotor-coning target formulas; max_snap_proxy assumes full snapLoad and torsionalSnap.,,,,,,,,,coaxialX8,max_steady,0.115,0.52,0.52,1.0,1.0,0.16,38.48824342432067,6.1581189478913085,7.9235189298045565,1.267763028768729,15.979279522311817,0.52,0.0384,0.9398198435685354,31.65538075011549,0.64,0.9642868459443956,0.05169009139626945,0.018796396871370708,,,,,,,,,,,,,,,,,,,
current_preset_arm_flex_coning,coaxialX8 max_snap_proxy,drone-sim-core/src/main/java/com/tenicana/dronecraft/sim/DroneConfig.java,,Mirrors DronePhysics arm-flex and rotor-coning target formulas; max_snap_proxy assumes full snapLoad and torsionalSnap.,,,,,,,,,coaxialX8,max_snap_proxy,0.115,0.52,0.52,1.0,1.0,0.6000000000000001,38.48824342432067,23.09294605459241,7.9235189298045565,4.754111357882733,15.979279522311817,0.52,0.14400000000000002,0.9398198435685354,31.65538075011549,0.64,0.9642868459443956,0.05169009139626945,0.018796396871370708,,,,,,,,,,,,,,,,,,,
beam_theory_arm_sensitivity,racingQuad 5in_solid_6x4mm E70GPa,https://ntrs.nasa.gov/api/citations/19690026842/downloads/19690026842.pdf; https://ntrs.nasa.gov/api/citations/19760006440/downloads/19760006440.pdf; https://acpcomposites.com/wp-content/uploads/2023/12/Mechanical-Properties-of-Carbon-Fiber-Composite-Materials.pdf,,"Geometry is a sensitivity case, not a measured frame dimension.",70.0,,,,,,,,racingQuad,,,,0.18,,,,,,,,,,,,,,,,,5in_solid_6x4mm,thin 5-inch carbon arm sensitivity case,solid_rectangular,0.006,0.004,,,2.4e-05,3.2e-11,1600.0,0.035,13.5,11.716071428571428,1152.2633744855968,28.22735907414091,5.940000000000001,1.972402597402597,35.47240053901061,0.7957555351546621
beam_theory_arm_sensitivity,racingQuad 5in_solid_6x4mm E135GPa,https://ntrs.nasa.gov/api/citations/19690026842/downloads/19690026842.pdf; https://ntrs.nasa.gov/api/citations/19760006440/downloads/19760006440.pdf; https://acpcomposites.com/wp-content/uploads/2023/12/Mechanical-Properties-of-Carbon-Fiber-Composite-Materials.pdf,,"Geometry is a sensitivity case, not a measured frame dimension.",135.0,,,,,,,,racingQuad,,,,0.18,,,,,,,,,,,,,,,,,5in_solid_6x4mm,thin 5-inch carbon arm sensitivity case,solid_rectangular,0.006,0.004,,,2.4e-05,3.2e-11,1600.0,0.035,13.5,6.075,2222.222222222222,39.200184591505156,5.940000000000001,1.0227272727272725,35.47240053901061,1.1050897034271738
beam_theory_arm_sensitivity,racingQuad 5in_solid_10x5mm E70GPa,https://ntrs.nasa.gov/api/citations/19690026842/downloads/19690026842.pdf; https://ntrs.nasa.gov/api/citations/19760006440/downloads/19760006440.pdf; https://acpcomposites.com/wp-content/uploads/2023/12/Mechanical-Properties-of-Carbon-Fiber-Composite-Materials.pdf,,"Geometry is a sensitivity case, not a measured frame dimension.",70.0,,,,,,,,racingQuad,,,,0.18,,,,,,,,,,,,,,,,,5in_solid_10x5mm,stiffer 5-inch carbon arm sensitivity case,solid_rectangular,0.01,0.005,,,5e-05,1.0416666666666668e-10,1600.0,0.035,13.5,3.599177142857142,3750.8573388203026,49.74264111174961,5.940000000000001,0.6059220779220776,35.47240053901061,1.402291368948808
beam_theory_arm_sensitivity,racingQuad 5in_solid_10x5mm E135GPa,https://ntrs.nasa.gov/api/citations/19690026842/downloads/19690026842.pdf; https://ntrs.nasa.gov/api/citations/19760006440/downloads/19760006440.pdf; https://acpcomposites.com/wp-content/uploads/2023/12/Mechanical-Properties-of-Carbon-Fiber-Composite-Materials.pdf,,"Geometry is a sensitivity case, not a measured frame dimension.",135.0,,,,,,,,racingQuad,,,,0.18,,,,,,,,,,,,,,,,,5in_solid_10x5mm,stiffer 5-inch carbon arm sensitivity case,solid_rectangular,0.01,0.005,,,5e-05,1.0416666666666668e-10,1600.0,0.035,13.5,1.8662399999999997,7233.796296296298,69.07910543554537,5.940000000000001,0.31418181818181806,35.47240053901061,1.9474043026655596
beam_theory_arm_sensitivity,racingQuad 3in_solid_8x3mm E70GPa,https://ntrs.nasa.gov/api/citations/19690026842/downloads/19690026842.pdf; https://ntrs.nasa.gov/api/citations/19760006440/downloads/19760006440.pdf; https://acpcomposites.com/wp-content/uploads/2023/12/Mechanical-Properties-of-Carbon-Fiber-Composite-Materials.pdf,,"Geometry is a sensitivity case, not a measured frame dimension.",70.0,,,,,,,,racingQuad,,,,0.18,,,,,,,,,,,,,,,,,3in_solid_8x3mm,compact ducted/cinewhoop arm sensitivity case,solid_rectangular,0.008,0.003,,,2.4e-05,1.8e-11,1600.0,0.025,13.5,20.82857142857143,648.1481481481482,24.829138149051396,5.940000000000001,3.5064935064935057,35.47240053901061,0.6999565231494741
beam_theory_arm_sensitivity,racingQuad 3in_solid_8x3mm E135GPa,https://ntrs.nasa.gov/api/citations/19690026842/downloads/19690026842.pdf; https://ntrs.nasa.gov/api/citations/19760006440/downloads/19760006440.pdf; https://acpcomposites.com/wp-content/uploads/2023/12/Mechanical-Properties-of-Carbon-Fiber-Composite-Materials.pdf,,"Geometry is a sensitivity case, not a measured frame dimension.",135.0,,,,,,,,racingQuad,,,,0.18,,,,,,,,,,,,,,,,,3in_solid_8x3mm,compact ducted/cinewhoop arm sensitivity case,solid_rectangular,0.008,0.003,,,2.4e-05,1.8e-11,1600.0,0.025,13.5,10.799999999999999,1250.0,34.48097273763184,5.940000000000001,1.8181818181818177,35.47240053901061,0.9720507271480414
beam_theory_arm_sensitivity,racingQuad 10in_solid_16x6mm E70GPa,https://ntrs.nasa.gov/api/citations/19690026842/downloads/19690026842.pdf; https://ntrs.nasa.gov/api/citations/19760006440/downloads/19760006440.pdf; https://acpcomposites.com/wp-content/uploads/2023/12/Mechanical-Properties-of-Carbon-Fiber-Composite-Materials.pdf,,"Geometry is a sensitivity case, not a measured frame dimension.",70.0,,,,,,,,racingQuad,,,,0.18,,,,,,,,,,,,,,,,,10in_solid_16x6mm,large flat carbon arm sensitivity case,solid_rectangular,0.016,0.006,,,9.6e-05,2.88e-10,1600.0,0.09,13.5,1.3017857142857143,10370.37037037037,52.167199381224194,5.940000000000001,0.2191558441558441,35.47240053901061,1.470641924102474
beam_theory_arm_sensitivity,racingQuad 10in_solid_16x6mm E135GPa,https://ntrs.nasa.gov/api/citations/19690026842/downloads/19690026842.pdf; https://ntrs.nasa.gov/api/citations/19760006440/downloads/19760006440.pdf; https://acpcomposites.com/wp-content/uploads/2023/12/Mechanical-Properties-of-Carbon-Fiber-Composite-Materials.pdf,,"Geometry is a sensitivity case, not a measured frame dimension.",135.0,,,,,,,,racingQuad,,,,0.18,,,,,,,,,,,,,,,,,10in_solid_16x6mm,large flat carbon arm sensitivity case,solid_rectangular,0.016,0.006,,,9.6e-05,2.88e-10,1600.0,0.09,13.5,0.6749999999999999,20000.0,72.44616260396936,5.940000000000001,0.1136363636363636,35.47240053901061,2.0423247793533745
beam_theory_arm_sensitivity,racingQuad lift_square_tube_20x20x1p5mm E70GPa,https://ntrs.nasa.gov/api/citations/19690026842/downloads/19690026842.pdf; https://ntrs.nasa.gov/api/citations/19760006440/downloads/19760006440.pdf; https://acpcomposites.com/wp-content/uploads/2023/12/Mechanical-Properties-of-Carbon-Fiber-Composite-Materials.pdf,,"Geometry is a sensitivity case, not a measured frame dimension.",70.0,,,,,,,,racingQuad,,,,0.18,,,,,,,,,,,,,,,,,lift_square_tube_20x20x1p5mm,large lift square-tube arm sensitivity case,rectangular_tube,0.02,0.02,0.017,0.017,0.00011099999999999999,6.37325e-09,1600.0,0.18,13.5,0.058826232411138074,229489.4547325103,176.05541715885767,5.940000000000001,0.009903406129821223,35.47240053901061,4.963166137156168
beam_theory_arm_sensitivity,racingQuad lift_square_tube_20x20x1p5mm E135GPa,https://ntrs.nasa.gov/api/citations/19690026842/downloads/19690026842.pdf; https://ntrs.nasa.gov/api/citations/19760006440/downloads/19760006440.pdf; https://acpcomposites.com/wp-content/uploads/2023/12/Mechanical-Properties-of-Carbon-Fiber-Composite-Materials.pdf,,"Geometry is a sensitivity case, not a measured frame dimension.",135.0,,,,,,,,racingQuad,,,,0.18,,,,,,,,,,,,,,,,,lift_square_tube_20x20x1p5mm,large lift square-tube arm sensitivity case,rectangular_tube,0.02,0.02,0.017,0.017,0.00011099999999999999,6.37325e-09,1600.0,0.18,13.5,0.030502490879849374,442586.80555555556,244.49346581926764,5.940000000000001,0.0051350994747221155,35.47240053901061,6.892498452434508
beam_theory_arm_sensitivity,cinewhoop 5in_solid_6x4mm E70GPa,https://ntrs.nasa.gov/api/citations/19690026842/downloads/19690026842.pdf; https://ntrs.nasa.gov/api/citations/19760006440/downloads/19760006440.pdf; https://acpcomposites.com/wp-content/uploads/2023/12/Mechanical-Properties-of-Carbon-Fiber-Composite-Materials.pdf,,"Geometry is a sensitivity case, not a measured frame dimension.",70.0,,,,,,,,cinewhoop,,,,0.13,,,,,,,,,,,,,,,,,5in_solid_6x4mm,thin 5-inch carbon arm sensitivity case,solid_rectangular,0.006,0.004,,,2.4e-05,3.2e-11,1600.0,0.035,8.0,2.6154761904761905,3058.716431497496,46.27716975327714,3.318655927533666,0.7881130938512028,53.957301337366154,0.8576627927318075
beam_theory_arm_sensitivity,cinewhoop 5in_solid_6x4mm E135GPa,https://ntrs.nasa.gov/api/citations/19690026842/downloads/19690026842.pdf; https://ntrs.nasa.gov/api/citations/19760006440/downloads/19760006440.pdf; https://acpcomposites.com/wp-content/uploads/2023/12/Mechanical-Properties-of-Carbon-Fiber-Composite-Materials.pdf,,"Geometry is a sensitivity case, not a measured frame dimension.",135.0,,,,,,,,cinewhoop,,,,0.13,,,,,,,,,,,,,,,,,5in_solid_6x4mm,thin 5-inch carbon arm sensitivity case,solid_rectangular,0.006,0.004,,,2.4e-05,3.2e-11,1600.0,0.035,8.0,1.356172839506173,5898.953117888028,64.26650087725551,3.318655927533666,0.40865123384877183,53.957301337366154,1.1910621785072504
