row_type,lane_name,blocker_kind,status,metric,value,unit,affected_slot_count,promotion_blocking_slot_count,full_simulation_blocking_slot_count,critical_priority_slot_count,high_priority_slot_count,medium_priority_slot_count,low_priority_slot_count,max_blocker_count,promotion_blocker,full_simulation_coverage_blocker,runtime_coupling_allowed,gameplay_auto_apply_allowed,next_required_action,note
propeller_archive_ct_cp_j_lookup_coefficient_payload_promotion_blocker_summary,all,summary,BLOCKED,max_blocker_count,6,count,0,0,0,0,0,0,0,0,false,false,false,false,clear-promotion-blocker-lanes-before-reviewed-payload-output,critical high-J heavyLift row has most blockers
propeller_archive_ct_cp_j_lookup_coefficient_payload_promotion_blocker_summary,all,summary,BLOCKED,source_review_blocked_slot_count,21,count,0,0,0,0,0,0,0,0,false,false,false,false,complete-source-review-before-payload-promotion,source review blocked slots
propeller_archive_ct_cp_j_lookup_coefficient_payload_promotion_blocker_summary,all,summary,BLOCKED,coefficient_payload_review_blocked_slot_count,21,count,0,0,0,0,0,0,0,0,false,false,false,false,complete-coefficient-payload-review-before-promotion,payload review blocked slots
propeller_archive_ct_cp_j_lookup_coefficient_payload_promotion_blocker_summary,all,summary,BLOCKED,draft_review_blocked_slot_count,21,count,0,0,0,0,0,0,0,0,false,false,false,false,review-draft-coefficient-risk-queue-before-promoting-payloads,draft review blocked slots
propeller_archive_ct_cp_j_lookup_coefficient_payload_promotion_blocker_summary,all,summary,BLOCKED,coefficient_guard_blocked_slot_count,1,count,0,0,0,0,0,0,0,0,false,false,false,false,resolve-coefficient-guard-failure-before-promotion,coefficient guard blocked slots
propeller_archive_ct_cp_j_lookup_coefficient_payload_promotion_blocker_summary,all,summary,BLOCKED,negative_ct_blocked_slot_count,1,count,0,0,0,0,0,0,0,0,false,false,false,false,review-negative-ct-draft-before-payload-promotion,negative CT blocked slots
propeller_archive_ct_cp_j_lookup_coefficient_payload_promotion_blocker_summary,all,summary,BLOCKED,source_distance_blocked_slot_count,4,count,0,0,0,0,0,0,0,0,false,false,false,false,resolve-source-distance-risk-before-promotion,source distance risk blocked slots
propeller_archive_ct_cp_j_lookup_coefficient_payload_promotion_blocker_summary,all,summary,BLOCKED,performance_only_coverage_slot_count,7,count,0,0,0,0,0,0,0,0,false,false,false,false,resolve-geometry-coverage-before-full-simulation-payload-promotion,performance-only full simulation coverage slots
propeller_archive_ct_cp_j_lookup_coefficient_payload_promotion_blocker_summary,all,summary,BLOCKED,promotion_allowed_slot_count,0,count,0,0,0,0,0,0,0,0,false,false,false,false,clear-promotion-blocker-lanes-before-reviewed-payload-output,no reviewed payload row can be emitted
propeller_archive_ct_cp_j_lookup_coefficient_payload_promotion_blocker_summary,all,summary,BLOCKED,runtime_coupling_allowed_count,0,count,0,0,0,0,0,0,0,0,false,false,false,false,keep-runtime-and-gameplay-auto-apply-closed,no runtime authority
propeller_archive_ct_cp_j_lookup_coefficient_payload_promotion_blocker_summary,all,summary,BLOCKED,gameplay_auto_apply_allowed_count,0,count,0,0,0,0,0,0,0,0,false,false,false,false,keep-runtime-and-gameplay-auto-apply-closed,no gameplay auto apply authority
propeller_archive_ct_cp_j_lookup_coefficient_payload_promotion_blocker_method,packet,method,BLOCKED,method,promotion-blocker-lane-aggregation,text,0,0,0,0,0,0,0,0,false,false,false,false,clear-promotion-blocker-lanes-before-reviewed-payload-output,report groups blocker lanes without promoting payload rows
