row_type,name,sample_name,torque_scale,swirl_power_scale,available_shaft_power_w,retained_swirl_power_w,max_axial_power_w,max_axial_power_scale,required_axial_reduction_fraction,energy_margin_with_current_axial_w,current_axial_retained,status,next_required_action,note
a4mc_l2_powered_source_energy_closure_manifold,hover:heavyLift,peak_torque,3.1400360424628153,1.0,2058.350926741867,1029.1754633709336,1029.1754633709336,2.395338930395857,0.0,599.5179103995674,true,CURRENT_WAKE_INSIDE_MANIFOLD,capture-live-motor-torque-curve-and-powered-wake-power-telemetry,Audit-only closure sample with no runtime or gameplay auto-apply.
a4mc_l2_powered_source_energy_closure_manifold,cruise:racingQuad,current_torque,1.0,1.0,633.497271297705,71.12782311635357,562.3694481813513,1.7309188933484032,0.0,237.4729724756255,true,CURRENT_WAKE_INSIDE_MANIFOLD,capture-live-motor-torque-curve-and-powered-wake-power-telemetry,Audit-only closure sample with no runtime or gameplay auto-apply.
a4mc_l2_powered_source_energy_closure_manifold,cruise:racingQuad,peak_torque,4.453231123504274,1.0,2821.109765197971,1410.5548825989854,1410.5548825989854,4.34155181134249,0.0,1085.6584068932596,true,CURRENT_WAKE_INSIDE_MANIFOLD,capture-live-motor-torque-curve-and-powered-wake-power-telemetry,Audit-only closure sample with no runtime or gameplay auto-apply.
a4mc_l2_powered_source_energy_closure_manifold,cruise:apDrone,current_torque,1.0,1.0,626.8441115999003,86.35810297829525,540.486008621605,1.5274765779084014,0.0,186.6435887517689,true,CURRENT_WAKE_INSIDE_MANIFOLD,capture-live-motor-torque-curve-and-powered-wake-power-telemetry,Audit-only closure sample with no runtime or gameplay auto-apply.
a4mc_l2_powered_source_energy_closure_manifold,cruise:apDrone,peak_torque,3.629330022206762,1.0,2275.0241534730444,1137.5120767365222,1137.5120767365222,3.2147419666499157,0.0,783.6696568666861,true,CURRENT_WAKE_INSIDE_MANIFOLD,capture-live-motor-torque-curve-and-powered-wake-power-telemetry,Audit-only closure sample with no runtime or gameplay auto-apply.
a4mc_l2_powered_source_energy_closure_manifold,cruise:cinewhoop,current_torque,1.0,1.0,95.28608287814579,124.07662707507687,0.0,0.0,1.0,-272.2955134644276,false,ZERO_AXIAL_BUDGET_AT_SAMPLED_TORQUE,reduce-swirl-power-or-increase-motor-torque-before-axial-source-fit,Audit-only closure sample with no runtime or gameplay auto-apply.
a4mc_l2_powered_source_energy_closure_manifold,cruise:cinewhoop,peak_torque,0.38398079124317924,1.0,36.58802549801357,18.29401274900679,18.294012749006782,0.07512788262201885,0.9248721173779811,-225.2109565184897,false,AXIAL_SOURCE_REDUCTION_REQUIRED,calibrate-axial-source-map-wake-footprint-and-motor-torque-together,Audit-only closure sample with no runtime or gameplay auto-apply.
a4mc_l2_powered_source_energy_closure_manifold,cruise:heavyLift,current_torque,1.0,1.0,1150.775094117004,183.24233839278168,967.5327557242224,1.2827368123910678,0.0,213.2605259277559,true,CURRENT_WAKE_INSIDE_MANIFOLD,capture-live-motor-torque-curve-and-powered-wake-power-telemetry,Audit-only closure sample with no runtime or gameplay auto-apply.
a4mc_l2_powered_source_energy_closure_manifold,cruise:heavyLift,peak_torque,3.1400360424628144,1.0,3613.47527229593,1806.737636147965,1806.737636147965,2.3953389303958557,0.0,1052.4654063514986,true,CURRENT_WAKE_INSIDE_MANIFOLD,capture-live-motor-torque-curve-and-powered-wake-power-telemetry,Audit-only closure sample with no runtime or gameplay auto-apply.
a4mc_l2_powered_source_energy_closure_manifold_summary,all_samples,sample_row_count,,,,,,,,,,16,count,Audit-only energy closure summary.
a4mc_l2_powered_source_energy_closure_manifold_summary,all_samples,current_wake_inside_manifold_count,,,,,,,,,,12,count,Audit-only energy closure summary.
a4mc_l2_powered_source_energy_closure_manifold_summary,all_samples,axial_reduction_required_count,,,,,,,,,,2,count,Audit-only energy closure summary.
a4mc_l2_powered_source_energy_closure_manifold_summary,all_samples,zero_axial_budget_count,,,,,,,,,,2,count,Audit-only energy closure summary.
a4mc_l2_powered_source_energy_closure_manifold_summary,all_samples,joint_wake_or_source_calibration_required_count,,,,,,,,,,4,count,Audit-only energy closure summary.
a4mc_l2_powered_source_energy_closure_manifold_summary,all_samples,runtime_coupling_allowed_count,,,,,,,,,,0,count,Audit-only energy closure summary.
a4mc_l2_powered_source_energy_closure_manifold_summary,all_samples,gameplay_auto_apply_allowed_count,,,,,,,,,,0,count,Audit-only energy closure summary.
a4mc_l2_powered_source_energy_closure_manifold_summary,all_samples,min_max_axial_power_scale,,,,,,,,,,0.0,scale,Audit-only energy closure summary.
a4mc_l2_powered_source_energy_closure_manifold_summary,all_samples,max_required_axial_reduction_fraction,,,,,,,,,,1.0,fraction,Audit-only energy closure summary.
a4mc_l2_powered_source_energy_closure_manifold_summary,all_samples,min_energy_margin_with_current_axial_w,,,,,,,,,,-272.2955134644276,W,Audit-only energy closure summary.
a4mc_l2_powered_source_energy_closure_manifold_method,energy_closure_equation,qS_minus_A_M_minus_B_q2_W,,,,,,,,,,method,text,At torque scale q with current swirl retention B=1 the sampled axial budget is max(0 q*S - q^2*W); runtime coupling and gameplay auto-apply stay closed.
